dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-03 12:40:34,MINI_Mini_Cooper,privat,Offer,5350,control,kleinwagen,2003,manuell,116,cooper,150000,Feb,Gasoline,mini,No,2016-04-03 00:00:00,82054,2016-04-07 14:57:06,2016,2016,April,April,4,14,13,10
2016-03-21 22:55:22,Mini_One_zu_verkaufen,privat,Offer,4200,control,kleinwagen,2003,manuell,90,one,150000,Jan,Gasoline,mini,Other,2016-03-21 00:00:00,26524,2016-03-30 17:18:47,2016,2016,March,March,9,17,13,11
2016-03-17 20:58:30,MINI_Mini_One,privat,Offer,5299,control,kleinwagen,2005,manuell,90,one,150000,May,Gasoline,mini,No,2016-03-17 00:00:00,53797,2016-04-07 10:15:30,2016,2016,March,March,21,10,11,7
2016-03-22 22:52:10,Mini_One___HU/AU_neu!___schwarz_rot___Scheckheft__Alufelgen,privat,Offer,4350,control,kleinwagen,2003,manuell,90,one,150000,Jun,Gasoline,mini,No,2016-03-22 00:00:00,34628,2016-04-07 04:17:05,2016,2016,March,March,16,4,13,6
2016-03-17 20:52:20,MINI_Mini_One_._Panoramaglasdach_._Scheckheft_._Klima,privat,Offer,3990,control,kleinwagen,2004,manuell,90,one,125000,May,Gasoline,mini,No,2016-03-17 00:00:00,71088,2016-03-27 14:15:24,2016,2016,March,March,10,14,12,7
2016-03-21 23:55:11,Mini_One_Black,privat,Offer,3399,test,kleinwagen,2002,manuell,90,one,150000,Aug,Gasoline,mini,No,2016-03-21 00:00:00,45739,2016-03-23 13:50:05,2016,2016,March,March,2,13,14,4
2016-03-26 23:52:38,MINI_Mini_One,privat,Offer,4900,test,kleinwagen,2004,manuell,90,one,90000,Apr,Gasoline,mini,No,2016-03-26 00:00:00,54634,2016-04-07 02:46:49,2016,2016,March,March,12,2,12,8
2016-03-21 13:49:05,BMW_Mini_One,privat,Offer,4200,test,kleinwagen,2005,manuell,90,one,150000,Jul,Gasoline,mini,Yes,2016-03-21 00:00:00,4416,2016-04-06 09:46:27,2016,2016,March,March,16,9,11,5
2016-03-31 21:51:36,MINI_Mini_One,privat,Offer,3700,test,kleinwagen,2001,manuell,90,one,150000,Jun,Gasoline,mini,No,2016-03-31 00:00:00,49406,2016-04-06 17:44:27,2016,2016,March,March,6,17,15,6
2016-04-02 13:57:19,MINI_Mini_Cooper_S,privat,Offer,4600,test,kleinwagen,2003,manuell,163,cooper,125000,Aug,Gasoline,mini,No,2016-04-02 00:00:00,73249,2016-04-02 14:44:26,2016,2016,April,April,0,14,13,4
