dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-05 22:41:48,Mini_Cooper_D_Clubman__Chili_Hot_chocolate__TÜV_NEU!!!,privat,Offer,8199,control,kombi,2008,manuell,109,clubman,150000,Sep,Diesel,mini,No,2016-03-05 00:00:00,97795,2016-04-07 08:44:32,2016,2016,March,March,33,8,8,3
2016-03-06 01:57:11,MINI_Cooper_S_Clubman,privat,Offer,9500,control,kombi,2009,manuell,174,clubman,150000,Jul,Gasoline,mini,No,2016-03-06 00:00:00,53173,2016-04-06 01:16:55,2016,2016,March,March,31,1,7,5
2016-03-14 20:38:14,MINI_Mini_Cooper_Clubman,privat,Offer,11950,control,kombi,2009,manuell,133,cooper,80000,Apr,Gasoline,mini,No,2016-03-14 00:00:00,72622,2016-04-06 07:16:59,2016,2016,March,March,23,7,7,8
2016-03-21 11:50:56,MINI_Mini_Cooper_S_Clubman_erst77tkm/Navi/Xenon/Leder,privat,Offer,5800,control,kombi,2007,manuell,174,cooper,80000,Nov,Gasoline,mini,No,2016-03-21 00:00:00,24768,2016-03-21 12:41:48,2016,2016,March,March,0,12,9,1
2016-03-30 13:58:25,Mini_Clubman_1_6,privat,Offer,9350,test,kombi,2009,manuell,120,clubman,90000,May,Gasoline,mini,No,2016-03-30 00:00:00,27478,2016-04-07 05:15:32,2016,2016,March,March,8,5,7,7
2016-03-21 23:54:50,MINI_Cooper_D_Clubman,privat,Offer,8500,test,kombi,2011,manuell,90,clubman,125000,Mar,Diesel,mini,No,2016-03-21 00:00:00,91438,2016-04-01 18:45:11,2016,2016,March,March,11,18,5,9
2016-03-23 13:52:34,MINI_Mini_Cooper_S_Clubman_Aut._ATM.25000km_!!!,privat,Offer,6900,test,kombi,2008,automatik,174,cooper,150000,Aug,Gasoline,mini,No,2016-03-23 00:00:00,85586,2016-03-23 13:52:34,2016,2016,March,March,0,13,8,4
2016-03-06 00:25:24,MINI_Cooper_S_Clubman_Xenon_2.Hand_82.000KM_HU_01/17_,privat,Offer,9999,control,kombi,2007,manuell,174,clubman,90000,Oct,Gasoline,mini,No,2016-03-05 00:00:00,60388,2016-04-06 04:45:08,2016,2016,March,March,32,4,9,2
2016-04-01 22:39:31,MINI_Cooper_D_Clubman_Euro_4,privat,Offer,6490,test,kombi,2007,manuell,109,clubman,150000,Nov,Diesel,mini,No,2016-04-01 00:00:00,90453,2016-04-03 19:46:12,2016,2016,April,April,2,19,9,1
2016-03-19 18:37:21,MINI_Cooper_S_Clubman,privat,Offer,10990,test,kombi,2007,manuell,174,clubman,100000,May,Gasoline,mini,No,2016-03-19 00:00:00,83533,2016-04-03 04:19:41,2016,2016,March,March,15,4,9,7
2016-03-29 09:37:19,Mini_Cooper_Clubman_Diesel,privat,Offer,8600,test,kombi,2009,manuell,110,clubman,125000,Nov,Diesel,mini,No,2016-03-29 00:00:00,26340,2016-04-05 19:16:31,2016,2016,March,March,7,19,7,1
2016-04-03 15:52:32,MINI_Cooper_S_Clubman,privat,Offer,11499,test,kombi,2008,manuell,175,clubman,90000,Aug,Gasoline,mini,No,2016-04-03 00:00:00,25335,2016-04-05 15:16:26,2016,2016,April,April,2,15,8,4
2016-03-31 13:38:14,MINI_Mini_Cooper_S_Clubman,privat,Offer,6900,control,kombi,2008,manuell,174,cooper,150000,May,Gasoline,mini,No,2016-03-31 00:00:00,45276,2016-04-06 05:46:45,2016,2016,March,March,6,5,8,7
2016-04-01 17:43:28,MINI_Clubman_Cooper_Diesel__28800_km!!,privat,Offer,13000,test,kombi,2012,manuell,0,Other,30000,May,Diesel,mini,Other,2016-04-01 00:00:00,93055,2016-04-05 12:47:16,2016,2016,April,April,4,12,4,7
2016-03-28 14:41:39,MINI_Cooper_S_Clubman,privat,Offer,11500,test,kombi,2008,automatik,174,clubman,125000,Mar,Gasoline,mini,No,2016-03-28 00:00:00,71067,2016-04-06 18:19:25,2016,2016,March,March,9,18,8,9
2016-04-01 09:25:22,MINI_Mini_Cooper_Clubman,privat,Offer,12500,control,kombi,2010,manuell,122,cooper,70000,Nov,Gasoline,mini,No,2016-04-01 00:00:00,60489,2016-04-04 17:45:12,2016,2016,April,April,3,17,6,1
2016-03-24 13:51:29,MINI_Cooper_D_Clubman,privat,Offer,8900,control,kombi,2008,manuell,109,clubman,125000,Aug,Diesel,mini,No,2016-03-24 00:00:00,73240,2016-04-07 05:46:40,2016,2016,March,March,14,5,8,4
2016-03-05 22:51:48,Mini_zu_verkaufen_aus_Gewinn__noch_frei_konfigurierbar,privat,Offer,0,control,kombi,2016,manuell,0,andere,5000,May,,mini,Other,2016-03-05 00:00:00,73262,2016-04-07 03:46:16,2016,2016,March,March,33,3,0,7
2016-03-28 12:28:07,MINI_Cooper_Clubman__Topausstattung,privat,Offer,10750,test,kombi,2009,manuell,120,clubman,90000,Oct,Gasoline,mini,No,2016-03-27 00:00:00,65549,2016-03-29 17:30:57,2016,2016,March,March,2,17,7,2
2016-03-27 01:55:02,MINI_Cooper_D_Clubman__PANO*XENON*USB*18ZOLL*SITZHEIZ,privat,Offer,9990,test,kombi,2008,manuell,109,clubman,125000,Jan,Diesel,mini,No,2016-03-26 00:00:00,38871,2016-04-07 04:16:18,2016,2016,March,March,12,4,8,11
