dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-13 15:47:08,Mini_One_Pepper_Scheckheftgepflegt,privat,Offer,6990,test,limousine,2007,manuell,95,one,100000,Aug,Gasoline,mini,No,2016-03-13 00:00:00,59174,2016-03-21 17:17:50,2016,2016,March,March,8,17,9,4
2016-03-05 23:50:02,Mini_Cooper_S,privat,Offer,0,control,limousine,2006,manuell,170,andere,150000,Feb,Gasoline,mini,Other,2016-03-05 00:00:00,34117,2016-04-05 13:46:11,2016,2016,March,March,31,13,10,10
2016-03-09 13:54:08,Mini_Cooper_one_Teilledersitze__bluetooth___mp3___aux___Alufelgen,privat,Offer,3900,control,limousine,2003,manuell,116,one,150000,Apr,Gasoline,mini,No,2016-03-09 00:00:00,82487,2016-03-13 03:46:50,2016,2016,March,March,4,3,13,8
2016-04-01 08:53:51,mini_one_blau,privat,Offer,7500,test,limousine,2007,manuell,95,one,90000,May,Gasoline,mini,Other,2016-04-01 00:00:00,47441,2016-04-01 09:48:58,2016,2016,April,April,0,9,9,7
2016-03-27 20:57:20,mini_one_blau,privat,Offer,7000,control,limousine,2007,manuell,95,one,90000,May,Gasoline,mini,Other,2016-03-27 00:00:00,47441,2016-03-31 02:47:29,2016,2016,March,March,4,2,9,7
2016-04-04 10:50:38,Mini_One_90_Ps,privat,Offer,5850,control,limousine,2005,manuell,90,one,125000,Jul,Gasoline,mini,No,2016-04-04 00:00:00,67227,2016-04-06 11:46:33,2016,2016,April,April,2,11,11,5
2016-04-05 10:55:44,Mini_One_90_PS,privat,Offer,3700,control,limousine,2001,manuell,90,one,150000,Jul,Gasoline,mini,Other,2016-04-05 00:00:00,60326,2016-04-05 12:26:12,2016,2016,April,April,0,12,15,5
2016-04-03 14:54:01,MINI_Cooper_D,privat,Offer,6600,test,limousine,2008,manuell,109,cooper,150000,Apr,Diesel,mini,No,2016-04-03 00:00:00,64569,2016-04-04 19:31:12,2016,2016,April,April,1,19,8,8
2016-03-31 20:57:36,mini_one_blau,privat,Offer,7500,test,limousine,2007,manuell,95,one,90000,May,Gasoline,mini,Other,2016-03-31 00:00:00,47441,2016-03-31 20:57:36,2016,2016,March,March,0,20,9,7
2016-03-19 16:43:43,MINI_COOPER,privat,Offer,11800,test,limousine,2010,manuell,122,cooper,50000,Jun,Gasoline,mini,No,2016-03-19 00:00:00,68309,2016-04-07 02:16:38,2016,2016,March,March,19,2,6,6
2016-04-06 15:25:34,MINI_Cooper_S,privat,Offer,11000,control,limousine,2009,manuell,174,cooper,100000,Apr,Gasoline,mini,No,2016-04-06 00:00:00,35576,2016-04-06 15:25:34,2016,2016,April,April,0,15,7,8
2016-03-24 21:38:35,MINI_ONE_schwarz,privat,Offer,4980,test,limousine,2003,manuell,90,one,150000,Jan,Gasoline,mini,No,2016-03-24 00:00:00,80939,2016-03-26 07:47:27,2016,2016,March,March,2,7,13,11
2016-04-05 13:06:33,MINI_Cooper_S,privat,Offer,6299,test,limousine,2005,manuell,174,cooper,90000,Feb,Gasoline,mini,Yes,2016-04-05 00:00:00,56414,2016-04-05 13:06:33,2016,2016,April,April,0,13,11,10
2016-03-06 16:41:22,MINI_One_GT_Design_aus_1._Hand,privat,Offer,3950,test,limousine,2002,manuell,90,one,150000,Nov,Gasoline,mini,No,2016-03-06 00:00:00,82362,2016-03-17 14:47:25,2016,2016,March,March,11,14,14,1
2016-04-01 17:55:26,MINI_Cooper_Teilleder_R50,privat,Offer,0,test,limousine,2001,manuell,116,cooper,150000,Nov,Gasoline,mini,Yes,2016-04-01 00:00:00,79418,2016-04-05 13:44:54,2016,2016,April,April,4,13,15,1
2016-03-25 23:37:01,Wunderschoener_sehr_gepflegter_Mini_ONE_Pepper_white_Nichtraucher,privat,Offer,9500,control,limousine,2009,manuell,75,one,60000,Nov,Gasoline,mini,No,2016-03-25 00:00:00,61479,2016-04-05 20:17:20,2016,2016,March,March,11,20,7,1
2016-03-16 17:43:36,MINI_COOLER_ORIGINAL_ENGLISCH_GREY,privat,Offer,2499,control,limousine,2006,manuell,116,cooper,100000,Apr,Gasoline,mini,Other,2016-03-16 00:00:00,12559,2016-03-16 17:43:36,2016,2016,March,March,0,17,10,8
2016-03-19 18:44:07,MINI_One_pepperwhite__Top_Zustand,privat,Offer,6600,test,limousine,2009,manuell,95,one,150000,Mar,Gasoline,mini,Other,2016-03-11 00:00:00,94107,2016-03-20 07:49:18,2016,2016,March,March,9,7,7,9
2016-03-09 10:47:43,MINI_Cooper_Sondermodell,privat,Offer,3290,control,limousine,2005,manuell,116,cooper,150000,Mar,Gasoline,mini,Yes,2016-03-09 00:00:00,1968,2016-03-12 20:15:56,2016,2016,March,March,3,20,11,9
2016-03-21 17:37:22,MINI_Cooper/Sport_Version/Vollleder/Start_Stop/Sitzheizung/Klima,privat,Offer,8800,control,limousine,2007,manuell,120,cooper,100000,Oct,Gasoline,mini,No,2016-03-21 00:00:00,21521,2016-04-02 18:17:46,2016,2016,March,March,12,18,9,2
2016-03-31 19:51:44,Mini_One_72Kw/98PS,privat,Offer,10999,control,limousine,2011,manuell,98,one,80000,Apr,Gasoline,mini,No,2016-03-31 00:00:00,82194,2016-04-06 14:18:00,2016,2016,March,March,6,14,5,8
2016-03-25 15:06:28,MINI_COOPER_S_R56__sehr_guter_Zustand__Navi__Leder__Klima__Xenon,privat,Offer,9950,control,limousine,2006,manuell,174,cooper,90000,Nov,Gasoline,mini,No,2016-03-25 00:00:00,65599,2016-04-07 08:44:26,2016,2016,March,March,13,8,10,1
2016-04-03 12:47:26,Mini_ONE_90_PS_Unfallfrei_Checkheft_gepflegt,privat,Offer,8999,control,limousine,2009,manuell,90,one,80000,Feb,Gasoline,mini,No,2016-04-03 00:00:00,42929,2016-04-07 14:58:03,2016,2016,April,April,4,14,7,10
