dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-04 09:49:59,Mitsubishi_Colt_Tuev_07/2016,privat,Offer,450,control,Other,2016,manuell,0,Other,150000,Mar,Gasoline,mitsubishi,No,2016-04-04 00:00:00,59302,2016-04-06 11:17:11,2016,2016,April,April,2,11,0,9
2016-03-26 18:54:04,Mitsubishi_Colt_Tuev_11.16_D3,privat,Offer,150,test,Other,2000,Unspecified,0,Other,5000,Jan,Other,mitsubishi,Other,2016-03-26 00:00:00,95145,2016-04-05 15:15:51,2016,2016,March,March,10,15,16,11
2016-04-04 14:38:53,Scheunenfund_2x_mitsubishi_celeste_Oldtimer,privat,Offer,2500,test,Other,1980,Unspecified,0,andere,150000,Jan,Other,mitsubishi,Other,2016-04-04 00:00:00,66740,2016-04-06 15:46:03,2016,2016,April,April,2,15,36,11
2016-03-28 10:53:04,Mitsubishi_Lancer_Evo_Umbau,privat,Offer,1350,control,Other,2016,manuell,116,lancer,5000,Feb,Gasoline,mitsubishi,Other,2016-03-28 00:00:00,2763,2016-03-31 18:46:58,2016,2016,March,March,3,18,0,10
2016-03-22 16:46:06,Mitsubischi_space_runner,privat,Offer,300,test,Other,2000,manuell,0,Other,150000,Jan,Gasoline,mitsubishi,No,2016-03-22 00:00:00,88138,2016-04-06 06:45:48,2016,2016,March,March,15,6,16,11
2016-03-15 19:50:31,Mitsubishi_Galant,privat,Offer,250,test,Other,2000,manuell,0,Other,150000,Mar,Gasoline,mitsubishi,Yes,2016-03-15 00:00:00,35606,2016-04-07 01:16:49,2016,2016,March,March,23,1,16,9
2016-03-24 12:41:06,Mitsubishi_Space_Star_Comfort,privat,Offer,550,test,Other,2016,manuell,102,Other,150000,Jun,Diesel,mitsubishi,No,2016-03-24 00:00:00,27367,2016-03-24 12:41:06,2016,2016,March,March,0,12,0,6
2016-03-16 20:44:31,Auto_Mitsubishi_PKW__Kleinwagen,privat,Offer,500,control,Other,2005,Unspecified,82,colt,150000,Jan,Other,mitsubishi,Other,2016-03-16 00:00:00,64625,2016-04-03 06:15:29,2016,2016,March,March,18,6,11,11
2016-03-29 14:52:36,Kleines_Raumwunder_sucht_neuen_Besitzer,privat,Offer,450,test,Other,2016,manuell,101,carisma,30000,Nov,Gasoline,mitsubishi,Yes,2016-03-29 00:00:00,6849,2016-04-03 23:18:06,2016,2016,March,March,5,23,0,1
2016-03-16 21:52:49,Mitsubishi_Colt,privat,Offer,300,control,Other,2000,manuell,55,colt,150000,Apr,Gasoline,mitsubishi,Other,2016-03-16 00:00:00,26789,2016-04-07 13:15:30,2016,2016,March,March,22,13,16,8
2016-03-12 09:52:50,mitsubishi_carisma_1.8_tuev_bis_10.2016,privat,Offer,950,control,Other,2016,manuell,125,carisma,150000,Sep,Other,mitsubishi,Other,2016-03-12 00:00:00,51377,2016-03-14 18:17:39,2016,2016,March,March,2,18,0,3
2016-03-09 08:55:25,Mitsubischi_spice_wagen_mution,privat,Offer,500,test,Other,2005,manuell,110,Other,150000,Jan,Gasoline,mitsubishi,No,2016-03-09 00:00:00,99817,2016-03-22 04:17:37,2016,2016,March,March,13,4,11,11
2016-03-29 21:45:40,Mitsubishi_Colt_Bastlerfahrzeug,privat,Offer,199,test,Other,2000,manuell,75,colt,150000,Jan,Gasoline,mitsubishi,Other,2016-03-29 00:00:00,42853,2016-03-31 15:18:32,2016,2016,March,March,2,15,16,11
