dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-10 17:06:20,mitsubishi_space_star.tuev_bis_7.2017,privat,Offer,1000,test,andere,2000,manuell,90,andere,150000,Aug,Other,mitsubishi,No,2016-03-10 00:00:00,35415,2016-03-10 17:06:20,2016,2016,March,March,0,17,16,4
2016-03-22 08:51:49,mitsubishi_space_star_EURO_4_GRÜNE_PLAKETTE,privat,Offer,1800,control,andere,2004,manuell,102,andere,150000,Apr,Diesel,mitsubishi,No,2016-03-22 00:00:00,90459,2016-04-05 20:18:55,2016,2016,March,March,14,20,12,8
2016-03-17 13:46:35,MITSUBISHI_COLT_1_3_GL__C30,privat,Offer,0,control,andere,2000,manuell,75,colt,150000,Feb,Gasoline,mitsubishi,Yes,2016-03-17 00:00:00,22941,2016-03-17 13:46:35,2016,2016,March,March,0,13,16,10
2016-03-15 20:44:20,Mitsubishi_Canter_Koffer_3500_Tonnen,privat,Offer,2700,test,andere,1998,manuell,94,andere,150000,Mar,Diesel,mitsubishi,Other,2016-03-15 00:00:00,1445,2016-03-21 22:15:33,2016,2016,March,March,6,22,18,9
2016-04-01 14:55:11,Space_star__1_9_l__diesel__115__ps,privat,Offer,1000,test,andere,2003,Unspecified,0,andere,150000,Jan,Other,mitsubishi,Other,2016-04-01 00:00:00,63457,2016-04-07 12:46:36,2016,2016,April,April,6,12,13,11
2016-04-03 19:43:10,Bitte_anrufen_wegen_wohnungstermin,privat,Offer,0,test,andere,1980,manuell,2,pajero,5000,May,Other,mitsubishi,Yes,2016-04-03 00:00:00,10719,2016-04-03 19:43:10,2016,2016,April,April,0,19,36,7
2016-03-31 11:58:31,Mitsubishi_Space_Star_mit_Klima_und_Tuev,privat,Offer,1000,control,andere,2001,manuell,82,andere,100000,Jun,Gasoline,mitsubishi,No,2016-03-31 00:00:00,96450,2016-04-06 04:46:46,2016,2016,March,March,6,4,15,6
2016-03-26 15:47:18,Mitsubishi_Outlander_2003_/_103000km_Benzin_2_0_4x4,privat,Offer,4700,test,andere,2003,manuell,0,outlander,125000,Sep,Gasoline,mitsubishi,No,2016-03-26 00:00:00,16837,2016-04-06 03:46:41,2016,2016,March,March,11,3,13,3
2016-04-01 16:46:41,Mitsubishi_Pick_Up_lkw_Zulassung_5_sitzer,privat,Angebot,7150,control,andere,2008,automatik,100,,150000,4,,mitsubishi,,2016-04-01 00:00:00,0,23858,2016-04-05 11:50:02
2016-03-10 20:52:23,Wer_kann_scheiben_toenen?,privat,Offer,0,test,andere,2002,Unspecified,0,Other,150000,Jan,Other,mitsubishi,Other,2016-03-10 00:00:00,2625,2016-04-06 09:17:39,2016,2016,March,March,27,9,14,11
