dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-13 19:52:34,Mitsubishi_L_400,privat,Offer,1800,control,bus,2001,manuell,87,andere,150000,Jul,Diesel,mitsubishi,No,2016-03-13 00:00:00,24116,2016-03-17 13:47:41,2016,2016,March,March,4,13,15,5
2016-03-09 19:58:09,Mitsubishi_L_300,privat,Offer,2899,test,bus,1996,manuell,69,andere,150000,Sep,Diesel,mitsubishi,No,2016-03-09 00:00:00,13409,2016-04-05 14:18:51,2016,2016,March,March,27,14,20,3
2016-03-16 15:51:30,Mitsubishi_Space_Star_1.6,privat,Offer,4500,test,bus,2005,manuell,98,andere,20000,Apr,Gasoline,mitsubishi,No,2016-03-16 00:00:00,18347,2016-03-20 15:15:41,2016,2016,March,March,4,15,11,8
2016-03-19 16:47:33,Mitsubishi_Space_Wagon_GLXi_Klima,privat,Offer,500,test,bus,1999,manuell,133,andere,150000,Jan,Gasoline,mitsubishi,Yes,2016-03-19 00:00:00,21614,2016-04-07 02:18:06,2016,2016,March,March,19,2,17,11
2016-03-17 17:42:12,Mitsubishi_space_wagon_gdi_benziner_1999_gruen,privat,Offer,1250,control,bus,1999,manuell,0,andere,150000,Jan,Gasoline,mitsubishi,Yes,2016-03-17 00:00:00,48529,2016-04-07 03:17:01,2016,2016,March,March,21,3,17,11
2016-03-11 14:58:05,Mitsubishi_Space_Wagon_2.0_mit_Prins_Gasanlage,privat,Offer,2400,control,bus,2003,manuell,133,andere,150000,Nov,Lpg,mitsubishi,No,2016-03-11 00:00:00,35394,2016-04-05 18:44:36,2016,2016,March,March,25,18,13,1
2016-03-14 12:56:09,Mitsubishi_Space_Wagon_2000_GLXi,privat,Offer,1200,test,bus,1998,manuell,133,andere,150000,Jun,Gasoline,mitsubishi,No,2016-03-14 00:00:00,96123,2016-04-05 13:15:26,2016,2016,March,March,22,13,18,6
2016-03-14 12:49:44,Mitsubishi_Space_Star_1.6_Avance,privat,Offer,600,control,bus,2002,manuell,98,andere,150000,Jun,Gasoline,mitsubishi,No,2016-03-14 00:00:00,64569,2016-03-21 23:47:21,2016,2016,March,March,7,23,14,6
2016-03-14 17:45:10,Mitsubishi_Space_Star_1.8_Motion,privat,Offer,2000,test,bus,2004,manuell,111,andere,150000,Mar,Gasoline,mitsubishi,No,2016-03-14 00:00:00,8371,2016-03-25 03:19:38,2016,2016,March,March,11,3,12,9
2016-03-21 07:37:06,Mitsubishi_Space_Star,privat,Offer,200,control,bus,1999,manuell,102,Other,150000,Jan,Gasoline,mitsubishi,No,2016-03-21 00:00:00,32694,2016-03-22 12:46:04,2016,2016,March,March,1,12,17,11
