dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-01 13:46:21,Mitsubishi_Colt_1300_GLi_|_original_65.500_Km_|_TÜV_neu,privat,Offer,895,test,limousine,1995,manuell,75,colt,70000,Mar,Gasoline,mitsubishi,No,2016-04-01 00:00:00,50823,2016-04-01 13:46:21,2016,2016,April,April,0,13,21,9
2016-03-07 09:52:06,Mitsubishi_carisma_1.8gdi_klima_tuev_neu,privat,Offer,1900,control,limousine,2000,manuell,125,Other,150000,May,Gasoline,mitsubishi,No,2016-03-07 00:00:00,14943,2016-03-08 15:44:31,2016,2016,March,March,1,15,16,7
2016-03-24 17:49:49,Verkaufe_meinen_Treuen_Wagen,privat,Offer,1200,control,limousine,2000,manuell,95,carisma,150000,May,Gasoline,mitsubishi,Other,2016-03-24 00:00:00,49696,2016-04-03 10:24:48,2016,2016,March,March,10,10,16,7
2016-04-02 11:45:42,Mitsubishi_Colt_2_Jahre_tuev,privat,Offer,800,test,limousine,1999,manuell,75,colt,150000,Sep,Gasoline,mitsubishi,No,2016-04-02 00:00:00,27753,2016-04-02 11:45:42,2016,2016,April,April,0,11,17,3
2016-03-28 18:54:12,Mitsubishi_Colt_1300_GL_Twenty_TÜV_AU_Neu,privat,Offer,1390,control,limousine,1998,manuell,75,colt,150000,Mar,Gasoline,mitsubishi,No,2016-03-28 00:00:00,74821,2016-04-07 01:16:02,2016,2016,March,March,10,1,18,9
2016-03-22 13:54:08,Mitsubishi_Colt_1.3_ClearTec_Edition_SR_+_WR,privat,Offer,5790,control,limousine,2011,manuell,95,colt,70000,Feb,Gasoline,mitsubishi,No,2016-03-22 00:00:00,6118,2016-03-29 17:47:17,2016,2016,March,March,7,17,5,10
2016-03-27 01:00:20,Ich_verkaufe_ein_gebrauchte__Mitsubishi_Carisma,privat,Offer,550,test,limousine,1997,manuell,90,carisma,150000,Jul,Gasoline,mitsubishi,No,2016-03-27 00:00:00,28832,2016-04-01 07:50:19,2016,2016,March,March,5,7,19,5
2016-03-19 21:25:55,Mitsubishi_Colt_1.3_Motion,privat,Offer,3150,control,limousine,2006,manuell,95,colt,150000,Aug,Gasoline,mitsubishi,No,2016-03-19 00:00:00,56412,2016-04-06 07:45:43,2016,2016,March,March,18,7,10,4
2016-04-01 19:06:21,Mitsubishi_Lancer_1500_Aut._GLXi,privat,Offer,999,test,limousine,1989,automatik,84,lancer,125000,Apr,Gasoline,mitsubishi,Yes,2016-04-01 00:00:00,63263,2016-04-05 11:47:27,2016,2016,April,April,4,11,27,8
2016-03-09 10:55:23,Top_Zustand,privat,Offer,1099,control,limousine,1998,manuell,96,carisma,5000,Oct,Gasoline,mitsubishi,Other,2016-03-09 00:00:00,19370,2016-03-27 17:17:17,2016,2016,March,March,18,17,18,2
