dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-03 20:44:13,Nissan_Almera,privat,Offer,1999,test,Other,2016,manuell,110,almera,150000,Sep,Diesel,nissan,Other,2016-04-03 00:00:00,10997,2016-04-05 21:17:18,2016,2016,April,April,2,21,0,3
2016-03-25 15:56:33,Zu_verkaufen,privat,Offer,1200,test,Other,2016,manuell,115,Other,20000,Jan,Gasoline,nissan,No,2016-03-25 00:00:00,41334,2016-03-25 15:56:33,2016,2016,March,March,0,15,0,11
2016-03-10 16:57:11,Nissan_Primera_2_2_Diesel,privat,Offer,1400,control,Other,2005,manuell,141,primera,150000,Aug,Diesel,nissan,Other,2016-03-10 00:00:00,59379,2016-03-16 05:17:54,2016,2016,March,March,6,5,11,4
2016-03-26 18:39:11,Nissan_Skyline_GTS_R33_Schalter,privat,Offer,2500,test,Other,2015,Unspecified,0,Other,150000,Jan,Other,nissan,Other,2016-03-26 00:00:00,15344,2016-03-29 21:16:38,2016,2016,March,March,3,21,1,11
2016-04-04 15:06:21,Tuev_bis_August_16,privat,Offer,700,test,Other,2016,manuell,0,almera,150000,Jan,Gasoline,nissan,Other,2016-04-04 00:00:00,56564,2016-04-05 12:17:10,2016,2016,April,April,1,12,0,11
2016-03-20 10:57:48,Micra_K11_mit_TÜV_10/16,privat,Offer,230,control,Other,2016,manuell,60,Other,150000,Mar,Other,nissan,No,2016-03-20 00:00:00,27283,2016-03-21 13:45:09,2016,2016,March,March,1,13,0,9
2016-03-05 14:27:27,Nissan_Almera_1_6_SLC,privat,Offer,650,test,Other,2016,manuell,99,almera,125000,Mar,Gasoline,nissan,Other,2016-03-05 00:00:00,56307,2016-04-06 22:15:40,2016,2016,March,March,32,22,0,9
2016-03-11 13:56:50,Schrott_und_Ersatzteilgewinnung,privat,Offer,0,test,Other,1990,Unspecified,0,micra,100000,Jan,Other,nissan,Other,2016-03-11 00:00:00,18442,2016-03-12 18:44:15,2016,2016,March,March,1,18,26,11
2016-03-12 18:56:06,Micra_K11__TÜV_10/16,privat,Offer,580,test,Other,2016,manuell,60,Other,150000,Mar,Other,nissan,No,2016-03-12 00:00:00,27283,2016-03-12 18:56:06,2016,2016,March,March,0,18,0,9
2016-04-03 12:38:32,Nissan_Micra_k12_top,privat,Offer,2499,control,Other,2006,manuell,65,micra,5000,Jul,Other,nissan,Other,2016-04-03 00:00:00,12099,2016-04-07 14:57:00,2016,2016,April,April,4,14,10,5
2016-03-19 16:40:28,18_ZOLL_ORGINAL_FELGEN_MIT_REIFEN,privat,Offer,450,test,Other,2010,Unspecified,0,Other,40000,Jan,Other,nissan,Other,2016-03-19 00:00:00,96103,2016-03-24 11:45:06,2016,2016,March,March,5,11,6,11
2016-03-11 17:41:53,Nissan_Sunny_1.4_mit_Tuev,privat,Offer,590,control,Other,2016,manuell,0,andere,150000,Mar,Gasoline,nissan,No,2016-03-11 00:00:00,13409,2016-04-05 17:21:39,2016,2016,March,March,25,17,0,9
2016-03-08 13:51:32,Nissan_Micra,privat,Offer,159,control,Other,2000,Unspecified,0,micra,150000,Jan,Gasoline,nissan,Other,2016-03-08 00:00:00,72108,2016-04-05 19:18:18,2016,2016,March,March,28,19,16,11
