dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-19 19:38:54,Nissan_Micra_C+C_1.4,privat,Offer,3900,control,cabrio,2006,manuell,88,micra,125000,Mar,Gasoline,nissan,No,2016-03-19 00:00:00,26487,2016-04-07 06:46:43,2016,2016,March,March,19,6,10,9
2016-03-19 14:38:56,Nissan_350_Z_Roadster_Premium_Pack,privat,Offer,15500,test,cabrio,2006,manuell,300,andere,60000,Jul,Gasoline,nissan,No,2016-03-19 00:00:00,45699,2016-03-21 19:18:01,2016,2016,March,March,2,19,10,5
2016-03-07 15:52:02,Das_perfekte_Auto_zum_Weltfrauentag!,privat,Offer,3950,control,cabrio,2006,manuell,88,micra,125000,Apr,Gasoline,nissan,No,2016-03-07 00:00:00,48291,2016-03-12 19:46:57,2016,2016,March,March,5,19,10,8
2016-03-31 13:58:43,Nissan_100_NX_Targa_Rot_fuer_Bastler_oder_als_Teiletraeger_HU_04/16,privat,Offer,300,control,cabrio,1993,manuell,90,andere,150000,May,Gasoline,nissan,Yes,2016-03-31 00:00:00,46562,2016-04-06 06:44:57,2016,2016,March,March,6,6,23,7
2016-03-30 19:45:51,Nissan_350_Z_Roadster_Premium_Pack,privat,Offer,12000,test,cabrio,2006,manuell,300,andere,150000,Jun,Gasoline,nissan,No,2016-03-30 00:00:00,22962,2016-04-05 08:47:14,2016,2016,March,March,6,8,10,6
2016-04-01 18:52:30,Nissan_Micra_C+C_1.4,privat,Offer,3900,control,cabrio,2007,manuell,0,micra,125000,Aug,Gasoline,nissan,No,2016-04-01 00:00:00,24963,2016-04-05 14:47:05,2016,2016,April,April,4,14,9,4
2016-03-29 22:40:55,Nissan_Micra_C+C_1.4,privat,Offer,4999,test,cabrio,2008,manuell,88,micra,125000,Mar,Gasoline,nissan,No,2016-03-29 00:00:00,24937,2016-04-06 09:17:13,2016,2016,March,March,8,9,8,9
2016-03-19 09:45:47,Neu_TÜV____Nissan_100NX_Targa_Youngtimer_Originalzustand,privat,Offer,1900,test,cabrio,1993,manuell,90,andere,150000,Apr,Gasoline,nissan,No,2016-03-19 00:00:00,58553,2016-03-28 07:46:33,2016,2016,March,March,9,7,23,8
2016-03-14 11:50:45,Nissan_Micra_C+C_1.6_Premium,privat,Offer,4600,test,cabrio,2006,manuell,110,micra,125000,Apr,Gasoline,nissan,No,2016-03-14 00:00:00,22417,2016-04-07 14:56:30,2016,2016,March,March,24,14,10,8
2016-03-19 22:48:02,Nissan_Micra_C+C_1.4_Premium_karmen_Deseign_Top,privat,Offer,4240,test,cabrio,2006,manuell,88,micra,100000,Sep,Gasoline,nissan,No,2016-03-19 00:00:00,40764,2016-04-05 11:48:56,2016,2016,March,March,17,11,10,3
2016-03-31 21:51:37,Verkaufe_Nissan_MICRA_Cabrio_CC_1.6_Premium,privat,Offer,2500,test,cabrio,2006,manuell,110,micra,150000,Jun,Gasoline,nissan,No,2016-03-31 00:00:00,66955,2016-04-06 17:44:29,2016,2016,March,March,6,17,10,6
2016-03-08 19:59:03,Nissan_100NX__mit_LPG,privat,Offer,1000,test,cabrio,1991,manuell,90,andere,150000,Mar,Lpg,nissan,Other,2016-03-08 00:00:00,44866,2016-03-10 06:18:04,2016,2016,March,March,2,6,25,9
2016-03-28 22:54:45,Nissan_350_Z_Roadster_Premium_Pack,privat,Offer,14900,control,cabrio,2005,manuell,280,andere,60000,Mar,Gasoline,nissan,No,2016-03-28 00:00:00,88263,2016-04-05 12:45:44,2016,2016,March,March,8,12,11,9
2016-03-31 10:57:21,Nissan_Cabrio_TÜV_NEU!!!!,privat,Offer,3500,control,cabrio,2006,manuell,90,micra,125000,Nov,Gasoline,nissan,Other,2016-03-31 00:00:00,23556,2016-04-06 04:15:22,2016,2016,March,March,6,4,10,1
2016-03-31 17:55:06,Nissan_370_Z_Roadster,privat,Offer,20500,control,cabrio,2010,manuell,328,andere,40000,Jul,Gasoline,nissan,No,2016-03-31 00:00:00,93049,2016-04-02 13:18:47,2016,2016,March,March,2,13,6,5
2016-03-15 21:57:06,Nissan_100NX__mit_LPG,privat,Offer,1000,control,cabrio,1991,manuell,90,andere,150000,Mar,Lpg,nissan,Other,2016-03-15 00:00:00,44866,2016-03-17 18:48:14,2016,2016,March,March,2,18,25,9
2016-03-11 12:47:10,Nissan_100NX__mit_LPG,privat,Offer,1000,test,cabrio,1991,manuell,90,andere,150000,Mar,Lpg,nissan,Other,2016-03-11 00:00:00,44866,2016-03-15 02:45:27,2016,2016,March,March,4,2,25,9
2016-03-23 18:55:27,top_gepflegtes_Nissan_Micra_C+C_1.4_Cabrio_schwarz_88_PS,privat,Offer,3999,test,cabrio,2006,manuell,88,micra,150000,Mar,Gasoline,nissan,No,2016-03-23 00:00:00,27793,2016-04-05 23:45:51,2016,2016,March,March,13,23,10,9
