dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-06 18:49:03,Nissan_350_Z,privat,Offer,10200,control,coupe,2008,manuell,0,andere,90000,Jun,Gasoline,nissan,Other,2016-03-06 00:00:00,71131,2016-04-06 22:17:28,2016,2016,March,March,31,22,8,6
2016-03-30 19:44:25,Nissan_350_Z_Premium_Pack,privat,Offer,14700,test,coupe,2006,manuell,300,andere,125000,Apr,Gasoline,nissan,No,2016-03-30 00:00:00,82008,2016-04-07 11:15:56,2016,2016,March,March,8,11,10,8
2016-03-10 18:50:37,Nissan_almera_n16___hatchback_2_,privat,Offer,300,test,coupe,2002,manuell,90,almera,150000,Sep,Gasoline,nissan,Yes,2016-03-10 00:00:00,48465,2016-03-12 10:15:14,2016,2016,March,March,2,10,14,3
2016-04-03 09:55:11,NISSAN__100_NX,privat,Offer,890,control,coupe,1995,manuell,0,andere,125000,Oct,Gasoline,nissan,No,2016-04-03 00:00:00,66359,2016-04-07 10:45:47,2016,2016,April,April,4,10,21,2
2016-03-23 19:45:46,nissan_Pulsar,privat,Offer,2000,control,coupe,1988,manuell,75,andere,90000,Jan,Gasoline,nissan,Other,2016-03-23 00:00:00,54516,2016-04-06 00:45:54,2016,2016,March,March,14,0,28,11
2016-03-08 12:57:27,Nissan_350z_280ps,privat,Offer,9800,test,coupe,2004,manuell,280,andere,125000,Jun,Gasoline,nissan,Other,2016-03-08 00:00:00,49808,2016-03-27 19:16:53,2016,2016,March,March,19,19,12,6
2016-03-26 22:51:57,Tausche_350z_gegen_Mercedes_Cls_mit_zuzahlung.,privat,Offer,11000,test,coupe,2005,manuell,301,andere,150000,May,Gasoline,nissan,Other,2016-03-26 00:00:00,10829,2016-04-06 18:48:25,2016,2016,March,March,11,18,11,7
2016-03-14 20:53:15,Nissan_1000NX_Targa,privat,Offer,199,control,coupe,1991,manuell,90,andere,150000,Jul,Gasoline,nissan,Yes,2016-03-14 00:00:00,82418,2016-04-02 11:47:14,2016,2016,March,March,19,11,25,5
2016-03-08 02:37:14,Nissan_350_Z_35TH_ANNIVERSARY_EDITION_Nr.09__Nismo_V1_,privat,Offer,13750,control,coupe,2005,manuell,300,andere,80000,Sep,Gasoline,nissan,No,2016-03-08 00:00:00,90513,2016-03-10 18:45:04,2016,2016,March,March,2,18,11,3
2016-03-22 15:55:35,Nissan_Sunny_GTI,privat,Offer,1000,control,coupe,1988,manuell,110,andere,90000,Mar,Gasoline,nissan,No,2016-03-22 00:00:00,57627,2016-04-07 04:45:13,2016,2016,March,March,16,4,28,9
2016-03-10 19:51:09,Nissan_100_NX,privat,Offer,600,control,coupe,1993,manuell,90,andere,150000,Feb,Gasoline,nissan,No,2016-03-10 00:00:00,78120,2016-04-06 03:45:57,2016,2016,March,March,27,3,23,10
2016-03-13 23:43:50,Nissan_350z_Pack_Nismo_Einzelstueck_Top_Gepflegt,privat,Offer,16800,test,coupe,2007,manuell,300,andere,125000,Aug,Gasoline,nissan,No,2016-03-13 00:00:00,86150,2016-03-19 13:46:16,2016,2016,March,March,6,13,9,4
2016-03-12 16:46:50,Nissan_Sunny_SLX,privat,Offer,500,control,coupe,1990,automatik,90,andere,150000,Jun,Gasoline,nissan,No,2016-03-12 00:00:00,12685,2016-03-19 19:18:32,2016,2016,March,March,7,19,26,6
2016-03-12 18:46:33,Nissan_100NX,privat,Offer,800,test,coupe,1993,manuell,90,andere,150000,Apr,Gasoline,nissan,Yes,2016-03-12 00:00:00,26632,2016-04-07 12:17:21,2016,2016,March,March,26,12,23,8
