dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-23 11:57:36,"Nissan_Primera_1.8_P12_""_Prinz""LPG_TÜV_neu!!!",privat,Offer,2900,test,limousine,2002,manuell,116,primera,150000,Nov,Lpg,nissan,No,2016-03-23 00:00:00,58730,2016-04-01 16:46:42,2016,2016,March,March,9,16,14,1
2016-03-26 17:45:48,Nissan_Primera_1.6,privat,Offer,1400,control,limousine,1998,manuell,99,primera,125000,Mar,Gasoline,nissan,No,2016-03-26 00:00:00,32676,2016-04-06 06:17:28,2016,2016,March,March,11,6,18,9
2016-03-12 20:49:14,Nissan_Almera__klimaanlage_,privat,Offer,1200,test,limousine,1997,manuell,75,almera,90000,Mar,Gasoline,nissan,No,2016-03-12 00:00:00,67112,2016-04-05 14:18:39,2016,2016,March,March,24,14,19,9
2016-03-26 10:50:10,Garagenfund_Datsun_Nissan_Sunny_Limo_Oltimer_Seehr_Selten_!!!,privat,Offer,1350,test,limousine,1984,manuell,75,andere,100000,Mar,Gasoline,nissan,No,2016-03-26 00:00:00,26826,2016-04-06 11:15:25,2016,2016,March,March,11,11,32,9
2016-03-25 17:55:24,Nissan_Primera_P11__1_6__in_Tuerkis,privat,Offer,250,test,limousine,1999,manuell,104,Other,150000,Aug,Gasoline,nissan,Yes,2016-03-25 00:00:00,6237,2016-03-25 17:55:24,2016,2016,March,March,0,17,17,4
2016-03-19 16:49:01,Nissan_Micra_1.2_Season_gepflegt,privat,Offer,3999,test,limousine,2005,manuell,48,micra,30000,Aug,Gasoline,nissan,No,2016-03-19 00:00:00,91217,2016-04-07 02:45:37,2016,2016,March,March,19,2,11,4
2016-03-07 20:54:08,Nissan_Almera_1.5,privat,Offer,1400,test,limousine,2001,manuell,90,almera,150000,Sep,Gasoline,nissan,No,2016-03-07 00:00:00,80933,2016-04-05 17:45:31,2016,2016,March,March,29,17,15,3
2016-03-16 16:44:26,TOP_Angebot,privat,Offer,2300,control,limousine,2003,manuell,115,primera,125000,Nov,Gasoline,nissan,No,2016-03-16 00:00:00,3042,2016-03-30 06:45:43,2016,2016,March,March,14,6,13,1
2016-03-24 18:31:05,Nissan_Primera_1.8,privat,Offer,850,test,limousine,2000,manuell,114,primera,150000,Nov,Gasoline,nissan,No,2016-03-24 00:00:00,56575,2016-04-06 04:45:12,2016,2016,March,March,13,4,16,1
2016-03-28 18:41:49,Nissan_primera,privat,Offer,300,control,limousine,1996,manuell,66,primera,10000,Mar,Gasoline,nissan,Other,2016-03-28 00:00:00,10315,2016-04-04 21:47:03,2016,2016,March,March,7,21,20,9
2016-03-30 08:36:20,Nissan_primera,privat,Offer,100,control,limousine,1999,manuell,130,primera,150000,Apr,Other,nissan,Yes,2016-03-30 00:00:00,6712,2016-04-06 22:45:12,2016,2016,March,March,7,22,17,8
2016-03-14 20:51:42,Nissan_Primera_1.6_mit_TÜV_Steuerkette_Nissan_Primera_5_Klima,privat,Offer,1150,control,limousine,2001,manuell,0,primera,150000,Oct,Gasoline,nissan,No,2016-03-14 00:00:00,27580,2016-03-21 13:47:23,2016,2016,March,March,7,13,15,2
2016-03-23 19:58:14,Nissan_Qashqai_1.6_I_Way_Start/Stop,privat,Offer,11600,control,limousine,2011,manuell,117,qashqai,125000,Nov,Gasoline,nissan,No,2016-03-23 00:00:00,53332,2016-03-31 08:47:07,2016,2016,March,March,8,8,5,1
2016-03-28 14:52:47,Nissan_Primera_1__6_mit_KLIMA__gruene_Plakete_ohne_TÜV,privat,Offer,300,test,limousine,1995,manuell,0,primera,150000,Jan,Gasoline,nissan,Yes,2016-03-28 00:00:00,6366,2016-03-28 14:52:47,2016,2016,March,March,0,14,21,11
2016-04-03 22:48:58,Primera_P11_Bj.1998_als_Ersazteile,privat,Offer,350,control,limousine,1998,Unspecified,0,primera,150000,Jan,Gasoline,nissan,Yes,2016-04-03 00:00:00,17111,2016-04-03 22:48:58,2016,2016,April,April,0,22,18,11
2016-03-11 09:48:02,Nissan_Almera_1.8,privat,Offer,2999,control,limousine,2001,automatik,114,almera,70000,Aug,Gasoline,nissan,No,2016-03-11 00:00:00,22041,2016-03-14 21:44:53,2016,2016,March,March,3,21,15,4
2016-03-31 09:55:07,nissan_primera,privat,Offer,650,control,limousine,1995,manuell,90,primera,150000,Jan,Gasoline,nissan,Yes,2016-03-31 00:00:00,18106,2016-04-06 03:17:24,2016,2016,March,March,6,3,21,11
2016-03-17 21:46:07,Nissan_Primera_2.0_TÜV_10/17,privat,Offer,3199,test,limousine,2004,manuell,140,primera,125000,Feb,Gasoline,nissan,No,2016-03-17 00:00:00,95100,2016-03-30 19:47:09,2016,2016,March,March,13,19,12,10
2016-03-26 16:51:19,Nissan_Almera_1.5_dci,privat,Offer,0,control,limousine,2003,manuell,85,almera,150000,Nov,Diesel,nissan,No,2016-03-26 00:00:00,92681,2016-03-26 16:51:19,2016,2016,March,March,0,16,13,1
2016-03-19 08:54:40,Nissan_Almera_1.5_visia,privat,Offer,2004,test,limousine,2004,manuell,98,almera,150000,May,Gasoline,nissan,No,2016-03-19 00:00:00,45279,2016-04-06 07:17:36,2016,2016,March,March,18,7,12,7
2016-04-01 11:37:42,Nissan_Qashqai_2.0_I_Way_inkl._AHK__Rueckfahrkamera_u._v._m.,privat,Offer,11490,test,limousine,2011,manuell,141,qashqai,90000,Mar,Gasoline,nissan,No,2016-04-01 00:00:00,25764,2016-04-07 07:45:54,2016,2016,April,April,6,7,5,9
2016-03-25 21:52:21,Nissan_Qashqai_1.6_visia,privat,Offer,11500,test,limousine,2011,manuell,117,qashqai,60000,May,Gasoline,nissan,No,2016-03-25 00:00:00,87700,2016-04-07 05:45:15,2016,2016,March,March,13,5,5,7
2016-03-17 18:50:34,Nissan_Primera_Klimaautomatik,privat,Offer,1750,control,limousine,2002,manuell,113,primera,150000,Apr,Gasoline,nissan,No,2016-03-17 00:00:00,17109,2016-03-23 08:15:30,2016,2016,March,March,6,8,14,8
2016-03-29 11:47:26,Nissan_Almera_1.5_dCi__Dieselpumpe_defekt!_,privat,Offer,600,test,limousine,2004,manuell,82,almera,150000,Aug,Diesel,nissan,Yes,2016-03-29 00:00:00,13469,2016-04-05 20:47:14,2016,2016,March,March,7,20,12,4
2016-03-23 17:56:39,Nissan_Qashqai_1.6_acenta,privat,Offer,8200,control,limousine,2007,manuell,114,qashqai,100000,Mar,Gasoline,nissan,No,2016-03-23 00:00:00,28832,2016-03-31 05:44:31,2016,2016,March,March,8,5,9,9
2016-03-24 18:58:26,Nissan_Almera_1.8,privat,Offer,1199,test,limousine,2000,manuell,114,almera,150000,Aug,Gasoline,nissan,No,2016-03-24 00:00:00,57567,2016-03-25 16:40:02,2016,2016,March,March,1,16,16,4
2016-03-28 00:58:20,Nissan_Almera_1.4_Motion,privat,Offer,1500,control,limousine,1998,manuell,75,almera,100000,Aug,Gasoline,nissan,No,2016-03-27 00:00:00,44534,2016-04-06 08:16:37,2016,2016,March,March,10,8,18,4
2016-03-25 16:56:31,Nissan_almera_07_17_TÜV_Klima_angemeldet,privat,Offer,990,control,limousine,2000,manuell,90,almera,150000,Jul,Gasoline,nissan,No,2016-03-25 00:00:00,13629,2016-04-06 22:45:01,2016,2016,March,March,12,22,16,5
