dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-21 12:57:01,Nissan_Navara_2.5DPF_SE4x4_Klima_Sitzheizg_Bluetooth.Doppelkabine,privat,Offer,17999,control,suv,2011,manuell,190,navara,70000,Mar,Diesel,nissan,No,2016-03-21 00:00:00,4177,2016-04-06 07:45:42,2016,2016,March,March,16,7,5,9
2016-03-29 21:51:19,Nissan_Terrano_II_2.4,privat,Offer,1250,test,suv,1998,manuell,116,andere,125000,Jul,Gasoline,nissan,No,2016-03-29 00:00:00,63607,2016-04-06 08:45:21,2016,2016,March,March,8,8,18,5
2016-03-09 21:52:45,Nissan_Pick_Up_4WD_King_Cab,privat,Offer,4000,test,suv,1999,manuell,120,andere,150000,Feb,Gasoline,nissan,No,2016-03-09 00:00:00,99439,2016-04-06 00:15:48,2016,2016,March,March,28,0,17,10
2016-03-31 12:50:50,NISSAN_X_Trail_graumetallic__2007_116.000_Km_Glasschiebedach,privat,Offer,11999,test,suv,2007,manuell,150,x_trail,125000,Jul,Diesel,nissan,No,2016-03-31 00:00:00,41844,2016-04-06 05:17:54,2016,2016,March,March,6,5,9,5
2016-03-17 16:52:48,Nissan_Qashqai_/_TÜV_03.18_/_Panorama_/_Navi,privat,Offer,11500,test,suv,2009,manuell,114,qashqai,80000,Mar,Gasoline,nissan,No,2016-03-17 00:00:00,42853,2016-03-23 05:20:46,2016,2016,March,March,6,5,7,9
2016-03-15 08:36:44,Nissan_Xtrail_2.2dci_4x4_136ps_mj_2004,privat,Offer,3400,test,suv,2003,manuell,136,x_trail,150000,Nov,Diesel,nissan,Other,2016-03-15 00:00:00,42279,2016-03-15 09:38:54,2016,2016,March,March,0,9,13,1
2016-04-02 10:54:22,Nissan_King_Cab_2.5D_4x4_Oldtimer_1Hand_Tuev_09/2017,privat,Offer,4900,test,suv,1985,manuell,72,andere,70000,Sep,Diesel,nissan,No,2016-04-02 00:00:00,96237,2016-04-04 08:18:30,2016,2016,April,April,2,8,31,3
2016-03-25 22:37:38,Nissan_X_Trail_1.6_dCi_ALL_MODE_4x4i_360,privat,Offer,25000,control,suv,2015,manuell,131,x_trail,20000,Apr,Diesel,nissan,No,2016-03-25 00:00:00,37269,2016-04-05 12:44:49,2016,2016,March,March,11,12,1,8
2016-03-31 15:38:03,Nissan_Navara_Comfort,privat,Offer,7900,control,suv,2005,manuell,174,navara,150000,Nov,Diesel,nissan,No,2016-03-31 00:00:00,33397,2016-03-31 15:38:03,2016,2016,March,March,0,15,11,1
2016-03-22 12:57:00,Nissan_Terrano_II_Freestyle,privat,Offer,950,control,suv,1995,manuell,124,andere,150000,Mar,Gasoline,nissan,No,2016-03-22 00:00:00,66539,2016-03-22 13:42:17,2016,2016,March,March,0,13,21,9
