dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 22:06:17,Suche_Opel_corsa_a_zu_verschenken,privat,Offer,0,test,Other,1990,Unspecified,0,corsa,150000,Jan,Gasoline,opel,Other,2016-03-26 00:00:00,56412,2016-03-27 17:43:34,2016,2016,March,March,1,17,26,11
2016-03-17 18:52:56,Opel_Astra_F_Cabrio,privat,Offer,150,control,Other,2016,manuell,75,astra,150000,Mar,Gasoline,opel,Yes,2016-03-17 00:00:00,78315,2016-04-05 03:45:22,2016,2016,March,March,19,3,0,9
2016-04-02 18:42:54,Astra_cabrio,privat,Offer,1299,control,Other,2016,manuell,75,astra,150000,May,Other,opel,No,2016-04-02 00:00:00,59425,2016-04-02 18:42:54,2016,2016,April,April,0,18,0,7
2016-03-14 21:37:15,Opel_Corsa_SWING___JOY_Benziner_mit_Erdgas_Anlage,privat,Offer,150,test,Other,2016,manuell,0,corsa,150000,May,Other,opel,Yes,2016-03-14 00:00:00,39118,2016-03-19 11:15:53,2016,2016,March,March,5,11,0,7
2016-03-24 04:03:27,Privat_Anbieter,privat,Offer,1000,control,Other,2016,Unspecified,0,astra,150000,Mar,Gasoline,opel,Other,2016-03-24 00:00:00,44147,2016-03-27 03:46:20,2016,2016,March,March,3,3,0,9
2016-04-01 17:25:28,Zafira_2_2_DTI_OPC_Edition,privat,Offer,3500,control,Other,2005,Unspecified,125,zafira,30000,Jan,Diesel,opel,Other,2016-04-01 00:00:00,35789,2016-04-03 12:13:00,2016,2016,April,April,2,12,11,11
2016-03-28 11:56:25,Opel_Astra_G_1.6l,privat,Offer,0,control,Other,2000,Unspecified,0,astra,5000,Jan,Gasoline,opel,Other,2016-03-28 00:00:00,47169,2016-04-06 15:15:39,2016,2016,March,March,9,15,16,11
2016-04-02 19:47:06,Astra_H_Caravan_an_Bastler,privat,Offer,2500,control,Other,2005,manuell,80,astra,150000,Feb,Diesel,opel,Other,2016-04-02 00:00:00,26802,2016-04-06 20:15:40,2016,2016,April,April,4,20,11,10
2016-03-14 16:25:18,Opel_Vectra_B,privat,Offer,200,test,Other,2016,manuell,75,vectra,150000,Jan,Other,opel,Yes,2016-03-14 00:00:00,56220,2016-03-14 16:38:16,2016,2016,March,March,0,16,0,11
2016-03-09 00:59:38,Opel_corsa_1.4_mit_TÜV,privat,Offer,250,test,Other,1997,automatik,60,corsa,150000,Jun,Gasoline,opel,No,2016-03-08 00:00:00,22337,2016-03-28 22:17:47,2016,2016,March,March,20,22,19,6
2016-03-13 12:07:15,Opel_Meriva,privat,Offer,2500,control,Other,2016,Unspecified,0,meriva,125000,Jan,Gasoline,opel,Other,2016-03-13 00:00:00,56566,2016-03-22 11:18:09,2016,2016,March,March,9,11,0,11
2016-04-03 14:45:08,Opel_astra,privat,Offer,700,test,Other,2000,manuell,0,astra,150000,Jan,Other,opel,Other,2016-04-03 00:00:00,46117,2016-04-05 13:44:43,2016,2016,April,April,2,13,16,11
2016-03-24 11:36:24,Opel_Corsa_C_1_0_Enjoy,privat,Offer,1300,test,Other,2016,manuell,58,Other,150000,Sep,Gasoline,opel,Other,2016-03-24 00:00:00,27749,2016-04-07 03:16:48,2016,2016,March,March,14,3,0,3
2016-03-25 14:39:33,!!!!!!!!!!!!!!_Suche_Opel_Astra_G_!!!!!!!!!!!!!!!!!!!!!!!!!!!,privat,Offer,1,control,Other,2000,Unspecified,0,astra,150000,Jan,Other,opel,Other,2016-03-25 00:00:00,24601,2016-03-27 00:44:31,2016,2016,March,March,2,0,16,11
2016-03-31 16:47:53,opel_vectra_b,privat,Offer,1000,control,Other,2000,manuell,101,vectra,150000,Jul,Gasoline,opel,Other,2016-03-31 00:00:00,26188,2016-04-06 10:15:49,2016,2016,March,March,6,10,16,5
2016-04-04 21:53:33,Opel_Astra_Innovation_1.4,privat,Offer,0,test,Other,2009,manuell,0,astra,125000,Jan,Gasoline,opel,No,2016-04-04 00:00:00,32049,2016-04-04 21:53:33,2016,2016,April,April,0,21,7,11
2016-03-31 08:52:15,Opel_Calibra_2_5_XE_Motor,privat,Offer,150,control,Other,1995,manuell,170,calibra,150000,Jan,Other,opel,Other,2016-03-31 00:00:00,72379,2016-04-06 01:46:40,2016,2016,March,March,6,1,21,11
2016-03-15 19:44:27,Suche_auto,privat,Offer,1500,control,Other,2000,Unspecified,0,Other,150000,Jan,Other,opel,Other,2016-03-15 00:00:00,30629,2016-03-17 15:44:44,2016,2016,March,March,2,15,16,11
2016-04-01 13:56:19,Opel_Corsa_b,privat,Offer,850,test,Other,2016,manuell,45,Other,150000,Jan,Gasoline,opel,Other,2016-04-01 00:00:00,26871,2016-04-01 13:56:19,2016,2016,April,April,0,13,0,11
