dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-11 11:50:37,Opel_Kadett_E_CC,privat,Offer,1600,control,andere,1991,manuell,75,kadett,70000,Jan,Other,opel,Other,2016-03-11 00:00:00,2943,2016-04-07 03:46:09,2016,2016,March,March,27,3,25,11
2016-03-21 14:41:49,Opel_combo_1.7_D,privat,Offer,450,control,andere,1996,manuell,0,combo,150000,Jan,Diesel,opel,Other,2016-03-21 00:00:00,63594,2016-03-21 14:41:49,2016,2016,March,March,0,14,20,11
2016-03-19 13:49:50,Opel_Zafira_A_1.6_16V_Comfort_T98__Starsilber__101_PS,privat,Offer,1600,test,andere,2001,manuell,101,zafira,150000,Aug,Gasoline,opel,No,2016-03-19 00:00:00,36419,2016-03-19 13:49:50,2016,2016,March,March,0,13,15,4
2016-04-04 13:25:44,opel_combo_in_bestzustand,privat,Offer,4500,test,andere,2012,manuell,90,combo,150000,Jan,Diesel,opel,Yes,2016-04-04 00:00:00,63263,2016-04-05 12:16:01,2016,2016,April,April,1,12,4,11
2016-03-09 10:54:28,Opel_Vivaro_Kastenwagen_LKW_Zulassung,privat,Offer,7850,control,andere,2007,manuell,114,vivaro,125000,Feb,Diesel,opel,No,2016-03-09 00:00:00,45699,2016-03-28 06:17:47,2016,2016,March,March,19,6,9,10
2016-03-05 14:49:54,ZAFIRA_A_2_0_DTI___OPC_Line__,privat,Offer,4300,control,andere,2005,manuell,101,zafira,150000,Mar,Diesel,opel,No,2016-03-05 00:00:00,48157,2016-03-24 17:44:52,2016,2016,March,March,19,17,11,9
2016-04-02 00:52:38,Opel_astra_g_cc,privat,Offer,500,test,andere,1999,manuell,75,astra,150000,Feb,Gasoline,opel,Yes,2016-04-01 00:00:00,34260,2016-04-06 05:16:04,2016,2016,April,April,5,5,17,10
2016-03-16 18:43:47,Opel_Zafira_facelift_Diesel_7_sitzer_gruene_plakette_euro_3,privat,Offer,1950,control,andere,2003,manuell,101,Other,5000,Aug,Diesel,opel,Other,2016-03-16 00:00:00,45770,2016-03-17 16:47:59,2016,2016,March,March,1,16,13,4
2016-03-26 15:00:10,Feuerwehr_Oplel_Blitz_zum_Ausschlachten_oder...,privat,Offer,190,control,andere,1961,manuell,82,andere,50000,Mar,Gasoline,opel,Yes,2016-03-26 00:00:00,84140,2016-04-06 02:46:35,2016,2016,March,March,11,2,55,9
2016-03-10 20:55:19,Opel_Combo_1_7_CDTI__TÜV,privat,Offer,899,test,andere,2006,manuell,101,Other,150000,Jan,Diesel,opel,Yes,2016-03-10 00:00:00,98527,2016-03-15 18:46:15,2016,2016,March,March,5,18,10,11
2016-03-15 12:55:51,Verkaufe_im_Auftrag_einen_Opel_Combo_1_4,privat,Offer,1600,control,andere,1998,manuell,60,combo,125000,Apr,Gasoline,opel,No,2016-03-15 00:00:00,29439,2016-03-29 15:44:53,2016,2016,March,March,14,15,18,8
2016-03-28 08:55:26,Opel_Astra_1.6_Twinport__guter_Zustand,privat,Offer,4800,test,andere,2006,manuell,105,astra,90000,Oct,Gasoline,opel,Other,2016-03-28 00:00:00,14469,2016-03-28 08:55:26,2016,2016,March,March,0,8,10,2
2016-04-03 00:58:00,Gut_erhaltener_Hunde_Faenger,privat,Offer,1300,control,andere,1996,manuell,60,combo,150000,Mar,Other,opel,Other,2016-04-02 00:00:00,16225,2016-04-07 09:15:46,2016,2016,April,April,5,9,20,9
2016-03-28 21:57:27,Opel_Vectra_B_2.5_V6,privat,Offer,1650,control,andere,1999,manuell,170,vectra,150000,May,Gasoline,opel,No,2016-03-28 00:00:00,32423,2016-04-01 08:15:40,2016,2016,March,March,4,8,17,7
2016-03-29 11:48:08,Opel_combo_B_Tour_1_4L_D3_Steuer_94._Tuev._3/17.,privat,Offer,999,test,andere,1999,manuell,60,combo,150000,Oct,Gasoline,opel,No,2016-03-29 00:00:00,31139,2016-04-05 20:47:37,2016,2016,March,March,7,20,17,2
2016-03-26 21:53:51,Opel_Combo__1_7l_Diesel__mit_LKW_Zulassung_und_SV__TÜV_/AU_12/16,privat,Offer,699,control,andere,2001,manuell,60,combo,150000,Mar,Diesel,opel,No,2016-03-26 00:00:00,6464,2016-03-30 02:15:43,2016,2016,March,March,4,2,15,9
2016-03-24 09:51:33,Opel_Combo_C_zu_verkaufen,privat,Offer,999,test,andere,2003,manuell,0,combo,150000,Sep,Gasoline,opel,Yes,2016-03-24 00:00:00,65520,2016-03-24 10:06:16,2016,2016,March,March,0,10,13,3
2016-03-27 10:47:08,Opel__2002,privat,Offer,1450,control,andere,2002,manuell,0,Other,10000,Jan,Diesel,opel,Yes,2016-03-27 00:00:00,51065,2016-03-28 23:16:06,2016,2016,March,March,1,23,14,11
2016-04-06 08:06:34,Opel_Combo,privat,Offer,1200,test,andere,2009,manuell,75,combo,150000,Oct,Diesel,opel,No,2016-04-06 00:00:00,65197,2016-04-06 09:06:17,2016,2016,April,April,0,9,7,2
2016-03-17 18:55:26,Opel_Combo_1.7_D,privat,Offer,680,control,andere,2000,manuell,60,combo,150000,Mar,Diesel,opel,Other,2016-03-17 00:00:00,2943,2016-03-19 19:15:58,2016,2016,March,March,2,19,16,9
2016-03-20 11:25:24,Lekste_preis_heute,privat,Offer,250,control,andere,1998,Unspecified,0,Other,150000,Jan,Other,opel,Other,2016-03-20 00:00:00,55116,2016-03-20 17:44:49,2016,2016,March,March,0,17,18,11
2016-03-20 14:44:45,Opel_Zafira_2.0_DTI_Elegance,privat,Offer,1000,test,andere,2000,automatik,101,Other,150000,Oct,Diesel,opel,Yes,2016-03-20 00:00:00,32457,2016-04-06 17:16:43,2016,2016,March,March,17,17,16,2
2016-03-21 19:55:48,Opel_Signum_2_2_direct_Sport,privat,Offer,3500,test,andere,2004,manuell,155,signum,150000,Jan,Other,opel,No,2016-03-21 00:00:00,92637,2016-03-21 19:55:48,2016,2016,March,March,0,19,12,11
2016-03-31 08:56:05,Renntransporter/_WoMo_/_Camper_Opel_Vivaro_L1H2_T4/_T5/_T3_Trafic,privat,Offer,7350,control,andere,2005,manuell,82,vivaro,125000,Jan,Diesel,opel,No,2016-03-31 00:00:00,90530,2016-04-06 02:45:04,2016,2016,March,March,6,2,11,11
2016-03-12 18:55:21,Opel_Campo_4*4,privat,Offer,4490,test,andere,2002,manuell,100,andere,80000,Jan,Diesel,opel,Yes,2016-03-12 00:00:00,91126,2016-03-30 20:45:13,2016,2016,March,March,18,20,14,11
2016-03-19 02:42:23,Opel_vectra,privat,Offer,450,test,andere,1997,manuell,101,astra,60000,Jan,Gasoline,opel,Other,2016-03-18 00:00:00,1069,2016-04-06 02:15:28,2016,2016,March,March,19,2,19,11
2016-04-04 18:39:48,wenig_gelaufen__/_2_Hand_!!!,privat,Offer,1999,test,andere,2001,manuell,101,astra,80000,Jan,Gasoline,opel,No,2016-04-04 00:00:00,18107,2016-04-06 20:44:31,2016,2016,April,April,2,20,15,11
2016-03-15 03:02:59,Opel_corsa_mit_tuev_bastler_fahrzeug_export_mit_diverse_Ersatzteil,privat,Offer,375,test,andere,2001,manuell,40,corsa,150000,Jan,Gasoline,opel,Yes,2016-03-15 00:00:00,48599,2016-03-29 08:45:31,2016,2016,March,March,14,8,15,11
2016-04-01 17:56:16,Opel_Astra_Coupe_1_8_Bertone_mit__Tuev_bis_02_2017,privat,Offer,1400,test,andere,2001,manuell,116,astra,150000,Sep,Gasoline,opel,No,2016-04-01 00:00:00,21035,2016-04-05 13:44:57,2016,2016,April,April,4,13,15,3
2016-03-18 10:37:19,Opel_Astra_F_C_C_1_6i,privat,Offer,599,control,andere,1996,manuell,71,astra,150000,Jun,Gasoline,opel,Yes,2016-03-18 00:00:00,32257,2016-03-22 10:45:03,2016,2016,March,March,4,10,20,6
2016-03-28 08:58:14,Opel_Astra_H_Twinport,privat,Offer,5790,test,andere,2007,manuell,105,astra,150000,Jun,Gasoline,opel,No,2016-03-28 00:00:00,26632,2016-04-06 11:46:57,2016,2016,March,March,9,11,9,6
2016-03-20 21:48:48,Motor_Getriebe_und_Kupplung_ganz_gut,privat,Offer,359,test,andere,1998,manuell,101,astra,150000,Nov,Gasoline,opel,Other,2016-03-20 00:00:00,4720,2016-03-20 21:48:48,2016,2016,March,March,0,21,18,1
2016-03-28 22:25:40,Opel_astra,privat,Offer,1500,test,andere,1999,manuell,101,astra,150000,Nov,Gasoline,opel,Other,2016-03-28 00:00:00,65599,2016-04-07 07:45:16,2016,2016,March,March,10,7,17,1
2016-03-09 20:41:38,Opel_Kadett_combo,privat,Offer,500,test,andere,1993,Unspecified,0,kadett,150000,Nov,Gasoline,opel,Other,2016-03-09 00:00:00,6217,2016-03-11 17:17:32,2016,2016,March,March,2,17,23,1
2016-04-05 10:36:17,opel_vectra_nur_111000km_nur_heute_300_so_wie_er_da_steh,privat,Offer,200,control,andere,1997,automatik,138,vectra,125000,Jan,Gasoline,opel,Other,2016-04-05 00:00:00,26969,2016-04-07 13:16:13,2016,2016,April,April,2,13,19,11
2016-03-28 17:48:32,Opel_Blitz_Feuerwehr_LF8_Wohnmobil,privat,Offer,2400,test,andere,1973,manuell,80,andere,40000,Feb,Gasoline,opel,Other,2016-03-28 00:00:00,21614,2016-03-30 09:17:37,2016,2016,March,March,2,9,43,10
2016-03-29 20:55:34,Opel_Astra_F_CC__5_tuer._Schraegheck_Lim._Yongtimer_ab_2017,privat,Offer,0,test,andere,1992,manuell,60,astra,125000,Sep,Gasoline,opel,No,2016-03-29 00:00:00,83278,2016-04-06 07:17:22,2016,2016,March,March,8,7,24,3
2016-03-07 18:53:42,OLDTIMER_OPEL_KADETT_B_SCHRÄGHECKLIMOSINE_ZUM_RESTAURIEREN,privat,Offer,1600,control,andere,1969,manuell,60,kadett,100000,Jan,Gasoline,opel,No,2016-03-07 00:00:00,34289,2016-04-07 05:45:30,2016,2016,March,March,31,5,47,11
2016-03-14 16:25:20,Opel_Astra_g_cc,privat,Offer,800,test,andere,2001,manuell,101,astra,150000,Jun,Gasoline,opel,No,2016-03-14 00:00:00,65795,2016-04-06 04:15:31,2016,2016,March,March,23,4,15,6
2016-03-31 21:46:15,Opel_movano_Hoch+Lang_aus_1.Besitz_mit_Klimaanlage,privat,Offer,3700,test,andere,2004,manuell,0,andere,150000,Feb,Diesel,opel,No,2016-03-31 00:00:00,12355,2016-03-31 21:46:15,2016,2016,March,March,0,21,12,10
2016-03-11 16:39:56,Manta_A_Baujahr_1974,privat,Offer,8000,test,andere,1974,manuell,0,Other,90000,Mar,Gasoline,opel,No,2016-03-11 00:00:00,21365,2016-04-05 14:17:34,2016,2016,March,March,25,14,42,9
