dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 15:47:58,Opel_Astra_Twin_Top_2.0_Turbo,privat,Offer,8599,test,cabrio,2006,manuell,200,astra,125000,Sep,Gasoline,opel,No,2016-03-26 00:00:00,79761,2016-04-06 04:15:35,2016,2016,March,March,11,4,10,3
2016-04-05 10:54:41,opel_astra_f_cabriolet,privat,Offer,999,control,cabrio,1994,manuell,115,astra,150000,Mar,Gasoline,opel,No,2016-04-05 00:00:00,56070,2016-04-05 12:26:18,2016,2016,April,April,0,12,22,9
2016-03-15 13:58:27,Opel_Astra_G_Cabrio,privat,Offer,2750,control,cabrio,2001,manuell,147,astra,150000,Sep,Gasoline,opel,Other,2016-03-15 00:00:00,44359,2016-04-06 04:45:01,2016,2016,March,March,22,4,15,3
2016-03-16 16:49:59,Opel_Astra_H_Twin_Top_Edition*Euro_4*Tuev_03/2017,privat,Offer,6300,control,cabrio,2007,manuell,140,astra,60000,Jun,Gasoline,opel,No,2016-03-16 00:00:00,31787,2016-03-20 16:19:32,2016,2016,March,March,4,16,9,6
2016-03-10 22:51:31,Astra_G_TURBO_Coupe_z20let_Leder_Xenon_Tuning_OPC,privat,Offer,3500,control,cabrio,2003,manuell,192,astra,150000,Jan,Gasoline,opel,No,2016-03-10 00:00:00,29562,2016-04-07 10:45:01,2016,2016,March,March,28,10,13,11
2016-03-27 11:37:47,Opel_Tigra_Twin_Top_1.4__Enjoy_,privat,Offer,3590,test,cabrio,2005,manuell,90,tigra,125000,May,Gasoline,opel,No,2016-03-27 00:00:00,97956,2016-03-28 23:46:09,2016,2016,March,March,1,23,11,7
2016-03-14 21:54:05,Opel_Tigra_Twin_Top_1.4_Edition,privat,Offer,6800,test,cabrio,2010,manuell,90,tigra,80000,Jan,Gasoline,opel,No,2016-03-14 00:00:00,86916,2016-04-06 17:15:42,2016,2016,March,March,23,17,6,11
2016-03-14 11:53:56,Opel_Kadett_Cabrio,privat,Offer,0,test,cabrio,1991,manuell,75,kadett,125000,Jan,Gasoline,opel,Other,2016-03-14 00:00:00,98631,2016-04-07 14:57:21,2016,2016,March,March,24,14,25,11
2016-03-09 08:25:24,Opel_Tigra_Twin_Top_1.4_Cosmo,privat,Offer,3666,test,cabrio,2005,manuell,90,tigra,150000,Apr,Gasoline,opel,No,2016-03-09 00:00:00,55481,2016-04-06 05:46:20,2016,2016,March,March,28,5,11,8
2016-03-19 09:55:11,Opel_Astra_G_Cabrio_1.6_l_TÜV_NEU__Bertone_Linea_Rosso_Tuning,privat,Offer,3699,test,cabrio,2004,manuell,101,astra,125000,Nov,Gasoline,opel,Other,2016-03-19 00:00:00,73635,2016-03-20 11:48:58,2016,2016,March,March,1,11,12,1
2016-03-19 02:42:28,Opel_Kadett_E_Cabrio__Youngtimer_mit_Tuev,privat,Offer,1100,test,cabrio,1991,manuell,75,kadett,150000,May,Gasoline,opel,No,2016-03-18 00:00:00,27336,2016-04-06 02:15:30,2016,2016,March,March,19,2,25,7
2016-03-12 11:49:16,Opel_Astra_Cabrio,privat,Offer,999,test,cabrio,1995,manuell,0,astra,125000,Apr,Gasoline,opel,No,2016-03-12 00:00:00,88441,2016-04-06 05:44:58,2016,2016,March,March,25,5,21,8
2016-03-20 10:48:18,Opel_Astra_Twin_Top_1.8_Cosmo,privat,Offer,6950,control,cabrio,2007,manuell,140,astra,100000,Mar,Gasoline,opel,No,2016-03-20 00:00:00,29389,2016-04-06 07:17:05,2016,2016,March,March,17,7,9,9
2016-03-19 21:47:56,Opel_Astra_Twin_Top_1.9_CDTI_Cosmo,privat,Offer,6150,control,cabrio,2007,manuell,150,astra,150000,Oct,Diesel,opel,No,2016-03-19 00:00:00,45307,2016-04-07 12:17:12,2016,2016,March,March,19,12,9,2
2016-03-28 21:38:34,Opel_Tigra_Twin_Top_1.8_Cosmo,privat,Offer,5000,control,cabrio,2005,manuell,125,tigra,125000,Jan,Gasoline,opel,No,2016-03-28 00:00:00,6485,2016-04-07 04:15:48,2016,2016,March,March,10,4,11,11
2016-04-05 00:52:19,Opel_Astra_Cabrio_1.8,privat,Offer,1300,control,cabrio,2002,manuell,125,astra,150000,Feb,Gasoline,opel,Yes,2016-04-04 00:00:00,78606,2016-04-07 10:15:22,2016,2016,April,April,3,10,14,10
2016-04-04 22:56:16,OPEL_ASTRA_1_6_Cabrio,privat,Offer,3900,test,cabrio,2002,manuell,101,astra,125000,Jun,Gasoline,opel,No,2016-04-04 00:00:00,48703,2016-04-07 01:46:11,2016,2016,April,April,3,1,14,6
2016-03-22 10:41:54,Opet_Tigra_TwinTop_1.8,privat,Offer,4300,control,cabrio,2006,manuell,125,tigra,150000,Jan,Gasoline,opel,No,2016-03-22 00:00:00,73527,2016-04-05 21:48:14,2016,2016,March,March,14,21,10,11
2016-04-02 22:39:18,Opel_Astra_Twin_Top_1.8_Cabrio,privat,Offer,5100,test,cabrio,2006,manuell,140,astra,150000,Jun,Gasoline,opel,No,2016-04-02 00:00:00,33609,2016-04-06 23:44:36,2016,2016,April,April,4,23,10,6
2016-03-25 11:51:14,Opel_Tigra_Twin_Top_1.4,privat,Offer,4500,test,cabrio,2005,manuell,90,tigra,80000,Jul,Gasoline,opel,No,2016-03-25 00:00:00,57072,2016-04-06 12:44:56,2016,2016,March,March,12,12,11,5
2016-03-07 13:39:15,Opel_Tigra_Twintop__mit_Leder/Alcantaraausstattung_und_WR_auf_Alu,privat,Offer,0,control,cabrio,2005,automatik,90,tigra,125000,Mar,Gasoline,opel,No,2016-03-07 00:00:00,44805,2016-03-19 07:15:19,2016,2016,March,March,12,7,11,9
2016-03-12 17:57:17,Opel_Astra_Cabrio_1.6i,privat,Offer,999,test,cabrio,1998,manuell,75,astra,150000,Mar,Gasoline,opel,No,2016-03-12 00:00:00,49661,2016-03-19 21:19:40,2016,2016,March,March,7,21,18,9
2016-03-29 18:25:23,Opel_Tigra_Twin_Top_Cabrio_ELK_Fenster_Elk_Verdeck_Sparsam,privat,Offer,2299,test,cabrio,2004,manuell,0,tigra,150000,Nov,Gasoline,opel,No,2016-03-29 00:00:00,65183,2016-04-06 06:45:02,2016,2016,March,March,8,6,12,1
