dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-01 11:56:40,Opel_astra_g_coupe_1.8_liter_benziner,privat,Offer,1200,test,coupe,2001,Unspecified,0,astra,150000,Jan,Other,opel,Other,2016-04-01 00:00:00,47249,2016-04-07 08:46:07,2016,2016,April,April,6,8,15,11
2016-03-17 18:38:57,Opel_COMFORT_1_6_coupe,privat,Offer,950,control,coupe,1998,manuell,75,astra,150000,Jul,Gasoline,opel,Other,2016-03-17 00:00:00,73431,2016-04-07 05:16:11,2016,2016,March,March,21,5,18,5
2016-04-02 23:51:26,Corsa_TÜV_Juli_2016,privat,Offer,180,test,coupe,1997,manuell,55,corsa,125000,Apr,Gasoline,opel,No,2016-04-02 00:00:00,71522,2016-04-07 06:16:57,2016,2016,April,April,5,6,19,8
2016-03-23 19:00:20,Opel_Astra_2.0_16V_Turbo_Coupe,privat,Offer,6999,test,coupe,2001,manuell,265,astra,150000,Apr,Gasoline,opel,No,2016-03-23 00:00:00,29664,2016-04-05 23:45:59,2016,2016,March,March,13,23,15,8
2016-03-15 12:50:56,Opel_Astra_1.8_16V_Coupe,privat,Offer,1800,test,coupe,2001,manuell,116,astra,125000,Mar,Gasoline,opel,No,2016-03-15 00:00:00,60433,2016-03-23 12:47:26,2016,2016,March,March,8,12,15,9
2016-03-05 17:42:34,hallo_top_Zustand,privat,Offer,700,test,coupe,2000,manuell,116,astra,150000,Nov,Gasoline,opel,Other,2016-03-05 00:00:00,85445,2016-03-12 00:46:48,2016,2016,March,March,7,0,16,1
2016-04-02 21:49:00,Opel_Astra_GTC__BJ_2007__8_fach_bereift__NAVI,privat,Offer,5200,test,coupe,2007,manuell,105,astra,125000,Aug,Gasoline,opel,No,2016-04-02 00:00:00,86633,2016-04-06 22:45:00,2016,2016,April,April,4,22,9,4
2016-03-22 10:37:20,opel_astra_1.8L_sehr_zuverlaessig,privat,Offer,2200,control,coupe,2004,manuell,0,astra,150000,Nov,Other,opel,No,2016-03-22 00:00:00,67065,2016-04-05 23:16:58,2016,2016,March,March,14,23,12,1
2016-03-30 19:48:56,Astra_g_Coupe,privat,Offer,690,test,coupe,2002,manuell,125,astra,150000,Aug,Gasoline,opel,Other,2016-03-30 00:00:00,26340,2016-04-01 14:46:19,2016,2016,March,March,2,14,14,4
2016-03-26 14:51:37,Opel_Astra_1_8_16V_G_Coupe__Frontschaden,privat,Offer,750,control,coupe,2000,manuell,115,astra,150000,Mar,Gasoline,opel,Yes,2016-03-26 00:00:00,59302,2016-04-02 04:47:12,2016,2016,March,March,7,4,16,9
