dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-03 03:57:26,Opel_Corsa_TÜV_bis_Ende_2016,privat,Offer,350,test,kleinwagen,1998,Unspecified,0,corsa,150000,Feb,Gasoline,opel,Other,2016-04-03 00:00:00,82110,2016-04-03 08:53:37,2016,2016,April,April,0,8,18,10
2016-03-26 19:37:55,Opel_Corsa_1.0_TÜV_bis_01/17,privat,Offer,300,control,kleinwagen,2000,manuell,54,corsa,150000,Jan,Gasoline,opel,Other,2016-03-26 00:00:00,59379,2016-04-06 09:15:51,2016,2016,March,March,11,9,16,11
2016-03-23 19:54:35,Opel_Corsa_MIT_TÜV__Geringer_Verbrauch__ALUFELGEN_!!!,privat,Offer,500,control,kleinwagen,1999,manuell,56,corsa,150000,Aug,Gasoline,opel,No,2016-03-23 00:00:00,32756,2016-03-23 19:54:35,2016,2016,March,March,0,19,17,4
2016-04-03 09:53:39,Opel_Corsa_B_1.2_TÜV_11/16_Webasto_Standheizung,privat,Offer,500,control,kleinwagen,1996,manuell,45,corsa,70000,Apr,Gasoline,opel,Other,2016-04-03 00:00:00,8496,2016-04-07 11:17:28,2016,2016,April,April,4,11,20,8
2016-03-28 12:38:16,Opel_Corsa_Grand_Slam,privat,Offer,500,test,kleinwagen,1995,manuell,45,corsa,150000,May,Gasoline,opel,No,2016-03-28 00:00:00,85748,2016-03-30 02:46:26,2016,2016,March,March,2,2,21,7
2016-03-09 01:38:20,Opel_corsa_b_tuev_3.2018,privat,Offer,650,control,kleinwagen,1997,manuell,45,corsa,150000,Jan,Gasoline,opel,No,2016-03-08 00:00:00,48683,2016-03-12 13:45:24,2016,2016,March,March,4,13,19,11
2016-03-30 18:58:27,Opel_Corsa_B___________AHK,privat,Offer,444,test,kleinwagen,1995,manuell,45,corsa,150000,Jan,Gasoline,opel,No,2016-03-30 00:00:00,58452,2016-04-01 13:45:31,2016,2016,March,March,2,13,21,11
2016-04-03 16:06:23,Opel_Corsa_1.2_16V_Comfort_Tuev/AU_neu,privat,Offer,1690,test,kleinwagen,2001,manuell,75,corsa,150000,Oct,Gasoline,opel,No,2016-04-03 00:00:00,63263,2016-04-06 22:46:14,2016,2016,April,April,3,22,15,2
2016-03-21 21:46:45,Opel_Corsa_1.2_16V___2_HAND__KLIMA__8_FACH_TÜV_NEU!!!,privat,Offer,2238,control,kleinwagen,2003,manuell,75,corsa,125000,May,Gasoline,opel,No,2016-03-21 00:00:00,1067,2016-03-24 11:46:38,2016,2016,March,March,3,11,13,7
2016-03-10 11:57:04,Opel_Corsa_City,privat,Offer,1099,test,kleinwagen,1995,manuell,45,corsa,30000,Oct,Gasoline,opel,No,2016-03-10 00:00:00,15732,2016-03-22 00:46:44,2016,2016,March,March,12,0,21,2
2016-03-22 11:52:30,Opel_Corsa_C_1_2_in_Top_Zustand,privat,Offer,2700,control,kleinwagen,2003,manuell,75,corsa,125000,Feb,Gasoline,opel,No,2016-03-22 00:00:00,34369,2016-04-06 00:46:36,2016,2016,March,March,15,0,13,10
2016-03-07 23:37:38,Opel_Corsa_1.3_CDTI,privat,Offer,800,test,kleinwagen,2005,manuell,70,corsa,150000,Nov,Diesel,opel,Yes,2016-03-07 00:00:00,34414,2016-03-27 10:46:00,2016,2016,March,March,20,10,11,1
2016-03-20 13:56:12,Opel_Corsa_1.3_CDTI_Style,privat,Offer,2400,test,kleinwagen,2004,manuell,69,corsa,150000,Oct,Diesel,opel,No,2016-03-20 00:00:00,96271,2016-03-28 12:47:17,2016,2016,March,March,8,12,12,2
2016-03-23 10:41:50,Opel_Corsa_1.3_CDTI_5Tuerer__Klimaanlage,privat,Offer,1650,control,kleinwagen,2006,manuell,69,corsa,150000,Apr,Diesel,opel,No,2016-03-23 00:00:00,42853,2016-03-30 18:47:25,2016,2016,March,March,7,18,10,8
2016-03-19 10:51:07,diesel_sparbuechse_corsa_c,privat,Offer,1850,test,kleinwagen,2002,manuell,75,corsa,100000,May,Diesel,opel,No,2016-03-19 00:00:00,12355,2016-03-26 20:47:17,2016,2016,March,March,7,20,14,7
