dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-17 07:56:40,Opel_signum_1.9_cdti,privat,Offer,4700,control,kombi,2005,manuell,0,signum,150000,Jan,Other,opel,No,2016-03-17 00:00:00,88433,2016-04-04 04:17:32,2016,2016,March,March,18,4,11,11
2016-03-26 10:39:35,auto_opel_astra,privat,Offer,550,test,kombi,1999,manuell,0,astra,150000,Aug,Diesel,opel,Yes,2016-03-26 00:00:00,56759,2016-04-01 23:17:27,2016,2016,March,March,6,23,17,4
2016-03-22 18:47:21,Opel_Insignia_2.0_CDTI_Sports_Tourer_Edition,privat,Offer,9500,control,kombi,2011,manuell,131,insignia,150000,Nov,Diesel,opel,No,2016-03-22 00:00:00,31832,2016-04-02 13:15:39,2016,2016,March,March,11,13,5,1
2016-03-30 20:41:10,Opel_Astra_1.7_CDTI_Caravan_DPF_Catch_me_now,privat,Offer,3200,control,kombi,2008,manuell,110,astra,150000,May,Diesel,opel,No,2016-03-30 00:00:00,47495,2016-04-05 09:52:46,2016,2016,March,March,6,9,8,7
2016-03-15 09:38:21,Opel_Astra_Kombi_mit_Anhaengerkupplung,privat,Offer,2000,control,kombi,1998,manuell,115,astra,150000,Nov,Gasoline,opel,No,2016-03-15 00:00:00,86859,2016-04-05 17:21:46,2016,2016,March,March,21,17,18,1
2016-03-25 11:49:12,Opel_Omega_mit_Hagelschaden,privat,Offer,650,test,kombi,2000,manuell,144,omega,150000,Apr,Gasoline,opel,Yes,2016-03-25 00:00:00,72820,2016-04-06 12:44:35,2016,2016,March,March,12,12,16,8
2016-03-05 15:58:27,OPEL_Vectra_B_Kombi_2.0_DTI_mit_AHK,privat,Offer,890,control,kombi,2002,manuell,101,vectra,150000,Apr,Diesel,opel,Other,2016-03-05 00:00:00,82054,2016-03-12 21:17:43,2016,2016,March,March,7,21,14,8
2016-04-03 18:06:22,Opel_Astra_G_Caravan__Edition_100__Silber_Metallic.,privat,Offer,1600,test,kombi,1999,manuell,75,astra,150000,Mar,Gasoline,opel,No,2016-04-03 00:00:00,65474,2016-04-07 02:17:02,2016,2016,April,April,4,2,17,9
2016-03-05 14:29:10,Opel_Insignia_Sportstourer,privat,Offer,11500,test,kombi,2015,automatik,160,insignia,150000,May,Diesel,opel,No,2016-03-05 00:00:00,57632,2016-03-05 16:42:28,2016,2016,March,March,0,16,1,7
2016-03-23 00:55:47,Opel_Vectra_B,privat,Offer,2250,test,kombi,2001,automatik,147,vectra,150000,Nov,Gasoline,opel,No,2016-03-22 00:00:00,22399,2016-04-07 05:45:04,2016,2016,March,March,16,5,15,1
