dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-02 23:25:25,Senator_A2__3_0E__180PS__CD_Ausstattung.,privat,Offer,1222,control,limousine,1984,automatik,180,andere,150000,Mar,Gasoline,opel,Other,2016-04-02 00:00:00,57290,2016-04-06 14:44:57,2016,2016,April,April,4,14,32,9
2016-03-23 12:54:52,Motorschaden_steuerrichmen_gerissen,privat,Offer,400,control,limousine,2000,manuell,144,omega,150000,Oct,Other,opel,Yes,2016-03-23 00:00:00,45968,2016-04-05 12:45:13,2016,2016,March,March,13,12,16,2
2016-03-24 15:38:18,Opel_Astra_J_Design_Edition_1.7_CDTI_ecoflex,privat,Offer,11000,test,limousine,2012,manuell,131,astra,70000,Mar,Diesel,opel,No,2016-03-24 00:00:00,34613,2016-04-05 11:56:32,2016,2016,March,March,12,11,4,9
2016-03-07 10:49:21,Opel_Vectra_Edition_2000_klimaautomatic_Standheizung___gepflegt,privat,Offer,650,test,limousine,2002,manuell,101,vectra,150000,Jan,Gasoline,opel,No,2016-03-07 00:00:00,16816,2016-03-07 10:49:21,2016,2016,March,March,0,10,14,11
2016-03-29 23:55:12,Opel_corsa_Topp_mit_1_Jahr_tuev,privat,Offer,590,control,limousine,1996,manuell,0,corsa,150000,Jan,Other,opel,Other,2016-03-29 00:00:00,32052,2016-04-06 21:18:19,2016,2016,March,March,8,21,20,11
2016-03-10 17:47:26,Astra_G__neu_TÜV,privat,Offer,1699,control,limousine,1999,Unspecified,75,astra,150000,Nov,Gasoline,opel,Other,2016-03-10 00:00:00,26817,2016-03-16 06:17:06,2016,2016,March,March,6,6,17,1
2016-03-20 14:56:34,Opel_Astra_H_TÜV_neu,privat,Offer,2650,test,limousine,2004,manuell,125,astra,150000,Jun,Gasoline,opel,No,2016-03-20 00:00:00,96528,2016-03-20 14:56:34,2016,2016,March,March,0,14,12,6
2016-03-25 15:51:40,Opel_Vectra_2.2_DTI,privat,Offer,1750,test,limousine,2002,manuell,125,vectra,150000,Apr,Diesel,opel,No,2016-03-25 00:00:00,73431,2016-04-06 20:16:15,2016,2016,March,March,12,20,14,8
2016-03-20 04:36:43,Opel_Vectra_2_2_GTS_Tuev_12/2017,privat,Offer,3600,control,limousine,2003,manuell,147,vectra,125000,Apr,Gasoline,opel,No,2016-03-20 00:00:00,90439,2016-03-25 06:45:16,2016,2016,March,March,5,6,13,8
2016-03-27 19:52:13,Opel_Vectra_1_6,privat,Offer,1500,control,limousine,1998,automatik,101,vectra,150000,Aug,Gasoline,opel,No,2016-03-27 00:00:00,44809,2016-03-31 01:45:53,2016,2016,March,March,4,1,18,4
