dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-02 09:50:44,Opel_Frontera_2.2_16V,privat,Offer,1698,control,suv,1997,manuell,136,andere,150000,Nov,Gasoline,opel,No,2016-04-02 00:00:00,30938,2016-04-04 07:17:41,2016,2016,April,April,2,7,19,1
2016-03-30 21:46:22,Top_geflegter__Opel__Meriva_Edition__mit_Anhaengerzugvorichtung,privat,Offer,9700,test,suv,2011,manuell,101,meriva,30000,Sep,Gasoline,opel,Other,2016-03-30 00:00:00,26506,2016-04-05 11:50:23,2016,2016,March,March,6,11,5,3
2016-03-05 14:53:25,Opel_Mokka_1.6_CDTI_Automatik_Innovation,privat,Offer,23300,control,suv,2015,automatik,136,andere,30000,Jul,Diesel,opel,No,2016-03-05 00:00:00,56335,2016-04-06 22:17:32,2016,2016,March,March,32,22,1,5
2016-03-07 22:50:30,Opel_Frontera_2.2_DTI_Sport_OFFROAD_UMBAU,privat,Offer,5199,control,suv,2003,manuell,116,andere,150000,May,Diesel,opel,No,2016-03-07 00:00:00,35394,2016-03-30 22:17:10,2016,2016,March,March,23,22,13,7
2016-03-20 13:26:13,Opel_Antara__guter_Zustand_Diesel_Automatik_Service_neu.,privat,Offer,8650,test,suv,2007,automatik,0,antara,125000,Jul,Diesel,opel,No,2016-03-20 00:00:00,56422,2016-04-06 21:47:01,2016,2016,March,March,17,21,9,5
2016-03-10 02:36:26,Opel_Antara_2.0_CDTI_Automatik_4x4*__Vollausstattung,privat,Offer,10599,control,suv,2009,automatik,150,antara,150000,May,Diesel,opel,No,2016-03-10 00:00:00,29683,2016-04-06 04:44:51,2016,2016,March,March,27,4,7,7
2016-03-09 14:58:11,Opel_Campo_Pick_Up_4x4_TDS_Sportscab,privat,Offer,3980,test,suv,2001,manuell,109,andere,150000,Mar,Diesel,opel,No,2016-03-09 00:00:00,53489,2016-03-09 14:58:11,2016,2016,March,March,0,14,15,9
2016-03-30 17:50:57,Opel_Mokka_1.7_CDTI_Automatik_Innovation,privat,Offer,18500,control,suv,2014,automatik,131,andere,70000,Mar,Diesel,opel,No,2016-03-30 00:00:00,84533,2016-04-07 08:45:45,2016,2016,March,March,8,8,2,9
2016-03-24 12:37:22,Opel_Mokka_1.4_Turbo_INNOVATION_ecoFLEX_4x4_..,privat,Offer,19350,test,suv,2014,manuell,140,andere,30000,Feb,Gasoline,opel,No,2016-03-24 00:00:00,46145,2016-04-01 06:18:02,2016,2016,March,March,8,6,2,10
2016-03-22 14:57:38,Verkaufe_Opel_Antara_2.0_CDTI_4X4_top_zustand_kei._Kratzer_Silber,privat,Offer,10300,control,suv,2008,manuell,150,antara,100000,Jul,Diesel,opel,No,2016-03-22 00:00:00,1920,2016-04-02 06:44:58,2016,2016,March,March,11,6,8,5
2016-03-14 15:51:34,Opel_Mokka_1.4_Turbo_Automatik,privat,Offer,21500,control,suv,2014,automatik,140,andere,30000,Nov,Gasoline,opel,Yes,2016-03-14 00:00:00,14476,2016-03-31 02:46:40,2016,2016,March,March,17,2,2,1
2016-03-09 21:38:31,Opel_Frontera_2.2_16V,privat,Offer,2499,test,suv,1995,manuell,136,andere,150000,Oct,Gasoline,opel,No,2016-03-09 00:00:00,97282,2016-04-05 20:46:10,2016,2016,March,March,27,20,21,2
2016-03-17 21:39:44,Opel_Frontera_B,privat,Offer,1700,test,suv,2000,manuell,205,andere,150000,Oct,Lpg,opel,Yes,2016-03-17 00:00:00,52477,2016-03-17 21:39:44,2016,2016,March,March,0,21,16,2
2016-03-22 21:47:53,Opel_Zafira_2_Jahre_Tuev_+_AHK,privat,Offer,1600,control,suv,2000,manuell,0,zafira,150000,Jan,Gasoline,opel,No,2016-03-22 00:00:00,48165,2016-04-06 16:45:04,2016,2016,March,March,15,16,16,11
2016-04-04 17:45:53,Opel_Mokka_1.6_ecoFLEX_Start/Stop_Edition,privat,Offer,15500,test,suv,2013,manuell,116,andere,40000,Mar,Gasoline,opel,No,2016-04-04 00:00:00,69181,2016-04-06 19:45:17,2016,2016,April,April,2,19,3,9
2016-03-13 18:42:03,Opel_Frontera,privat,Offer,0,test,suv,2004,manuell,0,andere,125000,Jan,Diesel,opel,Yes,2016-03-13 00:00:00,39343,2016-03-13 18:42:03,2016,2016,March,March,0,18,12,11
2016-04-03 12:44:27,Opel_Antara_2.0_CDTI_Automatik_4x4_Cosmo,privat,Offer,9150,control,suv,2008,automatik,150,antara,125000,Jan,Diesel,opel,No,2016-04-03 00:00:00,89081,2016-04-07 14:57:18,2016,2016,April,April,4,14,8,11
2016-03-15 19:49:07,Opel_Antara_2.0_CDTI_4x4_Cosmo,privat,Offer,7800,control,suv,2007,manuell,150,antara,125000,Mar,Diesel,opel,No,2016-03-15 00:00:00,67067,2016-03-27 06:18:12,2016,2016,March,March,12,6,9,9
2016-03-10 12:38:58,Opel_Frontera_A_2.2i_16V,privat,Offer,1500,test,suv,1996,manuell,136,andere,150000,Oct,Gasoline,opel,No,2016-03-10 00:00:00,9328,2016-03-23 06:47:39,2016,2016,March,March,13,6,20,2
2016-04-02 07:55:30,Opel_frontera_tuev_112017,privat,Offer,1899,test,suv,1994,manuell,114,Other,150000,Jan,Other,opel,No,2016-04-02 00:00:00,99734,2016-04-04 06:20:49,2016,2016,April,April,2,6,22,11
2016-04-04 12:54:24,Opel_Frontera_2_2_16V_LPG,privat,Offer,0,control,suv,1997,manuell,136,Other,150000,Jan,Lpg,opel,Yes,2016-04-04 00:00:00,74575,2016-04-06 14:16:19,2016,2016,April,April,2,14,19,11
2016-03-06 16:37:00,OPEL_Fontera_B_Klima;_AHK;_Automatik,privat,Offer,3100,test,suv,2001,automatik,110,andere,150000,Sep,Diesel,opel,Yes,2016-03-06 00:00:00,19230,2016-03-11 10:17:51,2016,2016,March,March,5,10,15,3
2016-03-11 11:49:16,Opel_Frontera_2.0i_Sport,privat,Offer,2450,control,suv,1993,manuell,116,andere,150000,Apr,Gasoline,opel,No,2016-03-11 00:00:00,49163,2016-03-30 13:17:18,2016,2016,March,March,19,13,23,8
2016-03-08 16:48:33,Opel_frontera_tuev_62017,privat,Offer,1999,test,suv,1996,manuell,114,andere,150000,Jan,Gasoline,opel,No,2016-03-08 00:00:00,99734,2016-03-11 16:47:05,2016,2016,March,March,3,16,20,11
2016-03-26 09:50:41,Opel_Mokka_1.4_Turbo_ecoFLEX_Start/Stop_4x4_Edition,privat,Offer,19500,control,suv,2014,manuell,140,andere,20000,Aug,Gasoline,opel,No,2016-03-26 00:00:00,1237,2016-04-05 20:44:47,2016,2016,March,March,10,20,2,4
2016-03-07 13:48:10,Opel_Mokka_1.4_Turbo_ecoFLEX_Start/Stop_4x4_Edition,privat,Offer,18700,control,suv,2013,manuell,140,andere,10000,Apr,Gasoline,opel,No,2016-03-07 00:00:00,36041,2016-03-07 17:48:03,2016,2016,March,March,0,17,3,8
2016-03-17 09:38:32,Opel_Antara_2.0_CDTI_4x4_Cosmo_2._Hd,privat,Offer,8990,test,suv,2007,manuell,150,antara,150000,Oct,Diesel,opel,Other,2016-03-17 00:00:00,30900,2016-04-06 07:44:21,2016,2016,March,March,20,7,9,2
2016-03-23 13:25:20,OPEL_Frontera_B_2_2_Sport,privat,Offer,1950,test,suv,2000,manuell,136,andere,150000,May,Gasoline,opel,No,2016-03-23 00:00:00,56281,2016-03-24 16:17:28,2016,2016,March,March,1,16,16,7
2016-03-09 18:41:27,Opel_Monterey_3.0_Diesel,privat,Offer,3299,test,suv,1999,manuell,160,andere,125000,Apr,Diesel,opel,No,2016-03-09 00:00:00,74722,2016-03-23 11:18:24,2016,2016,March,March,14,11,17,8
2016-03-29 13:58:54,Verkaufe_Opel_Frontera,privat,Offer,5000,control,suv,2002,manuell,136,andere,150000,Feb,Gasoline,opel,No,2016-03-29 00:00:00,1189,2016-04-05 23:47:14,2016,2016,March,March,7,23,14,10
2016-03-08 16:56:24,Opel_Monterey_RS_mit_LKW_Zulassung,privat,Offer,1450,test,suv,1993,manuell,115,andere,150000,Mar,Diesel,opel,Other,2016-03-08 00:00:00,1968,2016-03-12 15:45:06,2016,2016,March,March,4,15,23,9
2016-03-30 21:50:18,Opel_Opel_Frontera_2.2_DTI_Sport_Edition_2000_KLIMA,privat,Offer,2499,test,suv,2000,manuell,116,andere,150000,Jul,Diesel,opel,No,2016-03-30 00:00:00,39261,2016-04-05 12:20:21,2016,2016,March,March,6,12,16,5
2016-03-09 08:36:24,Opel_Frontera_2.3_TD_LKW_ZUlassung,privat,Offer,850,test,suv,1993,manuell,101,andere,150000,Nov,Diesel,opel,Yes,2016-03-09 00:00:00,34266,2016-04-03 12:26:27,2016,2016,March,March,25,12,23,1
2016-03-23 10:54:50,Opel_Frontera_3.2_Sport_RS,privat,Offer,3000,control,suv,2002,manuell,205,andere,150000,Mar,Gasoline,opel,No,2016-03-23 00:00:00,66386,2016-03-23 10:54:50,2016,2016,March,March,0,10,14,9
2016-03-30 09:50:46,Opel_Zafira_2.0_tdi_mit_gruene_tiket,privat,Offer,1500,control,suv,1999,manuell,0,zafira,150000,Jan,Diesel,opel,Other,2016-03-30 00:00:00,73431,2016-03-30 10:40:13,2016,2016,March,March,0,10,17,11
2016-04-04 12:39:10,Opel_Mokka_1.6_CDTI_4x4_Full_Options,privat,Offer,25000,control,suv,2015,manuell,136,andere,40000,Jun,Diesel,opel,No,2016-04-04 00:00:00,54332,2016-04-06 13:44:20,2016,2016,April,April,2,13,1,6
2016-03-08 03:02:29,Opel_Mokka_1.4_Turbo_ecoFLEX_Start/Stop_Innovation,privat,Offer,23333,control,suv,2014,manuell,140,andere,20000,Feb,Gasoline,opel,No,2016-03-08 00:00:00,45329,2016-04-05 23:17:56,2016,2016,March,March,28,23,2,10
2016-03-09 10:50:22,Opel_Mokka_1.7_CDTI_ecoFLEX_Start/Stop_4x4,privat,Offer,18800,control,suv,2013,manuell,131,andere,30000,Jun,Diesel,opel,No,2016-03-09 00:00:00,56072,2016-04-06 19:18:01,2016,2016,March,March,28,19,3,6
2016-03-11 13:54:54,Opel_Atara_suv_Prinz_gasanlage,privat,Offer,9300,test,suv,2007,automatik,227,antara,125000,Mar,Lpg,opel,No,2016-03-11 00:00:00,21147,2016-04-07 09:45:58,2016,2016,March,March,27,9,9,9
2016-04-02 19:51:24,Opel_Frontera_Sport_lang__2.3_Diesel,privat,Offer,850,control,suv,1994,manuell,102,andere,150000,Jun,Diesel,opel,Yes,2016-04-02 00:00:00,74722,2016-04-06 20:17:15,2016,2016,April,April,4,20,22,6
2016-03-19 22:44:53,opel_frontera_a_2_4l_cih,privat,Offer,1199,test,suv,1994,manuell,125,andere,150000,Jan,Gasoline,opel,No,2016-03-19 00:00:00,93453,2016-04-07 12:17:39,2016,2016,March,March,19,12,22,11
2016-03-15 18:45:44,Frontera_Sport,privat,Offer,550,control,suv,1993,manuell,115,Other,150000,Jan,Gasoline,opel,Other,2016-03-15 00:00:00,7330,2016-03-28 15:16:26,2016,2016,March,March,13,15,23,11
2016-03-26 15:38:38,Opel_Frontera_2.2_16V_!!!MOTORSCHADEN!!!,privat,Offer,600,test,suv,1996,manuell,136,andere,150000,Nov,Gasoline,opel,Yes,2016-03-26 00:00:00,45307,2016-03-29 17:46:52,2016,2016,March,March,3,17,20,1
2016-03-29 09:56:56,Opel_Vivaro_Tranporter_2_9_t_Langversion_L2_H1__im_super_Zustand,privat,Offer,4990,test,suv,2004,manuell,101,vivaro,150000,Mar,Diesel,opel,No,2016-03-29 00:00:00,92637,2016-04-03 09:36:41,2016,2016,March,March,5,9,12,9
2016-04-01 14:52:13,OPEL_Frontera_LPG_Gasanlage,privat,Offer,2800,test,suv,1998,manuell,136,andere,150000,Nov,Other,opel,No,2016-04-01 00:00:00,67434,2016-04-07 12:16:04,2016,2016,April,April,6,12,18,1
2016-03-07 11:53:29,Frontera_A_Sport__Euro_2_,privat,Offer,0,test,suv,1993,manuell,115,andere,150000,Jan,Gasoline,opel,Other,2016-03-07 00:00:00,45259,2016-03-07 19:46:39,2016,2016,March,March,0,19,23,11
2016-03-15 19:49:24,Opel_Mokka_1.7_CDTI_ecoFLEX_Start/Stop_Innovation,privat,Offer,18800,control,suv,2014,manuell,131,andere,30000,Nov,Diesel,opel,No,2016-03-15 00:00:00,45529,2016-04-07 00:17:23,2016,2016,March,March,23,0,2,1
2016-03-10 18:52:11,Opel_Mokka_1.7_CDTI_ecoFLEX_Start/Stop_Edition,privat,Offer,16450,test,suv,2013,manuell,131,andere,30000,May,Diesel,opel,No,2016-03-10 00:00:00,46519,2016-04-02 02:18:01,2016,2016,March,March,23,2,3,7
2016-03-24 23:53:39,Opel_Antara_2.0_CDTI_4x4_Edition_Tempomat,privat,Offer,8350,test,suv,2007,manuell,150,antara,150000,Nov,Diesel,opel,No,2016-03-24 00:00:00,25813,2016-04-06 04:46:53,2016,2016,March,March,13,4,9,1
2016-03-16 09:36:20,Frontera_B_2_2_DTI,privat,Offer,1900,test,suv,2000,manuell,116,andere,150000,Apr,Diesel,opel,Other,2016-03-16 00:00:00,95485,2016-03-19 06:45:48,2016,2016,March,March,3,6,16,8
2016-03-05 14:38:54,Opel_Antara_2.0_CDTI_4x4_Cosmo,privat,Offer,11480,control,suv,2010,manuell,150,antara,100000,Nov,Diesel,opel,No,2016-03-05 00:00:00,90587,2016-04-07 12:47:14,2016,2016,March,March,33,12,6,1
2016-03-25 23:56:45,Opel_frontera_B_Facelift_4.2dti,privat,Offer,0,control,suv,2002,manuell,120,Other,150000,Jan,Diesel,opel,Other,2016-03-25 00:00:00,31185,2016-03-25 23:56:45,2016,2016,March,March,0,23,14,11
2016-03-30 20:52:58,Opel_Mokka_1.6_CDTI_Automatik_Color_Innovation,privat,Offer,19900,control,suv,2015,automatik,136,andere,10000,Jun,Diesel,opel,No,2016-03-30 00:00:00,59073,2016-04-01 15:48:07,2016,2016,March,March,2,15,1,6
