dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-22 12:55:10,Peugeot_806_HDi_je_parle_francais_la_110,privat,Offer,2200,control,bus,2000,manuell,0,andere,150000,Mar,Diesel,peugeot,No,2016-03-22 00:00:00,54296,2016-03-26 13:46:26,2016,2016,March,March,4,13,16,9
2016-03-25 11:49:52,Peugeot_807_HDi_2.2,privat,Offer,1500,test,bus,2005,manuell,128,andere,150000,Aug,Diesel,peugeot,Yes,2016-03-25 00:00:00,63584,2016-03-25 11:49:52,2016,2016,March,March,0,11,11,4
2016-03-31 13:53:15,Peugeot_Expert_1_9_TD_verglast_ex__PKW_mit_LKW_Zulassung,privat,Offer,1000,control,bus,1997,manuell,90,andere,150000,Jan,Diesel,peugeot,Yes,2016-03-31 00:00:00,66740,2016-04-06 07:15:52,2016,2016,March,March,6,7,19,11
2016-03-07 15:56:00,Peugeot_807_HDi_130_Platinum_Pullmann,privat,Offer,2890,control,bus,2003,manuell,128,andere,150000,May,Diesel,peugeot,No,2016-03-07 00:00:00,78628,2016-03-29 06:15:24,2016,2016,March,March,22,6,13,7
2016-03-12 18:53:50,Peugeot_5008_155_THP_Premium,privat,Offer,9900,test,bus,2010,manuell,156,5_reihe,100000,Mar,Gasoline,peugeot,No,2016-03-12 00:00:00,67227,2016-03-30 20:45:04,2016,2016,March,March,18,20,6,9
2016-03-27 11:55:08,Peugeot_806_Klima,privat,Offer,299,test,bus,1999,manuell,132,andere,150000,Feb,Diesel,peugeot,Yes,2016-03-27 00:00:00,56377,2016-03-30 13:15:33,2016,2016,March,March,3,13,17,10
2016-03-15 13:38:02,Peugeot_806_Roland_Garros_2_1_DT,privat,Offer,1600,control,bus,1999,manuell,0,andere,150000,Jun,Diesel,peugeot,Other,2016-03-15 00:00:00,82362,2016-04-06 02:15:21,2016,2016,March,March,22,2,17,6
2016-03-05 22:57:33,peugeot_partner_van,privat,Offer,1490,control,bus,2000,manuell,90,andere,125000,Nov,Gasoline,peugeot,Other,2016-03-05 00:00:00,48167,2016-04-06 00:46:14,2016,2016,March,March,32,0,16,1
2016-03-31 22:40:43,Peugeot_807_160_Tendance_HU_NEU,privat,Offer,2900,test,bus,2003,manuell,158,andere,150000,Mar,Gasoline,peugeot,No,2016-03-31 00:00:00,10409,2016-04-02 18:44:40,2016,2016,March,March,2,18,13,9
2016-03-23 18:25:18,Peugeot_806_Klima_ACHTUNG_BITTE_LESEN,privat,Offer,350,test,bus,1999,manuell,132,andere,150000,Feb,Gasoline,peugeot,Yes,2016-03-23 00:00:00,56377,2016-03-23 19:07:15,2016,2016,March,March,0,19,17,10
2016-03-05 14:09:46,Peugeot_Boxer_HDi_333_L3H2,privat,Offer,8500,test,bus,2011,manuell,120,andere,150000,Nov,Diesel,peugeot,No,2016-03-03 00:00:00,65817,2016-04-01 06:17:05,2016,2016,March,March,29,6,5,1
2016-03-21 09:54:56,Peugeot_806,privat,Offer,1100,control,bus,2000,automatik,136,andere,150000,Nov,Gasoline,peugeot,Yes,2016-03-21 00:00:00,82291,2016-04-06 02:45:27,2016,2016,March,March,16,2,16,1
2016-03-12 17:54:07,Peugeot_Boxer_2.2_HDI,privat,Offer,4300,test,bus,2006,manuell,120,Other,150000,Jan,Diesel,peugeot,Other,2016-03-12 00:00:00,81371,2016-03-17 21:15:44,2016,2016,March,March,5,21,10,11
2016-03-29 11:48:16,Guenstig_zum_Verkauf,privat,Offer,800,test,bus,1998,manuell,117,andere,150000,Sep,Diesel,peugeot,Other,2016-03-29 00:00:00,27721,2016-04-05 20:47:37,2016,2016,March,March,7,20,18,3
2016-03-21 14:53:27,Peugeot_806__8_Sitzer,privat,Offer,1199,control,bus,1998,manuell,132,andere,150000,Oct,Gasoline,peugeot,Yes,2016-03-21 00:00:00,21493,2016-03-21 14:53:27,2016,2016,March,March,0,14,18,2
2016-03-05 16:51:09,Peugeot_Partner_170_C_60_Tuev_10/2017_Lkw_Zul.,privat,Offer,1250,control,bus,1999,manuell,60,andere,150000,Oct,Gasoline,peugeot,No,2016-03-05 00:00:00,46459,2016-03-07 12:15:25,2016,2016,March,March,2,12,17,2
2016-04-04 15:57:41,Peugeot_Partner_1.6_e_HDi_90_L2_FAP_Stop&Start_Komfo...,privat,Offer,12900,test,bus,2013,manuell,90,andere,30000,Aug,Diesel,peugeot,No,2016-04-04 00:00:00,89584,2016-04-06 17:45:04,2016,2016,April,April,2,17,3,4
