dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-01 20:48:51,Peugeot_206_CC_110_Platinum,privat,Offer,2200,test,cabrio,2004,manuell,109,2_reihe,150000,Aug,Gasoline,peugeot,No,2016-04-01 00:00:00,67112,2016-04-05 18:18:39,2016,2016,April,April,4,18,12,4
2016-03-05 14:25:18,PEUGEOT_306_Cabriolet_1_6_Saint_Tropez,privat,Offer,2500,control,cabrio,1999,manuell,88,3_reihe,150000,Jun,Gasoline,peugeot,Other,2016-03-05 00:00:00,65624,2016-04-06 22:15:56,2016,2016,March,March,32,22,17,6
2016-04-04 21:41:10,PEUGEOT_206_CC_CABRIO_TÜV08/2016_KLIMA_1.HAND_ZV_EFHB,privat,Offer,4290,test,cabrio,2006,manuell,109,2_reihe,90000,Apr,Gasoline,peugeot,Other,2016-04-04 00:00:00,22549,2016-04-07 00:15:38,2016,2016,April,April,3,0,10,8
2016-03-10 18:45:10,Peugeot_206cc_Quiksilver_BJ_2005_95.000_km,privat,Offer,3800,test,cabrio,2005,manuell,109,Other,100000,Nov,Gasoline,peugeot,Other,2016-03-10 00:00:00,46049,2016-04-05 23:44:21,2016,2016,March,March,26,23,11,1
2016-03-23 17:48:36,Peugeot_207_CC_Roland_Garros_120_PS,privat,Offer,13199,control,cabrio,2012,manuell,120,2_reihe,30000,May,Gasoline,peugeot,No,2016-03-23 00:00:00,46244,2016-04-05 22:15:29,2016,2016,March,March,13,22,4,7
2016-03-27 14:51:10,Peugeot_206_CC_110_Roland_Garros,privat,Offer,3500,control,cabrio,2005,manuell,109,2_reihe,150000,May,Gasoline,peugeot,No,2016-03-27 00:00:00,51105,2016-03-27 14:51:10,2016,2016,March,March,0,14,11,7
2016-03-24 20:47:26,Peugeot_206_CC___gepflegt___jetzt_in_den_CABRIO_SOMMER_starten,privat,Offer,5800,test,cabrio,2005,manuell,106,2_reihe,70000,Oct,Gasoline,peugeot,No,2016-03-24 00:00:00,49124,2016-04-05 13:46:01,2016,2016,March,March,12,13,11,2
2016-03-23 00:58:28,Peugeot_206cc_Cabrio_TÜV_bis_04/17_Super_Sommer_Auto_gepflegt,privat,Offer,2699,test,cabrio,2005,manuell,110,2_reihe,150000,May,Gasoline,peugeot,No,2016-03-22 00:00:00,45881,2016-04-07 06:46:07,2016,2016,March,March,16,6,11,7
2016-03-30 22:51:09,Peugeot_206_CC_110_Roland_Garros,privat,Offer,4900,control,cabrio,2006,manuell,109,2_reihe,50000,Feb,Gasoline,peugeot,No,2016-03-30 00:00:00,35641,2016-04-05 14:47:27,2016,2016,March,March,6,14,10,10
2016-03-14 19:44:10,Peugeot_307_CC_mit_LPG_Fluessiggasanlage_und_Lederaustattung,privat,Offer,5400,control,cabrio,2006,manuell,140,3_reihe,150000,Mar,Gasoline,peugeot,No,2016-03-14 00:00:00,38104,2016-04-06 04:17:36,2016,2016,March,March,23,4,10,9
2016-03-23 20:37:42,Peugeot_206cc_Cabrio,privat,Offer,3000,test,cabrio,2002,manuell,109,2_reihe,150000,Jan,Other,peugeot,Other,2016-03-23 00:00:00,97720,2016-03-25 04:45:59,2016,2016,March,March,2,4,14,11
2016-03-27 14:38:15,Peugeot_206_CC_110_Roland_Garros,privat,Offer,1500,control,cabrio,2003,manuell,109,2_reihe,125000,Mar,Gasoline,peugeot,Yes,2016-03-27 00:00:00,50127,2016-03-27 14:38:15,2016,2016,March,March,0,14,13,9
2016-03-12 14:53:15,Peugeot_307_CC__109PS__Top_Zustand__Cabrio,privat,Offer,5300,test,cabrio,2005,manuell,109,andere,60000,Mar,Gasoline,peugeot,Other,2016-03-12 00:00:00,66557,2016-04-03 00:15:48,2016,2016,March,March,22,0,11,9
2016-03-24 19:52:38,Pkw_Peogeot_207_cc,privat,Offer,11700,control,cabrio,2010,manuell,120,2_reihe,70000,Mar,Other,peugeot,No,2016-03-24 00:00:00,28217,2016-04-05 12:16:46,2016,2016,March,March,12,12,6,9
2016-03-21 01:36:21,Peugeot_307cc_.Letzte_Chance_!,privat,Offer,0,test,cabrio,2007,manuell,140,Other,80000,Nov,Gasoline,peugeot,No,2016-03-21 00:00:00,24539,2016-04-05 23:44:34,2016,2016,March,March,15,23,9,1
2016-03-18 19:51:21,Peugeot_207_CC_120_VTi_Platinum,privat,Offer,6200,control,cabrio,2008,manuell,120,2_reihe,90000,Jun,Gasoline,peugeot,No,2016-03-18 00:00:00,72622,2016-04-05 22:47:04,2016,2016,March,March,18,22,8,6
2016-04-05 11:56:28,peugeot_206_cabrio,privat,Offer,2750,test,cabrio,2001,manuell,150,2_reihe,100000,Jul,Gasoline,peugeot,No,2016-04-05 00:00:00,21220,2016-04-05 12:41:26,2016,2016,April,April,0,12,15,5
2016-03-26 12:55:49,Peugeot_307_CC_135,privat,Offer,3990,control,cabrio,2004,manuell,136,3_reihe,150000,Sep,Gasoline,peugeot,No,2016-03-26 00:00:00,42369,2016-03-29 15:15:58,2016,2016,March,March,3,15,12,3
