dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-05 16:36:42,Peugeot_407Coupe_Sport,privat,Offer,0,control,coupe,2006,manuell,163,4_reihe,150000,Jun,Gasoline,peugeot,No,2016-03-05 00:00:00,42857,2016-03-12 05:15:14,2016,2016,March,March,7,5,10,6
2016-03-25 19:43:11,Peugeot_206,privat,Offer,350,test,coupe,2000,manuell,60,2_reihe,125000,Jan,Other,peugeot,Yes,2016-03-25 00:00:00,52222,2016-03-25 19:43:11,2016,2016,March,March,0,19,16,11
2016-03-22 09:55:02,Peugeot_RCZ_2.0_HDi_FAP_165,privat,Offer,13490,test,coupe,2010,manuell,163,andere,125000,Oct,Diesel,peugeot,No,2016-03-22 00:00:00,53115,2016-04-05 22:16:28,2016,2016,March,March,14,22,6,2
2016-04-03 19:44:06,Peugeot_RCZ_1.6_200_THP,privat,Offer,19000,test,coupe,2012,manuell,200,andere,50000,Jul,Gasoline,peugeot,No,2016-04-03 00:00:00,52152,2016-04-05 20:16:08,2016,2016,April,April,2,20,4,5
2016-03-15 22:52:16,Peugeot_406,privat,Offer,2300,control,coupe,2003,manuell,133,4_reihe,150000,May,Diesel,peugeot,No,2016-03-15 00:00:00,50769,2016-03-17 21:46:21,2016,2016,March,March,2,21,13,7
2016-03-19 20:50:07,RCZ_1.6_200_THP_Garantie_bis_Mai_2016_reines_Sommerauto,privat,Offer,22989,control,coupe,2013,manuell,200,andere,30000,May,Gasoline,peugeot,No,2016-03-19 00:00:00,55413,2016-04-06 07:45:46,2016,2016,March,March,18,7,3,7
2016-03-08 15:39:15,Peugeot_307_1.6__TÜV_1_Jahr_Euro_4,privat,Offer,1600,test,coupe,2001,manuell,109,3_reihe,150000,Nov,Gasoline,peugeot,No,2016-03-08 00:00:00,28816,2016-03-21 12:44:59,2016,2016,March,March,13,12,15,1
2016-03-28 23:52:07,"Peugeot_406_Coupe_2.2_16V_Platinum_""TÜV_NEU""_Hingucker""",privat,Offer,1650,test,coupe,2003,manuell,158,4_reihe,150000,Apr,Gasoline,peugeot,No,2016-03-28 00:00:00,21683,2016-04-05 14:16:31,2016,2016,March,March,8,14,13,8
2016-03-31 18:27:49,Peugeot_406_Coupe_3.0_V6_Platinum___Gas_Umbau!,privat,Offer,800,control,coupe,1999,manuell,190,4_reihe,150000,Jun,Gasoline,peugeot,No,2016-03-31 00:00:00,35685,2016-04-06 08:15:22,2016,2016,March,March,6,8,17,6
2016-03-21 02:36:42,Peugeot_406_Coupe_2.0_16V_Premium_LPG_TÜV_Neu,privat,Offer,2250,test,coupe,1999,manuell,132,4_reihe,150000,Sep,Lpg,peugeot,No,2016-03-21 00:00:00,87448,2016-04-06 01:49:34,2016,2016,March,March,16,1,17,3
2016-03-23 15:06:25,Peugeot_RCZ_1.6_200_THP,privat,Offer,15500,control,coupe,2011,manuell,200,andere,70000,Mar,Gasoline,peugeot,No,2016-03-23 00:00:00,65205,2016-04-06 14:45:34,2016,2016,March,March,14,14,5,9
2016-03-20 09:52:59,Peugeot_407_Coupe__V6__2_7_HDI_FAP_Platinum,privat,Offer,7290,control,coupe,2009,automatik,204,4_reihe,150000,Apr,Diesel,peugeot,No,2016-03-20 00:00:00,33605,2016-04-04 05:49:43,2016,2016,March,March,15,5,7,8
2016-03-13 18:41:43,Sportcoupè_von_PEUGEOT__RCZ___1.6_THB_ONYX_,privat,Offer,17999,control,coupe,2013,manuell,156,andere,30000,Jan,Gasoline,peugeot,No,2016-03-13 00:00:00,65934,2016-04-07 06:45:54,2016,2016,March,March,25,6,3,11
2016-03-20 15:51:56,Peugeot_206+_1_4_HDI_ECO_Diesel_AC,privat,Offer,5500,control,coupe,2012,manuell,68,2_reihe,150000,Oct,Diesel,peugeot,No,2016-03-20 00:00:00,30179,2016-03-21 18:47:11,2016,2016,March,March,1,18,4,2
2016-03-11 23:54:56,Peugeot_406_Coupé,privat,Offer,3000,test,coupe,2003,manuell,133,4_reihe,150000,May,Diesel,peugeot,No,2016-03-11 00:00:00,50769,2016-03-15 09:44:25,2016,2016,March,March,4,9,13,7
2016-04-03 19:44:06,Peugeot_504,privat,Offer,3400,test,coupe,1973,manuell,103,5_reihe,150000,Jun,Gasoline,peugeot,No,2016-04-03 00:00:00,22589,2016-04-05 20:16:09,2016,2016,April,April,2,20,43,6
2016-03-15 18:57:50,Peugeot_206_mit_wenige_km,privat,Offer,1299,control,coupe,2000,manuell,75,2_reihe,125000,Jan,Gasoline,peugeot,No,2016-03-15 00:00:00,35392,2016-03-16 17:22:00,2016,2016,March,March,1,17,16,11
2016-03-23 08:57:23,PEUGEOT_407_COUPE,privat,Offer,7999,control,coupe,2006,automatik,204,4_reihe,125000,May,Diesel,peugeot,Other,2016-03-23 00:00:00,69234,2016-03-27 13:17:53,2016,2016,March,March,4,13,10,7
2016-03-31 12:47:49,Peugeot_407_Coupe_V6_HDi_FAP_240_Automatik_Platinum,privat,Offer,15500,test,coupe,2010,automatik,241,4_reihe,100000,Apr,Diesel,peugeot,No,2016-03-31 00:00:00,91126,2016-04-06 05:17:47,2016,2016,March,March,6,5,6,8
2016-03-20 17:48:37,Peugeot_RCZ_1.6_155_THP,privat,Offer,18500,test,coupe,2012,manuell,156,andere,30000,Feb,Gasoline,peugeot,No,2016-03-20 00:00:00,89290,2016-04-07 00:45:44,2016,2016,March,March,18,0,4,10
2016-03-20 16:57:30,Peugeot_RCZ_155_Unikat_mit_Garantie_Top!,privat,Offer,14900,test,coupe,2011,manuell,156,andere,70000,Oct,Gasoline,peugeot,No,2016-03-20 00:00:00,68169,2016-03-28 17:19:09,2016,2016,March,March,8,17,5,2
2016-03-15 17:49:54,Peugeot_407_Coupe_Platinum,privat,Offer,9500,test,coupe,2006,automatik,204,4_reihe,150000,Jan,Diesel,peugeot,No,2016-03-15 00:00:00,63225,2016-04-06 16:45:13,2016,2016,March,March,22,16,10,11
2016-03-30 14:38:34,Verkaufe_Pegeout_306,privat,Offer,280,control,coupe,1996,manuell,88,3_reihe,150000,Jan,Gasoline,peugeot,Yes,2016-03-30 00:00:00,66453,2016-03-30 14:38:34,2016,2016,March,March,0,14,20,11
