dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-14 13:25:27,Peugeot_406_Break_Sport,privat,Offer,2250,test,kombi,2001,manuell,158,4_reihe,150000,Jan,Gasoline,peugeot,No,2016-03-14 00:00:00,35781,2016-03-22 19:19:16,2016,2016,March,March,8,19,15,11
2016-03-30 16:56:32,MOTORSCHADEN,privat,Offer,1000,test,kombi,2005,manuell,109,3_reihe,150000,Jun,Diesel,peugeot,Yes,2016-03-30 00:00:00,70469,2016-03-30 17:43:52,2016,2016,March,March,0,17,11,6
2016-03-07 22:49:41,Peugeot_407_SW_2.2_HDI_Bi_Turbo_170_ps,privat,Offer,2600,test,kombi,2006,manuell,170,4_reihe,150000,Nov,Diesel,peugeot,No,2016-03-07 00:00:00,32130,2016-03-08 10:45:33,2016,2016,March,March,1,10,10,1
2016-03-27 12:44:32,Peugeot_207_SW_Premium_VTi_120_KLIMA_PANORAMADACH_PDC,privat,Offer,6199,test,kombi,2007,manuell,120,2_reihe,100000,Jul,Gasoline,peugeot,No,2016-03-27 00:00:00,22844,2016-04-03 07:16:18,2016,2016,March,March,7,7,9,5
2016-03-21 06:36:24,Peugeot_407_SW_HDi_170_Bi_Turbo_Platinum,privat,Offer,4400,control,kombi,2007,manuell,170,4_reihe,150000,Jul,Diesel,peugeot,No,2016-03-21 00:00:00,74357,2016-04-06 01:49:41,2016,2016,March,March,16,1,9,5
2016-03-20 17:48:24,Peugeot_207_SW_95_VTi,privat,Offer,5100,test,kombi,2008,manuell,95,2_reihe,80000,Mar,Gasoline,peugeot,No,2016-03-20 00:00:00,61381,2016-04-06 23:45:37,2016,2016,March,March,17,23,8,9
2016-03-23 22:25:43,Peugeot_307_HDi_SW_135,privat,Offer,2100,test,kombi,2004,manuell,0,3_reihe,150000,Apr,Diesel,peugeot,No,2016-03-23 00:00:00,57518,2016-03-30 10:47:49,2016,2016,March,March,7,10,12,8
2016-03-16 19:39:08,Peugeot_307_Kombi,privat,Offer,1550,test,kombi,2003,manuell,109,3_reihe,125000,Sep,Gasoline,peugeot,No,2016-03-16 00:00:00,71083,2016-04-07 04:44:30,2016,2016,March,March,22,4,13,3
2016-03-22 22:48:45,Schoener_307_SW_HDI_2_0_110_PS,privat,Offer,2300,control,kombi,2002,manuell,110,3_reihe,150000,Nov,Diesel,peugeot,No,2016-03-22 00:00:00,90522,2016-03-30 06:45:23,2016,2016,March,March,8,6,14,1
2016-03-12 12:51:58,Peugeot_305_Break_GR_D_Zahnriemen_NEU_Standheizung,privat,Offer,2450,test,kombi,1988,manuell,64,3_reihe,150000,Mar,Diesel,peugeot,No,2016-03-12 00:00:00,46238,2016-04-06 09:45:27,2016,2016,March,March,25,9,28,9
2016-04-04 19:41:50,Peugeot_306_Break,privat,Offer,99,test,kombi,1999,manuell,90,3_reihe,150000,Jan,Other,peugeot,Other,2016-04-04 00:00:00,31039,2016-04-06 21:45:37,2016,2016,April,April,2,21,17,11
2016-03-27 17:52:45,Peugeot_206_sw_110_HDI__TÜV_NEU!!!_Nur_noch_1_Woche_hier!!!!!!!!!,privat,Offer,2990,test,kombi,2005,manuell,110,2_reihe,150000,Feb,Diesel,peugeot,Other,2016-03-24 00:00:00,91452,2016-03-29 08:00:52,2016,2016,March,March,5,8,11,10
2016-04-03 22:56:04,Peugeot_Partner_1.8i_Break,privat,Offer,1800,control,kombi,1998,manuell,90,andere,150000,Feb,Gasoline,peugeot,No,2016-04-03 00:00:00,50354,2016-04-06 00:16:08,2016,2016,April,April,3,0,18,10
2016-03-29 23:41:56,Peugeot_406_Break_Esplanade_AHK_mit_Sommerreifen_und_Winterreifen,privat,Offer,500,control,kombi,1999,manuell,110,4_reihe,150000,Oct,Other,peugeot,Yes,2016-03-29 00:00:00,6108,2016-04-06 10:44:57,2016,2016,March,March,8,10,17,2
2016-03-09 19:45:23,Peugeot_207_SW_120_VTi_Sport,privat,Offer,5000,test,kombi,2008,manuell,120,2_reihe,90000,Nov,Gasoline,peugeot,No,2016-03-09 00:00:00,92637,2016-04-05 13:44:30,2016,2016,March,March,27,13,8,1
2016-03-27 11:52:07,Peugeot_307_sw_mit_Panoramadach,privat,Offer,2300,test,kombi,2002,manuell,109,Other,150000,Jan,Gasoline,peugeot,No,2016-03-27 00:00:00,57250,2016-04-06 18:17:23,2016,2016,March,March,10,18,14,11
2016-03-17 23:42:53,Peugeot_307_Break_BJ_2004_132000_km.1_4_88PS,privat,Offer,2300,control,kombi,2004,manuell,88,3_reihe,150000,Sep,Gasoline,peugeot,No,2016-03-17 00:00:00,89407,2016-03-30 18:52:31,2016,2016,March,March,13,18,12,3
2016-03-27 13:39:53,Peugeot_207_SW_Premium__Restgarantie__Panoramadach,privat,Offer,7000,test,kombi,2010,manuell,112,2_reihe,80000,Nov,Diesel,peugeot,No,2016-03-27 00:00:00,72622,2016-04-03 08:44:55,2016,2016,March,March,7,8,6,1
2016-03-15 19:56:31,Peugeot_307SW_135_2.0_16V_Automatik_Leder_Panorama_7Sitz,privat,Offer,2750,control,kombi,2005,automatik,136,3_reihe,150000,Feb,Gasoline,peugeot,No,2016-03-15 00:00:00,30559,2016-04-07 02:18:02,2016,2016,March,March,23,2,11,10
2016-03-23 11:36:45,Peugeot_307_SW_140_OXYGO/_Panoramadach,privat,Offer,4950,test,kombi,2008,manuell,140,3_reihe,150000,Jun,Gasoline,peugeot,No,2016-03-23 00:00:00,1558,2016-04-05 11:48:06,2016,2016,March,March,13,11,8,6
2016-03-17 14:47:17,Peugeot_Kombi_Unfallschaden,privat,Offer,490,control,kombi,2003,manuell,109,3_reihe,150000,Apr,Gasoline,peugeot,Yes,2016-03-17 00:00:00,46459,2016-03-24 08:45:12,2016,2016,March,March,7,8,13,8
2016-03-27 12:58:31,Peugeot_406_Break_Esplanade_/_TÜV_&_AU_neu,privat,Offer,1150,test,kombi,1999,manuell,110,4_reihe,125000,Jul,Gasoline,peugeot,No,2016-03-27 00:00:00,22457,2016-04-07 09:16:17,2016,2016,March,March,11,9,17,5
2016-03-20 11:53:19,Peugeot_306_Break_HDI_Diesel_Kombi_blau___TÜV_bis_7/2017,privat,Offer,500,test,kombi,2000,manuell,0,3_reihe,150000,May,Diesel,peugeot,Other,2016-03-20 00:00:00,63679,2016-04-06 10:16:26,2016,2016,March,March,17,10,16,7
2016-03-27 14:59:04,Peugeot_407_SW_HDi_170_Bi_Turbo__Business_Line_,privat,Offer,4900,control,kombi,2006,manuell,170,4_reihe,150000,Oct,Diesel,peugeot,No,2016-03-27 00:00:00,86554,2016-04-07 12:17:58,2016,2016,March,March,11,12,10,2
2016-03-20 14:46:27,Peugeot_307_Klima__Autogas_LPG_,privat,Offer,2450,test,kombi,2005,manuell,88,Other,150000,Nov,Lpg,peugeot,Other,2016-03-20 00:00:00,27232,2016-03-30 04:45:56,2016,2016,March,March,10,4,11,1
2016-03-11 23:53:42,Peugeot_307SW_schwarz,privat,Offer,3500,test,kombi,2005,manuell,104,3_reihe,150000,Aug,Gasoline,peugeot,No,2016-03-11 00:00:00,79112,2016-04-03 16:45:11,2016,2016,March,March,23,16,11,4
2016-04-03 21:41:31,Peugeot_207_SW_1.6_16V_120_VTi,privat,Offer,6500,test,kombi,2010,manuell,120,2_reihe,70000,Aug,Gasoline,peugeot,No,2016-04-03 00:00:00,80935,2016-04-05 22:18:37,2016,2016,April,April,2,22,6,4
2016-03-17 12:51:50,Peugeot_206__bj_2005__Automatik___105000_km,privat,Offer,1500,test,kombi,2005,automatik,109,2_reihe,125000,Sep,Gasoline,peugeot,Other,2016-03-17 00:00:00,34132,2016-03-17 13:41:16,2016,2016,March,March,0,13,11,3
2016-03-15 00:52:40,Peugeot_407_SW_HDi_135,privat,Offer,3199,test,kombi,2005,manuell,136,4_reihe,150000,Mar,Diesel,peugeot,No,2016-03-14 00:00:00,19370,2016-03-16 02:45:11,2016,2016,March,March,2,2,11,9
2016-03-24 19:00:05,Peugeot_308_SW_150_THP_Sport,privat,Offer,5999,test,kombi,2008,manuell,150,3_reihe,125000,Aug,Gasoline,peugeot,No,2016-03-24 00:00:00,55569,2016-04-07 14:58:08,2016,2016,March,March,14,14,8,4
2016-03-21 11:56:53,Peugeot_307_break_kombi_van_isofix_1_6l,privat,Offer,2300,control,kombi,2002,manuell,109,Other,150000,Feb,Gasoline,peugeot,No,2016-03-21 00:00:00,26427,2016-04-04 04:49:08,2016,2016,March,March,14,4,14,10
2016-03-26 10:56:39,Verkaufe_Peugeot_306_Break_zum_herrichten_oder_Ausschlachten,privat,Offer,650,test,kombi,2001,manuell,75,3_reihe,150000,May,Gasoline,peugeot,No,2016-03-26 00:00:00,82418,2016-03-29 13:18:02,2016,2016,March,March,3,13,15,7
2016-03-25 18:47:03,Peugeot_307_HDi_SW_110,privat,Offer,3200,test,kombi,2004,manuell,109,3_reihe,150000,Nov,Diesel,peugeot,No,2016-03-25 00:00:00,79801,2016-04-07 00:44:22,2016,2016,March,March,13,0,12,1
2016-03-12 20:58:38,Peugeot_partner_1.8_90_ps,privat,Offer,750,test,kombi,1999,manuell,90,andere,150000,Jan,Other,peugeot,No,2016-03-12 00:00:00,34621,2016-03-18 00:45:05,2016,2016,March,March,6,0,17,11
2016-03-09 15:51:05,Peugeot_306_HDI_Break__Kombi__199300km__TÜV_neu_!,privat,Offer,1450,control,kombi,1999,manuell,90,3_reihe,150000,Oct,Diesel,peugeot,No,2016-03-09 00:00:00,66663,2016-03-15 01:15:14,2016,2016,March,March,6,1,17,2
2016-03-18 08:48:56,Peugeot_407_SW_HDi,privat,Offer,2350,test,kombi,2005,manuell,0,4_reihe,150000,Jun,Diesel,peugeot,No,2016-03-18 00:00:00,85368,2016-03-18 08:48:56,2016,2016,March,March,0,8,11,6
2016-03-18 10:06:18,Peugeot_307_HDi_Break_110,privat,Offer,3250,test,kombi,2006,Unspecified,109,3_reihe,150000,Feb,Diesel,peugeot,No,2016-03-18 00:00:00,56370,2016-04-01 08:46:02,2016,2016,March,March,14,8,10,10
2016-03-24 15:37:39,Peugeot_206_SW_HDi_eco_70_Grand_Filou_Cool,privat,Offer,1850,test,kombi,2005,manuell,68,2_reihe,150000,Aug,Diesel,peugeot,No,2016-03-24 00:00:00,14057,2016-04-01 10:47:16,2016,2016,March,March,8,10,11,4
2016-04-02 14:38:22,Peugeot_406_Break,privat,Offer,650,test,kombi,1997,manuell,109,4_reihe,125000,Apr,Diesel,peugeot,Yes,2016-04-02 00:00:00,24805,2016-04-02 14:38:22,2016,2016,April,April,0,14,19,8
2016-03-09 13:50:53,Peugeot_308_SW_e_HDi_FAP_110_Panoramadach,privat,Offer,8500,control,kombi,2012,manuell,111,3_reihe,90000,Aug,Diesel,peugeot,No,2016-03-09 00:00:00,16761,2016-04-06 04:45:03,2016,2016,March,March,28,4,4,4
2016-03-26 14:46:53,PEUGEOT__307_SW,privat,Offer,1950,control,kombi,2003,manuell,0,3_reihe,150000,Nov,Gasoline,peugeot,Other,2016-03-26 00:00:00,85659,2016-04-06 02:45:51,2016,2016,March,March,11,2,13,1
2016-04-04 00:57:03,Peugeot_307,privat,Offer,2400,test,kombi,2006,manuell,110,Other,150000,Jan,Diesel,peugeot,Yes,2016-04-03 00:00:00,91522,2016-04-06 09:16:45,2016,2016,April,April,3,9,10,11
2016-03-24 15:47:19,Peugeot_406_Break_HDi,privat,Offer,950,test,kombi,2002,manuell,133,4_reihe,150000,Apr,Diesel,peugeot,No,2016-03-24 00:00:00,4205,2016-04-01 11:44:23,2016,2016,March,March,8,11,14,8
2016-03-19 08:47:59,Peugeot_307_SW_Garagenwagen__sehr_gepflegt__Panorama___AHK,privat,Offer,3250,test,kombi,2004,manuell,136,3_reihe,150000,Jul,Diesel,peugeot,No,2016-03-19 00:00:00,42477,2016-03-19 09:40:16,2016,2016,March,March,0,9,12,5
2016-03-11 17:58:24,Peugot_207_SW,privat,Offer,4500,control,kombi,2008,manuell,95,2_reihe,100000,Jul,Gasoline,peugeot,Other,2016-03-11 00:00:00,59556,2016-03-25 00:16:05,2016,2016,March,March,14,0,8,5
2016-03-29 20:49:48,Peugeot_307_hdi_1.6_oxygo,privat,Offer,3000,test,kombi,2007,manuell,0,3_reihe,150000,Jun,Diesel,peugeot,No,2016-03-29 00:00:00,12059,2016-03-29 20:49:48,2016,2016,March,March,0,20,9,6
2016-03-28 16:58:03,Peugeot_307_HDi_SW_135_Premium_Vollausstattung,privat,Offer,3800,test,kombi,2006,manuell,136,3_reihe,150000,Jul,Diesel,peugeot,No,2016-03-28 00:00:00,10999,2016-03-30 08:17:13,2016,2016,March,March,2,8,10,5
2016-03-08 17:51:16,Peugeot_407__SW_2.2_HDI,privat,Offer,2550,control,kombi,2006,manuell,170,4_reihe,150000,Nov,Diesel,peugeot,No,2016-03-08 00:00:00,32130,2016-03-09 17:44:41,2016,2016,March,March,1,17,10,1
2016-03-06 12:41:20,Peugeot_207SW_1.6HDI_FAP_Sport,privat,Offer,5300,test,kombi,2009,manuell,109,2_reihe,100000,Jan,Diesel,peugeot,No,2016-03-06 00:00:00,10409,2016-03-29 19:45:00,2016,2016,March,March,23,19,7,11
