dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-09 12:50:41,Peugeot_307_90_Grand_Filou,privat,Offer,800,control,limousine,2004,manuell,88,3_reihe,150000,Sep,Gasoline,peugeot,Yes,2016-03-09 00:00:00,66333,2016-03-20 06:18:20,2016,2016,March,March,11,6,12,3
2016-03-29 00:56:26,Peugeot_308_175_THP_Sport_Plus__Navi__Panorama__Teilled.,privat,Offer,6799,test,limousine,2008,manuell,174,3_reihe,90000,Sep,Gasoline,peugeot,No,2016-03-29 00:00:00,58095,2016-04-05 14:47:33,2016,2016,March,March,7,14,8,3
2016-03-23 03:02:45,Peugeot_407___2.0_HDI,privat,Offer,3499,test,limousine,2004,automatik,140,4_reihe,30000,Oct,Other,peugeot,Yes,2016-03-23 00:00:00,50739,2016-04-07 07:44:29,2016,2016,March,March,15,7,12,2
2016-04-02 19:38:54,Peugeot_407_HDi_135_Automatik_Tendance,privat,Offer,1999,control,limousine,2004,automatik,136,4_reihe,150000,Nov,Diesel,peugeot,No,2016-04-02 00:00:00,64289,2016-04-02 19:38:54,2016,2016,April,April,0,19,12,1
2016-04-01 21:53:31,Peugeot_308_120_VTi_Sport_1._Hand_Scheckheft_gepflegt,privat,Offer,6490,test,limousine,2008,manuell,120,3_reihe,70000,Feb,Gasoline,peugeot,No,2016-04-01 00:00:00,41469,2016-04-05 20:18:28,2016,2016,April,April,4,20,8,10
2016-03-14 10:51:24,Peugeot_406,privat,Offer,0,control,limousine,1998,manuell,110,4_reihe,150000,Apr,Other,peugeot,No,2016-03-14 00:00:00,99510,2016-04-07 12:45:56,2016,2016,March,March,24,12,18,8
2016-03-25 15:48:50,Peugeot_508_HDi_FAP_navi.automatik,privat,Offer,7999,test,limousine,2011,automatik,111,5_reihe,150000,Mar,Diesel,peugeot,No,2016-03-25 00:00:00,12105,2016-04-06 19:46:22,2016,2016,March,March,12,19,5,9
2016-04-05 00:59:31,Peugeot_607_HDI_135,privat,Offer,2400,control,limousine,2002,automatik,133,andere,150000,Nov,Diesel,peugeot,No,2016-04-04 00:00:00,15517,2016-04-05 08:41:34,2016,2016,April,April,1,8,14,1
2016-03-16 19:57:01,Peugeot_406__1.6l___gruene_Plakette,privat,Offer,600,test,limousine,1997,manuell,88,Other,150000,Feb,Gasoline,peugeot,Yes,2016-03-16 00:00:00,26441,2016-03-22 20:47:50,2016,2016,March,March,6,20,19,10
2016-03-30 13:49:18,Peugeot_307_HDi.Teillleder.Sitzheizung_Euro4_Klimatronic,privat,Offer,2350,test,limousine,2002,manuell,107,3_reihe,150000,Jun,Diesel,peugeot,No,2016-03-30 00:00:00,52066,2016-03-30 13:49:18,2016,2016,March,March,0,13,14,6
2016-03-28 17:44:21,Peugeot_307_HDI_*Gruene_Plakette*_5Tuerig,privat,Offer,2444,test,limousine,2001,manuell,0,3_reihe,150000,Oct,Diesel,peugeot,No,2016-03-28 00:00:00,52525,2016-03-28 17:44:21,2016,2016,March,March,0,17,15,2
2016-03-21 21:25:42,Peugeot_306_XR_AUTOMATIK_100.000_km_Tuev_5/2017,privat,Offer,1000,test,limousine,1998,automatik,101,3_reihe,100000,Mar,Gasoline,peugeot,No,2016-03-21 00:00:00,56410,2016-04-02 02:15:34,2016,2016,March,March,12,2,18,9
2016-03-15 13:37:04,307_CC_Leder_Interieur,privat,Offer,1800,control,limousine,2005,manuell,0,3_reihe,150000,Aug,Diesel,peugeot,Other,2016-03-15 00:00:00,30169,2016-03-15 13:37:04,2016,2016,March,March,0,13,11,4
2016-04-02 16:58:36,Peugeot_407_160_Tuev_01/18,privat,Offer,3500,control,limousine,2005,manuell,158,4_reihe,150000,Mar,Gasoline,peugeot,No,2016-04-02 00:00:00,55118,2016-04-03 19:39:27,2016,2016,April,April,1,19,11,9
2016-04-02 15:52:33,Peugeot_306___zum_AUSSCHLACHTEN,privat,Offer,300,control,limousine,1999,manuell,90,3_reihe,150000,Nov,Gasoline,peugeot,Yes,2016-04-02 00:00:00,36199,2016-04-06 14:46:01,2016,2016,April,April,4,14,17,1
2016-04-01 18:39:08,Peugeot_307_110_Esplanade_LPG_Autogas_TÜV_neu,privat,Offer,2990,control,limousine,2002,manuell,109,3_reihe,150000,Nov,Lpg,peugeot,No,2016-04-01 00:00:00,15344,2016-04-05 14:16:58,2016,2016,April,April,4,14,14,1
2016-03-19 21:45:43,Peugeot_307_90_Grand_Filou_Cool,privat,Offer,2590,control,limousine,2006,manuell,88,3_reihe,150000,Jun,Gasoline,peugeot,No,2016-03-19 00:00:00,53947,2016-03-19 21:45:43,2016,2016,March,March,0,21,10,6
2016-04-03 19:37:42,Peugeot_306_XR,privat,Offer,999,test,limousine,1996,manuell,75,3_reihe,150000,Feb,Gasoline,peugeot,No,2016-04-03 00:00:00,97877,2016-04-05 20:15:35,2016,2016,April,April,2,20,20,10
2016-03-26 21:47:27,Peugeot_Peugeot_607_HDI,privat,Offer,6590,control,limousine,2005,automatik,204,andere,150000,Mar,Diesel,peugeot,No,2016-03-26 00:00:00,75177,2016-04-06 13:16:12,2016,2016,March,March,11,13,11,9
2016-03-20 10:53:35,PEUGEOT_307_1.6_STANDHEIZUNG_LPG_TÜV!_TOP_TOP_TOP!!,privat,Offer,1600,control,limousine,2002,manuell,0,3_reihe,150000,Apr,Lpg,peugeot,Other,2016-03-20 00:00:00,12053,2016-03-31 15:15:58,2016,2016,March,March,11,15,14,8
2016-04-04 14:39:30,Peugeot_308_GTI_240,privat,Offer,10500,test,limousine,2011,manuell,200,3_reihe,70000,Feb,Gasoline,peugeot,No,2016-04-04 00:00:00,46537,2016-04-06 15:46:05,2016,2016,April,April,2,15,5,10
2016-03-21 13:25:20,Peugeot_307_90_Grand_Filou,privat,Offer,600,control,limousine,2004,manuell,88,3_reihe,150000,Jun,Gasoline,peugeot,Yes,2016-03-21 00:00:00,56072,2016-03-21 13:25:20,2016,2016,March,March,0,13,12,6
2016-03-09 15:56:06,Peugeot_308_HDi_FAP_90,privat,Offer,5500,control,limousine,2010,manuell,90,3_reihe,150000,Nov,Diesel,peugeot,No,2016-03-09 00:00:00,64584,2016-04-07 03:46:34,2016,2016,March,March,29,3,6,1
2016-03-09 09:49:54,Peugeot_206__1.1_benzin,privat,Offer,500,test,limousine,2000,manuell,60,2_reihe,150000,Apr,Other,peugeot,Yes,2016-03-09 00:00:00,48529,2016-03-12 19:20:17,2016,2016,March,March,3,19,16,8
2016-03-15 21:50:59,Peugeot_308__100__98_VTi_Access,privat,Offer,7990,control,limousine,2011,manuell,98,3_reihe,50000,Jun,Gasoline,peugeot,No,2016-03-15 00:00:00,33165,2016-03-23 08:47:55,2016,2016,March,March,8,8,5,6
2016-03-05 22:52:11,Peugeot_406,privat,Offer,1250,control,limousine,1999,manuell,0,4_reihe,125000,Jan,Other,peugeot,No,2016-03-05 00:00:00,9496,2016-04-05 20:18:26,2016,2016,March,March,31,20,17,11
2016-03-19 16:58:14,Peugeot_307_135_Sport,privat,Offer,950,test,limousine,2002,manuell,136,3_reihe,150000,May,Gasoline,peugeot,Yes,2016-03-19 00:00:00,55767,2016-04-01 06:15:51,2016,2016,March,March,13,6,14,7
2016-03-07 09:36:22,Peugeot_407_Org.45000km_Serviceheft*_Klimaautomatik_*TOP,privat,Offer,4390,control,limousine,2006,manuell,125,4_reihe,50000,Jun,Gasoline,peugeot,No,2016-03-07 00:00:00,81373,2016-03-08 15:44:24,2016,2016,March,March,1,15,10,6
2016-04-02 21:47:52,Biete_mein_Auto_zum_Tausch_06_2017.,privat,Offer,1200,test,limousine,1998,manuell,90,4_reihe,150000,Jun,Gasoline,peugeot,No,2016-04-02 00:00:00,58762,2016-04-06 22:44:34,2016,2016,April,April,4,22,18,6
2016-03-17 20:50:13,Peugeot_306__Bj._97__original_68000_km__1._Hand__Garagenwagen,privat,Offer,1900,control,limousine,1997,manuell,75,3_reihe,70000,Apr,Gasoline,peugeot,No,2016-03-17 00:00:00,68259,2016-04-06 22:45:58,2016,2016,March,March,20,22,19,8
2016-03-12 17:56:42,Peugeot_307_110_Grand_Filou_TÜV_bis_August_2017,privat,Offer,1600,test,limousine,2004,manuell,109,3_reihe,150000,Aug,Gasoline,peugeot,No,2016-03-12 00:00:00,21493,2016-04-07 10:16:40,2016,2016,March,March,26,10,12,4
2016-03-11 16:43:13,Peugeot_307_75_Presence,privat,Offer,550,test,limousine,2002,manuell,75,3_reihe,125000,Apr,Gasoline,peugeot,Yes,2016-03-11 00:00:00,41179,2016-03-24 21:16:21,2016,2016,March,March,13,21,14,8
2016-03-26 16:57:27,PKW_Peugeot_306_XT_1.8_Automatik___TÜV_05.17,privat,Offer,1250,control,limousine,1997,automatik,118,3_reihe,150000,Jun,Gasoline,peugeot,No,2016-03-26 00:00:00,28357,2016-04-06 05:44:31,2016,2016,March,March,11,5,19,6
2016-03-14 23:53:21,Peugeot_307_HDI_110__m._Leichtmetallfelgen__Winterreifen_neu_!!!,privat,Offer,2900,control,limousine,2002,manuell,109,3_reihe,150000,Feb,Diesel,peugeot,Other,2016-03-14 00:00:00,33100,2016-04-01 17:49:51,2016,2016,March,March,18,17,14,10
2016-03-29 18:53:40,Peugeot_406,privat,Offer,850,control,limousine,1996,manuell,90,andere,150000,Mar,Gasoline,peugeot,Other,2016-03-29 00:00:00,26160,2016-03-31 12:17:35,2016,2016,March,March,2,12,20,9
2016-03-07 20:40:34,Peugeot_207_Gruene_Plakette_Euro_4_FrischTÜV_03.2018.,privat,Offer,2500,test,limousine,2007,manuell,73,2_reihe,150000,Mar,Gasoline,peugeot,No,2016-03-07 00:00:00,45329,2016-03-08 19:44:35,2016,2016,March,March,1,19,9,9
2016-03-08 21:54:14,Peugeot_607_Platinum_V6_210_Autumatic.,privat,Offer,5400,control,limousine,2002,automatik,207,andere,80000,Nov,Gasoline,peugeot,Other,2016-03-08 00:00:00,26419,2016-03-19 09:46:55,2016,2016,March,March,11,9,14,1
2016-03-12 17:47:58,Peugeot_206+_Generation_75,privat,Offer,7250,test,limousine,2012,manuell,75,2_reihe,50000,Nov,Gasoline,peugeot,No,2016-03-12 00:00:00,82297,2016-03-29 02:44:27,2016,2016,March,March,17,2,4,1
2016-03-23 15:54:05,Peugeot_406,privat,Offer,1100,test,limousine,1997,manuell,0,4_reihe,150000,Jan,Diesel,peugeot,No,2016-03-23 00:00:00,37154,2016-04-05 19:48:08,2016,2016,March,March,13,19,19,11
2016-03-09 21:40:08,Peugeot_206,privat,Offer,1150,test,limousine,1999,manuell,0,Other,150000,Nov,Gasoline,peugeot,No,2016-03-09 00:00:00,59439,2016-03-23 16:49:18,2016,2016,March,March,14,16,17,1
2016-03-13 02:02:00,Peugeot_307_Edition_Klima_Navi_Tuev_PDC_Sehr_Gepflegt_!!,privat,Offer,2090,control,limousine,2004,automatik,109,3_reihe,150000,Aug,Gasoline,peugeot,No,2016-03-13 00:00:00,41516,2016-03-13 03:59:04,2016,2016,March,March,0,3,12,4
2016-03-31 21:49:29,Peugeot_307_110,privat,Offer,2200,test,limousine,2001,manuell,109,3_reihe,150000,Nov,Gasoline,peugeot,No,2016-03-31 00:00:00,52477,2016-04-06 17:45:14,2016,2016,March,March,6,17,15,1
2016-03-16 17:48:20,Peugeot_308_150_THP,privat,Offer,2900,control,limousine,2007,manuell,150,3_reihe,150000,Nov,Gasoline,peugeot,No,2016-03-16 00:00:00,90489,2016-03-16 17:48:20,2016,2016,March,March,0,17,9,1
2016-03-21 02:01:11,Peugeot_307_110_Premium,privat,Offer,2200,test,limousine,2003,manuell,110,Other,150000,Nov,Other,peugeot,Other,2016-03-21 00:00:00,72505,2016-04-06 00:17:48,2016,2016,March,March,16,0,13,1
2016-03-16 18:50:39,Peugeot_308_e_HDi_FAP_115_Stop&Start_Style,privat,Offer,8950,control,limousine,2013,manuell,114,3_reihe,100000,May,Diesel,peugeot,No,2016-03-16 00:00:00,55270,2016-04-07 03:16:00,2016,2016,March,March,22,3,3,7
2016-03-12 13:53:08,Peugeot_306,privat,Offer,900,control,limousine,1996,manuell,75,3_reihe,150000,Nov,Gasoline,peugeot,No,2016-03-12 00:00:00,75387,2016-03-23 00:17:53,2016,2016,March,March,11,0,20,1
2016-03-23 21:49:51,Peugeot_206_Scheckheft_8malbereift_TÜV_sehr_sauber_Top!!!!!,privat,Offer,2090,test,limousine,2001,manuell,0,2_reihe,60000,Sep,Gasoline,peugeot,No,2016-03-23 00:00:00,46325,2016-04-06 04:16:42,2016,2016,March,March,14,4,15,3
2016-03-25 11:53:41,Peugeot_306_SR,privat,Offer,1000,test,limousine,1995,manuell,88,3_reihe,50000,Apr,Gasoline,peugeot,No,2016-03-25 00:00:00,77866,2016-03-25 11:53:41,2016,2016,March,March,0,11,21,8
2016-03-31 18:58:25,Peugeot_307_HDI_110,privat,Offer,3100,control,limousine,2005,manuell,110,3_reihe,125000,Sep,Diesel,peugeot,No,2016-03-31 00:00:00,12055,2016-04-06 13:45:31,2016,2016,March,March,6,13,11,3
2016-04-03 23:54:33,Peugeot_306_Palm_Beach,privat,Offer,850,control,limousine,1998,manuell,75,3_reihe,150000,Sep,Gasoline,peugeot,No,2016-04-03 00:00:00,50129,2016-04-04 07:43:58,2016,2016,April,April,1,7,18,3
2016-03-11 21:38:31,Peugeot_306_XR,privat,Offer,790,test,limousine,1999,manuell,88,3_reihe,125000,Apr,Gasoline,peugeot,No,2016-03-11 00:00:00,84453,2016-03-15 16:46:08,2016,2016,March,March,4,16,17,8
2016-03-19 19:36:57,peugeot_307_TÜV_Neu_136_PS_2_Liter,privat,Offer,2950,control,limousine,2002,manuell,136,Other,150000,Jan,Other,peugeot,No,2016-03-19 00:00:00,42657,2016-04-03 08:15:22,2016,2016,March,March,15,8,14,11
2016-04-04 20:06:35,Peugeot_307_HDi_110_Sport,privat,Offer,2400,test,limousine,2002,manuell,107,3_reihe,150000,Jan,Diesel,peugeot,No,2016-04-04 00:00:00,35745,2016-04-05 12:23:09,2016,2016,April,April,1,12,14,11
2016-03-27 11:37:26,Bastlerfahrzeug/Export/Schlachtauto,privat,Offer,200,test,limousine,1993,manuell,75,3_reihe,150000,Jun,Gasoline,peugeot,Yes,2016-03-27 00:00:00,4746,2016-04-07 06:44:25,2016,2016,March,March,11,6,23,6
2016-03-25 15:42:04,Peugeot_307_HDi_110_Premium__1._Hand,privat,Offer,4900,test,limousine,2005,manuell,109,3_reihe,60000,Jun,Diesel,peugeot,No,2016-03-25 00:00:00,94342,2016-04-06 19:16:12,2016,2016,March,March,12,19,11,6
2016-03-08 13:47:25,Peugeot_307_90_Grand_Filou_Cool*KLIMA*EPS*TÜV_bis_Nov.16,privat,Offer,3380,control,limousine,2005,manuell,88,3_reihe,125000,Jun,Gasoline,peugeot,No,2016-03-08 00:00:00,46049,2016-03-11 17:45:50,2016,2016,March,March,3,17,11,6
