dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-29 15:53:54,Porsche_928_S,privat,Offer,4490,control,coupe,1984,automatik,310,andere,150000,Apr,Gasoline,porsche,No,2016-03-29 00:00:00,85777,2016-03-29 16:41:57,2016,2016,March,March,0,16,32,8
2016-03-20 10:06:23,Porsche_911_996_absoluter_top_Zustand_997_Look__Tausch_,privat,Offer,17500,control,coupe,1998,automatik,301,911,150000,Jan,Gasoline,porsche,No,2016-03-20 00:00:00,57520,2016-04-02 14:45:35,2016,2016,March,March,13,14,18,11
2016-04-01 22:53:26,Porsche_924_S,privat,Offer,7924,test,coupe,1986,manuell,150,andere,150000,Mar,Gasoline,porsche,No,2016-04-01 00:00:00,64832,2016-04-05 21:47:50,2016,2016,April,April,4,21,30,9
2016-03-09 12:41:52,924_S_Porsche_EZ_1989_in_Weiss,privat,Offer,14500,control,coupe,1989,manuell,160,Other,150000,Nov,Gasoline,porsche,No,2016-03-09 00:00:00,39590,2016-04-05 19:46:04,2016,2016,March,March,27,19,27,1
2016-03-12 19:41:45,Porsche_924_Turbo,privat,Offer,5555,test,coupe,1979,manuell,0,andere,10000,Jun,Gasoline,porsche,Yes,2016-03-12 00:00:00,26639,2016-04-07 14:57:49,2016,2016,March,March,26,14,37,6
2016-04-02 19:45:47,Porsche_Porsche_Cayman_2_7__Typ_987,privat,Offer,24250,control,coupe,2008,manuell,245,andere,150000,Aug,Gasoline,porsche,No,2016-04-02 00:00:00,79353,2016-04-06 19:46:44,2016,2016,April,April,4,19,8,4
2016-03-31 21:37:03,Porsche_996_Aerokit_GT3_paket,privat,Offer,15950,test,coupe,2001,manuell,300,911,100000,Jan,Gasoline,porsche,No,2016-03-31 00:00:00,50739,2016-04-04 16:45:16,2016,2016,March,March,4,16,15,11
2016-03-20 20:56:12,Porsche_911_Carrera,privat,Offer,19500,test,coupe,2000,automatik,300,911,150000,Jul,Gasoline,porsche,No,2016-03-20 00:00:00,73230,2016-04-07 06:17:43,2016,2016,March,March,18,6,16,5
2016-04-03 18:37:41,Porsche_944_II,privat,Offer,10500,control,coupe,1985,automatik,163,andere,150000,May,Gasoline,porsche,No,2016-04-03 00:00:00,70191,2016-04-03 18:37:41,2016,2016,April,April,0,18,31,7
2016-03-29 19:56:10,porsche_944_turbo,privat,Offer,1,control,coupe,1985,manuell,220,andere,150000,Oct,Gasoline,porsche,No,2016-03-29 00:00:00,78465,2016-03-29 19:56:10,2016,2016,March,March,0,19,31,2
2016-03-13 11:52:55,Porsche_944_S_2_Liebhaberfahrzeug_mit_Porsche_Schekheft,privat,Offer,16450,control,coupe,1990,manuell,211,andere,150000,Oct,Gasoline,porsche,No,2016-03-13 00:00:00,46325,2016-03-16 15:16:26,2016,2016,March,March,3,15,26,2
2016-03-10 02:02:25,porsche_911_carrera_2_tiptronic,privat,Offer,20996,test,coupe,2002,automatik,320,911,150000,Jan,Gasoline,porsche,No,2016-03-10 00:00:00,3099,2016-04-05 21:15:48,2016,2016,March,March,26,21,14,11
2016-03-18 23:25:23,Porsche_944_S,privat,Offer,13900,test,coupe,1987,manuell,190,andere,150000,Sep,Gasoline,porsche,No,2016-03-18 00:00:00,65594,2016-04-06 19:45:09,2016,2016,March,March,19,19,29,3
2016-03-11 19:50:33,Porsche_911_Carrera,privat,Offer,21500,test,coupe,2000,manuell,300,911,150000,Sep,Gasoline,porsche,No,2016-03-11 00:00:00,44536,2016-04-06 01:17:16,2016,2016,March,March,26,1,16,3
2016-03-08 15:58:29,Porsche_911_Carrera,privat,Offer,17900,test,coupe,1998,manuell,300,911,150000,Feb,Gasoline,porsche,No,2016-03-08 00:00:00,76287,2016-04-01 03:16:58,2016,2016,March,March,24,3,18,10
2016-03-11 17:52:00,Carrera_C4_Tiptronic__fast_Voll__2.Hd._Scheckheft,privat,Offer,15890,control,coupe,1999,automatik,300,911,150000,May,Gasoline,porsche,No,2016-03-11 00:00:00,13156,2016-03-29 10:17:08,2016,2016,March,March,18,10,17,7
