dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-29 16:57:02,Renault_clio_1.2_TÜV_07/2016,privat,Offer,899,control,Other,2016,manuell,60,clio,150000,Jun,Gasoline,renault,Other,2016-03-29 00:00:00,37075,2016-03-29 17:43:07,2016,2016,March,March,0,17,0,6
2016-03-28 17:50:15,Renault_Kangoo_1.9_Diesel,privat,Offer,1500,test,Other,2016,Unspecified,0,kangoo,150000,Jan,Diesel,renault,No,2016-03-28 00:00:00,46483,2016-03-30 09:18:02,2016,2016,March,March,2,9,0,11
2016-03-31 19:43:37,Renault_Modus,privat,Offer,1200,control,Other,2016,manuell,75,modus,150000,Jan,Gasoline,renault,Yes,2016-03-31 00:00:00,47546,2016-03-31 19:43:37,2016,2016,March,March,0,19,0,11
2016-03-30 11:48:53,Renault_kangoo_1_5_Dci,privat,Offer,400,test,Other,2016,manuell,0,kangoo,150000,Jan,Diesel,renault,Yes,2016-03-30 00:00:00,70629,2016-04-03 01:21:16,2016,2016,March,March,4,1,0,11
2016-03-25 14:37:21,Twingo___praktisch_+_guenstig__TÜV_bis_01/18__mit_Gebrauchsspuren,privat,Offer,450,control,Other,2005,manuell,58,twingo,125000,Jan,Gasoline,renault,Other,2016-03-25 00:00:00,24103,2016-04-02 17:47:37,2016,2016,March,March,8,17,11,11
2016-03-08 15:49:58,Renault_Megane_fuer_150_VB,privat,Offer,150,test,Other,2016,manuell,0,megane,150000,Jan,Gasoline,renault,Other,2016-03-08 00:00:00,26871,2016-03-10 10:45:20,2016,2016,March,March,2,10,0,11
2016-03-29 12:59:50,Renault_Twingo,privat,Offer,250,test,Other,1997,Unspecified,0,twingo,150000,Jan,Other,renault,Yes,2016-03-29 00:00:00,96237,2016-04-05 22:46:27,2016,2016,March,March,7,22,19,11
2016-04-03 14:39:42,Renault_Clio,privat,Offer,2000,test,Other,2016,manuell,75,clio,125000,Mar,Other,renault,Other,2016-04-03 00:00:00,16767,2016-04-05 13:18:15,2016,2016,April,April,2,13,0,9
2016-03-19 12:53:13,Renault_bastler_auto,privat,Offer,280,test,Other,2000,manuell,0,Other,100000,Jan,Diesel,renault,Yes,2016-03-19 00:00:00,37284,2016-03-19 12:53:13,2016,2016,March,March,0,12,16,11
2016-03-26 21:51:22,Renault_Clio_1.2_Servo_Anfaengerauto_TÜV_Alufelgen_BJ2001,privat,Offer,499,control,Other,2016,Unspecified,0,clio,150000,Jan,Other,renault,Other,2016-03-26 00:00:00,48599,2016-03-26 22:41:29,2016,2016,March,March,0,22,0,11
2016-04-02 20:57:19,Renault_espace_2.2_dci_tauche_auch,privat,Offer,0,test,Other,2016,manuell,150,espace,150000,Jan,Other,renault,Other,2016-04-02 00:00:00,69412,2016-04-04 19:18:26,2016,2016,April,April,2,19,0,11
2016-03-07 12:25:23,Renault_clio_ohne_tuv,privat,Offer,150,control,Other,2016,manuell,0,clio,150000,Jan,Gasoline,renault,Other,2016-03-07 00:00:00,35794,2016-03-10 15:47:11,2016,2016,March,March,3,15,0,11
2016-03-12 13:49:37,RENAULT_TWINGO,privat,Offer,750,control,Other,2016,Unspecified,0,twingo,150000,Feb,Gasoline,renault,Other,2016-03-12 00:00:00,73660,2016-03-12 13:49:37,2016,2016,March,March,0,13,0,10
2016-04-04 21:51:33,Bastlerauto,privat,Offer,300,test,Other,1995,Unspecified,0,Other,125000,Jan,Other,renault,Other,2016-04-04 00:00:00,8468,2016-04-07 00:45:04,2016,2016,April,April,3,0,21,11
2016-03-23 22:45:42,Renault_Scenic1.9dci,privat,Offer,3250,test,Other,2016,manuell,120,scenic,150000,Aug,Diesel,renault,No,2016-03-23 00:00:00,66113,2016-03-26 16:16:25,2016,2016,March,March,3,16,0,4
2016-03-17 07:57:02,Renault_Clio,privat,Offer,400,control,Other,2000,manuell,0,Other,150000,Jun,Other,renault,Yes,2016-03-17 00:00:00,72145,2016-04-06 05:16:28,2016,2016,March,March,20,5,16,6
2016-03-10 15:36:20,Zu_Verkaufen,privat,Offer,699,test,Other,2016,manuell,0,scenic,150000,Mar,Gasoline,renault,Other,2016-03-10 00:00:00,35789,2016-04-06 10:17:16,2016,2016,March,March,27,10,0,9
2016-03-17 09:48:35,Twingo_fahrbereit_ohne_TÜV,privat,Offer,200,test,Other,2000,automatik,0,twingo,150000,Jan,Gasoline,renault,No,2016-03-17 00:00:00,3130,2016-03-17 09:48:35,2016,2016,March,March,0,9,16,11
2016-03-21 09:36:19,Renault_Megane_1_6e_rn_TÜV_bis_09/16,privat,Offer,700,control,Other,2016,manuell,90,megane,150000,Aug,Other,renault,Other,2016-03-21 00:00:00,4129,2016-04-06 03:16:52,2016,2016,March,March,16,3,0,4
2016-03-17 20:50:21,Renault_Scenic_1.6_Dynamic,privat,Offer,1600,control,Other,2016,manuell,0,scenic,150000,Jan,Other,renault,Other,2016-03-17 00:00:00,33649,2016-04-07 09:46:34,2016,2016,March,March,21,9,0,11
2016-03-27 21:51:21,Renault_Megane_Grand_Tourer_Motorschaden_!,privat,Offer,780,test,Other,2005,Unspecified,0,Other,150000,Jan,Other,renault,Other,2016-03-27 00:00:00,87730,2016-04-05 22:15:35,2016,2016,March,March,9,22,11,11
2016-04-04 13:39:36,Renault_Kangoo,privat,Offer,1200,control,Other,2016,Unspecified,0,kangoo,150000,Jan,Diesel,renault,Other,2016-04-04 00:00:00,30539,2016-04-04 13:39:36,2016,2016,April,April,0,13,0,11
2016-03-17 13:55:35,Renault_Twingo_1.2_123678km_kein_Rost,privat,Offer,299,control,Other,2000,Unspecified,0,twingo,125000,Sep,Gasoline,renault,No,2016-03-17 00:00:00,45663,2016-03-20 15:15:38,2016,2016,March,March,3,15,16,3
2016-04-04 12:54:13,Renault_laguna_1_9_tdci_mit_tuev,privat,Offer,1111,control,Other,2016,manuell,131,laguna,150000,Sep,Other,renault,No,2016-04-04 00:00:00,16259,2016-04-04 12:54:13,2016,2016,April,April,0,12,0,3
2016-03-30 21:53:23,An_bastler_Zuverschenken,privat,Offer,0,test,Other,2000,Unspecified,0,espace,5000,Jan,Other,renault,Other,2016-03-30 00:00:00,78259,2016-04-01 17:16:19,2016,2016,March,March,2,17,16,11
2016-03-24 20:49:56,Renault_Laguna_BJ_2002_3.Hand,privat,Offer,1600,test,Other,2002,manuell,0,laguna,150000,Jan,Other,renault,Other,2016-03-24 00:00:00,99974,2016-03-29 07:17:05,2016,2016,March,March,5,7,14,11
2016-03-07 17:58:02,Renault_twingo_mit_viel_schnick_schnack,privat,Offer,2200,test,Other,2016,manuell,0,twingo,60000,Jan,Other,renault,Other,2016-03-07 00:00:00,41366,2016-04-06 20:19:09,2016,2016,March,March,30,20,0,11
2016-04-02 13:46:18,Renault_twingo,privat,Offer,250,test,Other,1995,Unspecified,0,Other,150000,Jan,Gasoline,renault,Yes,2016-04-02 00:00:00,66386,2016-04-06 11:47:07,2016,2016,April,April,4,11,21,11
2016-03-29 19:43:14,An_Bastler_zu_verkaufen__siehe_Beschreibung,privat,Offer,300,control,Other,2016,manuell,0,kangoo,150000,Mar,Other,renault,Yes,2016-03-29 00:00:00,24148,2016-03-29 19:43:14,2016,2016,March,March,0,19,0,9
2016-03-15 11:46:50,Clio_2_muss_weg,privat,Offer,200,test,Other,2016,manuell,54,clio,150000,Jan,Other,renault,Other,2016-03-15 00:00:00,53894,2016-04-05 23:16:28,2016,2016,March,March,21,23,0,11
