dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-31 13:45:43,RENAULT_MEGANE_2.0_TURBO_COUPE_CABRIO_PRIVILEG,privat,Offer,6900,control,cabrio,2006,manuell,163,megane,100000,Jan,Gasoline,renault,No,2016-03-31 00:00:00,84416,2016-04-06 06:16:29,2016,2016,March,March,6,6,10,11
2016-04-04 21:52:13,Megane_CC,privat,Offer,3650,test,cabrio,2004,manuell,113,megane,150000,Sep,Gasoline,renault,Other,2016-04-04 00:00:00,21739,2016-04-07 00:45:06,2016,2016,April,April,3,0,12,3
2016-03-11 23:52:14,Renault_Megane_1.9_dCi_FAP_Coupe_Cabriolet_Privilege,privat,Offer,5129,test,cabrio,2006,manuell,131,megane,150000,Apr,Diesel,renault,No,2016-03-11 00:00:00,44227,2016-04-05 14:44:27,2016,2016,March,March,25,14,10,8
2016-03-17 19:59:11,Renault_Megane_dCi_110_FAP_EDC_eco_Coupe_luxe,privat,Offer,12400,control,cabrio,2010,automatik,110,megane,150000,Nov,Diesel,renault,No,2016-03-17 00:00:00,24119,2016-04-07 08:15:43,2016,2016,March,March,21,8,6,1
2016-04-03 12:51:50,Renault_Megane_Cabrio_1.4_elektronisches_verdeck,privat,Offer,1799,control,cabrio,2001,manuell,95,megane,100000,Jun,Gasoline,renault,No,2016-04-03 00:00:00,4159,2016-04-05 11:18:46,2016,2016,April,April,2,11,15,6
2016-03-17 16:52:29,Megane_1.4_Cabrio_95_PS__Bauj._4._2000,privat,Offer,1850,test,cabrio,2000,manuell,95,Other,150000,Apr,Other,renault,Other,2016-03-17 00:00:00,48653,2016-04-07 02:17:22,2016,2016,March,March,21,2,16,8
2016-03-14 22:41:14,Renault_Megane_1.6_Coupe_Cabriolet_Confort_Dynamique,privat,Offer,3500,control,cabrio,2004,manuell,113,megane,150000,Jul,Gasoline,renault,No,2016-03-14 00:00:00,90584,2016-03-25 13:48:26,2016,2016,March,March,11,13,12,5
2016-03-12 20:53:45,Renault_Megane_Cabriolet_2LMaschine,privat,Offer,2800,test,cabrio,1998,automatik,115,megane,90000,Aug,Gasoline,renault,No,2016-03-12 00:00:00,22549,2016-04-05 15:47:39,2016,2016,March,March,24,15,18,4
2016-03-30 20:47:34,Renault_Megane_TCe_130_Coupe_Cabriolet_Luxe,privat,Offer,13600,control,cabrio,2010,manuell,131,megane,60000,Aug,Gasoline,renault,No,2016-03-30 00:00:00,90530,2016-04-07 13:17:32,2016,2016,March,March,8,13,6,4
2016-03-11 18:06:22,RENAULT_MEGANE_CABRIO_2.0lTÜV_NEU_TOP_GEPFLEGT,privat,Offer,6200,control,cabrio,2006,manuell,0,megane,90000,Sep,Gasoline,renault,No,2016-03-11 00:00:00,35764,2016-03-24 05:17:52,2016,2016,March,March,13,5,10,3
2016-04-02 17:41:13,megane_cabrio_elia_sport__18_zoll__top_zustand_navi_dvd,privat,Offer,4800,control,cabrio,2004,manuell,135,megane,100000,Apr,Gasoline,renault,No,2016-04-02 00:00:00,34376,2016-04-06 16:46:05,2016,2016,April,April,4,16,12,8
2016-03-05 15:45:36,Renault_Megane_1.6_Coupe_Cabriolet,privat,Offer,5250,control,cabrio,2006,manuell,111,megane,70000,Jul,Gasoline,renault,No,2016-03-05 00:00:00,72654,2016-03-26 02:45:22,2016,2016,March,March,21,2,10,5
2016-03-22 05:02:48,Renault_Megane_1.9_dCi_FAP_Coupe_Cabriolet_Privilege,privat,Offer,3499,test,cabrio,2006,automatik,131,megane,150000,Jan,Diesel,renault,No,2016-03-22 00:00:00,53489,2016-03-31 02:15:21,2016,2016,March,March,9,2,10,11
2016-03-20 07:58:56,Renault_Megane_Cabrio_1.9_dci,privat,Offer,5000,control,cabrio,2004,manuell,120,megane,150000,Apr,Diesel,renault,No,2016-03-20 00:00:00,14476,2016-03-21 10:16:39,2016,2016,March,March,1,10,12,8
2016-03-16 18:37:34,Renault_Megane_1.9_dCi_Coupe_Cabriolet_Confort_Authe...,privat,Offer,3950,control,cabrio,2004,manuell,120,megane,150000,Feb,Diesel,renault,No,2016-03-16 00:00:00,58099,2016-04-07 02:15:33,2016,2016,March,March,22,2,12,10
