dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-31 00:32:39,"Renault_Megane_1.6_""Bastler_Fahrzeug_oder_zum_ausschlachten""",privat,Offer,140,test,coupe,1997,manuell,0,megane,150000,Jun,Gasoline,renault,Yes,2016-03-30 00:00:00,60435,2016-04-05 17:26:10,2016,2016,March,March,6,17,19,6
2016-04-01 19:47:44,Renault_Megane_1.6_Coupe_Dynamique,privat,Offer,7000,control,coupe,2009,manuell,110,megane,70000,May,Gasoline,renault,No,2016-04-01 00:00:00,86842,2016-04-05 16:45:06,2016,2016,April,April,4,16,7,7
2016-03-09 19:56:15,Renault_Megane_Tce_250_RS_Cup_Edition,privat,Offer,17000,test,coupe,2011,manuell,250,megane,60000,Sep,Gasoline,renault,No,2016-03-09 00:00:00,30559,2016-03-09 19:56:15,2016,2016,March,March,0,19,5,3
2016-03-24 19:58:32,Renault_Megane_Coach_2.0,privat,Offer,1900,control,coupe,1996,manuell,114,megane,150000,Nov,Gasoline,renault,No,2016-03-24 00:00:00,55218,2016-04-06 07:44:31,2016,2016,March,March,13,7,20,1
2016-04-04 22:48:30,Renault_Megane3_Coupe_mit_Lederausstattung,privat,Offer,7490,test,coupe,2009,manuell,180,megane,150000,Jan,Gasoline,renault,Other,2016-04-04 00:00:00,41516,2016-04-07 01:45:57,2016,2016,April,April,3,1,7,11
2016-03-30 16:57:27,Renault_Megane_1_6_16v___TÜV_neu,privat,Offer,2600,test,coupe,2003,manuell,113,megane,150000,Jan,Gasoline,renault,Other,2016-03-30 00:00:00,38126,2016-04-07 07:45:14,2016,2016,March,March,8,7,13,11
2016-03-23 00:59:49,Renault_Laguna_Coupe_2.0_dCi_FAP_Dynamique,privat,Offer,8200,test,coupe,2009,manuell,150,laguna,150000,Apr,Diesel,renault,No,2016-03-22 00:00:00,44575,2016-04-07 06:46:06,2016,2016,March,March,16,6,7,8
2016-03-14 16:37:36,Renault_Megane_1.6_bordeauxrot,privat,Offer,600,test,coupe,1996,automatik,90,megane,60000,May,Gasoline,renault,Yes,2016-03-14 00:00:00,52064,2016-03-27 21:45:19,2016,2016,March,March,13,21,20,7
2016-03-24 09:58:31,Renault_Twingo_1_2l_2003er_TÜV_12/17,privat,Offer,1450,control,coupe,2003,manuell,60,twingo,125000,May,Gasoline,renault,Other,2016-03-24 00:00:00,12437,2016-04-07 01:15:42,2016,2016,March,March,14,1,13,7
2016-04-01 13:39:51,Renault_Megane_RS_tce_250_Cup_Edition,privat,Offer,0,test,coupe,2011,manuell,250,megane,60000,Sep,Gasoline,renault,No,2016-04-01 00:00:00,30559,2016-04-07 10:15:51,2016,2016,April,April,6,10,5,3
2016-03-23 23:36:55,Renault_Megane_3_Coupé_1.5dci_!_Partikelfilter_Defekt_!,privat,Offer,4600,control,coupe,2009,manuell,106,megane,150000,May,Diesel,renault,No,2016-03-23 00:00:00,30457,2016-04-06 19:17:48,2016,2016,March,March,14,19,7,7
2016-03-30 23:54:13,Clio_1.4_16v_mit_tuev,privat,Offer,1200,control,coupe,2003,manuell,98,clio,150000,Oct,Gasoline,renault,Other,2016-03-30 00:00:00,86154,2016-04-02 02:15:54,2016,2016,March,March,3,2,13,2
2016-03-14 14:46:05,Renault_Megane_3_Coupé_1.5dci_!_Partikelfilter_Defekt_!,privat,Offer,4500,control,coupe,2009,manuell,106,megane,150000,Apr,Diesel,renault,No,2016-03-14 00:00:00,30457,2016-03-16 04:45:39,2016,2016,March,March,2,4,7,8
2016-03-28 16:47:44,Renault_Laguna_Coupe_GT_180_2.0_Dci,privat,Offer,13350,test,coupe,2009,manuell,178,laguna,90000,Apr,Diesel,renault,No,2016-03-28 00:00:00,45326,2016-04-06 22:15:41,2016,2016,March,March,9,22,7,8
2016-03-26 16:43:49,Renault_Megane_Coupe_TCe_130_GT_Line,privat,Offer,12999,control,coupe,2013,manuell,131,megane,30000,Apr,Gasoline,renault,No,2016-03-26 00:00:00,52477,2016-04-06 04:45:33,2016,2016,March,March,11,4,3,8
2016-03-09 16:51:13,Scharfer_Megane,privat,Offer,1250,test,coupe,2000,manuell,150,megane,150000,Feb,Gasoline,renault,No,2016-03-09 00:00:00,1623,2016-03-14 08:45:02,2016,2016,March,March,5,8,16,10
2016-03-14 19:40:32,Verkaufe_Renault_Megane_Couch_1_6_HU_bis_2.17.,privat,Offer,850,control,coupe,1998,manuell,90,megane,100000,Jun,Gasoline,renault,No,2016-03-14 00:00:00,6193,2016-03-17 09:15:42,2016,2016,March,March,3,9,18,6
2016-04-04 15:37:30,Renault_Alpine_GT_Turbo_zum_restaurieren,privat,Offer,7900,test,coupe,1988,manuell,185,andere,60000,Oct,Other,renault,Other,2016-04-04 00:00:00,78576,2016-04-04 15:37:30,2016,2016,April,April,0,15,28,2
2016-03-24 23:54:57,Renault_Megane_1.9DCI,privat,Offer,1,test,coupe,2003,manuell,120,megane,150000,Jan,Diesel,renault,Yes,2016-03-24 00:00:00,21706,2016-04-06 06:17:05,2016,2016,March,March,13,6,13,11
