dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-20 10:25:19,Renault_Twingo_1.2_16V_Aut.,privat,Offer,1750,control,kleinwagen,2004,automatik,75,twingo,150000,Feb,Gasoline,renault,No,2016-03-20 00:00:00,65599,2016-04-06 13:16:07,2016,2016,March,March,17,13,12,10
2016-03-29 18:57:46,Renault_Clio_1.4,privat,Offer,590,control,kleinwagen,1999,manuell,75,clio,125000,Aug,Gasoline,renault,No,2016-03-29 00:00:00,84180,2016-03-29 18:57:46,2016,2016,March,March,0,18,17,4
2016-04-01 17:56:34,Servo_Klima_Zv__usw,privat,Offer,1199,test,kleinwagen,2000,manuell,60,twingo,150000,May,Gasoline,renault,No,2016-04-01 00:00:00,28832,2016-04-05 13:44:57,2016,2016,April,April,4,13,16,7
2016-03-09 09:51:36,renault_clio_TÜV_NEU_bis_03_2018_inzahlungname_moeglich,privat,Offer,800,test,kleinwagen,1998,manuell,54,clio,150000,Nov,Gasoline,renault,No,2016-03-09 00:00:00,34516,2016-03-14 11:46:52,2016,2016,March,March,5,11,18,1
2016-03-19 19:49:15,is_ales_ok,privat,Offer,500,control,kleinwagen,1999,manuell,0,Other,150000,Jan,Gasoline,renault,No,2016-03-19 00:00:00,26969,2016-04-01 11:17:48,2016,2016,March,March,13,11,17,11
2016-03-21 14:56:24,Renault_Clio_1.4_RXE,privat,Offer,1150,control,kleinwagen,2000,manuell,75,clio,150000,Mar,Gasoline,renault,No,2016-03-21 00:00:00,44879,2016-03-22 19:20:00,2016,2016,March,March,1,19,16,9
2016-04-01 19:58:29,Renault_Clio_II_1.2_i_16V,privat,Offer,2700,control,kleinwagen,2006,manuell,75,clio,125000,Jun,Gasoline,renault,Yes,2016-04-01 00:00:00,34582,2016-04-05 17:26:59,2016,2016,April,April,4,17,10,6
2016-03-22 13:54:57,Twingo_1_2,privat,Offer,300,control,kleinwagen,1998,manuell,58,twingo,125000,Nov,Other,renault,Other,2016-03-22 00:00:00,42579,2016-03-22 13:54:57,2016,2016,March,March,0,13,18,1
2016-03-16 19:47:27,Renault_Clio_1.6_16_V,privat,Offer,1000,test,kleinwagen,1999,manuell,107,clio,150000,Jun,Gasoline,renault,No,2016-03-16 00:00:00,14612,2016-04-07 04:46:17,2016,2016,March,March,22,4,17,6
2016-03-10 17:39:51,Renault_Clio,privat,Offer,1849,control,kleinwagen,1999,manuell,54,clio,90000,Jul,Gasoline,renault,No,2016-03-10 00:00:00,53940,2016-03-12 22:18:31,2016,2016,March,March,2,22,17,5
2016-03-28 14:53:30,Renault_Twingo_mit_Faltdach,privat,Offer,1100,test,kleinwagen,2002,manuell,58,twingo,150000,May,Gasoline,renault,No,2016-03-28 00:00:00,44623,2016-04-06 19:16:29,2016,2016,March,March,9,19,14,7
