dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-15 15:41:08,Renault_Clio_Grandtour_1.2_16V_75_Dynamique,privat,Offer,9790,control,kombi,2014,manuell,73,clio,30000,Apr,Gasoline,renault,No,2016-03-15 00:00:00,10249,2016-03-29 20:18:04,2016,2016,March,March,14,20,2,8
2016-03-13 22:46:52,Renault__Megane__Grandtour_Exception_2_0_dci_Scheckheft_blau,privat,Offer,6450,control,kombi,2006,manuell,150,megane,125000,Sep,Diesel,renault,No,2016-03-13 00:00:00,25715,2016-04-06 19:17:57,2016,2016,March,March,24,19,10,3
2016-03-15 10:58:35,Bastlerfahrzeug_mit_Gasanlage_zu_verkaufen,privat,Offer,1100,control,kombi,1998,manuell,120,laguna,150000,Jan,Other,renault,Yes,2016-03-15 00:00:00,34519,2016-03-22 10:17:24,2016,2016,March,March,7,10,18,11
2016-03-30 20:49:23,Renault_Megane_1.9_dCi_FAP_Grandtour,privat,Offer,3999,control,kombi,2006,manuell,131,megane,150000,Feb,Diesel,renault,No,2016-03-30 00:00:00,50765,2016-04-07 13:17:59,2016,2016,March,March,8,13,10,10
2016-03-27 14:49:20,Renault_Megane_zu_verkaufen,privat,Offer,500,control,kombi,1999,manuell,104,megane,150000,Jul,Gasoline,renault,No,2016-03-27 00:00:00,31737,2016-04-01 14:45:24,2016,2016,March,March,5,14,17,5
2016-03-26 21:00:13,Reanult_Megane_mit_Klima_und_TÜV,privat,Offer,450,control,kombi,1998,manuell,0,megane,150000,Jun,Gasoline,renault,Other,2016-03-26 00:00:00,31079,2016-04-06 11:45:22,2016,2016,March,March,11,11,18,6
2016-03-22 16:52:10,Renault_Kangoo__rot__BJ__2002__TÜV_8/2016__Gifhorn,privat,Offer,1300,test,kombi,2002,manuell,95,kangoo,150000,Sep,Gasoline,renault,Yes,2016-03-22 00:00:00,38527,2016-03-25 09:16:50,2016,2016,March,March,3,9,14,3
2016-03-20 19:38:18,Renault_Megane_1.6_Grandtour_Dynamique,privat,Offer,4190,test,kombi,2006,manuell,116,megane,90000,Feb,Gasoline,renault,No,2016-03-20 00:00:00,64289,2016-04-07 03:17:50,2016,2016,March,March,18,3,10,10
2016-03-10 12:47:44,Verkaufe_Renault_Megane,privat,Offer,1600,test,kombi,2005,manuell,113,megane,150000,Feb,Gasoline,renault,Other,2016-03-10 00:00:00,46509,2016-03-22 06:49:55,2016,2016,March,March,12,6,11,10
2016-04-02 11:58:16,RENAULT_MEGANE_KOMBI,privat,Offer,400,test,kombi,1999,manuell,107,megane,150000,Jun,Other,renault,Other,2016-04-02 00:00:00,44536,2016-04-02 12:44:11,2016,2016,April,April,0,12,17,6
2016-03-13 07:54:02,Renault_Megane_Scenic_700_VHB,privat,Offer,400,test,kombi,1998,manuell,90,scenic,150000,Mar,Gasoline,renault,Other,2016-03-13 00:00:00,79206,2016-03-20 13:18:39,2016,2016,March,March,7,13,18,9
2016-03-19 20:44:58,Renault_Clio_1.2_16V_TCE_Grandtour_Dynamique,privat,Offer,5750,control,kombi,2009,manuell,101,clio,50000,Jan,Gasoline,renault,No,2016-03-19 00:00:00,72793,2016-04-01 12:17:27,2016,2016,March,March,13,12,7,11
2016-04-01 21:40:34,Renault_Kangoo,privat,Offer,2350,test,kombi,2002,manuell,75,kangoo,150000,Apr,Gasoline,renault,No,2016-04-01 00:00:00,53113,2016-04-05 19:16:02,2016,2016,April,April,4,19,14,8
2016-04-01 22:55:06,Renault_Grand_Scenic_2.0_16V__TÜV_BIS_11.2017___7_Sitzer,privat,Offer,5000,test,kombi,2005,manuell,135,scenic,125000,May,Gasoline,renault,No,2016-04-01 00:00:00,6130,2016-04-05 23:46:12,2016,2016,April,April,4,23,11,7
2016-03-16 23:25:23,Renault_Laguna_Kombi,privat,Offer,160,test,kombi,1999,manuell,115,laguna,150000,Feb,Gasoline,renault,Yes,2016-03-16 00:00:00,35578,2016-03-20 05:44:49,2016,2016,March,March,4,5,17,10
