dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-13 12:50:57,ROVER_200i_214i_Defekt,privat,Offer,249,test,kleinwagen,1998,manuell,75,andere,150000,Sep,Gasoline,rover,Yes,2016-03-13 00:00:00,41564,2016-03-13 12:50:57,2016,2016,March,March,0,12,18,3
2016-03-30 14:40:36,Rover__GB_,privat,Offer,844,control,kleinwagen,1998,manuell,0,andere,125000,Jun,Gasoline,rover,Other,2016-03-30 00:00:00,12526,2016-04-07 05:15:28,2016,2016,March,March,8,5,18,6
2016-03-31 01:37:00,Rover_25_1.4_Celeste,privat,Offer,950,test,kleinwagen,2004,manuell,103,andere,150000,Aug,Lpg,rover,No,2016-03-31 00:00:00,47178,2016-03-31 08:46:32,2016,2016,March,March,0,8,12,4
2016-03-17 23:52:48,MG_ZR_160_Farbe:_Nightshade_/_Vollaustattung_/_Leder_+_Alcantara,privat,Offer,2699,control,kleinwagen,2003,manuell,160,andere,150000,Nov,Gasoline,rover,No,2016-03-17 00:00:00,6198,2016-04-05 21:16:02,2016,2016,March,March,19,21,13,1
2016-03-28 13:53:40,Rover_25_1.4_Style,privat,Offer,1450,test,kleinwagen,2003,manuell,103,andere,150000,Jul,Gasoline,rover,No,2016-03-28 00:00:00,86179,2016-03-28 13:53:40,2016,2016,March,March,0,13,13,5
2016-03-18 10:37:03,Rover_214_SI,privat,Offer,200,control,kleinwagen,1997,manuell,103,Other,125000,May,Gasoline,rover,Other,2016-03-18 00:00:00,94259,2016-03-18 10:37:03,2016,2016,March,March,0,10,19,7
2016-03-15 11:50:39,Rover_25_4_Tuerig,privat,Offer,350,test,kleinwagen,2001,manuell,101,andere,125000,Jun,Gasoline,rover,Other,2016-03-15 00:00:00,44147,2016-03-16 07:46:17,2016,2016,March,March,1,7,15,6
2016-03-20 16:45:43,Rover_25.Ersatzteilspender,privat,Offer,250,test,kleinwagen,2000,manuell,84,andere,100000,May,Gasoline,rover,Yes,2016-03-20 00:00:00,39443,2016-03-20 16:45:43,2016,2016,March,March,0,16,16,7
2016-03-30 14:53:11,Rover_200,privat,Offer,999,control,kleinwagen,1998,manuell,103,andere,125000,Jun,Gasoline,rover,No,2016-03-30 00:00:00,12526,2016-04-07 05:44:52,2016,2016,March,March,8,5,18,6
2016-03-18 01:57:30,Rang_Rover_EINWANDFREI!!_Nur_1199,privat,Offer,1050,control,kleinwagen,1998,manuell,103,rangerover,150000,Oct,Gasoline,rover,Other,2016-03-18 00:00:00,49084,2016-04-05 21:18:19,2016,2016,March,March,18,21,18,2
2016-03-16 01:51:38,Rover_TÜV/AU_NEU__Rover_216_SI,privat,Offer,1000,test,kleinwagen,1997,manuell,111,andere,150000,May,Gasoline,rover,No,2016-03-15 00:00:00,68163,2016-03-26 11:47:26,2016,2016,March,March,11,11,19,7
2016-03-31 09:50:01,Rover_200_1.4.,privat,Offer,300,control,kleinwagen,1998,manuell,75,andere,150000,Nov,Gasoline,rover,No,2016-03-31 00:00:00,13435,2016-03-31 10:44:06,2016,2016,March,March,0,10,18,1
2016-03-10 17:43:15,ROVER_200_1.4_TOP_ZUSTAND,privat,Offer,1100,control,kleinwagen,1998,manuell,75,andere,125000,Feb,Gasoline,rover,No,2016-03-10 00:00:00,38162,2016-03-23 15:46:47,2016,2016,March,March,13,15,18,10
2016-03-08 21:45:29,Verkaufe_mein_Auto_Rover_214_Si_in_Berlin,privat,Offer,1000,control,kleinwagen,1997,manuell,103,andere,80000,Feb,Gasoline,rover,No,2016-03-08 00:00:00,12683,2016-04-06 02:45:32,2016,2016,March,March,29,2,19,10
