dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-13 16:37:55,Saab_9_3_2.0_T_Cabrio,privat,Offer,11499,test,cabrio,2006,manuell,209,andere,90000,Aug,Gasoline,saab,No,2016-03-13 00:00:00,22765,2016-04-06 17:16:47,2016,2016,March,March,24,17,10,4
2016-03-08 15:55:24,Saab_900_2.3i_Cabrio_SE,privat,Offer,3900,test,cabrio,1997,manuell,150,900,100000,Feb,Gasoline,saab,No,2016-03-08 00:00:00,74321,2016-03-14 23:17:39,2016,2016,March,March,6,23,19,10
2016-03-29 00:43:37,Saab_9_3_1.8_t_Cabrio_Linear,privat,Offer,4999,test,cabrio,2004,manuell,150,andere,150000,Mar,Gasoline,saab,No,2016-03-28 00:00:00,40724,2016-04-07 10:46:44,2016,2016,March,March,10,10,12,9
2016-03-14 15:56:26,Saab_9_3_2.0i_t_Cabrio_SE,privat,Offer,1500,control,cabrio,2000,manuell,150,andere,150000,Sep,Gasoline,saab,Yes,2016-03-14 00:00:00,34346,2016-03-22 09:16:43,2016,2016,March,March,8,9,16,3
2016-03-28 19:37:15,Saab_9_3_2.0_t_Cabrio_Vector,privat,Offer,6550,control,cabrio,2004,manuell,175,andere,150000,Aug,Gasoline,saab,No,2016-03-28 00:00:00,45279,2016-03-30 11:16:54,2016,2016,March,March,2,11,12,4
2016-03-19 10:58:16,Saab_93_Cabriolet_2_0,privat,Offer,2450,test,cabrio,1999,manuell,130,andere,150000,Nov,Other,saab,No,2016-03-19 00:00:00,81829,2016-04-06 11:45:46,2016,2016,March,March,18,11,17,1
2016-03-15 18:59:04,Saab_9_3_2.0i_t_Cabrio_SE,privat,Offer,4400,control,cabrio,2002,manuell,150,andere,150000,Feb,Gasoline,saab,No,2016-03-15 00:00:00,31535,2016-04-06 21:16:59,2016,2016,March,March,22,21,14,10
2016-03-13 18:43:54,Saab_9_3_Vector_Cabrio_1.9_TID_DPF_Navi__Klima__PDC,privat,Offer,5700,test,cabrio,2006,manuell,150,andere,150000,Jul,Diesel,saab,No,2016-03-13 00:00:00,22393,2016-03-13 18:43:54,2016,2016,March,March,0,18,10,5
2016-03-11 02:36:24,Saab_900_Cabrio,privat,Offer,3599,control,cabrio,1989,manuell,175,900,80000,Aug,Gasoline,saab,No,2016-03-11 00:00:00,3205,2016-03-11 07:37:55,2016,2016,March,March,0,7,27,4
2016-03-31 11:38:18,Saab_900_2.3i_Cabrio_SE,privat,Offer,4500,control,cabrio,1994,manuell,150,900,150000,May,Gasoline,saab,No,2016-03-31 00:00:00,49824,2016-04-06 03:46:50,2016,2016,March,March,6,3,22,7
2016-04-03 21:00:22,Saab_900_Turbo_Cabrio_Vollturbo,privat,Offer,9500,test,cabrio,1992,manuell,160,900,150000,Jan,Gasoline,saab,Other,2016-04-03 00:00:00,42119,2016-04-05 21:47:42,2016,2016,April,April,2,21,24,11
2016-03-24 14:57:55,Saab_900_2.3i_Cabrio_SE,privat,Offer,4200,test,cabrio,1997,manuell,150,900,150000,Jul,Gasoline,saab,No,2016-03-24 00:00:00,32676,2016-04-07 07:16:58,2016,2016,March,March,14,7,19,5
