dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-05 21:42:31,Saab_9_3_1.8_t_Sport_Kombi_Linear,privat,Offer,4250,test,kombi,2005,manuell,150,andere,150000,Aug,Gasoline,saab,No,2016-03-05 00:00:00,88690,2016-03-06 04:17:21,2016,2016,March,March,1,4,11,4
2016-03-31 08:25:25,SAAB_9_5_AERO_FACELIFT_AUTOMATIK_BI_Xenon,privat,Offer,4990,control,kombi,2003,automatik,250,andere,150000,Sep,Gasoline,saab,No,2016-03-31 00:00:00,65929,2016-04-05 18:19:20,2016,2016,March,March,5,18,13,3
2016-03-19 09:58:14,**_Saab_9_5__**Kombi**,privat,Offer,2299,test,kombi,2001,manuell,170,andere,150000,Jun,Gasoline,saab,No,2016-03-19 00:00:00,44229,2016-03-31 16:47:32,2016,2016,March,March,12,16,15,6
2016-03-20 13:42:29,Saab_9_5_Kombi_2.3_Turbo_Aero__TÜV_12/17__Xenon,privat,Offer,4999,test,kombi,2002,manuell,250,andere,150000,Aug,Gasoline,saab,No,2016-03-20 00:00:00,45549,2016-03-24 04:47:36,2016,2016,March,March,4,4,14,4
2016-03-31 11:37:20,Saab_9_5_Kombi_2.3_Turbo_Aero,privat,Offer,5500,control,kombi,2002,automatik,250,andere,150000,May,Gasoline,saab,No,2016-03-31 00:00:00,64397,2016-04-06 03:46:49,2016,2016,March,March,6,3,14,7
2016-03-07 16:49:52,Saab_9_5_KOMBI_2.2_D_TÜV_NEU_Reifen_NEU,privat,Offer,3150,control,kombi,2002,manuell,120,andere,150000,Feb,Diesel,saab,No,2016-03-07 00:00:00,22391,2016-04-06 02:15:25,2016,2016,March,March,30,2,14,10
2016-03-10 20:55:08,Saab_9_5_Kombi_2.0t,privat,Offer,599,test,kombi,1999,automatik,150,andere,150000,Nov,Gasoline,saab,Yes,2016-03-10 00:00:00,18181,2016-03-22 21:16:34,2016,2016,March,March,12,21,17,1
2016-03-26 14:45:52,Saab_9_3_2.0_t_Sport_Kombi_Vector_unfallauto,privat,Offer,2250,control,kombi,2005,manuell,175,andere,125000,Aug,Gasoline,saab,Yes,2016-03-26 00:00:00,12205,2016-04-04 01:18:38,2016,2016,March,March,9,1,11,4
2016-03-30 20:57:02,Saab_9_5_Aero_mit_ca._330PS,privat,Offer,5999,control,kombi,2000,manuell,330,Other,150000,Mar,Gasoline,saab,Other,2016-03-30 00:00:00,12459,2016-04-05 11:45:43,2016,2016,March,March,6,11,16,9
2016-04-01 19:55:35,Saab_9_5_Kombi_2_0_Turbo,privat,Offer,1100,control,kombi,2000,manuell,150,andere,150000,Aug,Other,saab,Other,2016-04-01 00:00:00,76316,2016-04-05 16:45:46,2016,2016,April,April,4,16,16,4
2016-03-12 18:43:46,Saab_9.5_Kombi_Aero__mit_Geraeuchen_im_Motor,privat,Offer,950,test,kombi,2000,manuell,230,andere,150000,Apr,Gasoline,saab,Yes,2016-03-12 00:00:00,50735,2016-03-26 03:16:13,2016,2016,March,March,14,3,16,8
2016-03-30 11:52:30,Saab_9_5_Kombi_2.3t,privat,Offer,4250,test,kombi,2001,manuell,185,andere,150000,Nov,Gasoline,saab,No,2016-03-30 00:00:00,42105,2016-04-07 02:45:03,2016,2016,March,March,8,2,15,1
2016-03-21 10:56:49,Saab_9_5_Kombi_2.3t_SE,privat,Offer,2299,test,kombi,2001,manuell,170,andere,150000,Feb,Gasoline,saab,No,2016-03-21 00:00:00,44229,2016-03-31 11:46:15,2016,2016,March,March,10,11,15,10
2016-03-12 20:37:59,Saab_9_3_1.9_DPF__Kombi,privat,Offer,2900,test,kombi,2006,manuell,175,andere,150000,Jun,Diesel,saab,No,2016-03-12 00:00:00,24866,2016-03-12 20:37:59,2016,2016,March,March,0,20,10,6
