dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-21 12:48:36,Saab_9_5_Troll_Hirsch_2.3t_Aero,privat,Offer,0,control,limousine,1998,automatik,230,Other,150000,Oct,Gasoline,saab,Other,2016-03-21 00:00:00,71691,2016-03-22 17:15:47,2016,2016,March,March,1,17,18,2
2016-04-04 19:41:14,Saab_9_3_benziner_2_0t_vollsusstatung,privat,Offer,3999,test,limousine,2004,automatik,0,andere,150000,Sep,Gasoline,saab,No,2016-04-04 00:00:00,13597,2016-04-04 19:41:14,2016,2016,April,April,0,19,12,3
2016-03-27 01:00:01,Saab_9000_2.0_Turbo_CS,privat,Offer,2249,test,limousine,1997,manuell,150,9000,150000,Oct,Gasoline,saab,No,2016-03-27 00:00:00,45886,2016-04-07 04:45:53,2016,2016,March,March,11,4,19,2
2016-03-14 13:50:12,Verkaufe_einen_Saab_900S,privat,Offer,1100,test,limousine,1997,manuell,0,900,150000,Jun,Other,saab,No,2016-03-14 00:00:00,48336,2016-04-05 15:15:37,2016,2016,March,March,22,15,19,6
2016-03-31 18:48:17,Saab_9_3_2.2_TiD_Vector,privat,Offer,2600,control,limousine,2003,manuell,125,andere,150000,May,Diesel,saab,No,2016-03-31 00:00:00,22147,2016-04-06 12:46:33,2016,2016,March,March,6,12,13,7
2016-03-14 18:57:49,Saab_9_5_2.0_turbo,privat,Offer,950,test,limousine,2000,manuell,150,andere,150000,Apr,Gasoline,saab,Yes,2016-03-14 00:00:00,12681,2016-03-17 08:17:30,2016,2016,March,March,3,8,16,8
2016-03-09 20:42:15,Sabb_9.3_s____2.2_tid,privat,Offer,1200,test,limousine,2003,manuell,125,andere,150000,Nov,Diesel,saab,Other,2016-03-09 00:00:00,21075,2016-03-12 21:47:10,2016,2016,March,March,3,21,13,1
2016-03-31 15:46:25,Saab_9_3_2.2_TiD,privat,Offer,2390,control,limousine,2002,manuell,125,andere,150000,Jun,Diesel,saab,No,2016-03-31 00:00:00,21365,2016-04-06 08:44:54,2016,2016,March,March,6,8,14,6
2016-03-05 15:46:32,Saab_9_3_2.3i,privat,Offer,999,control,limousine,1998,manuell,150,andere,150000,Aug,Gasoline,saab,No,2016-03-05 00:00:00,78176,2016-04-07 14:58:40,2016,2016,March,March,33,14,18,4
2016-03-20 14:38:14,Sehr_gut_erh._Saab_900s__Tuev_07/17__wenig_Km__2._Hand_Schiebedach,privat,Offer,1850,test,limousine,1994,manuell,133,900,150000,Jan,Gasoline,saab,No,2016-03-20 00:00:00,31134,2016-04-04 15:44:59,2016,2016,March,March,15,15,22,11
2016-03-07 19:38:51,Saab_9_3_TTID,privat,Offer,11799,control,limousine,2008,manuell,179,andere,150000,May,Diesel,saab,No,2016-03-07 00:00:00,32832,2016-04-07 09:16:29,2016,2016,March,March,31,9,8,7
2016-03-05 14:21:23,Guter_saab_9000_CD,privat,Offer,1150,test,limousine,1990,manuell,145,9000,150000,Jan,Gasoline,saab,No,2016-03-04 00:00:00,56337,2016-04-05 20:46:01,2016,2016,March,March,32,20,26,11
2016-03-21 07:54:16,Saab_9_3_2.2_l_TiD_Vector*Navi*Xenon*Telefon*PDC*,privat,Offer,2900,control,limousine,2004,manuell,125,andere,150000,Aug,Other,saab,Other,2016-03-21 00:00:00,37534,2016-04-03 23:16:29,2016,2016,March,March,13,23,12,4
2016-03-16 14:25:23,Saab_99_Airflow_Ralley,privat,Offer,6699,control,limousine,1983,manuell,110,andere,150000,May,Gasoline,saab,No,2016-03-16 00:00:00,65929,2016-04-06 14:47:00,2016,2016,March,March,21,14,33,7
2016-03-17 23:39:56,Saab_9000_CS,privat,Offer,199,control,limousine,1991,automatik,200,9000,150000,Jan,Gasoline,saab,Yes,2016-03-17 00:00:00,39638,2016-04-05 14:18:28,2016,2016,March,March,19,14,25,11
2016-03-27 00:55:29,Details_zu__Saab_9000_CS_Bj._97__230.000_km__150_PS_Turbo,privat,Offer,2249,test,limousine,1997,manuell,150,9000,150000,Oct,Gasoline,saab,No,2016-03-27 00:00:00,45886,2016-04-07 04:45:57,2016,2016,March,March,11,4,19,2
2016-04-03 20:56:57,Saab_9_5_2.0t,privat,Offer,1200,test,limousine,1999,manuell,150,andere,150000,Nov,Gasoline,saab,No,2016-04-03 00:00:00,75173,2016-04-05 21:47:27,2016,2016,April,April,2,21,17,1
2016-03-28 21:39:29,Saab_9000_2.0_Turbo_CSE,privat,Offer,3050,control,limousine,1996,manuell,150,9000,150000,Apr,Gasoline,saab,No,2016-03-28 00:00:00,32791,2016-04-07 04:15:50,2016,2016,March,March,10,4,20,8
2016-03-16 19:47:23,Saab_95__2_3,privat,Offer,1300,test,limousine,1999,manuell,170,andere,30000,Jan,Other,saab,No,2016-03-16 00:00:00,79110,2016-03-17 18:16:57,2016,2016,March,March,1,18,17,11
2016-03-20 19:50:20,SAAB_9_3_MIT_GARANTIE_bis_03.2017,privat,Offer,9900,test,limousine,2008,manuell,179,andere,150000,Oct,Diesel,saab,No,2016-03-20 00:00:00,88213,2016-04-07 04:17:16,2016,2016,March,March,18,4,8,2
2016-03-27 10:36:17,Saab_9_5_2.3_Turbo_Aero,privat,Offer,2800,control,limousine,2001,manuell,230,andere,150000,Jun,Lpg,saab,Yes,2016-03-27 00:00:00,54587,2016-04-07 05:17:07,2016,2016,March,March,11,5,15,6
2016-03-15 13:55:08,Saab_9_3_2006_150PS,privat,Offer,4499,control,limousine,2006,automatik,150,andere,150000,Nov,Diesel,saab,No,2016-03-15 00:00:00,6110,2016-04-06 03:46:32,2016,2016,March,March,22,3,10,1
2016-03-19 22:52:26,Saab_9_5_2.0t,privat,Offer,699,test,limousine,1998,manuell,150,andere,150000,Feb,Gasoline,saab,Yes,2016-03-19 00:00:00,42281,2016-03-22 10:16:22,2016,2016,March,March,3,10,18,10
2016-03-22 21:52:50,Saab_9_5_2.0t,privat,Offer,550,control,limousine,1998,manuell,150,andere,150000,Feb,Gasoline,saab,Yes,2016-03-22 00:00:00,42281,2016-04-02 18:44:23,2016,2016,March,March,11,18,18,10
2016-03-05 19:45:06,Saab_9_3_2.0t,privat,Offer,3349,test,limousine,2006,automatik,175,andere,80000,May,Gasoline,saab,Other,2016-03-05 00:00:00,45279,2016-04-07 07:17:07,2016,2016,March,March,33,7,10,7
2016-03-29 20:47:28,Saab_9_5_Aero_Hirschtuning,privat,Offer,9500,test,limousine,2004,manuell,280,andere,150000,Nov,Gasoline,saab,No,2016-03-29 00:00:00,25421,2016-04-06 07:16:18,2016,2016,March,March,8,7,12,1
2016-04-04 14:53:59,SAAB_9_3_SE_TURBO._LEDER__SITZHZG__KLIMA__viele_Neuteile,privat,Offer,1000,test,limousine,2000,automatik,150,andere,150000,Jun,Gasoline,saab,Yes,2016-04-04 00:00:00,4289,2016-04-06 16:17:37,2016,2016,April,April,2,16,16,6
2016-03-09 19:55:35,Saab_9_3_1.8_t_Salomon_Edition_LPG,privat,Offer,4300,test,limousine,2005,manuell,150,andere,125000,Apr,Lpg,saab,No,2016-03-09 00:00:00,52068,2016-04-05 14:18:47,2016,2016,March,March,27,14,11,8
2016-04-01 19:48:23,Saab_9_3__2.0_Turbo_150_PS,privat,Offer,850,control,limousine,2000,manuell,150,andere,5000,May,Gasoline,saab,Yes,2016-04-01 00:00:00,1705,2016-04-05 16:45:21,2016,2016,April,April,4,16,16,7
2016-04-03 20:48:52,Saab_9_3_1.8i_Linear___wenig_Kilometer,privat,Offer,8000,test,limousine,2008,manuell,122,andere,70000,Nov,Gasoline,saab,No,2016-04-03 00:00:00,9456,2016-04-05 21:46:45,2016,2016,April,April,2,21,8,1
2016-03-07 18:36:24,Saab_9_5_2.0t_150_ps_TÜV_12.2017,privat,Offer,1250,control,limousine,2000,manuell,150,Other,150000,Feb,Gasoline,saab,No,2016-03-07 00:00:00,58456,2016-03-13 04:45:27,2016,2016,March,March,6,4,16,10
2016-03-26 11:55:50,Saab_9_3_2.0_t_SE_Limited_Edit,privat,Offer,970,control,limousine,2001,manuell,150,andere,150000,Apr,Lpg,saab,No,2016-03-26 00:00:00,63322,2016-03-27 23:47:32,2016,2016,March,March,1,23,15,8
2016-04-06 20:36:36,Saab_9.5_SE_Tubo_2.0_mit_Chiptuning__Ledersitzen,privat,Offer,150,test,limousine,1998,manuell,190,900,150000,Nov,Gasoline,saab,Yes,2016-04-06 00:00:00,85055,2016-04-06 20:36:36,2016,2016,April,April,0,20,18,1
2016-03-28 23:37:35,SAAB_9.3_gepflegter_gebrauchter,privat,Offer,4500,test,limousine,2007,manuell,150,Other,150000,Jun,Gasoline,saab,No,2016-03-28 00:00:00,17509,2016-04-05 14:16:31,2016,2016,March,March,8,14,9,6
2016-03-29 15:58:04,Saab_9.3__DIESEL_2_2_tdi,privat,Offer,300,control,limousine,2000,manuell,0,andere,150000,Aug,Diesel,saab,No,2016-03-29 00:00:00,56294,2016-04-02 04:16:19,2016,2016,March,March,4,4,16,4
2016-03-21 10:38:56,Teilespender_Saab_9_5_Limo,privat,Offer,0,test,limousine,1998,automatik,200,Other,150000,Jan,Other,saab,Yes,2016-03-21 00:00:00,59514,2016-04-06 03:16:52,2016,2016,March,March,16,3,18,11
2016-04-02 23:56:04,Saab_96_GL_Oldtimer,privat,Offer,1800,test,limousine,1979,manuell,65,andere,125000,Nov,Gasoline,saab,Yes,2016-04-02 00:00:00,26603,2016-04-07 07:17:13,2016,2016,April,April,5,7,37,1
2016-03-31 20:06:20,Saab_9_3_2.2_TiD,privat,Offer,900,control,limousine,2000,manuell,125,andere,150000,Oct,Diesel,saab,No,2016-03-31 00:00:00,56584,2016-04-06 13:44:43,2016,2016,March,March,6,13,16,2
2016-03-07 21:45:50,Saab_9_3_1.9_TTiD_DPF_Vector_mit_Hirsch_Sportfahrwerk,privat,Offer,11799,control,limousine,2008,manuell,179,andere,150000,May,Diesel,saab,No,2016-03-07 00:00:00,23883,2016-04-06 00:47:07,2016,2016,March,March,30,0,8,7
2016-03-19 10:54:24,Saab_9_3_2.0_Turbo_Aero,privat,Offer,8900,test,limousine,2001,automatik,205,andere,125000,Oct,Gasoline,saab,No,2016-03-19 00:00:00,12161,2016-04-06 13:16:05,2016,2016,March,March,18,13,15,2
2016-03-21 12:47:55,Saab_9_5_Troll_Hirsch_2.3t_Aero,privat,Offer,0,control,limousine,1998,automatik,230,Other,150000,Oct,Gasoline,saab,Other,2016-03-21 00:00:00,71691,2016-03-22 17:15:44,2016,2016,March,March,1,17,18,2
2016-03-07 15:51:49,Saab_9_3_1.9_TiD,privat,Offer,4900,control,limousine,2004,manuell,150,Other,150000,Nov,Diesel,saab,Other,2016-03-07 00:00:00,95473,2016-04-05 11:51:05,2016,2016,March,March,29,11,12,1
2016-03-28 14:40:03,Verkaufe_Saab_9.3_an_Bastler,privat,Offer,699,test,limousine,1999,manuell,132,andere,150000,Mar,Gasoline,saab,Other,2016-03-28 00:00:00,22885,2016-04-06 18:19:19,2016,2016,March,March,9,18,17,9
2016-03-22 20:58:12,Saab_9000_CD_2.3_Turbo_200_PS_Griffin_mit_Wurzelholz,privat,Offer,2950,control,limousine,1992,automatik,200,9000,125000,Jul,Gasoline,saab,No,2016-03-22 00:00:00,10965,2016-04-06 16:16:55,2016,2016,March,March,15,16,24,5
2016-03-17 17:58:44,Saab_9_3__EZ_1998__fahrbereit_mit_Unfall._147000_KM.,privat,Offer,300,control,limousine,1998,manuell,154,andere,150000,Nov,Gasoline,saab,Yes,2016-03-17 00:00:00,57399,2016-03-17 17:58:44,2016,2016,March,March,0,17,18,1
2016-03-15 11:57:23,Saab_9_5_Bj._1999,privat,Offer,500,test,limousine,1999,manuell,150,andere,150000,Aug,Other,saab,Other,2016-03-15 00:00:00,18528,2016-03-16 08:17:33,2016,2016,March,March,1,8,17,4
2016-03-09 23:54:54,Saab_9_3__I__2.0_T_Aero___sehr_selten_und_sehr_gut!,privat,Offer,2300,test,limousine,2000,automatik,205,andere,150000,Jul,Gasoline,saab,No,2016-03-09 00:00:00,97209,2016-03-12 23:45:54,2016,2016,March,March,3,23,16,5
2016-03-16 19:44:34,Saab_93_Aero_Automatik_106.Tkm,privat,Offer,8900,test,limousine,2001,automatik,205,andere,125000,Oct,Other,saab,Other,2016-03-16 00:00:00,12161,2016-04-07 04:45:52,2016,2016,March,March,22,4,15,2
2016-03-23 20:46:43,Saab_9.3__DIESEL_2_2_tdi,privat,Offer,350,test,limousine,2000,manuell,140,900,150000,Oct,Diesel,saab,No,2016-03-23 00:00:00,56294,2016-03-25 05:15:52,2016,2016,March,March,2,5,16,2
2016-03-20 10:46:27,Saab_9_5_2_3t_mit_Tuev,privat,Offer,690,control,limousine,1998,automatik,170,9000,150000,Mar,Gasoline,saab,No,2016-03-20 00:00:00,14109,2016-03-29 20:46:48,2016,2016,March,March,9,20,18,9
2016-03-11 00:57:33,Saab_9_3_2.2_TiD_SE_Anniversary,privat,Offer,2300,test,limousine,2002,manuell,125,andere,150000,Jun,Diesel,saab,No,2016-03-10 00:00:00,27283,2016-04-06 03:16:23,2016,2016,March,March,27,3,14,6
2016-03-28 12:36:17,Saab_9_3_1.8_t_Arc,privat,Offer,4750,test,limousine,2004,manuell,150,andere,150000,Jul,Gasoline,saab,No,2016-03-28 00:00:00,39108,2016-04-06 15:15:31,2016,2016,March,March,9,15,12,5
2016-03-24 18:55:45,Saab_900_2.0_16v_Turbo_Tuev_04.17_247ps,privat,Offer,2200,test,limousine,1996,manuell,247,900,150000,Feb,Gasoline,saab,No,2016-03-24 00:00:00,91177,2016-04-01 16:18:45,2016,2016,March,March,8,16,20,10
2016-03-17 09:53:20,Saab_9_5_2.0_turbo,privat,Offer,950,test,limousine,2000,manuell,150,andere,150000,Apr,Gasoline,saab,Yes,2016-03-17 00:00:00,12681,2016-03-19 09:47:23,2016,2016,March,March,2,9,16,8
