dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-24 12:39:51,SEAT_ALHAMBRA_1_9TDI_unfallfrei_AHK__1.ter_Hand__12_Jahre,privat,Offer,3650,test,bus,2003,manuell,116,alhambra,150000,Nov,Diesel,seat,No,2016-03-24 00:00:00,87779,2016-04-01 06:18:14,2016,2016,March,March,8,6,13,1
2016-03-05 23:50:59,Seat_Alhambra_1.9_Signo,privat,Offer,0,test,bus,2001,manuell,116,alhambra,150000,Oct,Diesel,seat,No,2016-03-05 00:00:00,57577,2016-03-07 17:31:08,2016,2016,March,March,2,17,15,2
2016-03-13 11:38:20,Seat_Altea_1.9_TDI_Stylance,privat,Offer,4800,control,bus,2006,manuell,105,altea,150000,May,Diesel,seat,No,2016-03-13 00:00:00,74172,2016-04-06 15:17:17,2016,2016,March,March,24,15,10,7
2016-03-11 17:52:58,Seat_Alhambra__Baugleich_VW_Sharan_7_Sitzer_Klimaautomatik,privat,Offer,3999,control,bus,2005,manuell,131,alhambra,150000,Jan,Diesel,seat,No,2016-03-11 00:00:00,33100,2016-03-12 08:15:38,2016,2016,March,March,1,8,11,11
2016-03-22 11:56:45,Seat_Altea_1.6_TÜV_auf_Wunsch_Neu,privat,Offer,3350,control,bus,2005,manuell,102,altea,150000,Nov,Gasoline,seat,No,2016-03-22 00:00:00,59556,2016-04-06 00:16:22,2016,2016,March,March,15,0,11,1
2016-03-12 12:38:54,Seat_Altea_1.9_TDI_Sport_Edition,privat,Offer,5500,test,bus,2006,manuell,105,altea,150000,Nov,Diesel,seat,No,2016-03-12 00:00:00,36041,2016-03-21 12:45:51,2016,2016,March,March,9,12,10,1
2016-03-19 11:45:06,Seat_Alhambra_1.9_TDI_Signo,privat,Offer,3700,test,bus,2003,manuell,116,alhambra,150000,Apr,Diesel,seat,No,2016-03-19 00:00:00,46499,2016-04-06 13:45:40,2016,2016,March,March,18,13,13,8
2016-04-03 19:06:56,Seat_Altea_2.0_TDI_Stylance_+_Vollausstattung_TOP,privat,Offer,3990,test,bus,2004,manuell,140,altea,150000,Nov,Diesel,seat,No,2016-04-03 00:00:00,65929,2016-04-07 07:15:48,2016,2016,April,April,4,7,12,1
2016-03-27 22:57:41,Seat_Altea_1.4_TSI_Style__125_PS__+_4_Winterraeder,privat,Offer,8290,test,bus,2010,manuell,125,altea,100000,May,Gasoline,seat,No,2016-03-27 00:00:00,34225,2016-04-06 02:46:44,2016,2016,March,March,10,2,6,7
2016-03-25 17:44:12,SEAT_ALHAMBRA_1.9TDI_FAST_VOLLAUSTATUNG,privat,Offer,1500,test,bus,2002,automatik,116,Other,150000,Jan,Diesel,seat,Yes,2016-03-25 00:00:00,30167,2016-03-27 05:15:43,2016,2016,March,March,2,5,14,11
2016-03-10 17:53:59,Seat_Alhambra_1.8_20V_Turbo_Signo_7_Stitzer_TÜV_NEU,privat,Offer,4799,control,bus,2003,manuell,150,alhambra,150000,Mar,Gasoline,seat,No,2016-03-10 00:00:00,45527,2016-04-05 19:45:53,2016,2016,March,March,26,19,13,9
2016-03-12 21:57:36,Seat_Altea_2.0_TDI_Stylance,privat,Offer,3850,test,bus,2005,manuell,140,altea,150000,Feb,Diesel,seat,No,2016-03-12 00:00:00,67166,2016-03-23 16:49:33,2016,2016,March,March,11,16,11,10
2016-03-08 12:38:00,Seat_Algambra_Bj._97,privat,Offer,1000,test,bus,1997,manuell,115,alhambra,150000,Jul,Gasoline,seat,Other,2016-03-08 00:00:00,37154,2016-03-11 02:44:14,2016,2016,March,March,3,2,19,5
2016-03-11 12:37:01,Seat_Alhambra_1.9_TD?,privat,Offer,2400,test,bus,2002,manuell,116,alhambra,150000,Nov,Diesel,seat,No,2016-03-11 00:00:00,31224,2016-03-11 13:43:34,2016,2016,March,March,0,13,14,1
2016-03-31 22:52:59,Seat_Alhambra_2.0_TDI_DPF_Vigo,privat,Offer,6400,test,bus,2009,manuell,140,alhambra,150000,Mar,Diesel,seat,No,2016-03-31 00:00:00,47546,2016-04-06 20:48:09,2016,2016,March,March,6,20,7,9
2016-03-19 21:56:42,Seat_Altea_1.6_Reference__Scheckheft__Garantie,privat,Offer,5990,control,bus,2005,manuell,102,altea,90000,May,Gasoline,seat,No,2016-03-19 00:00:00,74074,2016-04-03 12:49:34,2016,2016,March,March,15,12,11,7
2016-03-10 10:56:33,Seat_Altea_2.0_TDI_Sport_Edition,privat,Offer,4950,test,bus,2005,manuell,140,altea,150000,Oct,Diesel,seat,No,2016-03-10 00:00:00,46414,2016-03-12 14:45:33,2016,2016,March,March,2,14,11,2
2016-03-08 14:54:53,Seat_Alhambra_1.9_Signo,privat,Offer,3300,test,bus,2001,manuell,116,alhambra,150000,Oct,Diesel,seat,No,2016-03-08 00:00:00,57610,2016-03-09 13:41:37,2016,2016,March,March,1,13,15,2
2016-03-15 16:39:17,Seat_Alhambra_1.9_TDI_Basis,privat,Offer,900,control,bus,1999,manuell,90,alhambra,150000,May,Diesel,seat,No,2016-03-15 00:00:00,33818,2016-03-15 16:39:17,2016,2016,March,March,0,16,17,7
2016-03-24 12:54:47,Seat_Alhambra_2.0_Benzin/Gas,privat,Offer,1000,test,bus,1999,manuell,115,alhambra,150000,Jan,Other,seat,Other,2016-03-24 00:00:00,19079,2016-04-07 03:46:41,2016,2016,March,March,14,3,17,11
2016-03-12 16:43:32,Seat_Altea_2.0_FSI_Stylance,privat,Offer,4999,control,bus,2004,manuell,150,altea,150000,Nov,Gasoline,seat,No,2016-03-12 00:00:00,6179,2016-04-07 06:15:55,2016,2016,March,March,26,6,12,1
2016-03-14 10:55:13,SEAT_Altea_1_9_TDI_5P_Reference_!_Letzte_Cance_!,privat,Offer,3500,control,bus,2004,manuell,105,altea,150000,Apr,Diesel,seat,No,2016-03-14 00:00:00,26919,2016-03-14 10:55:13,2016,2016,March,March,0,10,12,8
2016-03-09 23:58:12,Seat_Alhambra_1.8_20V_Turbo_Exclusiv,privat,Offer,1000,test,bus,1999,manuell,150,alhambra,150000,Mar,Gasoline,seat,No,2016-03-09 00:00:00,24837,2016-03-14 17:46:43,2016,2016,March,March,5,17,17,9
2016-04-03 18:56:36,Seat_Altea_2.0_TDI_Stylance_+_Vollausstattung_TOP,privat,Offer,4199,control,bus,2004,manuell,140,altea,150000,Nov,Diesel,seat,No,2016-04-03 00:00:00,65929,2016-04-05 19:19:29,2016,2016,April,April,2,19,12,1
2016-03-11 17:41:35,Seat_Altea_1.6_TDI_DPF_CR_Reference_Copa,privat,Offer,12350,control,bus,2013,manuell,105,altea,40000,Jan,Diesel,seat,No,2016-03-11 00:00:00,54317,2016-04-05 17:21:29,2016,2016,March,March,25,17,3,11
2016-03-20 18:50:49,Seat_Alhambra_1.9_TDI_Stella,privat,Offer,1100,test,bus,1999,manuell,90,alhambra,150000,Sep,Diesel,seat,No,2016-03-20 00:00:00,21397,2016-03-20 18:50:49,2016,2016,March,March,0,18,17,3
2016-03-25 10:44:51,Seat__Alhambra,privat,Offer,3000,test,bus,2001,manuell,115,alhambra,150000,Aug,Diesel,seat,No,2016-03-25 00:00:00,89346,2016-04-04 09:16:33,2016,2016,March,March,10,9,15,4
2016-04-01 20:50:04,Seat_Altea_1.6_Reference,privat,Offer,5350,test,bus,2006,manuell,102,altea,90000,Jan,Gasoline,seat,No,2016-04-01 00:00:00,28207,2016-04-05 18:18:44,2016,2016,April,April,4,18,10,11
2016-04-04 21:46:54,Seat_Altea_1.4_TSI_XL_Stylance,privat,Offer,7500,test,bus,2008,manuell,125,altea,90000,Apr,Gasoline,seat,No,2016-04-04 00:00:00,97453,2016-04-07 00:17:46,2016,2016,April,April,3,0,8,8
2016-03-10 10:54:30,Seat_Alhambra_1.9_TDI_Kids,privat,Offer,4699,test,bus,2003,manuell,116,alhambra,150000,Jul,Diesel,seat,No,2016-03-10 00:00:00,47669,2016-04-02 20:46:49,2016,2016,March,March,23,20,13,5
2016-03-22 20:44:34,Voll_funktionsfaehigen_Seat_Alhambra_1.9_tdi,privat,Offer,2999,control,bus,2002,manuell,116,alhambra,150000,Jul,Diesel,seat,No,2016-03-22 00:00:00,94336,2016-03-22 20:44:34,2016,2016,March,March,0,20,14,5
2016-03-08 08:56:24,Seat_Alhambra_1.9_TDI,privat,Offer,2990,test,bus,2004,Unspecified,116,alhambra,150000,Feb,Diesel,seat,No,2016-03-08 00:00:00,67661,2016-03-08 15:21:10,2016,2016,March,March,0,15,12,10
2016-04-04 21:41:35,Seat_Altea_1.6,privat,Offer,4500,test,bus,2005,manuell,102,altea,125000,Apr,Gasoline,seat,No,2016-04-04 00:00:00,66606,2016-04-07 00:15:40,2016,2016,April,April,3,0,11,8
2016-03-10 13:25:23,Seat_Alhambra_1.9_TDI_Allrad_Signo_4x4__euro_3,privat,Offer,2490,test,bus,2004,manuell,116,alhambra,150000,Sep,Diesel,seat,No,2016-03-10 00:00:00,55481,2016-03-10 13:25:23,2016,2016,March,March,0,13,12,3
2016-03-14 23:25:25,SEAT_ALHAMBRA_131PS__GUTER_ZUSTAND_,privat,Offer,6999,control,bus,2003,manuell,131,alhambra,150000,Mar,Diesel,seat,No,2016-03-14 00:00:00,56575,2016-04-07 00:45:47,2016,2016,March,March,24,0,13,9
2016-04-05 07:36:17,Seat_Alhambra_VW_Sharan,privat,Offer,3500,test,bus,2002,manuell,116,Other,150000,May,Other,seat,No,2016-04-05 00:00:00,39517,2016-04-07 12:16:01,2016,2016,April,April,2,12,14,7
2016-03-24 15:56:43,Seat_Altea_XL_2.0_TDI_CR_DPF_Style,privat,Offer,12500,test,bus,2012,manuell,140,altea,60000,Mar,Diesel,seat,No,2016-03-24 00:00:00,52388,2016-04-07 08:45:06,2016,2016,March,March,14,8,4,9
2016-03-28 11:51:17,Seat_Inca_1.4_MPI_Profi,privat,Offer,2600,control,bus,1996,manuell,60,andere,150000,Nov,Gasoline,seat,No,2016-03-28 00:00:00,23948,2016-04-06 14:17:23,2016,2016,March,March,9,14,20,1
2016-03-31 15:53:25,Seat_Altea_1_6,privat,Offer,4250,control,bus,2006,manuell,102,altea,150000,Nov,Gasoline,seat,Other,2016-03-31 00:00:00,27419,2016-04-06 09:46:59,2016,2016,March,March,6,9,10,1
2016-03-06 15:49:29,Seat_Altea_2.0_FSI_Sport_Edition,privat,Offer,5250,test,bus,2006,manuell,150,altea,150000,Apr,Gasoline,seat,No,2016-03-06 00:00:00,77815,2016-04-06 20:45:45,2016,2016,March,March,31,20,10,8
