dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-15 01:01:46,Seat__leon_cupra_r_auch_tausch,privat,Offer,9099,test,limousine,2004,manuell,280,leon,125000,Aug,Gasoline,seat,No,2016-03-15 00:00:00,89269,2016-04-05 15:15:40,2016,2016,March,March,21,15,12,4
2016-03-29 12:57:17,Seat_Ibiza_1.9_TDI__131_PS_,privat,Offer,5950,test,limousine,2003,manuell,131,ibiza,100000,Mar,Diesel,seat,No,2016-03-29 00:00:00,32312,2016-04-03 21:46:55,2016,2016,March,March,5,21,13,9
2016-03-21 16:47:45,Seat_Ibiza__Klima__1._Hd.__Blau_Met._60_PS_Euro4,privat,Offer,899,control,limousine,2000,manuell,60,ibiza,150000,Jul,Gasoline,seat,No,2016-03-21 00:00:00,37688,2016-03-31 21:16:19,2016,2016,March,March,10,21,16,5
2016-04-05 09:54:58,Seat_Cordoba,privat,Offer,250,control,limousine,1995,manuell,75,cordoba,150000,Aug,Gasoline,seat,No,2016-04-05 00:00:00,98593,2016-04-07 13:16:41,2016,2016,April,April,2,13,21,4
2016-04-02 17:45:28,Top_gepflegter_Seat_Leon_Stylance_Sport_2.0_TFSI_185PS__nur_59Tkm,privat,Offer,8250,control,limousine,2006,manuell,185,leon,60000,Mar,Gasoline,seat,No,2016-04-02 00:00:00,33106,2016-04-04 21:40:58,2016,2016,April,April,2,21,10,9
2016-03-05 14:50:22,Seat_Toledo_1.9_TDI_Signo,privat,Offer,3190,control,limousine,2002,manuell,150,toledo,150000,Nov,Diesel,seat,No,2016-03-05 00:00:00,41515,2016-03-21 00:15:18,2016,2016,March,March,16,0,14,1
2016-03-11 20:36:23,Seat_Leon_1.9_TDI_Formula_Racing,privat,Offer,3990,control,limousine,2004,manuell,150,leon,150000,Aug,Diesel,seat,No,2016-03-11 00:00:00,92355,2016-03-12 12:16:28,2016,2016,March,March,1,12,12,4
2016-03-25 14:40:12,Seat_Leon_1.6_16V_Torro,privat,Offer,4200,control,limousine,2006,manuell,105,leon,125000,Mar,Gasoline,seat,No,2016-03-25 00:00:00,74736,2016-03-25 14:40:12,2016,2016,March,March,0,14,10,9
2016-03-30 21:52:16,Seat_Leon_1.4_TSI_Sport__PDC__grosses_Navigation/Radio,privat,Offer,8499,test,limousine,2009,manuell,125,leon,125000,Mar,Gasoline,seat,No,2016-03-30 00:00:00,73614,2016-04-05 12:20:32,2016,2016,March,March,6,12,7,9
2016-04-02 11:40:30,Seat_Leon_1.4_TSI_Style_Scheckheft_TÜV_neu_8fach_ber.,privat,Offer,9800,test,limousine,2011,manuell,125,leon,90000,May,Gasoline,seat,No,2016-04-02 00:00:00,97199,2016-04-06 09:16:20,2016,2016,April,April,4,9,5,7
