dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-21 14:43:48,Skoda_Fabian_Automatik._Kombi_Benziner,privat,Offer,3000,control,Other,2016,automatik,75,fabia,150000,Jan,Gasoline,skoda,Other,2016-03-21 00:00:00,24782,2016-03-31 17:45:24,2016,2016,March,March,10,17,0,11
2016-04-02 13:50:51,top__Zustand__noch_tuev_und_wenige_Kilometer__guenstig_abzugeben,privat,Offer,380,test,Other,2016,manuell,54,Other,100000,Jan,Gasoline,skoda,Yes,2016-04-02 00:00:00,3046,2016-04-02 13:50:51,2016,2016,April,April,0,13,0,11
2016-03-20 10:48:40,Skoda_Fabia_zuverlaessig_und_guenstig_im_Unterhalt,privat,Offer,2750,control,Other,2005,manuell,75,fabia,150000,Jun,Gasoline,skoda,No,2016-03-20 00:00:00,63741,2016-03-21 12:46:51,2016,2016,March,March,1,12,11,6
2016-04-03 19:53:23,SKODA_FABIA,privat,Offer,1350,test,Other,2016,manuell,0,fabia,150000,May,Gasoline,skoda,Other,2016-04-03 00:00:00,37339,2016-04-05 20:45:23,2016,2016,April,April,2,20,0,7
2016-03-12 13:57:52,Skoda_Fabia_1_4,privat,Offer,0,control,Other,2000,manuell,0,Other,150000,Jun,Other,skoda,Other,2016-03-12 00:00:00,27318,2016-03-24 09:47:11,2016,2016,March,March,12,9,16,6
2016-03-13 09:46:08,Skoda_Superb,privat,Offer,3599,control,Other,2005,manuell,163,superb,30000,Feb,Diesel,skoda,No,2016-03-13 00:00:00,97956,2016-04-06 14:47:13,2016,2016,March,March,24,14,11,10
2016-03-11 15:53:36,Skoda_Roomster_1_4_TDI,privat,Offer,3700,test,Other,2007,manuell,80,Other,150000,Jan,Diesel,skoda,Other,2016-03-11 00:00:00,63762,2016-03-14 12:47:16,2016,2016,March,March,3,12,9,11
2016-03-21 21:58:31,Skoda_Fabia_Combi_1_4_Tour_de_France,privat,Offer,2500,control,Other,2016,manuell,75,fabia,125000,Mar,Gasoline,skoda,Other,2016-03-21 00:00:00,26810,2016-03-23 05:20:37,2016,2016,March,March,2,5,0,9
2016-03-08 15:49:51,Skoda_Fabia_1.4_Comfort_abzugeben,privat,Offer,2250,test,Other,2016,manuell,60,fabia,125000,Jun,Other,skoda,No,2016-03-08 00:00:00,6849,2016-03-10 10:45:17,2016,2016,March,March,2,10,0,6
2016-03-19 11:52:26,Skoda_felicia_export_bastler_erstazteilspender_Schlachter,privat,Offer,0,test,Other,1990,Unspecified,0,Other,150000,Jan,Other,skoda,Other,2016-03-19 00:00:00,4600,2016-04-06 14:46:30,2016,2016,March,March,18,14,26,11
2016-03-10 16:37:40,Auto_Skoda_Felica_Tuning,privat,Offer,500,control,Other,2000,manuell,0,andere,60000,Jan,Gasoline,skoda,Yes,2016-03-10 00:00:00,1561,2016-04-05 14:18:53,2016,2016,March,March,26,14,16,11
2016-03-05 15:36:17,Skoda_Fabia_Bastlerfahrzeug!!!,privat,Offer,700,control,Other,2005,manuell,68,fabia,150000,Mar,Other,skoda,Yes,2016-03-05 00:00:00,6493,2016-03-05 15:47:35,2016,2016,March,March,0,15,11,9
