dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-02 21:43:28,Skoda_Roomster_1.2_12V_HTP_Style,privat,Offer,4990,test,bus,2007,manuell,69,roomster,60000,Oct,Gasoline,skoda,No,2016-04-02 00:00:00,52080,2016-04-02 21:43:28,2016,2016,April,April,0,21,9,2
2016-03-07 05:40:47,Skoda_Roomster_1.4_TDI_DPF_Comfort,privat,Offer,4900,test,bus,2006,manuell,80,roomster,125000,Oct,Diesel,skoda,No,2016-03-06 00:00:00,9126,2016-03-08 07:45:55,2016,2016,March,March,2,7,10,2
2016-03-25 09:48:14,Skoda_Roomster_1.6_TDI_DPF_Fresh,privat,Offer,9900,test,bus,2013,manuell,105,roomster,60000,Jun,Diesel,skoda,No,2016-03-25 00:00:00,76227,2016-04-06 08:46:00,2016,2016,March,March,12,8,3,6
2016-03-19 11:36:58,Skoda_Roomster_1.6_16V_Comfort,privat,Offer,4250,test,bus,2007,manuell,105,roomster,125000,Feb,Gasoline,skoda,No,2016-03-19 00:00:00,33100,2016-04-06 12:46:19,2016,2016,March,March,18,12,9,10
2016-03-30 00:58:05,Skoda_Roomster_1.2,privat,Offer,9600,test,bus,2011,manuell,69,roomster,40000,Jan,Gasoline,skoda,No,2016-03-29 00:00:00,13053,2016-04-06 22:45:15,2016,2016,March,March,8,22,5,11
2016-03-21 21:36:55,Skoda_Roomster_DPF_Style_Plus_Edition_+_SHZ__NAVI,privat,Offer,7199,control,bus,2011,manuell,90,roomster,150000,Feb,Diesel,skoda,No,2016-03-21 00:00:00,63165,2016-04-07 02:46:29,2016,2016,March,March,17,2,5,10
2016-03-05 17:44:50,Skoda_Roomster_1.2_TSI_Ambition_PLUS_EDITION,privat,Offer,12900,test,bus,2013,manuell,86,roomster,30000,Jul,Gasoline,skoda,No,2016-03-05 00:00:00,21379,2016-04-07 07:45:17,2016,2016,March,March,33,7,3,5
2016-03-09 12:53:20,Skoda_Roomster_1.2_TSI_Style,privat,Offer,6500,control,bus,2010,manuell,86,roomster,125000,Jun,Gasoline,skoda,No,2016-03-09 00:00:00,93142,2016-03-09 12:53:20,2016,2016,March,March,0,12,6,6
2016-04-01 11:48:55,Skoda_Praktik,privat,Offer,3850,test,bus,2010,manuell,69,andere,150000,Feb,Diesel,skoda,No,2016-04-01 00:00:00,37574,2016-04-03 07:50:18,2016,2016,April,April,2,7,6,10
2016-03-08 18:52:53,Skoda_Roomster_152000km,privat,Offer,2400,test,bus,2007,manuell,86,Other,150000,Jun,Gasoline,skoda,Yes,2016-03-08 00:00:00,59929,2016-03-11 15:17:05,2016,2016,March,March,3,15,9,6
2016-03-19 00:36:58,Skoda_Roomster_1.2_12V_HTP_Style_PLUS_EDITION_1.Hand,privat,Offer,5200,control,bus,2009,manuell,69,roomster,125000,Apr,Gasoline,skoda,No,2016-03-18 00:00:00,40237,2016-03-28 02:44:25,2016,2016,March,March,10,2,7,8
2016-04-01 19:43:14,TÜV_Neu_LKW_Diesel_Zahnriemen_Neu_AHK_Klima!,privat,Offer,4000,control,bus,2010,manuell,0,roomster,150000,Nov,Diesel,skoda,No,2016-04-01 00:00:00,6343,2016-04-05 15:45:10,2016,2016,April,April,4,15,6,1
2016-04-02 07:36:22,Skoda_Roomster_1.2_TSI_DSG_Behinderten_Umbau_evtl_Lift,privat,Offer,12500,test,bus,2011,automatik,105,roomster,30000,Sep,Gasoline,skoda,No,2016-04-02 00:00:00,37191,2016-04-06 07:15:40,2016,2016,April,April,4,7,5,3
