dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-27 13:47:46,Skoda_110r_rapid_Oldtimer_h_zulassung_Pokalsieger,privat,Offer,5500,test,coupe,1974,manuell,60,andere,5000,Jun,Gasoline,skoda,No,2016-03-27 00:00:00,12524,2016-04-07 09:46:01,2016,2016,March,March,11,9,42,6
2016-03-17 20:57:49,Skoda_S110R_Coupe_/_S130RS,privat,Offer,5800,control,coupe,1981,manuell,49,Other,10000,Jan,Gasoline,skoda,Other,2016-03-17 00:00:00,98693,2016-04-01 14:17:15,2016,2016,March,March,15,14,35,11
2016-03-28 19:56:46,Skoda_Rapid_130,privat,Offer,600,control,coupe,1985,Unspecified,0,andere,5000,Apr,Gasoline,skoda,Other,2016-03-28 00:00:00,99089,2016-04-07 02:17:57,2016,2016,March,March,10,2,31,8
2016-03-09 17:38:54,Skoda_Andere,privat,Offer,900,test,coupe,1958,manuell,0,andere,90000,Nov,Gasoline,skoda,No,2016-03-09 00:00:00,86462,2016-03-23 09:17:54,2016,2016,March,March,14,9,58,1
2016-04-04 22:54:22,Skoda_110r,privat,Offer,3000,test,coupe,1972,manuell,53,andere,30000,May,Gasoline,skoda,Yes,2016-04-04 00:00:00,81371,2016-04-07 02:17:09,2016,2016,April,April,3,2,44,7
2016-03-09 22:55:53,Skoda_440_Coupé_Oldtimer_zum_restaurieren,privat,Offer,900,test,coupe,1958,manuell,0,andere,90000,Jan,Gasoline,skoda,No,2016-03-09 00:00:00,86462,2016-03-23 14:45:45,2016,2016,March,March,14,14,58,11
2016-03-14 19:39:19,Skoda_Felicia_Baujahr_1996_Oktober_super_Zustand_Scheckheft,privat,Offer,300,control,coupe,1996,manuell,70,andere,150000,Sep,Gasoline,skoda,Other,2016-03-14 00:00:00,10829,2016-03-23 22:46:16,2016,2016,March,March,9,22,20,3
2016-03-28 19:43:43,Skoda_Rapid,privat,Offer,2780,control,coupe,1985,Unspecified,0,andere,100000,Jun,Other,skoda,No,2016-03-28 00:00:00,1796,2016-04-07 01:46:32,2016,2016,March,March,10,1,31,6
2016-04-04 22:57:00,Skoda_130,privat,Offer,2950,test,coupe,1973,manuell,101,andere,100000,Jan,Gasoline,skoda,No,2016-04-04 00:00:00,86934,2016-04-07 01:46:13,2016,2016,April,April,3,1,43,11
2016-04-07 04:36:34,Skoda_S110R_Coupe_ORIGINAL_TÜV_NEU_H_Gutachten_TOP,privat,Offer,12600,test,coupe,1977,manuell,61,andere,60000,Mar,Gasoline,skoda,No,2016-04-07 00:00:00,98693,2016-04-07 04:36:34,2016,2016,April,April,0,4,39,9
