dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-31 17:25:20,Skoda_Fabia_1.4_TDI_PD_Classic,privat,Offer,3600,test,kleinwagen,2008,manuell,69,fabia,90000,Jul,Diesel,skoda,No,2016-03-31 00:00:00,60437,2016-04-06 10:17:21,2016,2016,March,March,6,10,8,5
2016-03-30 12:49:54,Skoda_Fabia_1.2,privat,Offer,5500,control,kleinwagen,2010,manuell,60,fabia,70000,Apr,Gasoline,skoda,No,2016-03-30 00:00:00,57076,2016-04-07 03:44:51,2016,2016,March,March,8,3,6,8
2016-04-02 20:50:59,Skoda_Fabia_1.2_HTP_Cool_Edition,privat,Offer,2550,test,kleinwagen,2006,manuell,54,fabia,150000,Apr,Gasoline,skoda,No,2016-04-02 00:00:00,27419,2016-04-02 20:50:59,2016,2016,April,April,0,20,10,8
2016-03-10 12:51:14,Skoda_Fabia_Bj.2011_mit_Klima,privat,Offer,4999,test,kleinwagen,2011,manuell,0,fabia,125000,Mar,Gasoline,skoda,No,2016-03-10 00:00:00,34587,2016-03-14 08:45:25,2016,2016,March,March,4,8,5,9
2016-03-09 12:49:43,Skoda_felicia_1.3_2_Jahre_TÜV_guter_Zustand_5_tuerer_ROT,privat,Offer,1150,control,kleinwagen,1999,manuell,0,Other,150000,May,Gasoline,skoda,Other,2016-03-09 00:00:00,58119,2016-03-21 08:15:19,2016,2016,March,March,12,8,17,7
2016-03-26 16:38:36,Gepflegter_Skoda_Fabia_1.2_htp_Cool_Edition,privat,Offer,4950,control,kleinwagen,2010,manuell,60,fabia,70000,Mar,Gasoline,skoda,No,2016-03-26 00:00:00,21397,2016-04-06 04:45:23,2016,2016,March,March,11,4,6,9
2016-03-29 19:44:10,Skoda_Fabia_1.9_TDI_GT,privat,Offer,2490,control,kleinwagen,2002,manuell,101,fabia,150000,Apr,Diesel,skoda,No,2016-03-29 00:00:00,7407,2016-03-29 19:44:10,2016,2016,March,March,0,19,14,8
2016-03-15 00:42:33,Skoda_Fabia_1.2_Klima_Euro_4,privat,Offer,1850,test,kleinwagen,2005,manuell,0,fabia,80000,Sep,Gasoline,skoda,Other,2016-03-14 00:00:00,38723,2016-03-15 20:47:38,2016,2016,March,March,1,20,11,3
2016-04-02 14:56:35,Skoda_fuer_wenig_Geld,privat,Offer,350,test,kleinwagen,1999,manuell,75,andere,150000,Mar,Gasoline,skoda,Yes,2016-04-02 00:00:00,12099,2016-04-02 14:56:35,2016,2016,April,April,0,14,17,9
2016-03-18 23:43:52,Skoda_Fabia_1_4_Mpi,privat,Offer,1590,test,kleinwagen,2000,manuell,68,fabia,150000,Oct,Gasoline,skoda,No,2016-03-18 00:00:00,51702,2016-03-18 23:43:52,2016,2016,March,March,0,23,16,2
2016-04-04 16:50:03,Skoda_Fabia_16V_75PS_Benziner_!!!!!!,privat,Offer,2000,test,kleinwagen,2004,manuell,75,fabia,150000,Apr,Gasoline,skoda,Other,2016-04-04 00:00:00,56068,2016-04-05 11:38:06,2016,2016,April,April,1,11,12,8
2016-03-07 21:38:58,Skoda_Felicia_1.3_LX,privat,Offer,980,control,kleinwagen,1998,manuell,54,andere,90000,Feb,Gasoline,skoda,No,2016-03-07 00:00:00,73084,2016-03-10 18:45:34,2016,2016,March,March,3,18,18,10
2016-03-25 12:44:42,Skoda_Fabia_1.4_Sedan_Classic,privat,Offer,3650,test,kleinwagen,2005,manuell,75,fabia,125000,Mar,Gasoline,skoda,No,2016-03-25 00:00:00,73655,2016-04-06 13:45:13,2016,2016,March,March,12,13,11,9
2016-03-30 23:58:26,Skoda_Fabia_1.4_16V_Classic,privat,Offer,4800,control,kleinwagen,2008,manuell,86,fabia,90000,Jun,Gasoline,skoda,No,2016-03-30 00:00:00,67813,2016-04-06 00:17:39,2016,2016,March,March,7,0,8,6
2016-03-29 18:54:54,Skoda_Skoda_Fabia_1.2_HTP___wie_VW_Polo_Golf_geeignet,privat,Offer,3500,control,kleinwagen,2005,manuell,54,fabia,60000,Jun,Gasoline,skoda,No,2016-03-29 00:00:00,10785,2016-04-06 04:45:57,2016,2016,March,March,8,4,11,6
2016-03-15 21:41:53,Skoda_Felicia_1.6_Friend,privat,Offer,800,control,kleinwagen,1999,manuell,75,andere,100000,Jun,Gasoline,skoda,No,2016-03-15 00:00:00,53489,2016-03-28 22:17:37,2016,2016,March,March,13,22,17,6
2016-04-02 22:58:29,Skoda_Fabia_1.4_16V,privat,Offer,2999,test,kleinwagen,2005,manuell,75,fabia,150000,Feb,Gasoline,skoda,No,2016-04-02 00:00:00,25852,2016-04-07 02:46:16,2016,2016,April,April,5,2,11,10
2016-03-26 16:52:57,Skoda_Fabia_1.2_HTP,privat,Offer,2750,control,kleinwagen,2006,manuell,54,fabia,150000,Mar,Gasoline,skoda,No,2016-03-26 00:00:00,1640,2016-04-06 06:16:14,2016,2016,March,March,11,6,10,9
2016-03-09 20:55:07,Skoda_Fabia_1.9_TDI_Comfort,privat,Offer,1200,test,kleinwagen,2001,manuell,101,fabia,150000,Aug,Diesel,skoda,No,2016-03-09 00:00:00,13347,2016-03-14 15:45:52,2016,2016,March,March,5,15,15,4
2016-03-14 22:41:16,Skoda_Felicia_1.6_GLX,privat,Offer,899,control,kleinwagen,1997,manuell,75,andere,70000,Jan,Gasoline,skoda,No,2016-03-14 00:00:00,49477,2016-03-16 15:18:21,2016,2016,March,March,2,15,19,11
2016-03-29 20:45:26,Skoda_Fabia_1.4_Classic,privat,Offer,650,test,kleinwagen,2002,manuell,68,fabia,150000,Jun,Gasoline,skoda,Yes,2016-03-29 00:00:00,75328,2016-03-29 20:45:26,2016,2016,March,March,0,20,14,6
2016-04-01 20:51:07,Skoda_Fabia_1.2_HTP_COOL_Edition,privat,Offer,4999,test,kleinwagen,2009,manuell,60,fabia,70000,Jun,Gasoline,skoda,No,2016-04-01 00:00:00,33605,2016-04-05 18:18:48,2016,2016,April,April,4,18,7,6
2016-03-31 12:49:59,Skoda_Fabia_1.4,privat,Offer,2490,test,kleinwagen,2000,manuell,68,fabia,150000,Jun,Gasoline,skoda,No,2016-03-31 00:00:00,9669,2016-04-04 04:45:13,2016,2016,March,March,4,4,16,6
2016-03-07 10:51:04,Skoda_Fabia_1.4_TDI_Extra,privat,Offer,2950,test,kleinwagen,2004,manuell,75,fabia,150000,Apr,Diesel,skoda,No,2016-03-07 00:00:00,56075,2016-03-08 08:21:42,2016,2016,March,March,1,8,12,8
2016-03-27 16:54:04,Skoda_Fabia_1.2_HTP_COOL_EDITION,privat,Offer,4950,test,kleinwagen,2010,manuell,60,fabia,70000,Mar,Gasoline,skoda,No,2016-03-27 00:00:00,21397,2016-04-05 12:44:32,2016,2016,March,March,9,12,6,9
2016-03-26 11:38:55,Skoda_Fabia_1_4_Mpi,privat,Offer,1590,control,kleinwagen,2000,manuell,68,fabia,150000,Oct,Gasoline,skoda,No,2016-03-26 00:00:00,51702,2016-03-26 11:38:55,2016,2016,March,March,0,11,16,2
2016-04-05 11:49:42,Skoda_Fabia_1.2_HTP,privat,Offer,2450,test,kleinwagen,2005,manuell,54,fabia,150000,Sep,Gasoline,skoda,No,2016-04-05 00:00:00,97633,2016-04-05 11:49:42,2016,2016,April,April,0,11,11,3
2016-03-29 16:40:13,Fabia_1_2__blau__Top_Zustand,privat,Offer,5500,control,kleinwagen,2010,manuell,60,fabia,60000,Mar,Gasoline,skoda,No,2016-03-29 00:00:00,94051,2016-04-06 02:15:43,2016,2016,March,March,8,2,6,9
2016-03-15 15:54:34,Skoda_Fabia_Comfort_1.4_16V_TÜV_NEU,privat,Offer,2500,control,kleinwagen,2002,manuell,75,fabia,150000,Mar,Other,skoda,No,2016-03-15 00:00:00,38302,2016-03-20 11:17:50,2016,2016,March,March,5,11,14,9
2016-03-24 20:51:27,Skoda_Fabia_Classic*Klima_HU/AU:_02/17_neue_Reifen!!,privat,Offer,3300,test,kleinwagen,2006,manuell,54,fabia,125000,Feb,Gasoline,skoda,No,2016-03-24 00:00:00,76135,2016-04-01 18:47:34,2016,2016,March,March,8,18,10,10
2016-04-02 18:51:02,Skoda_Felicia___Bastlerfahrzeug,privat,Offer,200,control,kleinwagen,1999,manuell,55,andere,150000,Aug,Gasoline,skoda,Other,2016-04-02 00:00:00,64385,2016-04-06 18:47:40,2016,2016,April,April,4,18,17,4
2016-03-28 19:47:41,Skoda_Fabia_1.4_16V_Classic,privat,Offer,3950,control,kleinwagen,2006,manuell,75,fabia,90000,May,Gasoline,skoda,No,2016-03-28 00:00:00,47807,2016-04-01 05:16:49,2016,2016,March,March,4,5,10,7
2016-03-12 11:52:09,Skoda_Felicia_1_6_GLX,privat,Offer,130,test,kleinwagen,1999,manuell,75,andere,150000,Jun,Other,skoda,Other,2016-03-12 00:00:00,54636,2016-04-06 05:45:02,2016,2016,March,March,25,5,17,6
2016-04-02 18:45:13,Skoda_Fabia_1.2_HTP_Classic_TÜV_NEU!!,privat,Offer,5000,test,kleinwagen,2011,manuell,60,fabia,80000,Apr,Gasoline,skoda,No,2016-04-02 00:00:00,55444,2016-04-06 08:16:11,2016,2016,April,April,4,8,5,8
