dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-28 20:45:46,Fabia_II_Combi_Greenline_1_2_TDI_DPF_mit_Gebrauchtwagengarantie,privat,Offer,6990,control,kombi,2012,manuell,75,fabia,100000,May,Diesel,skoda,No,2016-03-28 00:00:00,44894,2016-04-03 13:58:00,2016,2016,March,March,6,13,4,7
2016-03-28 20:56:52,Skoda_Fabia_1.4_16V_Combi_Elegance,privat,Offer,2500,control,kombi,2001,manuell,101,fabia,125000,Aug,Gasoline,skoda,No,2016-03-28 00:00:00,81541,2016-04-07 03:45:06,2016,2016,March,March,10,3,15,4
2016-03-10 09:56:48,Skoda_Octavia_Combi_1.6_Gas_1.hand__Scheckheft,privat,Offer,3900,test,kombi,2006,manuell,102,octavia,150000,Nov,Lpg,skoda,No,2016-03-10 00:00:00,26419,2016-03-15 19:15:19,2016,2016,March,March,5,19,10,1
2016-03-05 19:57:52,Octavia_Combi_1.6_TDI_DPF_Ambition,privat,Offer,11000,test,kombi,2012,manuell,105,octavia,80000,Mar,Diesel,skoda,No,2016-03-05 00:00:00,95183,2016-04-07 03:16:11,2016,2016,March,March,33,3,4,9
2016-03-14 12:48:40,Skoda_Octavia_Scout_2_0_FSI_Allrad,privat,Offer,8380,test,kombi,2008,manuell,150,octavia,150000,Jul,Gasoline,skoda,No,2016-03-14 00:00:00,94405,2016-04-05 12:47:36,2016,2016,March,March,22,12,8,5
2016-03-10 17:39:00,Skoda_Octavia_1.9_TDi_Combi_SLX,privat,Offer,2650,control,kombi,2000,manuell,110,octavia,150000,Jan,Diesel,skoda,No,2016-03-10 00:00:00,27374,2016-03-12 07:46:00,2016,2016,March,March,2,7,16,11
2016-03-08 16:38:03,Skoda_Octavia_Combi_2.0_TDI_Elegance,privat,Offer,7000,test,kombi,2007,manuell,140,octavia,150000,Sep,Diesel,skoda,No,2016-03-08 00:00:00,57334,2016-03-08 16:38:03,2016,2016,March,March,0,16,9,3
2016-03-27 23:37:22,Skoda_Octavia_Combi_1.9_TDI_DPF_DSG_Ambiente,privat,Offer,8999,test,kombi,2009,automatik,105,octavia,150000,May,Diesel,skoda,No,2016-03-27 00:00:00,77876,2016-04-06 07:45:08,2016,2016,March,March,10,7,7,7
2016-03-19 12:57:10,Skoda_Fabia_Kombi_Klima_1.Hand_Scheckheft_gepflegt__Skoda_,privat,Offer,3700,test,kombi,2009,manuell,69,fabia,150000,Jan,Gasoline,skoda,No,2016-03-19 00:00:00,12526,2016-03-19 13:40:13,2016,2016,March,March,0,13,7,11
2016-03-23 11:47:55,Skoda_Oktavia_1_9_TDI_Kombi,privat,Offer,599,test,kombi,1998,manuell,110,octavia,150000,Oct,Diesel,skoda,Yes,2016-03-23 00:00:00,66839,2016-03-30 20:45:50,2016,2016,March,March,7,20,18,2
2016-03-11 20:48:54,Skoda_Fabia_1.2_TSI_Combi_Ambiente,privat,Offer,8200,control,kombi,2010,manuell,105,fabia,40000,Oct,Gasoline,skoda,No,2016-03-11 00:00:00,44892,2016-04-06 04:17:07,2016,2016,March,March,26,4,6,2
2016-03-27 19:50:42,Skoda_Octavia_Combi_2.0_FSI_Ambiente,privat,Offer,7099,control,kombi,2005,manuell,150,octavia,150000,Apr,Gasoline,skoda,No,2016-03-27 00:00:00,59174,2016-03-27 19:50:42,2016,2016,March,March,0,19,11,8
2016-03-11 18:25:26,Skoda_Fabia_2.0_Combi_Elegance,privat,Offer,2399,test,kombi,2005,manuell,116,fabia,150000,Nov,Gasoline,skoda,No,2016-03-11 00:00:00,56338,2016-04-06 15:17:15,2016,2016,March,March,26,15,11,1
2016-03-07 19:56:44,Skoda_Octavia_Kombi_2.0_TDI_Ambiente_8fach_bereift_aus_1._Hand,privat,Offer,7500,control,kombi,2008,manuell,105,octavia,100000,Jun,Diesel,skoda,No,2016-03-07 00:00:00,66583,2016-03-12 20:44:32,2016,2016,March,March,5,20,8,6
2016-03-06 18:44:00,Skoda_Fabia_1.4_16V_Combi_Elegance,privat,Offer,2400,control,kombi,2001,manuell,75,fabia,125000,Jul,Gasoline,skoda,No,2016-03-06 00:00:00,38557,2016-03-09 15:19:51,2016,2016,March,March,3,15,15,5
