dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-10 14:58:37,Skoda_Octavia_2.0_SLX,privat,Offer,1700,test,limousine,1999,manuell,116,octavia,150000,Aug,Gasoline,skoda,No,2016-03-10 00:00:00,10243,2016-03-22 05:46:14,2016,2016,March,March,12,5,17,4
2016-03-26 12:58:59,Skoda_Octavia_2.0_SLX,privat,Offer,1999,control,limousine,2000,manuell,115,octavia,150000,Apr,Gasoline,skoda,Other,2016-03-26 00:00:00,34266,2016-04-06 01:16:21,2016,2016,March,March,11,1,16,8
2016-03-15 18:53:36,Skoda_octavia_1.6_glx,privat,Offer,1999,control,limousine,2000,manuell,101,octavia,125000,May,Gasoline,skoda,No,2016-03-15 00:00:00,4860,2016-04-06 20:45:59,2016,2016,March,March,22,20,16,7
2016-03-20 14:38:32,Skoda_Octavia_1.6,privat,Offer,8000,test,limousine,2012,manuell,102,octavia,50000,May,Gasoline,skoda,No,2016-03-20 00:00:00,23911,2016-04-06 17:16:25,2016,2016,March,March,17,17,4,7
2016-03-09 10:38:20,Skoda_oktavia_2,privat,Offer,5499,control,limousine,2005,manuell,105,octavia,150000,Mar,Gasoline,skoda,No,2016-03-09 00:00:00,13359,2016-03-16 01:16:42,2016,2016,March,March,7,1,11,9
2016-03-11 22:55:05,Skoda_Octavia_2.0_Ambiente,privat,Offer,1990,control,limousine,2000,manuell,116,octavia,150000,Oct,Gasoline,skoda,No,2016-03-11 00:00:00,2708,2016-03-17 23:44:23,2016,2016,March,March,6,23,16,2
2016-03-25 12:47:40,Skoda_Octavia_1.2_TSI__105_PS,privat,Offer,10500,test,limousine,2013,manuell,105,octavia,40000,Jun,Gasoline,skoda,No,2016-03-25 00:00:00,63741,2016-04-06 13:46:08,2016,2016,March,March,12,13,3,6
2016-04-04 20:46:01,Skoda_Octavia_2.0_TDI_CR_DPF_DSG_RS,privat,Offer,12800,control,limousine,2008,automatik,170,octavia,90000,Aug,Diesel,skoda,No,2016-04-04 00:00:00,38440,2016-04-06 23:15:59,2016,2016,April,April,2,23,8,4
2016-03-09 13:06:34,Skoda_Bj_2008__Benzin,privat,Offer,2999,test,limousine,2008,manuell,0,fabia,150000,Aug,Gasoline,skoda,Other,2016-03-09 00:00:00,65549,2016-03-10 21:15:27,2016,2016,March,March,1,21,8,4
2016-03-25 20:36:21,Skoda_Superb_2_5tdi_Zahnriemen_neu!,privat,Offer,4800,control,limousine,2005,automatik,163,Other,150000,May,Diesel,skoda,No,2016-03-25 00:00:00,14974,2016-04-07 05:16:46,2016,2016,March,March,13,5,11,7
2016-04-06 10:25:23,Skoda_Octavia_1.8_T_Leder_Klimaautomatik,privat,Offer,1990,control,limousine,2000,manuell,150,octavia,150000,Nov,Gasoline,skoda,No,2016-04-06 00:00:00,65187,2016-04-06 10:25:23,2016,2016,April,April,0,10,16,1
2016-03-13 09:40:27,Skoda_Superb_2.0_TDI,privat,Offer,10599,control,limousine,2011,manuell,0,superb,150000,May,Diesel,skoda,Other,2016-03-13 00:00:00,63165,2016-03-28 12:18:19,2016,2016,March,March,15,12,5,7
2016-04-05 00:52:44,Skoda_Superb_1.8_Turbo,privat,Offer,4500,control,limousine,2004,manuell,150,superb,125000,Apr,Gasoline,skoda,No,2016-04-04 00:00:00,6193,2016-04-07 10:16:11,2016,2016,April,April,3,10,12,8
