dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-04-04 21:48:23,Smart_for_Two_451_passion_mhd,privat,Offer,7500,test,coupe,2013,automatik,71,fortwo,40000,Feb,Gasoline,smart,No,2016-04-04 00:00:00,42697,2016-04-07 00:44:52,2016,2016,April,April,3,0,3,10
2016-03-12 19:50:28,Smart_Fortwo_TÜV_11.2017,privat,Offer,1999,test,coupe,2004,automatik,50,forfour,125000,Nov,Gasoline,smart,No,2016-03-12 00:00:00,45327,2016-03-17 23:18:19,2016,2016,March,March,5,23,12,1
2016-03-26 09:51:28,Smart_ForTwo_in_weiss,privat,Offer,8550,control,coupe,2013,automatik,84,fortwo,30000,Apr,Gasoline,smart,No,2016-03-26 00:00:00,91522,2016-04-03 20:44:43,2016,2016,March,March,8,20,3,8
2016-04-02 13:47:56,Smart_Roadster_Coupe_Softtop,privat,Offer,3300,test,coupe,2004,automatik,0,roadster,150000,Mar,Gasoline,smart,No,2016-04-02 00:00:00,75015,2016-04-06 12:16:15,2016,2016,April,April,4,12,12,9
2016-03-13 16:52:38,Smart_Brabus_Fortwo___Coupé,privat,Offer,11900,test,coupe,2012,automatik,102,fortwo,40000,Jan,Gasoline,smart,No,2016-03-13 00:00:00,45257,2016-04-06 17:46:16,2016,2016,March,March,24,17,4,11
2016-03-10 11:52:09,"Eleganter_Smart_Fortwo_coupé_mhd_""pulse""_Ausfuehrung!!!",privat,Offer,6990,test,coupe,2012,automatik,71,fortwo,30000,Apr,Gasoline,smart,No,2016-03-10 00:00:00,90765,2016-03-27 08:15:49,2016,2016,March,March,17,8,4,8
2016-03-06 10:47:50,Smart_Blackbeat_Nr_2_von_100_CDi_top_Zustand,privat,Offer,1350,test,coupe,2001,automatik,41,fortwo,150000,Oct,Diesel,smart,No,2016-03-06 00:00:00,41516,2016-03-10 09:15:30,2016,2016,March,March,4,9,15,2
2016-03-07 19:57:06,Smart_Fortwo_Coupé_52kw,privat,Offer,3600,control,coupe,2007,automatik,71,fortwo,90000,Nov,Gasoline,smart,Other,2016-03-07 00:00:00,71116,2016-03-10 16:15:52,2016,2016,March,March,3,16,9,1
2016-04-02 16:36:18,Smart_fortwo_450_Baujahr,privat,Offer,1500,control,coupe,2006,automatik,51,fortwo,150000,Apr,Gasoline,smart,No,2016-04-02 00:00:00,13581,2016-04-04 15:17:48,2016,2016,April,April,2,15,10,8
2016-03-08 14:52:44,Schoener_Stadt_flitzer,privat,Offer,2700,test,coupe,2006,automatik,45,Other,90000,Jan,Other,smart,No,2016-03-08 00:00:00,47807,2016-03-10 09:16:40,2016,2016,March,March,2,9,10,11
2016-03-20 08:32:12,Smart_forTwo_pure_Coupé__Benziner__gepflegt,privat,Offer,1999,control,coupe,2005,Unspecified,50,fortwo,125000,Jan,Gasoline,smart,Yes,2016-03-20 00:00:00,63303,2016-04-06 12:16:02,2016,2016,March,March,17,12,11,11
2016-03-30 15:39:11,Smart_ForTwo_MHD_Passion__Steuerwunder_,privat,Offer,4250,test,coupe,2008,automatik,71,fortwo,50000,Oct,Gasoline,smart,No,2016-03-30 00:00:00,56727,2016-04-07 06:15:37,2016,2016,March,March,8,6,8,2
2016-03-30 01:36:41,Smart_Coupe_Softtouch_Klima_passion___Sehr_Gepflegt_!,privat,Offer,2599,test,coupe,2005,automatik,61,fortwo,90000,Nov,Gasoline,smart,No,2016-03-30 00:00:00,63263,2016-04-06 15:47:06,2016,2016,March,March,7,15,11,1
2016-03-24 10:48:43,verkaufe_einen_sehr_schoenen_Smart_fortwo_mit_52_kW_mhd_in_schwarz,privat,Offer,5450,test,coupe,2010,automatik,71,fortwo,60000,Oct,Gasoline,smart,No,2016-03-24 00:00:00,58332,2016-03-27 06:47:21,2016,2016,March,March,3,6,6,2
2016-04-02 13:58:33,Smart_Fortwo_Passion,privat,Offer,3400,test,coupe,2007,automatik,61,fortwo,50000,Mar,Gasoline,smart,Other,2016-04-02 00:00:00,74321,2016-04-06 12:46:06,2016,2016,April,April,4,12,9,9
2016-03-08 12:46:41,Smart_fortwo_451_softtouch_pulse_weiss/_schw._Ledersitze_TOP,privat,Offer,4200,test,coupe,2008,automatik,84,fortwo,30000,Jan,Gasoline,smart,No,2016-03-08 00:00:00,80807,2016-03-12 05:17:12,2016,2016,March,March,4,5,8,11
2016-03-28 14:40:43,Smart_Fortwo_Coupé_Mhd_passion,privat,Offer,4890,test,coupe,2009,automatik,71,fortwo,80000,Sep,Gasoline,smart,No,2016-03-28 00:00:00,33647,2016-04-06 18:19:24,2016,2016,March,March,9,18,7,3
2016-03-05 18:51:39,Smart_ForTwo_Coupé_34300_km__TÜV__scheckheftgepflegt__Klima,privat,Offer,3100,test,coupe,2003,automatik,61,fortwo,40000,Nov,Gasoline,smart,No,2016-03-05 00:00:00,63150,2016-03-15 06:46:59,2016,2016,March,March,10,6,13,1
2016-03-12 01:57:11,Smart_Fortwo_Pure_Checkheftgeplegt,privat,Offer,2200,test,coupe,2005,automatik,50,fortwo,125000,May,Gasoline,smart,No,2016-03-12 00:00:00,22309,2016-03-20 02:17:54,2016,2016,March,March,8,2,11,7
