dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-17 12:44:43,Smart_For_two_Klima_regensensor_uSw,privat,Offer,3900,test,kleinwagen,2008,automatik,61,fortwo,80000,Jun,Gasoline,smart,Other,2016-03-17 00:00:00,21073,2016-03-19 11:46:17,2016,2016,March,March,2,11,8,6
2016-03-13 00:56:50,Smart_smart_&_pulse_cdi_TÜV_neu,privat,Offer,2250,control,kleinwagen,2001,Unspecified,41,fortwo,150000,Oct,Diesel,smart,No,2016-03-13 00:00:00,78224,2016-03-30 01:47:18,2016,2016,March,March,17,1,15,2
2016-03-31 09:55:33,Smart_smart_&_passion,privat,Offer,1195,control,kleinwagen,1999,automatik,54,fortwo,125000,Nov,Gasoline,smart,No,2016-03-31 00:00:00,86399,2016-03-31 10:45:59,2016,2016,March,March,0,10,17,1
2016-03-28 14:57:57,Smart_Fortwo_Coupe_cdi__schwarz_,privat,Offer,3300,test,kleinwagen,2006,automatik,41,fortwo,125000,Aug,Diesel,smart,No,2016-03-28 00:00:00,33719,2016-03-30 05:46:53,2016,2016,March,March,2,5,10,4
2016-03-27 15:44:25,Smart_smart_fortwo_coupe,privat,Offer,2250,control,kleinwagen,2006,Unspecified,61,fortwo,80000,Nov,Gasoline,smart,No,2016-03-27 00:00:00,66907,2016-03-27 15:44:25,2016,2016,March,March,0,15,10,1
2016-03-21 14:47:07,Smart_Coupe_Tuev_neu,privat,Offer,1690,control,kleinwagen,2000,automatik,0,Other,125000,Nov,Gasoline,smart,No,2016-03-21 00:00:00,25421,2016-04-02 09:17:08,2016,2016,March,March,12,9,16,1
2016-03-29 20:41:31,Smart_smart_&_pure_cdi,privat,Offer,3500,test,kleinwagen,2003,Unspecified,41,fortwo,150000,May,Diesel,smart,No,2016-03-29 00:00:00,76646,2016-04-06 06:45:27,2016,2016,March,March,8,6,13,7
2016-04-02 18:49:48,Smart_smart_&_pure,privat,Offer,1790,control,kleinwagen,2003,Unspecified,50,fortwo,100000,Oct,Gasoline,smart,No,2016-04-02 00:00:00,73037,2016-04-02 18:49:48,2016,2016,April,April,0,18,13,2
2016-03-09 20:42:10,Smart_smart_fortwo_cdi_coupe_softouch,privat,Offer,3550,test,kleinwagen,2008,automatik,45,fortwo,125000,Jun,Diesel,smart,No,2016-03-09 00:00:00,24145,2016-03-15 09:17:02,2016,2016,March,March,6,9,8,6
2016-03-22 14:46:31,Smart_Fortwo,privat,Offer,2699,control,kleinwagen,2007,automatik,61,fortwo,150000,Oct,Gasoline,smart,No,2016-03-22 00:00:00,50169,2016-03-22 14:46:31,2016,2016,March,March,0,14,9,2
2016-03-11 10:54:46,Smart_fortwo_coupe__passion_mhd+Sitzheitzung_71PS_Euro_4,privat,Offer,5350,test,kleinwagen,2010,automatik,71,fortwo,60000,May,Gasoline,smart,No,2016-03-11 00:00:00,34613,2016-04-07 03:45:55,2016,2016,March,March,27,3,6,7
2016-03-27 22:56:08,Smart_smart_limited/1,privat,Offer,1000,test,kleinwagen,1999,automatik,54,fortwo,150000,Nov,Gasoline,smart,No,2016-03-27 00:00:00,21337,2016-04-06 06:17:13,2016,2016,March,March,10,6,17,1
2016-04-02 15:38:40,Smart_fortwo_black,privat,Offer,0,control,kleinwagen,2001,automatik,0,fortwo,90000,Mar,Gasoline,smart,No,2016-04-02 00:00:00,44536,2016-04-06 14:16:32,2016,2016,April,April,4,14,15,9
2016-03-25 17:25:36,Smart_451_Turbo_84PS_Passion_PaDach/Sitzh/Klima,privat,Offer,4950,test,kleinwagen,2007,automatik,84,fortwo,60000,May,Gasoline,smart,No,2016-03-25 00:00:00,56355,2016-03-27 16:10:36,2016,2016,March,March,2,16,9,7
