dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-16 19:39:51,SMART_ForTwo_mc01_erst_112tkm_/_ez_2004_/_euro_4_/Checkheft,privat,Offer,1000,test,limousine,2004,Unspecified,51,fortwo,125000,Aug,Other,smart,Yes,2016-03-16 00:00:00,31749,2016-03-24 08:17:41,2016,2016,March,March,8,8,12,4
2016-03-25 11:44:42,Smart_Cdi_in_guter_Zustand_Motor_und_Getriebe_wie_neue,privat,Offer,3400,test,limousine,2006,manuell,95,forfour,150000,Sep,Diesel,smart,No,2016-03-25 00:00:00,73760,2016-04-06 11:45:52,2016,2016,March,March,12,11,10,3
2016-03-29 16:50:45,Smart_fortwo_MHD/Panoramadach/Sitz./ALU_Felge_u.v.m.,privat,Offer,6450,control,limousine,2012,manuell,71,fortwo,30000,Jul,Gasoline,smart,No,2016-03-29 00:00:00,22175,2016-03-31 09:47:30,2016,2016,March,March,2,9,4,5
2016-03-23 18:49:13,Smart_ForFour__Passion_1_3_Liter__95_Ps,privat,Offer,3300,test,limousine,2004,manuell,95,forfour,150000,Aug,Gasoline,smart,No,2016-03-23 00:00:00,89081,2016-04-02 01:18:43,2016,2016,March,March,10,1,12,4
2016-03-10 17:45:09,Smart_ForFour_CDI,privat,Offer,3700,control,limousine,2005,manuell,68,forfour,150000,Jul,Diesel,smart,No,2016-03-10 00:00:00,38124,2016-03-10 17:45:09,2016,2016,March,March,0,17,11,5
2016-03-13 19:37:38,Smart_450_Passion,privat,Offer,3199,control,limousine,2004,automatik,41,fortwo,100000,Jan,Diesel,smart,No,2016-03-13 00:00:00,65439,2016-03-17 07:46:13,2016,2016,March,March,4,7,12,11
2016-03-19 16:52:51,Reserviert_bis_morgen_15h_Smart_Fortwo_Coupe_Pure:_f.Hobbybastler,privat,Offer,850,test,limousine,2005,automatik,50,fortwo,100000,Feb,Gasoline,smart,Yes,2016-03-19 00:00:00,40235,2016-03-19 16:52:51,2016,2016,March,March,0,16,11,10
2016-03-25 11:55:21,Smart_forfour_1_3L_Klima_Tuev_Au_Neu,privat,Offer,2750,test,limousine,2004,manuell,95,forfour,150000,Jan,Other,smart,Other,2016-03-25 00:00:00,30855,2016-04-06 13:45:08,2016,2016,March,March,12,13,12,11
2016-03-09 16:52:42,Smart_smart_forfour_cdi_softu_pasion*AUTOMAT*PANORAMA*NAVI*,privat,Offer,2300,test,limousine,2005,automatik,95,forfour,150000,Oct,Diesel,smart,No,2016-03-09 00:00:00,49082,2016-03-10 12:47:22,2016,2016,March,March,1,12,11,2
2016-03-09 12:57:28,Cdi_Smart_Motor_Getriebe_wie_neu,privat,Offer,3400,control,limousine,2006,manuell,95,forfour,150000,Jan,Diesel,smart,Other,2016-03-09 00:00:00,73760,2016-04-06 01:50:26,2016,2016,March,March,28,1,10,11
2016-03-10 23:58:02,Smart_Four_Four_schwarz_Mit_Anhaengerkupplung_und_Parktronic,privat,Offer,2300,test,limousine,2005,manuell,75,forfour,125000,Nov,Gasoline,smart,No,2016-03-10 00:00:00,70178,2016-03-17 09:16:32,2016,2016,March,March,7,9,11,1
2016-03-12 16:49:51,Smart_Forfour_*_Klimaanlage*,privat,Offer,2690,control,limousine,2005,manuell,75,forfour,150000,Jun,Gasoline,smart,Other,2016-03-12 00:00:00,41751,2016-04-07 07:17:22,2016,2016,March,March,26,7,11,6
2016-03-28 18:57:24,Smart_Four_schwarz,privat,Offer,2200,control,limousine,2006,manuell,75,forfour,125000,Oct,Gasoline,smart,No,2016-03-28 00:00:00,70188,2016-03-28 18:57:24,2016,2016,March,March,0,18,10,2
2016-04-05 09:57:49,Smart_forFour_CDI_Passion_Automatik,privat,Offer,2750,control,limousine,2004,automatik,95,forfour,150000,Jun,Diesel,smart,No,2016-04-05 00:00:00,34127,2016-04-07 12:45:30,2016,2016,April,April,2,12,12,6
2016-03-10 17:52:13,Smart_Forfour,privat,Offer,3100,control,limousine,2006,automatik,109,forfour,150000,Sep,Gasoline,smart,Other,2016-03-10 00:00:00,51381,2016-04-01 21:48:00,2016,2016,March,March,22,21,10,3
2016-03-19 16:51:37,Reserviert_bis_morgen_15h_Smart_Fortwo_Coupe_Pure:_f.Hobbybastler,privat,Offer,850,test,limousine,2005,automatik,50,fortwo,100000,Feb,Gasoline,smart,Yes,2016-03-19 00:00:00,40235,2016-03-19 16:51:37,2016,2016,March,March,0,16,11,10
2016-03-11 14:52:18,smart_forFour_softtouch_passion,privat,Offer,2100,control,limousine,2004,automatik,95,forfour,150000,Aug,Gasoline,smart,No,2016-03-11 00:00:00,51069,2016-04-05 11:48:24,2016,2016,March,March,25,11,12,4
2016-03-16 19:52:42,Smart_forfour_1_3liter_Passion,privat,Offer,1400,test,limousine,2005,manuell,95,forfour,150000,Jun,Gasoline,smart,Yes,2016-03-16 00:00:00,77652,2016-03-30 15:16:50,2016,2016,March,March,14,15,11,6
2016-03-11 09:57:41,Smart_Fortwo_Cabrio_A_450_Klima_Softtouch,privat,Offer,2300,control,limousine,2000,automatik,54,fortwo,100000,Sep,Gasoline,smart,No,2016-03-11 00:00:00,88048,2016-03-12 09:52:19,2016,2016,March,March,1,9,16,3
2016-03-26 03:36:23,Schlachte_Smart_Fourfor_Brabus,privat,Offer,0,control,limousine,2004,manuell,0,forfour,125000,Aug,Gasoline,smart,Yes,2016-03-26 00:00:00,44653,2016-04-05 19:47:19,2016,2016,March,March,10,19,12,4
2016-03-15 23:57:10,Smart_fortwo_coupé_pulse__45kW/61_PS__schwarz,privat,Offer,2400,control,limousine,2004,automatik,61,fortwo,90000,Jun,Gasoline,smart,No,2015-12-30 00:00:00,10315,2016-04-06 15:17:11,2015,2016,December,March,98,15,12,6
2016-03-14 04:54:38,Smart_Forfour_Pulse_aus_1Hand,privat,Offer,4000,control,limousine,2005,manuell,75,forfour,80000,Aug,Gasoline,smart,No,2016-03-14 00:00:00,80331,2016-03-15 21:46:48,2016,2016,March,March,1,21,11,4
