dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-31 17:52:56,Iveco_Daily_Kastenwagen___Maxi,privat,Offer,4600,control,andere,2008,manuell,0,Other,150000,Jan,Diesel,sonstige_autos,Other,2016-03-31 00:00:00,49086,2016-04-06 12:16:48,2016,2016,March,March,6,12,8,11
2016-03-22 13:55:23,Fiat_fiorino_kastenwagen_lkw_zul.,privat,Offer,470,control,andere,1997,Unspecified,67,Other,150000,Jan,Other,sonstige_autos,Other,2016-03-22 00:00:00,94333,2016-03-27 21:17:22,2016,2016,March,March,5,21,19,11
2016-03-31 08:53:18,PICK_UP_Gonow_Troy_»_1_9l_Turbo_Diesel_»_Allrad_»_Klima_»_4_Tuerer,privat,Offer,6800,control,andere,2008,manuell,0,Other,70000,Jan,Diesel,sonstige_autos,No,2016-03-31 00:00:00,14712,2016-04-06 03:15:44,2016,2016,March,March,6,3,8,11
2016-03-27 20:46:19,Aixam_45_km/h_Auto_automatiek_nicht_fahrbereit,privat,Offer,2000,control,andere,2003,automatik,0,Other,20000,Jun,Other,sonstige_autos,Other,2016-03-27 00:00:00,26629,2016-04-05 19:17:33,2016,2016,March,March,9,19,13,6
2016-03-08 17:56:37,Elektroauto_City_EL,privat,Offer,4500,control,andere,2006,automatik,5,Other,40000,Jul,Electric,sonstige_autos,No,2016-03-08 00:00:00,77855,2016-04-07 08:46:28,2016,2016,March,March,30,8,10,5
2016-03-26 10:48:50,AIXAM__MEGA_Multitruck,privat,Offer,4600,test,andere,2012,manuell,4,Other,20000,Sep,Diesel,sonstige_autos,No,2016-03-26 00:00:00,40822,2016-03-26 10:48:50,2016,2016,March,March,0,10,4,3
2016-04-03 22:47:54,Dringend_Wer_kann_helfen,privat,Offer,0,control,andere,1998,manuell,0,Other,150000,Aug,,sonstige_autos,Other,2016-04-03 00:00:00,26419,2016-04-06 00:15:52,2016,2016,April,April,3,0,18,4
2016-03-29 16:56:52,Hilfe_bei_der_Autosuche,privat,Offer,0,control,andere,2000,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,Other,2016-03-29 00:00:00,96450,2016-04-06 02:45:14,2016,2016,March,March,8,2,16,11
2016-03-23 21:06:24,SUCHE_Autos_Mit_Oder_Ohne_Schade..,privat,Offer,5,control,andere,1995,Unspecified,223,Other,150000,Oct,,sonstige_autos,Other,2016-03-23 00:00:00,35576,2016-04-07 00:15:58,2016,2016,March,March,15,0,21,2
2016-03-13 20:25:16,Go__Kart_ohne_Motor,privat,Offer,275,test,andere,2010,automatik,1,Other,5000,Jan,,sonstige_autos,Other,2016-03-13 00:00:00,57648,2016-03-20 09:15:42,2016,2016,March,March,7,9,6,11
2016-03-20 20:39:30,Oldtimer_Citroen_Belphegor_N_800,privat,Offer,5000,test,andere,1969,manuell,80,Other,5000,Jan,Diesel,sonstige_autos,Yes,2016-03-20 00:00:00,58300,2016-04-07 04:46:53,2016,2016,March,March,18,4,47,11
2016-03-11 00:52:19,Seltener_Ivecomagirus_als_Wohnmobil_Fahrbereit!!!,privat,Offer,1000,test,andere,1987,manuell,101,Other,150000,Jan,Diesel,sonstige_autos,Yes,2016-03-10 00:00:00,59320,2016-03-12 10:17:48,2016,2016,March,March,2,10,29,11
2016-03-27 10:52:41,Invacare_elektro,privat,Offer,2000,control,andere,2010,Unspecified,0,Other,5000,May,Electric,sonstige_autos,Other,2016-03-27 00:00:00,73630,2016-04-07 06:44:28,2016,2016,March,March,11,6,6,7
2016-03-21 12:56:07,zu_verkaufen,privat,Offer,3900,control,andere,1999,Unspecified,0,Other,40000,Mar,Gasoline,sonstige_autos,Other,2016-03-21 00:00:00,76275,2016-03-24 01:15:58,2016,2016,March,March,3,1,17,9
2016-04-04 17:43:01,Wollen_sie_mich_Gratis_fahren,privat,Offer,0,test,andere,2016,manuell,85,Other,5000,Jan,,sonstige_autos,No,2016-04-04 00:00:00,86633,2016-04-04 17:43:01,2016,2016,April,April,0,17,0,11
2016-03-30 23:59:02,Microcar_ligier_ambra,privat,Offer,0,control,andere,1998,automatik,5,Other,50000,Jan,Gasoline,sonstige_autos,Other,2016-03-30 00:00:00,14789,2016-04-04 00:16:09,2016,2016,March,March,5,0,18,11
2016-03-12 05:36:17,Buggy_250ccm_Projektaufgabe_.,privat,Offer,750,control,andere,2005,Unspecified,0,Other,10000,Jul,Gasoline,sonstige_autos,Other,2016-03-12 00:00:00,77815,2016-03-12 21:44:25,2016,2016,March,March,0,21,11,5
2016-03-15 14:46:12,Autocross_Spezialcross,privat,Offer,7000,control,andere,2009,Unspecified,0,Other,5000,Oct,Other,sonstige_autos,Other,2016-03-15 00:00:00,29584,2016-04-06 04:44:50,2016,2016,March,March,22,4,7,2
2016-03-17 21:50:06,M_Tec_Kart_DD2_125_ccm,privat,Offer,2000,test,andere,2008,Unspecified,0,Other,5000,Jan,Gasoline,sonstige_autos,No,2016-03-17 00:00:00,24768,2016-04-07 12:17:04,2016,2016,March,March,21,12,8,11
2016-04-04 16:39:17,Suche_dringend_ein_Billiges_Auto,privat,Offer,250,test,andere,1997,manuell,80,Other,150000,Jan,Other,sonstige_autos,Other,2016-04-04 00:00:00,97340,2016-04-04 16:39:17,2016,2016,April,April,0,16,19,11
2016-03-31 16:45:14,PGO_Buggy_Werbefahrzeug_Funfahrzeug_Kymco_Technik_Quad__Roadster,privat,Offer,3500,control,andere,2007,automatik,20,Other,10000,Mar,Gasoline,sonstige_autos,No,2016-03-31 00:00:00,34134,2016-04-06 09:45:17,2016,2016,March,March,6,9,9,9
2016-03-20 07:54:57,Tausche_gegen_Ligier_Optima,privat,Offer,0,control,andere,1991,automatik,0,Other,30000,Jan,Other,sonstige_autos,Yes,2016-03-20 00:00:00,31812,2016-03-23 22:47:22,2016,2016,March,March,3,22,25,11
2016-03-08 18:38:00,Hallo_Tausche_fully_gegen_fahrbereites_Auto_mit_Rest_TÜV,privat,Offer,0,test,andere,1995,Unspecified,0,Other,150000,Jan,,sonstige_autos,No,2016-03-08 00:00:00,6188,2016-03-09 09:46:38,2016,2016,March,March,1,9,21,11
2016-03-31 08:54:53,Buran_NVA_DDR_Schneemobil_Grenztruppen_Oldtimer_Motorschlitten,privat,Offer,1999,control,andere,1978,Unspecified,0,Other,5000,Jan,Gasoline,sonstige_autos,Other,2016-03-31 00:00:00,19348,2016-04-04 02:15:30,2016,2016,March,March,4,2,38,11
