dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-06 22:43:51,Dodge_RAM_B300_Mowag_Mowag_Dodge_V8_selten_Neuaufbau_US_Car_Van,privat,Offer,11500,control,bus,1985,automatik,160,Other,125000,Oct,Gasoline,sonstige_autos,Other,2016-03-06 00:00:00,4849,2016-04-05 18:17:04,2016,2016,March,March,30,18,31,2
2016-04-04 21:45:35,Barkas_B_1000_Fensterbus,privat,Offer,1500,test,bus,1976,manuell,50,Other,5000,Jan,Diesel,sonstige_autos,Other,2016-04-04 00:00:00,19288,2016-04-07 00:16:46,2016,2016,April,April,3,0,40,11
2016-03-08 09:50:15,Dodge_Journey_2.0_CRD,privat,Offer,8490,control,bus,2008,manuell,140,Other,125000,Mar,Diesel,sonstige_autos,No,2016-03-08 00:00:00,47057,2016-03-11 11:17:46,2016,2016,March,March,3,11,8,9
2016-03-19 14:37:40,Fast_Oldtimer_Barkas_B_1000_mit_Fenstern_und_Sitzen__EZ_09.1988,privat,Offer,1850,test,bus,1988,manuell,46,Other,150000,Sep,Gasoline,sonstige_autos,Yes,2016-03-19 00:00:00,33014,2016-03-24 08:46:09,2016,2016,March,March,5,8,28,3
2016-04-01 18:48:57,Iveco_Daily_Maxi_2011___Hoch_und_Lang___Erdgas__9_Euro_auf_100km_,privat,Offer,8500,control,bus,2011,manuell,136,Other,150000,May,Cng,sonstige_autos,No,2016-04-01 00:00:00,25569,2016-04-01 18:48:57,2016,2016,April,April,0,18,5,7
2016-03-19 20:38:14,IFA_FRAMO_BUS_!!!_SELTENHEIT_mit_Papiere_!!,privat,Offer,6890,control,bus,1960,Unspecified,0,Other,150000,May,Gasoline,sonstige_autos,Other,2016-03-19 00:00:00,8066,2016-04-07 08:44:39,2016,2016,March,March,19,8,56,7
2016-03-31 19:47:42,Robur_Bus_Scheckheft_gepflegt__20_sitze_/Oldtimer_.17500_km_,privat,Offer,6900,control,bus,1981,manuell,75,Other,20000,Jan,Gasoline,sonstige_autos,Other,2016-03-31 00:00:00,12277,2016-04-02 15:45:33,2016,2016,March,March,2,15,35,11
2016-04-03 12:26:17,Iveco_35_S_12_V,privat,Offer,3800,test,bus,2008,manuell,116,Other,150000,Apr,Diesel,sonstige_autos,Yes,2016-04-03 00:00:00,57537,2016-04-06 17:45:11,2016,2016,April,April,3,17,8,8
2016-03-16 14:38:41,SUCHE_AUTO_nur_VAN/BUS,privat,Offer,800,test,bus,2000,Unspecified,100,Other,150000,Apr,Gasoline,sonstige_autos,Other,2016-03-16 00:00:00,9669,2016-04-06 12:45:38,2016,2016,March,March,21,12,16,8
2016-03-20 12:42:11,Dodge_RAM_TÜV_neu__AHK_3_5_to,privat,Offer,5350,test,bus,1999,automatik,245,Other,100000,Jul,Gasoline,sonstige_autos,No,2016-03-20 00:00:00,66128,2016-03-24 03:17:54,2016,2016,March,March,4,3,17,5
