dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-28 15:37:13,MG_MGF_1.8i,privat,Offer,3999,control,cabrio,1999,manuell,120,Other,125000,Sep,Gasoline,sonstige_autos,No,2016-03-28 00:00:00,16567,2016-04-06 20:15:37,2016,2016,March,March,9,20,17,3
2016-03-30 11:56:33,Corvette_C4,privat,Offer,16500,test,cabrio,1990,Unspecified,0,Other,80000,Apr,Other,sonstige_autos,No,2016-03-30 00:00:00,77974,2016-04-07 02:45:11,2016,2016,March,March,8,2,26,8
2016-03-09 14:45:05,Buick_Electra_225_Cabrio,privat,Offer,6500,test,cabrio,1965,automatik,360,Other,150000,Jun,Gasoline,sonstige_autos,Other,2016-03-09 00:00:00,67105,2016-04-06 08:46:00,2016,2016,March,March,28,8,51,6
2016-03-15 21:44:32,Andere_Andere,privat,Offer,1800,control,cabrio,1925,Unspecified,0,Other,5000,Jan,Other,sonstige_autos,No,2016-03-15 00:00:00,79288,2016-04-07 05:15:34,2016,2016,March,March,23,5,91,11
2016-04-01 16:54:02,MG_Midget,privat,Offer,8400,control,cabrio,1979,manuell,0,Other,90000,Jul,Gasoline,sonstige_autos,No,2016-04-01 00:00:00,99096,2016-04-05 12:17:34,2016,2016,April,April,4,12,37,5
2016-04-04 20:36:25,Triumph_TR7,privat,Offer,6500,control,cabrio,1983,manuell,106,Other,70000,Feb,Gasoline,sonstige_autos,Other,2016-04-04 00:00:00,94118,2016-04-06 22:46:15,2016,2016,April,April,2,22,33,10
2016-03-12 11:49:30,MG_MGF_1.8i,privat,Offer,5950,test,cabrio,1999,manuell,120,Other,30000,Sep,Gasoline,sonstige_autos,No,2016-03-12 00:00:00,77743,2016-04-06 05:44:58,2016,2016,March,March,25,5,17,3
2016-03-09 20:56:29,MG_MGF_1.8i,privat,Offer,1000,test,cabrio,2000,manuell,120,Other,125000,May,Gasoline,sonstige_autos,No,2016-03-09 00:00:00,71106,2016-03-10 17:45:28,2016,2016,March,March,1,17,16,7
2016-03-30 18:37:35,MG_MGB,privat,Offer,15000,test,cabrio,1980,manuell,67,Other,150000,Jul,Gasoline,sonstige_autos,No,2016-03-30 00:00:00,91781,2016-04-07 09:44:33,2016,2016,March,March,8,9,36,5
2016-03-24 23:37:00,MG_Cabrio_1.8_Tuev_neu_+_zahnriemen,privat,Offer,2650,test,cabrio,2001,manuell,125,Other,125000,Sep,Gasoline,sonstige_autos,No,2016-03-24 00:00:00,41236,2016-04-04 04:15:55,2016,2016,March,March,11,4,15,3
2016-03-26 16:42:53,MG_MGF_1_8_Cabrio,privat,Offer,2490,control,cabrio,2001,manuell,120,Other,150000,Jan,Gasoline,sonstige_autos,Other,2016-03-26 00:00:00,51399,2016-04-06 04:45:33,2016,2016,March,March,11,4,15,11
2016-04-02 10:38:58,Lotus_Super_Seven_Orig.Caterham_Linkslenker_mit_gruener_Plakette,privat,Offer,20950,test,cabrio,1992,manuell,86,Other,40000,Jun,Gasoline,sonstige_autos,No,2016-04-02 00:00:00,31224,2016-04-06 08:15:28,2016,2016,April,April,4,8,24,6
2016-03-31 10:58:45,MG_Midget,privat,Offer,7900,control,cabrio,1977,manuell,67,Other,80000,Jul,Gasoline,sonstige_autos,No,2016-03-31 00:00:00,93176,2016-04-06 04:16:59,2016,2016,March,March,6,4,39,5
2016-03-10 15:52:49,MG_MGF_1.8i_Neue_ZKD_&_Zahnriemen_Klima_Leder,privat,Offer,4390,test,cabrio,2001,manuell,120,Other,80000,Jul,Gasoline,sonstige_autos,No,2016-03-10 00:00:00,50765,2016-03-17 23:47:01,2016,2016,March,March,7,23,15,5
2016-03-27 13:57:52,MG_MGB,privat,Offer,21300,test,cabrio,1966,Unspecified,105,Other,40000,Jun,Other,sonstige_autos,No,2016-03-27 00:00:00,63322,2016-04-05 07:22:23,2016,2016,March,March,9,7,50,6
2016-03-29 15:55:31,MG_MGF,privat,Offer,2490,control,cabrio,2000,manuell,120,Other,150000,Nov,Gasoline,sonstige_autos,No,2016-03-29 00:00:00,51399,2016-04-06 01:44:53,2016,2016,March,March,8,1,16,1
2016-04-01 19:25:37,Abarth_595C_Turismo_Cabrio__neuwertig_+_Vollausstattung,privat,Offer,17500,control,cabrio,2013,manuell,160,Other,10000,Aug,Gasoline,sonstige_autos,No,2016-04-01 00:00:00,57520,2016-04-05 12:18:08,2016,2016,April,April,4,12,3,4
2016-04-03 13:53:00,MG_MG_TF_135,privat,Offer,8999,control,cabrio,2003,manuell,136,Other,100000,Feb,Gasoline,sonstige_autos,No,2016-04-03 00:00:00,48653,2016-04-05 12:46:37,2016,2016,April,April,2,12,13,10
