dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-30 11:55:46,Oldsmobile_Cutlass,privat,Offer,15000,test,coupe,1971,Unspecified,0,Other,5000,Apr,Other,sonstige_autos,No,2016-03-30 00:00:00,51145,2016-04-07 02:45:10,2016,2016,March,March,8,2,45,8
2016-03-09 19:06:18,Pontiac_Firebird,privat,Offer,2500,test,coupe,1990,automatik,140,Other,150000,Sep,Gasoline,sonstige_autos,No,2016-03-09 00:00:00,35578,2016-03-15 08:15:11,2016,2016,March,March,6,8,26,3
2016-03-05 22:38:16,Dodge_Charger,privat,Offer,11990,control,coupe,1973,automatik,0,Other,100000,Feb,Gasoline,sonstige_autos,No,2016-03-05 00:00:00,68723,2016-04-07 12:47:18,2016,2016,March,March,33,12,43,10
2016-03-09 18:44:47,Maserati_4200,privat,Offer,20000,test,coupe,2002,Unspecified,0,Other,30000,Jun,Other,sonstige_autos,Yes,2016-03-09 00:00:00,74626,2016-04-07 12:17:26,2016,2016,March,March,29,12,14,6
2016-03-06 15:23:50,Pontiac_Firebird_____Liebhaber_auto!!!!!,privat,Offer,5555,test,coupe,1994,automatik,148,Other,5000,Jun,Gasoline,sonstige_autos,No,2016-03-06 00:00:00,65614,2016-03-09 15:47:48,2016,2016,March,March,3,15,22,6
2016-03-25 19:25:35,Lotus_Esprit_2.2_NA_HC,privat,Offer,17000,control,coupe,1988,manuell,185,Other,90000,Mar,Gasoline,sonstige_autos,No,2016-03-25 00:00:00,63065,2016-04-05 14:46:47,2016,2016,March,March,11,14,28,9
2016-03-21 16:51:18,Oldsmobile_Toronado,privat,Offer,1500,control,coupe,1981,automatik,141,Other,70000,Jun,Gasoline,sonstige_autos,No,2016-03-21 00:00:00,2681,2016-03-27 00:16:11,2016,2016,March,March,6,0,35,6
2016-03-08 10:40:51,Dodge_Dart_GT_Coupe,privat,Offer,6300,test,coupe,1968,automatik,105,Other,60000,Apr,Gasoline,sonstige_autos,Yes,2016-03-08 00:00:00,10407,2016-03-10 01:16:15,2016,2016,March,March,2,1,48,8
2016-04-05 08:57:28,Lincoln_Continental_Mark_IV,privat,Offer,23850,test,coupe,1973,automatik,228,Other,10000,Jun,Gasoline,sonstige_autos,No,2016-04-05 00:00:00,2736,2016-04-07 12:17:42,2016,2016,April,April,2,12,43,6
2016-03-18 08:36:43,1964_er_GOGGOMOBIL_COUPE***EZ:16.06.1964,privat,Offer,1999,test,coupe,1964,manuell,10,Other,150000,Jun,Gasoline,sonstige_autos,Other,2016-03-18 00:00:00,74918,2016-03-21 06:47:31,2016,2016,March,March,3,6,52,6
2016-04-04 18:49:03,Corvette_C5,privat,Offer,17500,test,coupe,1998,manuell,344,Other,150000,Jul,Gasoline,sonstige_autos,No,2016-04-04 00:00:00,77966,2016-04-06 21:15:50,2016,2016,April,April,2,21,18,5
2016-03-11 12:49:59,Andere_Matra_Simca_Baghera_TOP,privat,Offer,7999,test,coupe,1978,manuell,90,Other,125000,Jan,Gasoline,sonstige_autos,No,2016-03-11 00:00:00,76831,2016-03-15 02:46:56,2016,2016,March,March,4,2,38,11
2016-03-14 10:50:37,Triumph_GT6_Mk3,privat,Offer,11750,control,coupe,1969,manuell,0,Other,100000,Jul,Gasoline,sonstige_autos,No,2016-03-14 00:00:00,47574,2016-04-07 11:18:02,2016,2016,March,March,24,11,47,5
2016-03-21 14:48:45,Andere_Andere,privat,Offer,750,control,coupe,1967,Unspecified,0,Other,125000,Jan,Gasoline,sonstige_autos,Yes,2016-03-21 00:00:00,79848,2016-03-31 18:17:53,2016,2016,March,March,10,18,49,11
2016-04-03 12:41:49,Cadillac_Eldorado_7.7_l_mit_H_Zulassung!!!,privat,Offer,16500,control,coupe,1969,automatik,385,Other,150000,Jan,Gasoline,sonstige_autos,No,2016-04-03 00:00:00,64658,2016-04-07 14:57:12,2016,2016,April,April,4,14,47,11
2016-03-12 12:37:23,MG_BGT_LEYLAND__._.Oldtimer_von_1975,privat,Offer,1800,test,coupe,1975,manuell,0,Other,5000,Jul,Other,sonstige_autos,Yes,2016-03-12 00:00:00,55543,2016-04-06 07:16:05,2016,2016,March,March,25,7,41,5
2016-04-05 09:56:21,Suche_Ferrari_Mondial,privat,Offer,1,control,coupe,1985,manuell,100,Other,5000,Jan,Gasoline,sonstige_autos,No,2016-04-05 00:00:00,33602,2016-04-07 13:17:09,2016,2016,April,April,2,13,31,11
2016-03-27 11:46:39,Andere_Goggomobil_Coupe,privat,Offer,2200,test,coupe,1965,Unspecified,0,Other,150000,Jul,Other,sonstige_autos,No,2016-03-27 00:00:00,13189,2016-04-07 06:46:24,2016,2016,March,March,11,6,51,5
2016-03-25 14:37:33,90_Pontiac_Firebird_V6_matt_gerollt.____Getriebeschaden_,privat,Offer,500,control,coupe,1990,automatik,140,Other,150000,Jul,Gasoline,sonstige_autos,Yes,2016-03-25 00:00:00,58256,2016-03-25 14:37:33,2016,2016,March,March,0,14,26,5
2016-03-16 12:48:31,3.18.is_siehe_Foto,privat,Offer,0,test,coupe,1996,automatik,140,Other,150000,Jul,Gasoline,sonstige_autos,No,2016-03-16 00:00:00,16540,2016-04-06 07:46:04,2016,2016,March,March,21,7,20,5
