dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-30 21:37:21,Dodge_Avenger_2.7_SXT,privat,Offer,6999,test,limousine,2010,automatik,186,Other,125000,Apr,Gasoline,sonstige_autos,No,2016-03-30 00:00:00,81929,2016-04-05 11:18:33,2016,2016,March,March,6,11,6,8
2016-03-15 16:37:22,Brilliance_BS4_1.6_Comfort,privat,Offer,500,control,limousine,2010,manuell,101,Other,70000,Jan,Gasoline,sonstige_autos,Yes,2016-03-15 00:00:00,76829,2016-03-21 14:15:21,2016,2016,March,March,6,14,6,11
2016-03-22 11:38:37,Lexus_GS_300,privat,Offer,9200,control,limousine,2005,automatik,249,Other,150000,Oct,Gasoline,sonstige_autos,No,2016-03-22 00:00:00,95447,2016-04-05 23:16:55,2016,2016,March,March,14,23,11,2
2016-03-12 19:43:08,Cadillac_Deville_DTS_Baujahr_2004__TÜV_08/2017,privat,Offer,6700,test,limousine,2004,automatik,305,Other,150000,Sep,Gasoline,sonstige_autos,No,2016-03-12 00:00:00,53117,2016-04-01 16:17:28,2016,2016,March,March,20,16,12,3
2016-03-24 18:45:06,Cadillac_STS_4_6___LPG___*VOLLAUSSTATTUNG*__RECHTSLENKER,privat,Offer,1950,test,limousine,2001,automatik,305,Other,150000,Jul,Lpg,sonstige_autos,No,2016-03-24 00:00:00,91338,2016-04-07 12:17:00,2016,2016,March,March,14,12,15,5
2016-04-05 12:53:17,Lexus_LS_400,privat,Offer,6750,test,limousine,1994,automatik,264,Other,125000,Nov,Gasoline,sonstige_autos,No,2016-04-05 00:00:00,37688,2016-04-05 12:53:17,2016,2016,April,April,0,12,22,1
2016-03-22 20:58:40,Lexus_IS_200,privat,Offer,5750,control,limousine,2005,manuell,155,Other,150000,Jan,Gasoline,sonstige_autos,No,2016-03-22 00:00:00,69168,2016-04-06 16:16:56,2016,2016,March,March,15,16,11,11
2016-03-22 21:46:02,Proton_Persona_1_6,privat,Offer,250,control,limousine,2000,manuell,0,Other,150000,Oct,Gasoline,sonstige_autos,No,2016-03-22 00:00:00,99091,2016-04-04 14:47:36,2016,2016,March,March,13,14,16,2
2016-03-20 16:50:37,Wartburg_1.3_zwei_Autos__einer_mit_TueV__der_andere_ohne,privat,Offer,1400,test,limousine,1989,manuell,0,Other,90000,Jun,Gasoline,sonstige_autos,Other,2016-03-20 00:00:00,7407,2016-04-06 22:45:40,2016,2016,March,March,17,22,27,6
2016-03-20 12:59:01,"Simca""_Aronde""_Oldtimer__mit_Motorschaden",privat,Offer,2990,test,limousine,1961,manuell,0,Other,5000,Apr,Gasoline,sonstige_autos,Yes,2016-03-20 00:00:00,26427,2016-04-02 14:45:52,2016,2016,March,March,13,14,55,8
2016-04-04 19:51:19,Lexus_GS_300_mit_LPG_Gasanlage,privat,Offer,4950,test,limousine,1999,automatik,222,Other,150000,May,Lpg,sonstige_autos,No,2016-04-04 00:00:00,45549,2016-04-06 22:16:52,2016,2016,April,April,2,22,17,7
2016-03-16 13:47:22,Wartburg_353W_Ausrueckdienstfahrzeug_Feuerwehr,privat,Offer,0,control,limousine,1990,manuell,37,Other,30000,Nov,Gasoline,sonstige_autos,Other,2016-03-16 00:00:00,6628,2016-03-17 11:45:10,2016,2016,March,March,1,11,26,1
2016-03-25 19:37:58,Wartburg_1_3_Limusine_Siebedach__Raritaet__89000km,privat,Offer,2099,test,limousine,1990,manuell,55,Other,90000,Nov,Gasoline,sonstige_autos,No,2016-03-25 00:00:00,14612,2016-04-07 02:46:02,2016,2016,March,March,13,2,26,1
2016-04-04 21:56:37,Wartburg_353_Karosse_mit_Rahmen_und_Anbauteilen_IFA_AWE_DDR,privat,Offer,50,test,limousine,1981,manuell,50,Other,10000,Apr,Gasoline,sonstige_autos,No,2016-04-04 00:00:00,99867,2016-04-07 00:45:19,2016,2016,April,April,3,0,35,8
2016-03-19 13:45:25,Wartburg_311_zu_verkaufen,privat,Offer,2300,test,limousine,1958,manuell,45,Other,80000,Jan,Gasoline,sonstige_autos,Other,2016-03-19 00:00:00,9600,2016-03-30 05:47:21,2016,2016,March,March,11,5,58,11
2016-04-02 22:47:49,Plymouth_Satellite,privat,Offer,12500,test,limousine,1968,automatik,230,Other,150000,Nov,Gasoline,sonstige_autos,No,2016-04-02 00:00:00,22605,2016-04-02 22:47:49,2016,2016,April,April,0,22,48,1
2016-03-11 18:47:49,Wartburg_Wartburg_1.3,privat,Offer,2950,test,limousine,1990,manuell,58,Other,90000,Jan,Gasoline,sonstige_autos,No,2016-03-11 00:00:00,7422,2016-03-12 23:45:35,2016,2016,March,March,1,23,26,11
