dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-19 22:51:39,Subaru_Forester_2.0,privat,Offer,3300,test,Other,2016,manuell,0,forester,150000,Jan,Other,subaru,Other,2016-03-19 00:00:00,73529,2016-04-05 14:17:10,2016,2016,March,March,17,14,0,11
2016-03-15 21:39:34,Subaru_impreza,privat,Offer,800,control,Other,1998,manuell,0,impreza,150000,Jan,Other,subaru,No,2016-03-15 00:00:00,98617,2016-04-07 04:46:34,2016,2016,March,March,23,4,18,11
2016-03-19 16:46:32,Subaru_legacy_tuev,privat,Offer,0,test,Other,2016,manuell,85,Other,150000,Apr,Other,subaru,Other,2016-03-19 00:00:00,95195,2016-03-28 19:48:34,2016,2016,March,March,9,19,0,8
2016-03-27 12:56:15,Subaru_justy,privat,Offer,180,test,Other,1990,manuell,0,justy,150000,Jan,Gasoline,subaru,Other,2016-03-27 00:00:00,74632,2016-04-07 08:44:18,2016,2016,March,March,11,8,26,11
2016-03-11 10:54:11,"Subaru_SVX_3.3_4wd_""1._HAND""",privat,Offer,2449,test,Other,2000,Unspecified,0,andere,125000,Jan,Other,subaru,Other,2016-03-11 00:00:00,57489,2016-04-07 02:16:34,2016,2016,March,March,27,2,16,11
2016-03-27 16:37:21,Subaru_legacy_2_0_allrad_mit_tuev_wer_morgen_holt_300_euro,privat,Offer,400,test,Other,2016,manuell,0,Other,150000,Apr,Other,subaru,Other,2016-03-27 00:00:00,95195,2016-03-28 16:48:43,2016,2016,March,March,1,16,0,8
2016-03-12 18:59:42,Subaru_Impreza,privat,Offer,2100,test,Other,2000,Unspecified,0,impreza,150000,Jan,Other,subaru,Other,2016-03-12 00:00:00,75382,2016-04-07 14:57:50,2016,2016,March,March,26,14,16,11
2016-03-20 19:42:48,Subaru_legacy_2_0_allrad_mit_tuev,privat,Offer,400,test,Other,2016,manuell,0,Other,150000,Apr,Other,subaru,Other,2016-03-20 00:00:00,95195,2016-03-29 18:18:03,2016,2016,March,March,9,18,0,8
2016-03-16 07:36:45,Subaru_Impreza_Space_Wagon,privat,Offer,0,control,Other,2000,manuell,0,impreza,150000,Jan,Other,subaru,Other,2016-03-16 00:00:00,65232,2016-04-07 08:15:45,2016,2016,March,March,22,8,16,11
2016-03-16 15:55:34,Tausche_meine_subaru_2.0_sf_turbo_gegen_diesel,privat,Offer,0,test,Other,2016,manuell,0,forester,150000,Aug,Other,subaru,No,2016-03-16 00:00:00,9123,2016-03-21 17:49:32,2016,2016,March,March,5,17,0,4
2016-03-14 21:38:37,Verkaufe_subaru_justy_2,privat,Offer,0,test,Other,2000,manuell,67,Other,150000,Jan,Other,subaru,Other,2016-03-14 00:00:00,57368,2016-04-06 11:46:22,2016,2016,March,March,23,11,16,11
2016-03-30 17:44:52,Subaru_impreza_wrx,privat,Offer,2600,control,Other,2016,Unspecified,0,impreza,10000,May,Gasoline,subaru,Yes,2016-03-30 00:00:00,8058,2016-04-07 08:17:06,2016,2016,March,March,8,8,0,7
2016-03-29 20:55:55,Subaru_legacy_2.0_lpg_Gas_Anlage,privat,Offer,1300,test,Other,2016,manuell,0,legacy,150000,Apr,Other,subaru,No,2016-03-29 00:00:00,93464,2016-03-31 14:45:57,2016,2016,March,March,2,14,0,8
2016-03-22 14:54:38,Schlachtfest,privat,Offer,50,control,Other,2000,Unspecified,0,legacy,150000,Jan,Other,subaru,Other,2016-03-22 00:00:00,35232,2016-03-31 11:46:43,2016,2016,March,March,9,11,16,11
2016-03-20 21:54:35,Zum_HERRICHTEN_oder,privat,Offer,600,test,Other,2000,manuell,125,legacy,150000,Jan,Gasoline,subaru,Other,2016-03-20 00:00:00,87640,2016-04-07 07:46:21,2016,2016,March,March,18,7,16,11
2016-03-25 11:49:49,Subaru_Justy_GX_4x4,privat,Offer,600,test,Other,2000,manuell,68,justy,150000,May,Other,subaru,Other,2016-03-25 00:00:00,51597,2016-04-06 12:44:52,2016,2016,March,March,12,12,16,7
2016-03-09 22:52:57,Subaru_legacy,privat,Offer,300,test,Other,2000,Unspecified,116,legacy,150000,Jan,Other,subaru,Other,2016-03-09 00:00:00,57439,2016-04-07 02:44:25,2016,2016,March,March,29,2,16,11
2016-03-12 13:53:34,Subaru_Justy,privat,Offer,150,control,Other,1995,automatik,75,justy,50000,Jan,Gasoline,subaru,Other,2016-03-12 00:00:00,35282,2016-04-06 19:17:55,2016,2016,March,March,25,19,21,11
2016-03-25 19:42:53,SUBARU_FORESTER_Allrad,privat,Offer,1999,test,Other,1997,manuell,122,Other,150000,Aug,Cng,subaru,No,2016-03-25 00:00:00,56170,2016-04-01 18:25:15,2016,2016,March,March,7,18,19,4
2016-03-28 11:38:00,Subaru_justy_4x4,privat,Offer,900,control,Other,2016,manuell,50,justy,90000,Jun,Other,subaru,Other,2016-03-28 00:00:00,7349,2016-04-06 13:17:28,2016,2016,March,March,9,13,0,6
2016-03-07 12:45:46,Subaru_Impreza_1_8_wenig_km_Allrad_Tausch/Inzahlung,privat,Offer,0,test,Other,1994,manuell,103,impreza,150000,Oct,Other,subaru,No,2016-03-07 00:00:00,36396,2016-03-17 02:16:14,2016,2016,March,March,10,2,22,2
2016-03-29 19:40:11,Subaru_Legacy_Allrad+Untersetzung,privat,Offer,500,control,Other,2016,manuell,0,legacy,150000,Jan,Gasoline,subaru,No,2016-03-29 00:00:00,7318,2016-04-04 04:44:42,2016,2016,March,March,6,4,0,11
2016-03-19 22:57:36,Subaru_Justy_fuer_Bastler,privat,Offer,0,test,Other,2016,manuell,0,justy,125000,Jan,Gasoline,subaru,Other,2016-03-19 00:00:00,79822,2016-03-23 19:17:25,2016,2016,March,March,4,19,0,11
2016-03-11 22:57:06,Verkaufe_Subaru_Impreza,privat,Offer,650,control,Other,2016,manuell,100,impreza,150000,Mar,Gasoline,subaru,No,2016-03-11 00:00:00,35410,2016-03-30 19:17:05,2016,2016,March,March,19,19,0,9
2016-03-25 15:52:16,Subaru_justy,privat,Offer,200,test,Other,2000,manuell,68,justy,80000,Jan,Other,subaru,Yes,2016-03-25 00:00:00,35116,2016-04-02 19:47:41,2016,2016,March,March,8,19,16,11
2016-03-14 01:38:51,Subaru_justy___allrad_,privat,Offer,80,control,Other,2000,Unspecified,70,justy,150000,Jan,Other,subaru,Other,2016-03-13 00:00:00,78073,2016-04-07 03:46:22,2016,2016,March,March,25,3,16,11
