dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-10 15:50:57,Subaru_Impreza_2.5i_US_Modell_sehr_selten___RS_STI_WRX__,privat,Offer,8000,test,limousine,2006,manuell,177,impreza,150000,Jan,Other,subaru,No,2016-03-10 00:00:00,66540,2016-04-05 13:17:00,2016,2016,March,March,26,13,10,11
2016-03-09 07:53:05,Subaru_impreza_gt_RHD,privat,Offer,3000,test,limousine,2000,manuell,265,impreza,150000,Jan,Other,subaru,Other,2016-03-09 00:00:00,98646,2016-04-01 08:17:00,2016,2016,March,March,23,8,16,11
2016-04-02 12:38:16,Subaru_impreza,privat,Offer,450,test,limousine,1995,manuell,90,impreza,150000,Aug,Gasoline,subaru,No,2016-04-02 00:00:00,66386,2016-04-02 12:38:16,2016,2016,April,April,0,12,21,4
2016-03-28 22:25:24,Subaru_Impreza_2.0_GX,privat,Offer,5500,test,limousine,2003,manuell,125,impreza,150000,Mar,Gasoline,subaru,No,2016-03-28 00:00:00,56414,2016-04-07 07:45:18,2016,2016,March,March,10,7,13,9
2016-03-26 18:38:20,Subaru_Impreza_2.0_WRX,privat,Offer,7999,test,limousine,2004,manuell,224,impreza,150000,Mar,Gasoline,subaru,No,2016-03-26 00:00:00,91080,2016-03-31 14:47:15,2016,2016,March,March,5,14,12,9
2016-03-22 22:36:43,Subaru_Impreza_WRX_Prodrive_Motorprobleme,privat,Offer,4499,control,limousine,2003,manuell,265,impreza,125000,Jan,Gasoline,subaru,Other,2016-03-22 00:00:00,32052,2016-03-28 22:47:10,2016,2016,March,March,6,22,13,11
2016-03-09 23:37:58,Subaru_Impreza__Allrad__TÜV_bis_1/18__8_Reifen__AHK,privat,Offer,1199,test,limousine,1995,manuell,90,impreza,150000,Aug,Gasoline,subaru,No,2016-03-09 00:00:00,31061,2016-03-24 23:46:26,2016,2016,March,March,15,23,21,4
2016-03-28 20:58:57,Subaru_Impreza_2.0_4WD,privat,Offer,670,control,limousine,1999,manuell,116,impreza,150000,Mar,Gasoline,subaru,No,2016-03-28 00:00:00,37318,2016-04-07 04:15:56,2016,2016,March,March,10,4,17,9
2016-03-07 16:36:15,Subaru_Impreza_2.0R_Active,privat,Offer,8950,control,limousine,2009,manuell,150,impreza,100000,Jan,Gasoline,subaru,No,2016-03-07 00:00:00,2730,2016-04-05 15:47:46,2016,2016,March,March,29,15,7,11
2016-04-01 20:25:38,Auto_hat_Problem_mit_koplun_odo_Getriebe,privat,Offer,800,control,limousine,1999,Unspecified,101,Other,150000,Aug,Gasoline,subaru,Other,2016-04-01 00:00:00,65936,2016-04-05 12:47:05,2016,2016,April,April,4,12,17,4
2016-03-15 17:57:04,Subaru_Impreza_2.0_WRX,privat,Offer,5500,control,limousine,2001,manuell,218,impreza,150000,Jan,Gasoline,subaru,No,2016-03-15 00:00:00,72469,2016-03-25 15:19:42,2016,2016,March,March,10,15,15,11
2016-03-14 13:58:30,Subaru_Impreza_WRX__frisch_Tuev,privat,Offer,9950,test,limousine,1997,manuell,218,impreza,125000,Aug,Gasoline,subaru,No,2016-03-14 00:00:00,90518,2016-04-05 15:15:58,2016,2016,March,March,22,15,19,4
2016-03-14 15:51:20,Subaru_Legacy_2.0D_Active,privat,Offer,9980,control,limousine,2010,manuell,150,legacy,125000,Oct,Diesel,subaru,No,2016-03-14 00:00:00,87527,2016-03-16 06:16:34,2016,2016,March,March,2,6,6,2
2016-03-28 20:52:54,Subaru_Impreza_2.0_Limousine,privat,Offer,2000,control,limousine,1999,manuell,125,impreza,150000,Jun,Gasoline,subaru,No,2016-03-28 00:00:00,34225,2016-04-07 03:44:42,2016,2016,March,March,10,3,17,6
2016-03-20 20:44:49,Subaru_legacy_Rsk_b4_mit_87tkm.,privat,Offer,7000,test,limousine,2002,automatik,280,legacy,90000,Jan,Gasoline,subaru,No,2016-03-20 00:00:00,71720,2016-04-07 05:15:55,2016,2016,March,March,18,5,14,11
2016-03-25 18:46:40,Subaru_Impreza_2.0_4WD_GL_Season,privat,Offer,1100,test,limousine,2000,manuell,125,impreza,150000,Sep,Gasoline,subaru,No,2016-03-25 00:00:00,2748,2016-04-04 21:46:27,2016,2016,March,March,10,21,16,3
2016-03-15 16:36:18,Subaru_Impreza_2.0_WRX_Scheckheftgepflegt_WINTERPREIS,privat,Offer,10500,control,limousine,2003,manuell,224,impreza,125000,Mar,Gasoline,subaru,No,2016-03-15 00:00:00,57339,2016-03-15 17:42:08,2016,2016,March,March,0,17,13,9
2016-03-08 20:36:25,Subaru_Legacy_4WD,privat,Offer,450,control,limousine,1994,automatik,115,legacy,150000,Oct,Gasoline,subaru,Other,2016-03-08 00:00:00,33104,2016-03-14 18:15:54,2016,2016,March,March,6,18,22,2
2016-03-28 21:58:21,Subaru_Impreza_2.0_WRX,privat,Offer,8000,control,limousine,2002,manuell,218,impreza,150000,Mar,Gasoline,subaru,No,2016-03-28 00:00:00,99625,2016-04-07 05:16:24,2016,2016,March,March,10,5,14,9
2016-03-26 14:36:59,Subaru_Impreza_2.0_WRX_STi_Turbo_Optimierung_265_PS_blau,privat,Offer,8499,control,limousine,2002,manuell,265,impreza,150000,Jun,Gasoline,subaru,No,2016-03-26 00:00:00,28195,2016-03-26 14:36:59,2016,2016,March,March,0,14,14,6
2016-03-12 16:55:58,Subaru_Impreza_WRX_Prodrive_Motorprobleme,privat,Offer,4999,control,limousine,2003,manuell,265,impreza,125000,Jan,Gasoline,subaru,Other,2016-03-12 00:00:00,32052,2016-03-22 01:46:50,2016,2016,March,March,10,1,13,11
2016-04-01 20:43:52,Subaru_Impreza_1.6_4WD_GL,privat,Offer,1000,test,limousine,1999,manuell,95,impreza,150000,Aug,Gasoline,subaru,No,2016-04-01 00:00:00,94154,2016-04-05 17:44:35,2016,2016,April,April,4,17,17,4
2016-03-26 19:57:40,Subaru_Impreza_2.0_4WD_GL_Season___Klima___TÜV_Neu,privat,Offer,1590,control,limousine,1998,manuell,125,impreza,150000,Nov,Gasoline,subaru,Yes,2016-03-26 00:00:00,92723,2016-04-06 10:15:21,2016,2016,March,March,11,10,18,1
2016-04-02 16:55:21,Subaru_Impreza_1.6_4WD_GL,privat,Offer,699,control,limousine,1999,manuell,95,impreza,150000,Apr,Gasoline,subaru,No,2016-04-02 00:00:00,57489,2016-04-06 16:16:02,2016,2016,April,April,4,16,17,8
2016-03-16 12:57:39,"kostenlos_zum_Abholen_ehemals_""_a_Schieber_""_&_Mercedes_&_Seat",privat,Offer,0,test,limousine,1980,manuell,12,impreza,150000,Nov,Gasoline,subaru,Yes,2016-03-16 00:00:00,94571,2016-03-21 13:46:53,2016,2016,March,March,5,13,36,1
2016-03-21 10:55:09,Subaru_Impreza_wrx_2.0_Turbo,privat,Offer,5000,test,limousine,2001,manuell,218,impreza,150000,Apr,Gasoline,subaru,Other,2016-03-21 00:00:00,45257,2016-04-06 05:15:48,2016,2016,March,March,16,5,15,8
2016-03-05 21:51:31,Subaru_B9_Tribeca_3.0R_Automatik_Active,privat,Offer,8990,test,limousine,2008,automatik,245,andere,100000,Aug,Gasoline,subaru,No,2016-03-05 00:00:00,77740,2016-03-08 12:17:20,2016,2016,March,March,3,12,8,4
2016-03-29 20:44:53,Subaru_Justy_GX_4X4,privat,Offer,0,test,limousine,2002,manuell,90,justy,150000,Nov,Gasoline,subaru,Yes,2016-03-29 00:00:00,57250,2016-03-31 14:16:45,2016,2016,March,March,2,14,14,1
2016-04-04 19:56:46,Subaru_Impreza_2.0_RS,privat,Offer,5900,test,limousine,2005,manuell,125,impreza,125000,Oct,Gasoline,subaru,No,2016-04-04 00:00:00,82538,2016-04-06 22:17:11,2016,2016,April,April,2,22,11,2
2016-03-05 14:12:02,1.8___4x4____abgemeldet_,privat,Offer,0,test,limousine,1994,automatik,103,impreza,90000,Jul,Gasoline,subaru,No,2016-03-03 00:00:00,65606,2016-04-07 07:17:07,2016,2016,March,March,35,7,22,5
2016-03-29 19:47:30,Zu_Verkaufen,privat,Offer,600,control,limousine,1996,manuell,125,impreza,150000,Jan,Other,subaru,Other,2016-03-29 00:00:00,94118,2016-04-06 05:46:14,2016,2016,March,March,8,5,20,11
2016-03-30 13:46:04,Subaru_Impreza_2.0_4WD_GT_Classic,privat,Offer,7400,test,limousine,2000,manuell,218,impreza,150000,Apr,Gasoline,subaru,No,2016-03-30 00:00:00,77948,2016-04-07 04:17:04,2016,2016,March,March,8,4,16,8
2016-03-07 10:48:40,Subaru_Impreza_2.0_STI__RA,privat,Offer,1250,test,limousine,1998,manuell,211,impreza,60000,Jun,Gasoline,subaru,No,2016-03-07 00:00:00,61203,2016-03-20 17:18:23,2016,2016,March,March,13,17,18,6
2016-03-14 01:41:25,Subaru_Impreza_GC_8__Super_Optik__Klima__TÜV_bis_7.17!!,privat,Offer,900,control,limousine,1997,automatik,115,impreza,150000,Apr,Gasoline,subaru,No,2015-12-05 00:00:00,2943,2016-03-22 23:16:25,2015,2016,December,March,108,23,19,8
2016-03-26 16:37:05,Subaru_Forester,privat,Offer,1850,control,limousine,2000,manuell,87,forester,150000,Jan,Gasoline,subaru,No,2016-03-26 00:00:00,86663,2016-04-02 06:47:35,2016,2016,March,March,7,6,16,11
2016-03-17 01:00:19,Subaru_Impreza_2.0_4WD,privat,Offer,9999,test,limousine,1999,manuell,218,impreza,150000,Mar,Gasoline,subaru,No,2016-03-17 00:00:00,63860,2016-04-06 02:45:36,2016,2016,March,March,20,2,17,9
2016-03-10 14:52:14,Subaru_fuer_Wald_und_Wiese_Almfahrzeug,privat,Offer,300,test,limousine,1999,manuell,125,impreza,150000,Apr,Gasoline,subaru,No,2016-03-10 00:00:00,83727,2016-03-24 19:46:27,2016,2016,March,March,14,19,17,8
2016-03-14 23:52:57,Subaru_Impreza_Sport_Allrad_AWD,privat,Offer,700,control,limousine,1997,manuell,115,impreza,150000,Jan,Gasoline,subaru,Other,2016-03-14 00:00:00,72511,2016-03-27 17:18:04,2016,2016,March,March,13,17,19,11
2016-04-03 18:46:37,Subaru_Impreza_2.0_WRX,privat,Offer,8499,control,limousine,2002,manuell,265,impreza,150000,Nov,Gasoline,subaru,No,2016-04-03 00:00:00,28195,2016-04-05 19:17:03,2016,2016,April,April,2,19,14,1
2016-04-03 13:45:31,Subaru_Impreza_2.0_WRX_STI,privat,Offer,7999,control,limousine,2005,manuell,265,impreza,125000,Jun,Gasoline,subaru,Yes,2016-04-03 00:00:00,71065,2016-04-05 12:20:52,2016,2016,April,April,2,12,11,6
2016-03-25 11:06:20,Subaru_imbreza,privat,Offer,100,test,limousine,1997,manuell,105,impreza,150000,May,Gasoline,subaru,Other,2016-03-25 00:00:00,56379,2016-03-26 13:09:17,2016,2016,March,March,1,13,19,7
2016-03-11 20:48:50,Subaru_Impreza__2.0_R__Allrad__8fach_bereift__TÜV_bis_Juni_2017,privat,Offer,4999,control,limousine,2006,manuell,160,impreza,125000,Feb,Gasoline,subaru,No,2016-03-11 00:00:00,16515,2016-03-22 15:15:35,2016,2016,March,March,11,15,10,10
2016-04-04 18:56:20,Subaru_Impreza_2.0_GX_Allrad,privat,Offer,2700,test,limousine,2002,manuell,125,impreza,150000,Jul,Gasoline,subaru,No,2016-04-04 00:00:00,58708,2016-04-06 21:16:25,2016,2016,April,April,2,21,14,5
2016-03-08 20:54:37,Subaru_Impreza_WRX_Motorschaden,privat,Offer,2450,control,limousine,2002,manuell,218,impreza,150000,Nov,Gasoline,subaru,Yes,2016-03-08 00:00:00,66459,2016-03-10 08:45:27,2016,2016,March,March,2,8,14,1
2016-03-27 00:46:22,Subaru_Impreza_2_0_GL_4_WD,privat,Offer,3450,test,limousine,1997,manuell,116,impreza,50000,May,Gasoline,subaru,No,2016-03-26 00:00:00,57074,2016-04-07 00:18:07,2016,2016,March,March,12,0,19,7
2016-04-04 22:57:49,Subaru_Impreza__technisch_top!!!,privat,Offer,1600,test,limousine,2000,manuell,125,impreza,125000,Oct,Gasoline,subaru,No,2016-04-04 00:00:00,87534,2016-04-07 02:17:06,2016,2016,April,April,3,2,16,2
2016-03-11 01:42:18,PKW_Subaru_Impreza_4WD__AHK__Allrad__Bastler__Winterauto,privat,Offer,250,test,limousine,1996,manuell,0,impreza,150000,Oct,Gasoline,subaru,Other,2016-03-10 00:00:00,35745,2016-04-07 14:56:52,2016,2016,March,March,28,14,20,2
2016-04-01 22:52:55,Subaru_Impreza_2.0_4x4,privat,Offer,1330,test,limousine,1997,manuell,116,impreza,150000,Jan,Other,subaru,No,2016-04-01 00:00:00,6464,2016-04-05 22:46:01,2016,2016,April,April,4,22,19,11
2016-03-12 10:57:50,Subaru_impreza_1.6_tuev06/16,privat,Offer,150,control,limousine,1995,manuell,90,impreza,150000,Jan,Other,subaru,Other,2016-03-12 00:00:00,98646,2016-03-29 18:17:06,2016,2016,March,March,17,18,21,11
2016-04-02 11:51:18,Subaru_Impreza_2.0_4WD,privat,Offer,1700,test,limousine,1999,manuell,125,impreza,150000,Mar,Gasoline,subaru,No,2016-04-02 00:00:00,83471,2016-04-06 09:46:06,2016,2016,April,April,4,9,17,9
2016-03-14 18:06:26,Subaru_Legacy_2.0_4WD_GL,privat,Offer,1050,control,limousine,1999,manuell,125,legacy,150000,May,Gasoline,subaru,Yes,2016-03-14 00:00:00,35713,2016-04-06 09:17:50,2016,2016,March,March,23,9,17,7
2016-03-20 03:02:43,Subaru_Impreza_2Liter_Boxer,privat,Offer,1999,control,limousine,1996,manuell,116,impreza,150000,Mar,Gasoline,subaru,Other,2016-03-20 00:00:00,2633,2016-04-06 04:44:47,2016,2016,March,March,17,4,20,9
2016-03-31 21:49:54,Subaru_impreza_wrx_sti_spec_c_wr_limited_karosserie_mit_teilen,privat,Offer,1500,test,limousine,2005,manuell,280,impreza,80000,Jan,Other,subaru,No,2016-03-31 00:00:00,75203,2016-04-06 17:44:25,2016,2016,March,March,6,17,11,11
2016-04-03 12:46:32,Subaru_Impreza_2.0D_Active,privat,Offer,8500,control,limousine,2009,manuell,150,impreza,125000,Feb,Diesel,subaru,No,2016-04-03 00:00:00,53840,2016-04-07 14:57:50,2016,2016,April,April,4,14,7,10
2016-03-23 11:00:23,Subaru_Impreza_2.0_4WD_GT,privat,Offer,7900,control,limousine,1999,manuell,218,impreza,150000,Apr,Gasoline,subaru,No,2016-03-23 00:00:00,73079,2016-04-07 11:16:09,2016,2016,March,March,15,11,17,8
2016-03-07 09:53:58,Subaru_Impreza_2.0_WRX,privat,Offer,6999,control,limousine,2001,manuell,218,impreza,70000,Aug,Gasoline,subaru,No,2016-03-07 00:00:00,61203,2016-04-06 07:15:40,2016,2016,March,March,30,7,15,4
2016-04-01 01:57:08,Subaru_Legacy_2.0_4WD_GL_Allrad_Tuev,privat,Offer,999,control,limousine,1997,manuell,116,legacy,150000,Oct,Gasoline,subaru,No,2016-04-01 00:00:00,86485,2016-04-05 01:17:58,2016,2016,April,April,4,1,19,2
2016-03-18 01:36:25,Subaru_Impreza_2.0_GX,privat,Offer,4400,control,limousine,2001,manuell,125,impreza,150000,Jan,Gasoline,subaru,No,2016-03-18 00:00:00,67691,2016-04-05 22:15:34,2016,2016,March,March,18,22,15,11
2016-03-13 18:36:23,Subaru_Impreza_2.0_WRX,privat,Offer,4500,test,limousine,2002,manuell,224,impreza,125000,Mar,Gasoline,subaru,No,2016-03-13 00:00:00,26529,2016-04-06 17:47:01,2016,2016,March,March,24,17,14,9
2016-04-01 14:53:01,Subaru_Impreza_WRX,privat,Offer,10999,test,limousine,2008,manuell,230,impreza,70000,Jan,Gasoline,subaru,No,2016-04-01 00:00:00,87634,2016-04-07 12:16:07,2016,2016,April,April,6,12,8,11
