dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-14 21:57:25,4X4_Subaru_Forester_Automatik_aus_erster_1._Hand_austauschmotor,privat,Offer,1750,test,suv,2001,automatik,125,forester,150000,Nov,Gasoline,subaru,No,2016-03-14 00:00:00,17337,2016-04-07 11:45:34,2016,2016,March,March,24,11,15,1
2016-03-28 14:40:26,Subaru_Forester_2.0D,privat,Offer,17800,test,suv,2011,manuell,147,forester,50000,Sep,Diesel,subaru,No,2016-03-28 00:00:00,95234,2016-04-06 18:19:21,2016,2016,March,March,9,18,5,3
2016-03-09 20:50:28,subaru_justy_KAD_1200gli_4X4,privat,Offer,800,control,suv,1995,manuell,75,justy,80000,Jul,Gasoline,subaru,Other,2016-03-09 00:00:00,56288,2016-03-11 17:31:18,2016,2016,March,March,2,17,21,5
2016-03-12 08:37:53,Subaru_Forester_2.0X_Automatik_Unfallfrei_und_Gepflegt,privat,Offer,7900,control,suv,2005,automatik,122,forester,125000,Oct,Gasoline,subaru,No,2016-03-12 00:00:00,14532,2016-04-06 01:17:50,2016,2016,March,March,25,1,11,2
2016-04-03 23:38:02,Subaru_2_0_S_turbo,privat,Offer,1800,control,suv,1999,automatik,170,forester,150000,Nov,Gasoline,subaru,Yes,2016-04-03 00:00:00,89291,2016-04-06 06:16:47,2016,2016,April,April,3,6,17,1
2016-03-12 20:53:33,Subaru_Forester_2.0D_Comfort,privat,Offer,14500,test,suv,2010,manuell,147,forester,80000,Apr,Diesel,subaru,No,2016-03-12 00:00:00,28717,2016-03-20 01:46:21,2016,2016,March,March,8,1,6,8
2016-03-09 11:55:56,Subaru_Forester,privat,Offer,6900,test,suv,2008,automatik,158,forester,125000,Feb,Gasoline,subaru,No,2016-03-09 00:00:00,21382,2016-03-21 05:46:03,2016,2016,March,March,12,5,8,10
2016-03-20 23:52:36,Subaru_Forester_Comfort_2.0_Diesel_6_Gang_Dark_Gray_Metallic,privat,Offer,16300,control,suv,2010,manuell,147,forester,60000,Jan,Diesel,subaru,No,2016-03-20 00:00:00,87561,2016-04-05 19:18:40,2016,2016,March,March,16,19,6,11
2016-03-09 15:56:51,Subaru_Justy_G3X,privat,Offer,1700,control,suv,2006,manuell,97,justy,150000,Mar,Gasoline,subaru,Yes,2016-03-09 00:00:00,34454,2016-04-07 01:45:17,2016,2016,March,March,29,1,10,9
2016-03-12 21:56:25,Subaru_Subaru_Legacy_Vollausstattung__Bastler/Export,privat,Offer,1000,test,suv,1999,manuell,156,andere,150000,May,Gasoline,subaru,Yes,2016-03-12 00:00:00,90408,2016-03-24 22:45:01,2016,2016,March,March,12,22,17,7
2016-03-08 16:36:23,Subaru_B9_Tribeca_3.0R_Automatik_Active,privat,Offer,8990,test,suv,2008,automatik,245,andere,100000,Aug,Gasoline,subaru,No,2016-03-08 00:00:00,77740,2016-03-15 02:45:06,2016,2016,March,March,7,2,8,4
2016-03-18 12:49:17,Subaru_forester_sf_turbo,privat,Offer,4750,control,suv,1999,manuell,200,forester,150000,Aug,Gasoline,subaru,No,2016-03-18 00:00:00,9123,2016-03-23 17:50:10,2016,2016,March,March,5,17,17,4
2016-03-11 13:54:10,Subaru_L1800_Sammler,privat,Offer,1300,test,suv,1988,manuell,98,andere,150000,Nov,Gasoline,subaru,No,2016-03-11 00:00:00,37688,2016-03-11 13:54:10,2016,2016,March,March,0,13,28,1
2016-03-23 12:37:37,Subaru_Forester_2.0X_Automatik_Unfallfrei_und_Scheckheftgepflegt,privat,Offer,7900,control,suv,2005,automatik,122,forester,125000,Oct,Gasoline,subaru,No,2016-03-23 00:00:00,14532,2016-04-07 11:17:22,2016,2016,March,March,15,11,11,2
2016-03-28 20:53:13,Subaru_Forester,privat,Offer,9900,control,suv,2010,manuell,147,forester,150000,Mar,Diesel,subaru,No,2016-03-28 00:00:00,31079,2016-04-07 04:15:57,2016,2016,March,March,10,4,6,9
2016-03-28 23:38:51,Subaru_Forester_2.0X_Active,privat,Offer,15260,test,suv,2010,manuell,150,forester,70000,Apr,Gasoline,subaru,No,2016-03-28 00:00:00,8132,2016-04-07 09:45:19,2016,2016,March,March,10,9,6,8
2016-03-08 07:56:38,Schnaeppchen_Subaru_impreza_gx_top_Allrad_Automatik_Klima_TÜV,privat,Offer,1650,test,suv,2001,automatik,125,impreza,150000,Jul,Gasoline,subaru,Other,2016-03-08 00:00:00,51545,2016-04-06 06:45:44,2016,2016,March,March,29,6,15,5
2016-03-11 15:57:07,Subaru_Justy_G3X_LPG__GAS_!!!,privat,Offer,3250,test,suv,2004,manuell,94,justy,150000,Nov,Gasoline,subaru,No,2016-03-11 00:00:00,64285,2016-04-05 12:47:34,2016,2016,March,March,25,12,12,1
