dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-08 02:36:43,Suzuki_Wagon_R_2006_Top_Model1_3_style/35_Klima_TÜV_u.m.NEU,privat,Offer,2300,control,bus,2006,manuell,94,andere,150000,Mar,Gasoline,suzuki,No,2016-03-08 00:00:00,3099,2016-03-09 04:47:00,2016,2016,March,March,1,4,10,9
2016-03-06 21:43:01,Suzuki_Super_Carry_Bus_Tuev_neu_restauriert,privat,Offer,3600,control,bus,1991,manuell,45,andere,40000,Jun,Gasoline,suzuki,No,2016-03-06 00:00:00,6779,2016-04-01 05:18:20,2016,2016,March,March,26,5,25,6
2016-03-07 13:47:10,ab_26.___p.Monat__Suzuki_WagonR_Klima_Anlage_Ganzjahresreifen_!,privat,Offer,2400,control,bus,2002,manuell,94,andere,150000,Jan,Gasoline,suzuki,No,2016-03-07 00:00:00,26316,2016-04-06 09:44:48,2016,2016,March,March,30,9,14,11
2016-04-03 07:01:42,Suzuki_Wagon__2006_1_3_style/35_Klima_ESP__super_Aust.TÜV_u.m.NEU,privat,Offer,2500,control,bus,2006,manuell,95,andere,150000,Feb,Gasoline,suzuki,No,2016-04-03 00:00:00,3058,2016-04-07 09:44:54,2016,2016,April,April,4,9,10,10
2016-03-29 20:40:58,Suzuki_Wagon_R+__TÜV_/AU_neu_!!,privat,Offer,1950,test,bus,2001,manuell,76,andere,150000,Oct,Gasoline,suzuki,Yes,2016-03-29 00:00:00,66802,2016-04-06 06:45:26,2016,2016,March,March,8,6,15,2
2016-03-12 12:43:23,Diesel__TD__1_3L__70_PS__HU_5_17___gruene_Plakette__Opel__Suzuki,privat,Offer,1350,test,bus,2004,manuell,70,andere,150000,Oct,Diesel,suzuki,No,2016-03-12 00:00:00,73329,2016-03-13 03:45:34,2016,2016,March,March,1,3,12,2
2016-04-01 07:54:50,SUZUKI__WAGON__R__1_Hand__Tuev_Neu_!,privat,Offer,1600,test,bus,1999,manuell,55,andere,125000,May,Other,suzuki,Other,2016-04-01 00:00:00,94508,2016-04-07 06:15:26,2016,2016,April,April,6,6,17,7
2016-03-25 07:02:05,Suzuki_Wagon_R_2006_Top_Model1_3_style/35_Klima_TÜV_u.m.NEU,privat,Offer,2500,test,bus,2006,manuell,95,andere,150000,Feb,Gasoline,suzuki,No,2016-03-25 00:00:00,3058,2016-04-01 16:45:19,2016,2016,March,March,7,16,10,10
2016-03-26 22:48:43,Suzuki_Ignis_1.3_top_8_fach_Bereift,privat,Offer,1700,test,bus,2003,manuell,83,Other,125000,Apr,Gasoline,suzuki,No,2016-03-26 00:00:00,98596,2016-04-04 15:46:30,2016,2016,March,March,9,15,13,8
2016-03-19 22:57:53,Suzuki_Wagon_R+_1_3_V_V_T_Style_25_Cool_orig._31_tkm_Top+++,privat,Offer,3980,test,bus,2004,manuell,94,andere,40000,Sep,Gasoline,suzuki,No,2016-03-19 00:00:00,61209,2016-03-26 12:44:18,2016,2016,March,March,7,12,12,3
