dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-09 18:41:48,TOP_Suzuki_Baleno_*Verkauf_oder_Tausch*Anfaengerauto_SCHNÄPPCHEN,privat,Offer,999,test,limousine,2001,manuell,85,andere,150000,Apr,Gasoline,suzuki,No,2016-03-09 00:00:00,1979,2016-04-06 05:15:49,2016,2016,March,March,28,5,15,8
2016-03-08 22:56:54,Suzuki_Liana_1.6_Klima,privat,Offer,1100,test,limousine,2004,manuell,106,andere,150000,Sep,Gasoline,suzuki,No,2016-03-08 00:00:00,41542,2016-03-14 20:44:37,2016,2016,March,March,6,20,12,3
2016-03-20 21:56:55,Suzuki_SX4_1.6_VVT_4x2_City,privat,Offer,8250,test,limousine,2009,manuell,120,andere,40000,Nov,Gasoline,suzuki,No,2016-03-20 00:00:00,64560,2016-04-07 09:45:08,2016,2016,March,March,18,9,7,1
2016-03-19 11:46:35,Suzuki_Baleno_1.3_GS_Spezial_II,privat,Offer,600,test,limousine,1998,manuell,86,andere,150000,Jul,Gasoline,suzuki,Yes,2016-03-19 00:00:00,73116,2016-03-19 11:46:35,2016,2016,March,March,0,11,18,5
2016-03-23 11:54:44,Suzuki_Baleno_1.3_GS,privat,Offer,500,test,limousine,1997,manuell,86,andere,150000,Mar,Gasoline,suzuki,No,2016-03-23 00:00:00,68199,2016-03-26 04:48:21,2016,2016,March,March,3,4,19,9
2016-03-30 20:49:56,SUZUKI__LIANA___/_Allrad____Schoen_gepflegter_Zustand,privat,Offer,2450,control,limousine,2004,manuell,106,andere,150000,Mar,Gasoline,suzuki,No,2016-03-30 00:00:00,96257,2016-04-01 15:47:56,2016,2016,March,March,2,15,12,9
2016-03-21 21:38:02,Susuki_Swift_1_5_Comfort__5_tuerer_,privat,Offer,6300,control,limousine,2009,manuell,102,swift,50000,Jun,Gasoline,suzuki,No,2016-03-21 00:00:00,80992,2016-04-07 01:17:17,2016,2016,March,March,17,1,7,6
2016-03-25 18:56:55,Suzuki_SX4_1.9_DDiS_DPF_4x4_Comfort,privat,Offer,7990,test,limousine,2009,manuell,120,andere,100000,May,Diesel,suzuki,No,2016-03-25 00:00:00,94234,2016-04-07 00:46:10,2016,2016,March,March,13,0,7,7
2016-03-09 17:58:09,Suzuki_SX4_1.9_DDiS_DPF_4x4_Comfort,privat,Offer,5800,test,limousine,2006,manuell,120,andere,125000,Aug,Diesel,suzuki,No,2016-03-09 00:00:00,1445,2016-03-14 11:16:25,2016,2016,March,March,5,11,10,4
2016-04-03 10:56:50,Suzuki_Swift_1.6_GLX,privat,Offer,150,control,limousine,1994,manuell,92,swift,150000,Apr,Gasoline,suzuki,Other,2016-04-03 00:00:00,53773,2016-04-07 12:44:53,2016,2016,April,April,4,12,22,8
