dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-25 22:53:44,Tausch_Toyota_Verso_7_sitze_gegen_530d__oder_535d,privat,Offer,0,control,Other,2005,manuell,136,Other,100000,Oct,Other,toyota,Other,2016-03-25 00:00:00,86163,2016-03-26 07:44:30,2016,2016,March,March,1,7,11,2
2016-03-07 23:55:27,Toyota_Aygo_Blue,privat,Offer,3500,test,Other,2016,manuell,69,aygo,125000,Nov,Other,toyota,Other,2016-03-07 00:00:00,68199,2016-03-10 14:46:03,2016,2016,March,March,3,14,0,1
2016-03-05 19:46:13,Toyota_Paseo,privat,Offer,0,test,Other,2000,Unspecified,0,andere,150000,Jan,Other,toyota,Other,2016-03-05 00:00:00,29451,2016-03-17 20:46:59,2016,2016,March,March,12,20,16,11
2016-04-03 23:37:42,TOYOTA_AYGO_COOL_KLIMA,privat,Offer,1490,control,Other,2006,manuell,0,aygo,90000,Sep,Gasoline,toyota,Yes,2016-04-03 00:00:00,66111,2016-04-04 06:41:28,2016,2016,April,April,1,6,10,3
2016-04-04 17:48:06,Toyota_Yaris_Goldstueck_mit_Halbautomatik,privat,Offer,1500,test,Other,2016,automatik,68,yaris,150000,Apr,Gasoline,toyota,No,2016-04-04 00:00:00,27619,2016-04-06 19:47:52,2016,2016,April,April,2,19,0,8
2016-04-04 00:45:15,Toyota_Yaris_1.0_tuev_bis_7.16,privat,Offer,1000,test,Other,2016,manuell,68,yaris,150000,Jul,Other,toyota,Other,2016-04-03 00:00:00,94060,2016-04-06 03:44:27,2016,2016,April,April,3,3,0,5
2016-03-05 14:11:37,Toyota_MR2_Twin_Cam_16_124Ps,privat,Offer,1500,test,Other,2015,Unspecified,0,andere,150000,Jan,Other,toyota,Other,2016-03-03 00:00:00,35708,2016-03-07 11:44:46,2016,2016,March,March,4,11,1,11
2016-03-08 11:50:22,Toyota_Celica_1.8_Coupe_Raritaet,privat,Offer,1000,control,Other,2000,manuell,143,andere,150000,Jul,Other,toyota,No,2016-03-08 00:00:00,85646,2016-03-09 09:45:40,2016,2016,March,March,1,9,16,5
2016-03-22 08:51:10,Toyota_Carina_1600_GL_TA60,privat,Offer,1500,control,Other,1985,manuell,70,andere,150000,Apr,Gasoline,toyota,Other,2016-03-22 00:00:00,94032,2016-04-03 18:46:52,2016,2016,March,March,12,18,31,8
2016-03-27 12:47:25,Toyota_Paseo,privat,Offer,1199,test,Other,2000,Unspecified,0,andere,150000,Jan,Gasoline,toyota,Other,2016-03-27 00:00:00,79232,2016-04-07 08:16:54,2016,2016,March,March,11,8,16,11
2016-03-28 13:53:58,Toyota_Paseo_El44_1.5_16V,privat,Offer,500,test,Other,1995,manuell,90,Other,125000,Jan,Other,toyota,No,2016-03-28 00:00:00,49456,2016-04-06 17:45:53,2016,2016,March,March,9,17,21,11
2016-03-10 23:42:24,Yaris_D4D_Diesel_75_PS_gruene_Plakette__Kat__2._Hd_garantierte_KM,privat,Offer,1370,test,Other,2016,manuell,75,yaris,150000,Oct,Diesel,toyota,Yes,2016-03-10 00:00:00,53424,2016-03-11 12:16:22,2016,2016,March,March,1,12,0,2
2016-03-17 01:37:02,??Moin_Suche_Dringend_Toyota_Auto_wie_zB._Picnic__Corolla_usw.???,privat,Offer,0,test,Other,1990,Unspecified,0,Other,150000,Jan,Other,toyota,Other,2016-03-17 00:00:00,27777,2016-03-17 06:00:25,2016,2016,March,March,0,6,26,11
2016-03-22 13:37:41,Toyota_Yares_Verso,privat,Offer,1850,control,Other,2005,Unspecified,0,Other,150000,Jan,Other,toyota,Other,2016-03-22 00:00:00,54538,2016-03-26 14:17:37,2016,2016,March,March,4,14,11,11
2016-03-20 22:55:27,Toyota_Corolla,privat,Offer,1850,test,Other,1990,Unspecified,0,Other,150000,Jan,Gasoline,toyota,No,2016-03-20 00:00:00,58300,2016-04-07 11:16:57,2016,2016,March,March,18,11,26,11
2016-03-08 20:52:41,TOYOTA_AYGO,privat,Offer,3400,control,Other,2016,manuell,68,aygo,80000,May,Other,toyota,No,2016-03-08 00:00:00,73770,2016-04-05 21:15:55,2016,2016,March,March,28,21,0,7
2016-04-07 12:25:38,Toyota_Yaris_1.0_VVTi,privat,Offer,990,control,Other,2016,manuell,69,yaris,150000,Nov,Other,toyota,Other,2016-04-07 00:00:00,56594,2016-04-07 12:25:38,2016,2016,April,April,0,12,0,1
2016-03-25 11:43:03,Toyota_Yaris_zuverkaufen,privat,Offer,1800,test,Other,2005,Unspecified,0,yaris,150000,Jan,Other,toyota,Other,2016-03-25 00:00:00,26789,2016-03-26 21:15:41,2016,2016,March,March,1,21,11,11
2016-03-15 17:47:42,Toyota_aygo_cool_mit_klima,privat,Offer,3200,control,Other,2016,manuell,68,Other,125000,May,Other,toyota,Other,2016-03-15 00:00:00,86554,2016-03-26 23:47:09,2016,2016,March,March,11,23,0,7
2016-03-23 20:58:00,Toyota_starlet,privat,Offer,550,test,Other,2016,manuell,70,andere,150000,Apr,Gasoline,toyota,No,2016-03-23 00:00:00,41061,2016-03-25 05:47:53,2016,2016,March,March,2,5,0,8
2016-03-24 07:53:41,Toyota_Corolla_TS__V_Tec_VVTI,privat,Offer,2990,control,Other,2016,manuell,192,Other,150000,Nov,Other,toyota,Other,2016-03-24 00:00:00,88046,2016-03-30 08:44:34,2016,2016,March,March,6,8,0,1
2016-03-29 08:55:08,Bastlerfahrzeug,privat,Offer,450,control,Other,2016,manuell,0,yaris,150000,Jan,Other,toyota,Yes,2016-03-29 00:00:00,49074,2016-03-31 01:47:17,2016,2016,March,March,2,1,0,11
2016-03-16 12:53:20,Toyota_yaris_1.2_klima,privat,Offer,1200,test,Other,2005,manuell,0,yaris,150000,Jan,Other,toyota,Other,2016-03-16 00:00:00,79219,2016-03-24 01:17:01,2016,2016,March,March,8,1,11,11
2016-03-12 13:37:22,Toyota_Coralla_E10,privat,Offer,750,control,Other,2016,manuell,73,corolla,150000,Apr,Other,toyota,No,2016-03-12 00:00:00,28207,2016-04-06 12:45:32,2016,2016,March,March,25,12,0,8
2016-03-30 17:57:00,Yaris_1.3_vvt.i,privat,Offer,1899,control,Other,2016,manuell,0,yaris,150000,Feb,Gasoline,toyota,Yes,2016-03-30 00:00:00,12057,2016-04-07 09:44:38,2016,2016,March,March,8,9,0,10
2016-04-05 10:55:25,Toyota_Avensis_Kombi,privat,Offer,1750,control,Other,2016,manuell,110,avensis,150000,Jul,Gasoline,toyota,Other,2016-04-05 00:00:00,47652,2016-04-05 11:42:54,2016,2016,April,April,0,11,0,5
2016-03-25 09:53:15,Toyota_Picnic_o._Avensis_Verso_Gesucht,privat,Offer,0,test,Other,2000,Unspecified,0,avensis,150000,Apr,Other,toyota,Other,2016-03-25 00:00:00,78239,2016-04-06 08:46:12,2016,2016,March,March,12,8,16,8
2016-03-22 16:54:12,?Tag_Suche_Altfahrzeug_zB.Toyota__Benz__VW_usw.???,privat,Offer,0,test,Other,1990,Unspecified,0,Other,150000,Jan,Other,toyota,Other,2016-03-22 00:00:00,27777,2016-03-26 18:18:14,2016,2016,March,March,4,18,26,11
2016-03-18 07:53:30,Toyota_Aygo_Blue_Edition,privat,Offer,2350,test,Other,2016,manuell,68,aygo,150000,May,Gasoline,toyota,No,2016-03-18 00:00:00,58849,2016-03-18 07:53:30,2016,2016,March,March,0,7,0,7
2016-03-10 19:48:11,Toyota_aygo,privat,Offer,2200,control,Other,2016,manuell,68,aygo,125000,Feb,Lpg,toyota,Other,2016-03-10 00:00:00,54294,2016-03-11 08:16:52,2016,2016,March,March,1,8,0,10
2016-03-30 14:44:26,Toyota_Yaris_1_4_Diesel_4Tuerig_als_teile_verkauf,privat,Offer,1,control,Other,2005,manuell,0,yaris,100000,Jan,Diesel,toyota,Other,2016-03-30 00:00:00,32278,2016-04-07 05:15:36,2016,2016,March,March,8,5,11,11
2016-03-27 14:06:23,350_Corolla_mit_Tuev,privat,Offer,350,test,Other,2016,manuell,75,corolla,150000,Jan,Diesel,toyota,Other,2016-03-27 00:00:00,56203,2016-03-27 16:25:28,2016,2016,March,March,0,16,0,11
2016-03-28 18:54:15,Toyota_starlet,privat,Offer,430,control,Other,2000,Unspecified,0,andere,150000,Jan,Other,toyota,Other,2016-03-28 00:00:00,48147,2016-04-01 04:16:08,2016,2016,March,March,4,4,16,11
