dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-27 18:39:53,Toyota_Yaris_Verso,privat,Offer,2000,control,andere,2001,manuell,106,yaris,150000,Apr,Gasoline,toyota,No,2016-03-27 00:00:00,96237,2016-04-01 19:17:08,2016,2016,March,March,5,19,15,8
2016-04-02 15:54:06,Toyota_corolla_Verso_2_2_d_cat_7sitzer,privat,Offer,7000,control,andere,2006,manuell,177,verso,125000,Apr,Diesel,toyota,No,2016-04-02 00:00:00,45701,2016-04-06 14:46:05,2016,2016,April,April,4,14,10,8
2016-03-22 12:49:02,Toyota_Carina_T19U,privat,Offer,2500,control,andere,1997,manuell,107,andere,150000,Apr,Gasoline,toyota,No,2016-03-22 00:00:00,27578,2016-04-06 01:17:46,2016,2016,March,March,15,1,19,8
2016-03-20 20:48:17,Toyota_Corolla_TueV_neu,privat,Offer,4100,test,andere,2001,manuell,97,corolla,125000,Mar,Gasoline,toyota,Other,2016-03-20 00:00:00,85669,2016-04-07 05:45:21,2016,2016,March,March,18,5,15,9
2016-03-24 17:45:24,Toyota_Yaris_Verso_1_5_Linea_Sol_sehr_gepflegt,privat,Offer,2500,control,andere,2004,manuell,105,yaris,150000,Nov,Gasoline,toyota,No,2016-03-24 00:00:00,53332,2016-03-24 17:45:24,2016,2016,March,March,0,17,12,1
2016-04-07 02:36:37,Toyota_mr2_motor_3sge_inklusive_getriebe_und_neuer_sachs_kupplung,privat,Offer,1000,control,andere,1991,manuell,156,andere,125000,Jan,Gasoline,toyota,Other,2016-04-07 00:00:00,14197,2016-04-07 02:36:37,2016,2016,April,April,0,2,25,11
2016-03-26 18:50:01,Toyota_MR2,privat,Offer,800,test,andere,1991,manuell,156,Other,150000,Jan,Gasoline,toyota,Other,2016-03-26 00:00:00,94060,2016-04-06 08:17:20,2016,2016,March,March,11,8,25,11
2016-04-02 13:54:39,Corolla_KE20_und_2x_KE25,privat,Offer,6000,test,andere,1971,automatik,0,corolla,125000,Jan,Gasoline,toyota,Yes,2016-04-02 00:00:00,49762,2016-04-06 12:16:36,2016,2016,April,April,4,12,45,11
2016-03-19 21:51:52,Toyota_Hilux_4WD,privat,Offer,7300,control,andere,1999,manuell,90,andere,150000,Apr,Diesel,toyota,Other,2016-03-19 00:00:00,79674,2016-03-19 21:51:52,2016,2016,March,March,0,21,17,8
2016-03-31 15:06:20,Toyota_500_Euro,privat,Offer,500,test,andere,1998,manuell,0,corolla,150000,Oct,Gasoline,toyota,Yes,2016-03-31 00:00:00,65345,2016-04-06 07:15:20,2016,2016,March,March,6,7,18,2
2016-03-07 15:39:55,Toyota_Supra_3.0_Turbo_Projektfahrzeug_MK3_MA70,privat,Offer,2900,control,andere,1991,automatik,238,Other,30000,Jun,Other,toyota,Other,2016-03-07 00:00:00,53902,2016-03-07 19:45:34,2016,2016,March,March,0,19,25,6
2016-03-19 00:51:32,Toyota_Corolla,privat,Offer,1600,control,andere,2000,manuell,97,corolla,150000,Mar,Gasoline,toyota,No,2016-03-18 00:00:00,88416,2016-03-20 09:48:30,2016,2016,March,March,2,9,16,9
2016-03-17 15:52:29,Toyota_Mr2_T_bar,privat,Offer,0,test,andere,1993,manuell,156,andere,150000,Jan,Gasoline,toyota,Yes,2016-03-17 00:00:00,34123,2016-04-07 01:16:56,2016,2016,March,March,21,1,23,11
2016-03-20 17:54:48,Toyota_Corolla_Verso,privat,Offer,4650,test,andere,2004,automatik,129,verso,150000,Nov,Gasoline,toyota,No,2016-03-20 00:00:00,26409,2016-04-01 03:46:42,2016,2016,March,March,12,3,12,1
2016-03-14 07:55:22,Ich_suche_einen_Toyota_Camry,privat,Offer,1,control,andere,2001,Unspecified,0,andere,150000,Jan,Gasoline,toyota,Other,2016-03-14 00:00:00,86424,2016-04-07 08:16:54,2016,2016,March,March,24,8,15,11
2016-03-14 22:52:51,Toyota_Corolla_Verso_1.9_Diesel,privat,Offer,5500,control,andere,2006,manuell,0,corolla,150000,Aug,Diesel,toyota,No,2016-03-14 00:00:00,50126,2016-04-07 00:16:50,2016,2016,March,March,24,0,10,4
2016-03-10 07:36:21,Toyota_Yaris_1.0,privat,Offer,999,control,andere,1999,manuell,68,yaris,125000,Jun,Gasoline,toyota,Other,2016-03-10 00:00:00,46147,2016-03-10 08:51:04,2016,2016,March,March,0,8,17,6
2016-03-26 15:37:36,Toyota_MR2,privat,Offer,0,test,andere,1989,manuell,120,andere,150000,Jan,Gasoline,toyota,No,2016-03-26 00:00:00,94491,2016-04-06 03:17:38,2016,2016,March,March,11,3,27,11
