dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-27 23:53:18,Toyota_Corolla_Verso_2.2_D_CAT_DPF_Executive,privat,Offer,5300,test,bus,2008,manuell,177,verso,150000,Jan,Diesel,toyota,No,2016-03-27 00:00:00,63128,2016-04-06 09:15:32,2016,2016,March,March,10,9,8,11
2016-03-10 14:48:16,Toyota_Corolla_Verso_2.2_D_CAT_Sol,privat,Offer,5900,test,bus,2006,manuell,177,verso,150000,Aug,Diesel,toyota,No,2016-03-10 00:00:00,57072,2016-03-14 11:45:36,2016,2016,March,March,4,11,10,4
2016-03-07 14:47:28,Toyota_Corolla_Verso_1.8__7sitzer_129_PS__Bj._2005,privat,Offer,5990,control,bus,2005,manuell,0,verso,150000,May,Gasoline,toyota,Other,2016-03-07 00:00:00,84489,2016-03-09 08:46:24,2016,2016,March,March,2,8,11,7
2016-03-15 01:00:02,Toyota_Corolla_Verso_2.2_D_CAT_Executive,privat,Offer,5100,test,bus,2006,manuell,177,verso,150000,Nov,Diesel,toyota,Yes,2016-03-14 00:00:00,31535,2016-03-23 14:16:39,2016,2016,March,March,9,14,10,1
2016-03-21 19:37:44,Toyota_Yaris_Verso_1.4_D_4D,privat,Offer,2199,test,bus,2002,manuell,75,yaris,150000,May,Diesel,toyota,No,2016-03-21 00:00:00,85630,2016-04-04 19:45:56,2016,2016,March,March,14,19,14,7
2016-03-05 18:36:45,Toyota_Picnic,privat,Offer,2690,test,bus,2000,manuell,128,andere,150000,Feb,Gasoline,toyota,No,2016-03-05 00:00:00,46238,2016-03-08 11:15:18,2016,2016,March,March,3,11,16,10
2016-03-20 12:42:50,Toyota_Corolla_verso_1.8_VTTI,privat,Offer,4200,test,bus,2003,manuell,130,corolla,100000,Oct,Gasoline,toyota,No,2016-03-20 00:00:00,83278,2016-04-06 11:17:47,2016,2016,March,March,17,11,13,2
2016-03-23 17:38:24,Toyota_Previa_2_4_Benzin___Motorschaden__sehr_schlechter_Zustand,privat,Offer,1650,control,bus,2002,automatik,170,andere,150000,Nov,Gasoline,toyota,Yes,2016-03-23 00:00:00,14478,2016-03-26 10:45:49,2016,2016,March,March,3,10,14,1
2016-03-13 13:38:19,Toyota_Corolla_Verso_1.8_Sol_7_Sitzer_1._Hand,privat,Offer,4600,test,bus,2004,manuell,129,verso,150000,Sep,Gasoline,toyota,No,2016-03-13 00:00:00,23866,2016-03-24 05:45:18,2016,2016,March,March,11,5,12,3
2016-03-09 15:49:09,TOYOTA_Corolla_Verso_7_Sitzer_Steuerkette_Rueckfahrkamera_TÜV_neu!,privat,Offer,4900,control,bus,2005,manuell,110,verso,150000,Mar,Gasoline,toyota,No,2016-03-09 00:00:00,10713,2016-03-12 15:15:42,2016,2016,March,March,3,15,11,9
2016-03-23 08:52:37,Toyota_Corolla_Verso_1.8_Luna,privat,Offer,5300,control,bus,2006,manuell,129,corolla,100000,Apr,Gasoline,toyota,No,2016-03-23 00:00:00,54516,2016-04-07 08:17:10,2016,2016,March,March,15,8,10,8
2016-04-05 09:37:32,Toyota_Corolla_Verso_1.8_Multi_Mode_Sol,privat,Offer,6490,control,bus,2005,automatik,129,verso,70000,Jun,Gasoline,toyota,No,2016-04-05 00:00:00,82140,2016-04-05 10:42:24,2016,2016,April,April,0,10,11,6
2016-03-09 15:56:23,Toyota_Corolla_Verso_2.0_D_4D_Sol,privat,Offer,6490,control,bus,2005,manuell,116,verso,100000,Oct,Diesel,toyota,No,2016-03-09 00:00:00,22339,2016-04-07 02:46:10,2016,2016,March,March,29,2,11,2
2016-03-10 13:56:25,Toyota_Corolla_Verso_1.8,privat,Offer,3400,test,bus,2004,manuell,135,verso,150000,Mar,Gasoline,toyota,No,2016-03-10 00:00:00,90441,2016-04-07 09:45:38,2016,2016,March,March,28,9,12,9
2016-03-28 20:45:01,Toyota_Corolla_Verso_1.8_Multi_Mode_Sol,privat,Offer,9000,control,bus,2009,automatik,129,verso,90000,Mar,Gasoline,toyota,No,2016-03-28 00:00:00,78247,2016-04-07 03:15:34,2016,2016,March,March,10,3,7,9
2016-03-27 20:55:44,Toyota_Picnic_Klima_Alufelgen_Tuev_6_Sitzer,privat,Offer,2850,control,bus,2000,manuell,128,andere,150000,Mar,Gasoline,toyota,No,2016-03-27 00:00:00,44801,2016-04-01 22:18:57,2016,2016,March,March,5,22,16,9
2016-04-01 16:45:44,Toyota_Corolla_Verso_1.8_Team,privat,Offer,9850,control,bus,2009,manuell,129,verso,125000,Nov,Gasoline,toyota,No,2016-04-01 00:00:00,51429,2016-04-05 11:48:28,2016,2016,April,April,4,11,7,1
2016-04-05 11:56:54,Toyota_Corolla_Verso_Executive,privat,Offer,10000,test,bus,2009,manuell,130,Other,100000,Mar,Diesel,toyota,Other,2016-04-05 00:00:00,85053,2016-04-05 12:45:06,2016,2016,April,April,0,12,7,9
2016-03-28 15:45:18,Toyota_Verso_2.2_D_CAT_Executive,privat,Offer,9800,control,bus,2010,manuell,177,verso,150000,Nov,Diesel,toyota,No,2016-03-28 00:00:00,51061,2016-04-06 20:17:53,2016,2016,March,March,9,20,6,1
2016-03-19 19:37:14,Toyota_Verso_2.0_D_4D_Edition,privat,Offer,9900,control,bus,2011,manuell,126,verso,150000,Apr,Diesel,toyota,No,2016-03-19 00:00:00,85051,2016-04-07 08:44:51,2016,2016,March,March,19,8,5,8
2016-03-25 22:54:27,Toyota_Yaris_Verso_Bj.02.2001_TÜV_02/17_1_5_Liter_106PS_Silber,privat,Offer,2250,control,bus,2001,manuell,0,verso,150000,Feb,Gasoline,toyota,Other,2016-03-25 00:00:00,44359,2016-03-26 07:44:16,2016,2016,March,March,1,7,15,10
2016-03-25 10:49:56,Toyota_Yaris_Verso_1.3_Automatik_Sol,privat,Offer,7000,test,bus,2004,automatik,84,yaris,40000,Aug,Gasoline,toyota,No,2016-03-25 00:00:00,41844,2016-04-02 12:45:30,2016,2016,March,March,8,12,12,4
2016-03-20 00:37:02,Toyota_Yaris_Verso_Sol_mit_Tuev_bis_02/2018,privat,Offer,2000,control,bus,2001,manuell,86,yaris,150000,Mar,Gasoline,toyota,No,2016-03-20 00:00:00,48432,2016-03-25 06:16:01,2016,2016,March,March,5,6,15,9
2016-03-10 11:56:08,Toyota_Corolla_Verso_2.0_D_4D_.Top_zustand_1Hand_140TKM,privat,Offer,2999,test,bus,2003,manuell,90,verso,150000,Nov,Diesel,toyota,No,2016-03-10 00:00:00,52074,2016-04-07 04:46:20,2016,2016,March,March,28,4,13,1
2016-04-01 23:37:33,Toyota_HiAce_D_4D,privat,Offer,4300,control,bus,2007,manuell,117,andere,150000,Jul,Diesel,toyota,Yes,2016-04-01 00:00:00,21029,2016-04-02 07:45:49,2016,2016,April,April,1,7,9,5
2016-03-30 19:56:13,Toyota_Corolla_Verso_1.6,privat,Offer,3500,test,bus,2003,manuell,110,verso,150000,Sep,Gasoline,toyota,No,2016-03-30 00:00:00,82439,2016-04-03 10:47:25,2016,2016,March,March,4,10,13,3
2016-03-17 22:54:55,Toyota_Corolla_Verso_2.2_D_CAT_1.Hand_Scheckheft_lueckenlos,privat,Offer,6000,test,bus,2006,manuell,177,corolla,150000,Apr,Diesel,toyota,No,2016-03-17 00:00:00,46282,2016-03-26 09:47:07,2016,2016,March,March,9,9,10,8
2016-03-26 18:40:56,Toyota_Corolla_Verso_1_6L_81Kw,privat,Offer,6550,test,bus,2007,manuell,110,Other,150000,Aug,Other,toyota,No,2016-03-26 00:00:00,34327,2016-04-06 07:44:52,2016,2016,March,March,11,7,9,4
2016-03-29 09:37:34,Toyota_Corolla_Verso_1.6__7_Sitze__AHK__Klimaaut.__Alu,privat,Offer,4900,test,bus,2004,manuell,110,verso,150000,Nov,Gasoline,toyota,No,2016-03-29 00:00:00,4827,2016-03-29 10:44:37,2016,2016,March,March,0,10,12,1
2016-04-01 21:56:55,Toyota_Corolla_Verso,privat,Offer,4990,test,bus,2004,manuell,129,verso,125000,Jan,Gasoline,toyota,Yes,2016-04-01 00:00:00,14542,2016-04-05 20:44:44,2016,2016,April,April,4,20,12,11
2016-03-22 18:44:22,Toyota_Yaris_Verso_1.3_Sol,privat,Offer,2990,control,bus,2004,manuell,84,yaris,150000,May,Gasoline,toyota,No,2016-03-22 00:00:00,90763,2016-04-04 09:18:17,2016,2016,March,March,13,9,12,7
2016-03-27 14:48:45,Toyota_Corolla_Verso_7Sitzer_TÜV_Nichtraucher_1_8,privat,Offer,6599,control,bus,2006,manuell,129,corolla,90000,May,Gasoline,toyota,No,2016-03-27 00:00:00,98574,2016-04-07 11:45:00,2016,2016,March,March,11,11,10,7
2016-03-20 23:52:15,Toyota_Verso_S_1.33_VVT_i,privat,Offer,9499,control,bus,2011,manuell,99,verso,60000,Mar,Gasoline,toyota,No,2016-03-20 00:00:00,85635,2016-04-07 13:17:48,2016,2016,March,March,18,13,5,9
