dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-22 12:57:23,Toyota_Avensis_1.8_VVT_i_Combi_Hagelschaden,privat,Offer,3250,control,kombi,2006,manuell,129,avensis,125000,Apr,Gasoline,toyota,No,2016-03-22 00:00:00,82494,2016-03-22 12:57:23,2016,2016,March,March,0,12,10,8
2016-03-07 13:46:32,Toyota_Corolla_1.6_Combi_Sol,privat,Offer,1800,control,kombi,2003,manuell,110,corolla,150000,Jun,Gasoline,toyota,Yes,2016-03-07 00:00:00,53347,2016-03-10 10:46:17,2016,2016,March,March,3,10,13,6
2016-03-30 16:38:07,Toyota_Avensis_1.8_VVT_i_Combi,privat,Offer,3800,test,kombi,2003,manuell,129,avensis,150000,Jun,Gasoline,toyota,No,2016-03-30 00:00:00,26169,2016-04-07 07:15:47,2016,2016,March,March,8,7,13,6
2016-04-04 22:53:23,Toyota_Avensis_1.8_Kombi,privat,Offer,1250,test,kombi,2001,manuell,129,avensis,150000,Sep,Gasoline,toyota,Other,2016-04-04 00:00:00,15566,2016-04-04 23:39:56,2016,2016,April,April,0,23,15,3
2016-03-31 14:56:16,Toyota_Avensis_2.2.__1_HD.__Uff,privat,Offer,1900,control,kombi,2005,manuell,177,avensis,150000,May,Diesel,toyota,Yes,2016-03-31 00:00:00,84163,2016-03-31 15:41:14,2016,2016,March,March,0,15,11,7
2016-03-20 13:50:03,Toyota_Avensis_2_0_D_4D_Combi_EURO4,privat,Offer,2600,test,kombi,2005,manuell,116,avensis,150000,Jun,Diesel,toyota,Yes,2016-03-20 00:00:00,72760,2016-03-20 13:50:03,2016,2016,March,March,0,13,11,6
2016-03-12 23:47:09,Toyota_Corolla_1.6_VVT_i_Combi_Sol,privat,Offer,2990,control,kombi,2004,manuell,110,corolla,150000,Aug,Gasoline,toyota,No,2016-03-12 00:00:00,16540,2016-03-31 06:47:04,2016,2016,March,March,19,6,12,4
2016-03-11 17:57:32,Toyota_Avensis_Combi_2.2_D_CAT_Executive,privat,Offer,5400,control,kombi,2005,manuell,177,avensis,150000,Nov,Diesel,toyota,No,2016-03-11 00:00:00,86899,2016-03-27 20:18:44,2016,2016,March,March,16,20,11,1
2016-03-11 09:50:59,Toyota_Avensis_2.0_D_4D_Combi_C,privat,Offer,3500,control,kombi,2004,manuell,116,avensis,150000,Nov,Diesel,toyota,No,2016-03-11 00:00:00,29664,2016-03-12 14:16:10,2016,2016,March,March,1,14,12,1
2016-03-08 19:38:45,Toyota_Avensis_2.0_D_4D_Combi_Sol,privat,Offer,7800,test,kombi,2008,manuell,126,avensis,150000,Jun,Diesel,toyota,No,2016-03-08 00:00:00,74354,2016-04-05 13:17:27,2016,2016,March,March,28,13,8,6
2016-03-11 11:40:55,Toyota_Avensis_2.0_D_4D_Combi_C,privat,Offer,4600,control,kombi,2004,manuell,116,avensis,150000,May,Diesel,toyota,No,2016-03-11 00:00:00,71334,2016-04-07 01:44:59,2016,2016,March,March,27,1,12,7
2016-03-20 19:46:25,Toyota_Avensis_1.6_Combi_limited,privat,Offer,1050,test,kombi,1999,manuell,110,avensis,150000,Jul,Gasoline,toyota,No,2016-03-20 00:00:00,81737,2016-03-20 19:46:25,2016,2016,March,March,0,19,17,5
2016-04-03 19:41:54,Toyota_Avensis_2.2_D_CAT_Combi_Sol,privat,Offer,6500,test,kombi,2007,manuell,177,avensis,150000,Jul,Diesel,toyota,Yes,2016-04-03 00:00:00,56645,2016-04-05 20:15:55,2016,2016,April,April,2,20,9,5
2016-03-30 21:25:39,Toyota_Carina_1.8_Klima,privat,Offer,1049,control,kombi,1997,manuell,107,andere,150000,Apr,Gasoline,toyota,No,2016-03-30 00:00:00,65552,2016-04-05 14:16:45,2016,2016,March,March,6,14,19,8
2016-03-07 13:48:52,Toyota_Carina_1.8,privat,Offer,1399,control,kombi,1997,manuell,107,andere,150000,Nov,Gasoline,toyota,No,2016-03-07 00:00:00,75177,2016-03-08 09:46:09,2016,2016,March,March,1,9,19,1
2016-03-24 09:55:41,Toyota__Corolla_1_4_90_PS__NEUE_TUV_AU_02.2018_Ohne_maengel__,privat,Offer,4800,control,kombi,2006,manuell,90,corolla,150000,Nov,Diesel,toyota,No,2016-03-24 00:00:00,27356,2016-03-28 18:48:11,2016,2016,March,March,4,18,10,1
2016-04-03 00:37:00,Corolla_2.0_D_4D_Combi,privat,Offer,1900,control,kombi,2003,manuell,90,corolla,150000,Jan,Diesel,toyota,Other,2016-04-03 00:00:00,90473,2016-04-07 09:17:50,2016,2016,April,April,4,9,13,11
2016-04-04 19:41:31,Toyota_Avensis_1.8_VVT_i_Combi,privat,Offer,3999,test,kombi,2004,manuell,129,avensis,150000,Nov,Gasoline,toyota,No,2016-04-04 00:00:00,31167,2016-04-06 21:45:36,2016,2016,April,April,2,21,12,1
2016-03-07 08:55:52,Toyota_carina_1_8_liter_Checkheftgepflegt,privat,Offer,1399,control,kombi,1997,manuell,0,andere,150000,Nov,Gasoline,toyota,Other,2016-03-07 00:00:00,75177,2016-03-10 14:47:30,2016,2016,March,March,3,14,19,1
2016-03-18 10:48:31,Toyota_Avensis_Combi_1.8,privat,Offer,10750,control,kombi,2010,manuell,147,avensis,90000,Mar,Gasoline,toyota,No,2016-03-18 00:00:00,21261,2016-04-03 21:17:16,2016,2016,March,March,16,21,6,9
2016-03-25 22:55:58,Toyota_Avensis_1.8_Combi,privat,Offer,2049,control,kombi,2000,manuell,129,avensis,150000,Nov,Gasoline,toyota,No,2016-03-25 00:00:00,16356,2016-04-05 15:45:40,2016,2016,March,March,11,15,16,1
2016-03-30 21:48:20,!!!!GEPFLEGTE__TOYOTA_AVENSIS_2.2_DIESEL_MIT_177PS_!!!,privat,Offer,5900,test,kombi,2007,manuell,177,Other,150000,Jul,Diesel,toyota,No,2016-03-30 00:00:00,30926,2016-04-05 12:20:04,2016,2016,March,March,6,12,9,5
