dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-07 14:45:31,Toyota_RAV_4_4x4,privat,Offer,7900,control,suv,2005,manuell,150,rav,80000,Mar,Gasoline,toyota,No,2016-03-07 00:00:00,32694,2016-04-07 03:45:59,2016,2016,March,March,31,3,11,9
2016-03-27 17:56:57,Toyota_Land_Cruiser_FJ_Cruiser,privat,Offer,0,test,suv,2008,automatik,0,andere,30000,Nov,Gasoline,toyota,Other,2016-03-27 00:00:00,63454,2016-03-27 17:56:57,2016,2016,March,March,0,17,8,1
2016-03-15 19:58:20,Toyota_RAV_4_D_4D_4x4_Klimaautomatik_1_Hand,privat,Offer,4999,control,suv,2003,manuell,116,rav,150000,Nov,Diesel,toyota,No,2016-03-15 00:00:00,40591,2016-03-24 11:44:47,2016,2016,March,March,9,11,13,1
2016-03-25 16:58:40,Toyota_RAV_4_D_4D_mit_Bullfaenger_8_x_Reifen,privat,Offer,5250,control,suv,2003,manuell,116,rav,150000,Oct,Diesel,toyota,No,2016-03-25 00:00:00,14669,2016-04-01 01:46:15,2016,2016,March,March,7,1,13,2
2016-04-01 11:50:19,Verkaufe_Toyota_RAV4,privat,Offer,8500,test,suv,2007,manuell,177,rav,150000,Apr,Diesel,toyota,No,2016-04-01 00:00:00,67756,2016-04-05 07:55:09,2016,2016,April,April,4,7,9,8
2016-04-06 11:36:21,Toyota_Land_Cruiser_Toyota_Landcruiser,privat,Offer,17400,test,suv,2008,manuell,163,Other,80000,Aug,Diesel,toyota,No,2016-04-06 00:00:00,33014,2016-04-06 11:36:21,2016,2016,April,April,0,11,8,4
2016-03-31 17:58:04,Toyota_RAV4_d_4x4,privat,Offer,7000,control,suv,2006,manuell,177,rav,150000,Jan,Diesel,toyota,No,2016-03-31 00:00:00,51105,2016-04-06 11:44:45,2016,2016,March,March,6,11,10,11
2016-03-24 20:56:01,Zuverlaessiger_RAV4,privat,Offer,1800,test,suv,1995,manuell,129,rav,150000,Jan,Gasoline,toyota,No,2016-03-24 00:00:00,37170,2016-03-30 23:46:15,2016,2016,March,March,6,23,21,11
2016-03-14 12:39:54,Toyota_RAV_4_2.2_D_CAT_4x4_Travel_mit_Garantie,privat,Offer,0,test,suv,2012,manuell,177,rav,80000,Sep,Diesel,toyota,Other,2016-03-14 00:00:00,59494,2016-04-05 11:50:18,2016,2016,March,March,22,11,4,3
2016-03-16 22:06:35,TOYOTA_RAV_4__5_Tuerer,privat,Offer,8000,test,suv,2005,manuell,0,rav,100000,Jul,Gasoline,toyota,Other,2016-03-16 00:00:00,60389,2016-03-18 08:34:14,2016,2016,March,March,2,8,11,5
2016-03-17 12:54:16,Toyota_RAV4_2.0_D_4D,privat,Offer,7000,test,suv,2006,manuell,177,rav,150000,Jan,Diesel,toyota,No,2016-03-17 00:00:00,51105,2016-04-06 15:17:11,2016,2016,March,March,20,15,10,11
2016-03-30 19:56:18,Toyota_Landcruiser_FJ_40__Diesel,privat,Offer,5900,test,suv,1978,manuell,80,andere,80000,Mar,Diesel,toyota,No,2016-03-30 00:00:00,31855,2016-04-03 11:45:28,2016,2016,March,March,4,11,38,9
2016-03-16 21:54:06,Toyota_RAV_4_2.2_D_D4x4,privat,Offer,4500,control,suv,2010,manuell,150,rav,125000,Oct,Diesel,toyota,No,2016-03-16 00:00:00,85386,2016-03-16 23:43:34,2016,2016,March,March,0,23,6,2
2016-03-31 23:40:16,Toyota_Land_Cruiser_D_4D,privat,Offer,6200,control,suv,2004,manuell,163,andere,150000,Aug,Diesel,toyota,No,2016-03-31 00:00:00,21075,2016-04-06 19:45:31,2016,2016,March,March,6,19,12,4
2016-03-24 22:39:30,Toyota_RAV_4_4x4_Executive,privat,Offer,6500,control,suv,2006,manuell,152,rav,150000,Oct,Gasoline,toyota,No,2016-03-24 00:00:00,94072,2016-04-05 18:46:44,2016,2016,March,March,12,18,10,2
2016-03-17 17:41:49,Toyota_HiLux_4x4_Double_Cab_Life,privat,Offer,26500,control,suv,2012,manuell,171,andere,20000,Jul,Diesel,toyota,No,2016-03-17 00:00:00,13407,2016-04-07 03:17:01,2016,2016,March,March,21,3,4,5
2016-03-22 12:57:11,Toyota_Land_Cruiser_HDJ_80_Spezial,privat,Offer,8500,control,suv,1993,automatik,160,andere,150000,Oct,Diesel,toyota,No,2016-03-22 00:00:00,24975,2016-03-29 16:44:56,2016,2016,March,March,7,16,23,2
2016-04-04 08:36:58,Toyota_RAV_4_D_4D_4x4_Bullenfaenger_8xBereift,privat,Offer,6500,control,suv,2003,manuell,116,rav,150000,Oct,Diesel,toyota,No,2016-04-04 00:00:00,14669,2016-04-06 09:16:28,2016,2016,April,April,2,9,13,2
2016-03-17 13:25:21,Toyota_Helux_Extra_Cab_Mit_BFGoodrich_Reifen,privat,Offer,14300,control,suv,2008,manuell,120,andere,5000,Nov,Diesel,toyota,No,2016-03-17 00:00:00,60529,2016-04-05 22:46:32,2016,2016,March,March,19,22,8,1
2016-03-16 11:52:37,Toyota_FJ.,privat,Offer,14500,test,suv,2008,automatik,0,andere,150000,Aug,Gasoline,toyota,Other,2016-03-16 00:00:00,47053,2016-03-16 11:52:37,2016,2016,March,March,0,11,8,4
2016-04-02 17:54:35,Toyota_Rav4___Diesel___177PS___Garantie,privat,Offer,10990,control,suv,2007,manuell,177,Other,100000,Sep,Diesel,toyota,No,2016-04-02 00:00:00,88299,2016-04-06 17:18:01,2016,2016,April,April,4,17,9,3
2016-04-05 04:03:41,Toyota_RAV_4,privat,Offer,1500,control,suv,2000,manuell,150,rav,150000,May,Gasoline,toyota,Yes,2016-04-05 00:00:00,74589,2016-04-05 08:38:40,2016,2016,April,April,0,8,16,7
2016-04-03 14:48:26,Gete_Zustand,privat,Offer,15500,test,suv,2011,manuell,158,rav,70000,Feb,Gasoline,toyota,Other,2016-04-03 00:00:00,49661,2016-04-05 13:47:35,2016,2016,April,April,2,13,5,10
2016-03-07 11:55:52,Toyota_RAV_4,privat,Offer,1800,test,suv,1994,manuell,129,rav,150000,Jun,Gasoline,toyota,No,2016-03-07 00:00:00,50169,2016-03-10 16:16:22,2016,2016,March,March,3,16,22,6
2016-03-07 16:39:28,Toyota_RAV_4_4x4,privat,Offer,5000,control,suv,2000,manuell,150,rav,150000,Aug,Gasoline,toyota,No,2016-03-07 00:00:00,94259,2016-04-05 16:44:46,2016,2016,March,March,29,16,16,4
2016-03-31 15:37:01,"Toyota_Corolla_Verso_""Executive""__=_beste_Ausstattung_incl._u.a.",privat,Offer,7900,control,suv,2007,manuell,0,corolla,90000,Jul,Diesel,toyota,No,2016-03-31 00:00:00,48268,2016-04-06 08:16:43,2016,2016,March,March,6,8,9,5
2016-03-15 16:53:54,Toyota_Land_Cruiser_D_4D_Executive,privat,Offer,14900,control,suv,2003,automatik,163,andere,150000,Sep,Diesel,toyota,No,2016-03-15 00:00:00,84174,2016-03-25 11:48:36,2016,2016,March,March,10,11,13,3
2016-03-30 11:44:59,Toyota_RAV_4_2.2_D_CAT_4x4_Executive__177PS_,privat,Offer,14950,test,suv,2010,manuell,177,rav,50000,Oct,Diesel,toyota,No,2016-03-30 00:00:00,51379,2016-04-07 02:16:18,2016,2016,March,March,8,2,6,2
2016-03-27 21:52:12,Toyota_RAV_4_4x2,privat,Offer,5999,test,suv,2004,manuell,125,rav,100000,Oct,Gasoline,toyota,No,2016-03-27 00:00:00,33335,2016-04-05 20:47:32,2016,2016,March,March,9,20,12,2
2016-03-08 11:37:17,TOYOTA_HILUX_3.0_AUTOMATIK_4x4,privat,Offer,22900,control,suv,2013,automatik,0,andere,70000,May,Diesel,toyota,No,2016-03-08 00:00:00,95145,2016-03-20 22:17:07,2016,2016,March,March,12,22,3,7
2016-03-31 19:38:57,Toyota_RAV_4,privat,Offer,1650,control,suv,1997,manuell,128,rav,150000,Jan,Gasoline,toyota,No,2016-03-31 00:00:00,32549,2016-04-04 12:45:28,2016,2016,March,March,4,12,19,11
2016-03-28 18:59:23,Toyota_RAV4_Gelaendewagen,privat,Offer,7550,control,suv,2008,manuell,160,rav,150000,Nov,Diesel,toyota,Other,2016-03-28 00:00:00,72072,2016-04-07 01:46:17,2016,2016,March,March,10,1,8,1
2016-04-03 08:59:03,Gut_erhaltener_RAV_sofort_zu_verkaufen!,privat,Offer,4000,test,suv,2002,manuell,116,rav,150000,Apr,Diesel,toyota,No,2016-04-03 00:00:00,94327,2016-04-07 10:16:08,2016,2016,April,April,4,10,14,8
2016-04-04 23:52:38,Toyota_Land_Cruiser_LJ_73,privat,Offer,4000,control,suv,1991,manuell,90,andere,150000,Aug,Diesel,toyota,No,2016-04-04 00:00:00,63920,2016-04-05 06:40:54,2016,2016,April,April,1,6,25,4
2016-03-30 19:37:38,Toyota_RAV_4__4x4_Executive_Leder_Automatik,privat,Offer,8750,test,suv,2004,automatik,150,rav,80000,Nov,Gasoline,toyota,No,2016-03-30 00:00:00,59387,2016-04-02 08:48:13,2016,2016,March,March,3,8,12,1
2016-03-21 13:40:11,RAV_4_aus_1._Hand,privat,Offer,11800,test,suv,2007,manuell,152,rav,80000,Mar,Gasoline,toyota,No,2016-03-21 00:00:00,87600,2016-04-06 08:45:48,2016,2016,March,March,16,8,9,9
2016-04-04 14:46:04,Toyota_RAV_4_2.0_4x4_Multidrive_S_Life,privat,Offer,19900,test,suv,2011,automatik,158,rav,90000,Mar,Gasoline,toyota,No,2016-04-04 00:00:00,13591,2016-04-06 16:15:51,2016,2016,April,April,2,16,5,9
2016-04-02 21:55:16,Gepflegter_SUV,privat,Offer,12500,test,suv,2008,automatik,152,rav,70000,Apr,Gasoline,toyota,No,2016-04-02 00:00:00,76571,2016-04-06 23:45:11,2016,2016,April,April,4,23,8,8
2016-03-27 13:53:27,Toyota_RAV_4,privat,Offer,3600,test,suv,1998,manuell,128,rav,80000,Mar,Gasoline,toyota,No,2016-03-27 00:00:00,53501,2016-03-27 13:53:27,2016,2016,March,March,0,13,18,9
2016-04-01 23:37:01,Toyota_RAV_4_2.5_4x4_Hybrid_Edition,privat,Offer,20000,control,suv,2016,automatik,155,rav,5000,Mar,Hybrid,toyota,No,2016-04-01 00:00:00,60314,2016-04-02 06:47:37,2016,2016,April,April,1,6,0,9
2016-03-19 08:51:10,TOYOTA_RAV_4__4x4,privat,Offer,2500,test,suv,2002,manuell,0,rav,5000,Jan,Gasoline,toyota,Other,2016-03-19 00:00:00,59557,2016-03-26 17:44:46,2016,2016,March,March,7,17,14,11
2016-03-15 19:51:36,Toyota_RAV_4_TÜV_2017,privat,Offer,1999,control,suv,1997,manuell,128,rav,150000,Feb,Gasoline,toyota,No,2016-03-15 00:00:00,81827,2016-03-19 15:48:30,2016,2016,March,March,4,15,19,10
2016-03-19 21:55:41,Pick_up_2_5_Diesel,privat,Offer,4000,control,suv,1992,manuell,92,andere,150000,Jan,Diesel,toyota,Other,2016-03-19 00:00:00,6712,2016-03-19 23:40:16,2016,2016,March,March,0,23,24,11
2016-03-11 22:06:23,Toyota_RAV_4_2.2_D_4D_4x4_Sol,privat,Offer,9000,control,suv,2007,manuell,136,rav,125000,Jul,Diesel,toyota,No,2016-03-11 00:00:00,63067,2016-04-06 15:45:06,2016,2016,March,March,26,15,9,5
2016-04-04 09:55:55,Toyota_RAV_4_2.2_D_CAT_4x4_Executive__EURO4__Leder,privat,Offer,5490,control,suv,2006,manuell,177,rav,150000,Mar,Diesel,toyota,No,2016-04-04 00:00:00,83043,2016-04-04 10:44:23,2016,2016,April,April,0,10,10,9
2016-04-05 21:36:23,Toyota_RAV_4_2.0_4x4_Automatik_Cross_Sport,privat,Offer,10900,test,suv,2008,automatik,152,rav,125000,Jan,Gasoline,toyota,No,2016-04-05 00:00:00,58091,2016-04-05 21:36:23,2016,2016,April,April,0,21,8,11
2016-04-04 17:54:59,Toyota_RAV_4_D_4D_4x4,privat,Offer,5500,test,suv,2003,manuell,150,rav,150000,Sep,Diesel,toyota,No,2016-04-04 00:00:00,78224,2016-04-06 19:48:33,2016,2016,April,April,2,19,13,3
2016-03-24 22:37:55,Toyota_RAV_4_4x4,privat,Offer,5555,control,suv,2003,manuell,150,rav,125000,Jun,Gasoline,toyota,No,2016-03-24 00:00:00,32257,2016-04-05 21:48:12,2016,2016,March,March,12,21,13,6
2016-03-09 16:55:32,Toyota_RAV_4_D_4D_4x4,privat,Offer,5500,test,suv,2004,manuell,116,rav,150000,Jul,Diesel,toyota,No,2016-03-09 00:00:00,94518,2016-04-07 06:45:12,2016,2016,March,March,29,6,12,5
2016-03-30 17:49:41,Toyota_RAV_4_D_4D_4x4,privat,Offer,6499,control,suv,2005,manuell,116,rav,150000,Apr,Diesel,toyota,No,2016-03-30 00:00:00,84032,2016-04-07 08:45:45,2016,2016,March,March,8,8,11,8
2016-03-16 17:42:55,TOP_ZUSTAND_PRIVAT_AUS_1_HAND_RENTNER.,privat,Offer,3500,control,suv,1998,manuell,0,rav,150000,Jun,Gasoline,toyota,No,2016-03-16 00:00:00,27793,2016-03-19 15:18:18,2016,2016,March,March,3,15,18,6
2016-03-25 18:50:20,Toyota_RAV_4_4x2,privat,Offer,5999,test,suv,2005,manuell,125,rav,150000,May,Gasoline,toyota,No,2016-03-25 00:00:00,80339,2016-03-30 10:17:27,2016,2016,March,March,5,10,11,7
2016-03-14 10:45:23,Toyota_RAV_4___1.8__Klima,privat,Offer,4350,control,suv,2002,manuell,125,rav,150000,Apr,Gasoline,toyota,No,2016-03-14 00:00:00,63477,2016-03-16 22:18:03,2016,2016,March,March,2,22,14,8
2016-03-12 13:50:04,Toyota_RAV_4_4x4_Executive,privat,Offer,8500,control,suv,2005,automatik,150,rav,100000,Mar,Gasoline,toyota,No,2016-03-12 00:00:00,79664,2016-04-06 21:17:52,2016,2016,March,March,25,21,11,9
2016-03-15 18:49:45,Toyota_RAV_4_2.2_D_CAT_4x4,privat,Offer,8600,test,suv,2006,manuell,177,rav,150000,Nov,Diesel,toyota,No,2016-03-15 00:00:00,65195,2016-04-06 19:46:52,2016,2016,March,March,22,19,10,1
2016-03-24 17:57:30,Toyota_HiLux_4x2_Single_Cab,privat,Offer,5500,control,suv,2004,manuell,88,andere,150000,May,Diesel,toyota,No,2016-03-24 00:00:00,90431,2016-04-07 11:16:25,2016,2016,March,March,14,11,12,7
2016-03-09 16:45:43,Toyota_RAV_4,privat,Offer,3500,test,suv,1999,manuell,128,rav,70000,Jun,Gasoline,toyota,Yes,2016-03-09 00:00:00,82140,2016-04-07 05:15:56,2016,2016,March,March,29,5,17,6
2016-03-12 17:57:50,RAV_4___2_2_D_Cat,privat,Offer,12900,test,suv,2006,manuell,177,rav,150000,Sep,Diesel,toyota,No,2016-03-12 00:00:00,27624,2016-04-07 10:16:42,2016,2016,March,March,26,10,10,3
2016-03-22 17:43:43,Toyota_RAV_4,privat,Offer,3499,control,suv,1996,manuell,128,rav,150000,Feb,Gasoline,toyota,No,2016-03-22 00:00:00,44339,2016-04-06 08:17:51,2016,2016,March,March,15,8,20,10
2016-03-10 23:57:57,Toyota_RAV4__4x4__Bj.2006,privat,Offer,8800,test,suv,2006,manuell,177,rav,150000,Mar,Diesel,toyota,No,2016-03-10 00:00:00,48268,2016-03-15 13:46:38,2016,2016,March,March,5,13,10,9
2016-03-18 23:38:16,toyota_landcruiser_bj42_j4_buschtaxi,privat,Offer,6600,test,suv,1981,manuell,90,andere,150000,Jan,Diesel,toyota,Other,2016-03-18 00:00:00,83026,2016-03-21 09:45:11,2016,2016,March,March,3,9,35,11
2016-03-26 11:52:00,Toyota_Land_Cruiser_D_4D_Automatik_Executive,privat,Offer,13500,control,suv,2007,automatik,173,andere,150000,Feb,Diesel,toyota,No,2016-03-26 00:00:00,37081,2016-04-05 23:46:52,2016,2016,March,March,10,23,9,10
2016-03-30 10:48:23,Toyota_RAV_4_2.2_D_CAT_4x4_Sol,privat,Offer,10900,test,suv,2008,manuell,177,rav,125000,Feb,Diesel,toyota,No,2016-03-30 00:00:00,79874,2016-04-07 01:44:27,2016,2016,March,March,8,1,8,10
2016-03-21 21:49:57,Toyota_Land_Cruiser_D_4D_KJ95_Special,privat,Offer,19500,control,suv,2002,automatik,163,andere,150000,Feb,Diesel,toyota,No,2016-03-21 00:00:00,53604,2016-04-07 02:16:16,2016,2016,March,March,17,2,14,10
2016-03-22 13:51:16,Toyota_Land_Cruiser_TD_KJ90,privat,Offer,4100,control,suv,1997,manuell,125,andere,150000,Nov,Diesel,toyota,No,2016-03-22 00:00:00,30459,2016-03-25 05:47:41,2016,2016,March,March,3,5,19,1
2016-03-21 07:57:17,Toyota_BJ40_Landcruiser_zu_verkaufen,privat,Offer,6500,control,suv,1979,manuell,0,andere,80000,Jun,Diesel,toyota,Yes,2016-03-21 00:00:00,33829,2016-04-06 01:49:46,2016,2016,March,March,16,1,37,6
2016-03-11 16:42:55,Toyota_Hilux_._Bj._2006__Tuev._6.2017._Allrad__Klima__Servo,privat,Offer,6700,test,suv,2006,manuell,102,andere,150000,Jun,Diesel,toyota,No,2016-03-11 00:00:00,13597,2016-03-16 03:16:40,2016,2016,March,March,5,3,10,6
2016-04-04 12:50:54,Toyota_RAV_4_D_4D_4x4__NAVI__PDC__Anhaengerkupplung,privat,Offer,9800,control,suv,2005,manuell,116,rav,90000,Sep,Diesel,toyota,No,2016-04-04 00:00:00,63322,2016-04-06 14:16:11,2016,2016,April,April,2,14,11,3
2016-03-21 16:42:58,Toyota_RAV_4_D_4D_4x4_Sol___1._Hand__AHK,privat,Offer,7250,control,suv,2005,manuell,116,rav,80000,Sep,Diesel,toyota,No,2016-03-21 00:00:00,34560,2016-03-22 21:18:13,2016,2016,March,March,1,21,11,3
2016-03-25 12:58:00,Toyota_RAV_4_2.2_D_CAT_4x4_Executive,privat,Offer,14700,test,suv,2010,manuell,177,rav,90000,Apr,Diesel,toyota,No,2016-03-25 00:00:00,89331,2016-04-06 15:44:38,2016,2016,March,March,12,15,6,8
2016-03-20 18:06:19,Toyota_RAV_4_2.0_4x2_Sol__Checkheft_AHK_8fach_bereift_,privat,Offer,13500,control,suv,2009,manuell,158,rav,60000,Oct,Gasoline,toyota,No,2016-03-20 00:00:00,56288,2016-03-31 04:47:23,2016,2016,March,March,11,4,7,2
2016-03-14 08:55:50,Toyota_RAV_4_2.2_D_CAT_4x4_Sol,privat,Offer,10900,test,suv,2006,manuell,177,rav,60000,Aug,Diesel,toyota,No,2016-03-14 00:00:00,32756,2016-04-07 07:15:23,2016,2016,March,March,24,7,10,4
