dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-05 20:42:54,Trabant_Cabrio_Sommerauto_Hochzeitsauto_DDR_IFA_Sachsenring,privat,Offer,6000,control,cabrio,1989,manuell,26,601,40000,Oct,Gasoline,trabant,No,2016-03-05 00:00:00,99752,2016-03-07 16:45:33,2016,2016,March,March,2,16,27,2
2016-04-03 21:00:10,Trabant_Kuebel_601A,privat,Offer,7000,test,cabrio,1982,manuell,26,601,30000,Mar,Gasoline,trabant,No,2016-04-03 00:00:00,39615,2016-04-05 21:47:42,2016,2016,April,April,2,21,34,9
2016-04-01 00:36:56,Trabant_601_Kuebel,privat,Offer,9990,test,cabrio,1975,manuell,26,601,5000,Jan,Gasoline,trabant,No,2016-03-31 00:00:00,7929,2016-04-07 05:15:49,2016,2016,March,April,7,5,41,11
2016-03-18 14:36:42,Schmuckstueck_zu_verkaufen_macht_ein_Angebot,privat,Offer,0,test,cabrio,1989,Unspecified,0,601,50000,Feb,Gasoline,trabant,Other,2016-03-18 00:00:00,4668,2016-04-05 22:17:29,2016,2016,March,March,18,22,27,10
2016-03-25 11:36:19,Trabant_601_Cabrio__H_Kennz.__AT_Motor,privat,Offer,5500,test,cabrio,1985,manuell,26,601,40000,Jul,Gasoline,trabant,No,2016-03-25 00:00:00,45661,2016-04-06 11:17:53,2016,2016,March,March,12,11,31,5
2016-03-30 18:39:33,Trabant_601_A___Kuebel,privat,Offer,10500,test,cabrio,1983,manuell,26,601,10000,Jul,Gasoline,trabant,No,2016-03-30 00:00:00,15712,2016-04-07 09:44:35,2016,2016,March,March,8,9,33,5
2016-03-12 20:38:32,Trabant_1.1_Tramp,privat,Offer,8500,test,cabrio,1991,Unspecified,0,andere,50000,Apr,Gasoline,trabant,Other,2016-03-12 00:00:00,16766,2016-04-05 13:44:46,2016,2016,March,March,24,13,25,8
2016-03-16 11:44:54,Trabant_Kuebel,privat,Offer,2990,test,cabrio,1983,Unspecified,0,andere,10000,Mar,Other,trabant,No,2016-03-16 00:00:00,23923,2016-04-02 06:45:19,2016,2016,March,March,17,6,33,9
2016-03-30 12:52:38,Trabant_Andere,privat,Offer,13480,control,cabrio,1991,Unspecified,0,andere,20000,Jul,Other,trabant,No,2016-03-30 00:00:00,67434,2016-04-07 03:44:55,2016,2016,March,March,8,3,25,5
2016-03-24 16:56:47,Trabant_601__Cabrio__Oldtimer,privat,Offer,5500,control,cabrio,1983,Unspecified,26,601,10000,Aug,Gasoline,trabant,No,2016-03-24 00:00:00,15236,2016-04-07 10:17:26,2016,2016,March,March,14,10,33,4
