dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-28 19:52:15,Trabant_P601_Hellblau,privat,Offer,0,control,kleinwagen,1983,manuell,26,601,80000,Aug,,trabant,No,2016-03-28 00:00:00,53945,2016-04-07 02:17:45,2016,2016,March,March,10,2,33,4
2016-03-14 13:58:33,Trabant_P_601_L_Oldtimer_Kennzeichen_Topp,privat,Offer,3750,test,kleinwagen,1976,manuell,26,601,40000,Nov,Gasoline,trabant,No,2016-03-14 00:00:00,86154,2016-04-05 15:15:58,2016,2016,March,March,22,15,40,1
2016-04-03 20:58:06,Trabant_601,privat,Offer,350,test,kleinwagen,1988,manuell,26,601,50000,Nov,Gasoline,trabant,Yes,2016-04-03 00:00:00,1558,2016-04-05 21:47:32,2016,2016,April,April,2,21,28,1
2016-03-22 00:57:40,Trabant_601,privat,Offer,5000,control,kleinwagen,1986,manuell,26,601,60000,Jul,Gasoline,trabant,No,2016-03-21 00:00:00,50827,2016-04-05 18:15:41,2016,2016,March,March,15,18,30,5
2016-03-25 10:45:20,Trabant_601,privat,Offer,1450,test,kleinwagen,1988,manuell,26,601,70000,Jul,Gasoline,trabant,No,2016-03-25 00:00:00,99310,2016-03-25 10:45:20,2016,2016,March,March,0,10,28,5
2016-03-27 20:50:04,Trabant_601_TÜV_03.2018,privat,Offer,1600,control,kleinwagen,1988,manuell,26,601,90000,Aug,Gasoline,trabant,No,2016-03-27 00:00:00,55559,2016-03-29 10:47:13,2016,2016,March,March,2,10,28,4
2016-03-27 18:39:14,Trabant_601,privat,Offer,1050,control,kleinwagen,1984,manuell,20,601,100000,Jan,,trabant,No,2016-03-27 00:00:00,56751,2016-04-05 14:47:44,2016,2016,March,March,9,14,32,11
2016-03-16 16:51:13,Originalen_bis_zu_letzt_gefahrenen_Trabant_601_delux,privat,Offer,2000,control,kleinwagen,1988,manuell,24,601,60000,Jan,Gasoline,trabant,No,2016-03-16 00:00:00,17235,2016-04-06 21:45:57,2016,2016,March,March,21,21,28,11
2016-03-18 00:54:19,Polo_6n_1.6_75ps,privat,Offer,150,test,kleinwagen,1998,manuell,75,Other,150000,Jan,Gasoline,trabant,Yes,2016-03-18 00:00:00,89250,2016-04-05 22:15:32,2016,2016,March,March,18,22,18,11
2016-03-21 10:55:33,Harlekin_Trabbi_mit_vielen_Ersatzteilen_zum_herrichten,privat,Offer,600,test,kleinwagen,1989,manuell,26,601,70000,Nov,,trabant,Yes,2016-03-21 00:00:00,33758,2016-04-06 05:15:21,2016,2016,March,March,16,5,27,1
2016-03-14 21:56:40,Trabant_601_S_Universal__Kombi__601,privat,Offer,1600,test,kleinwagen,1989,manuell,26,601,50000,Nov,,trabant,No,2016-03-14 00:00:00,22607,2016-03-31 20:17:43,2016,2016,March,March,17,20,27,1
2016-03-22 13:55:11,Trabant_P_601_l,privat,Offer,950,control,kleinwagen,1988,manuell,26,601,60000,Nov,Gasoline,trabant,Other,2016-03-22 00:00:00,27232,2016-04-04 02:17:56,2016,2016,March,March,13,2,28,1
2016-03-20 15:38:59,Trabant_P_50_mit_Tuev_Auch_Tausch_!!!,privat,Offer,2499,control,kleinwagen,1961,manuell,20,601,30000,Feb,Gasoline,trabant,No,2016-03-20 00:00:00,24863,2016-03-22 23:17:03,2016,2016,March,March,2,23,55,10
2016-03-24 18:50:23,Trabant_601,privat,Offer,1500,test,kleinwagen,1989,manuell,26,601,40000,Nov,Gasoline,trabant,No,2016-03-24 00:00:00,95643,2016-04-07 13:15:42,2016,2016,March,March,14,13,27,1
2016-04-01 00:58:29,Trabant_601,privat,Offer,5000,test,kleinwagen,1989,manuell,26,601,20000,Aug,Gasoline,trabant,No,2016-04-01 00:00:00,8451,2016-04-07 05:16:36,2016,2016,April,April,6,5,27,4
2016-03-13 18:37:01,Trabant_P_601_L_H_Zulassung_Tuev_Topp,privat,Offer,3750,test,kleinwagen,1976,manuell,26,601,40000,Nov,Gasoline,trabant,No,2016-03-13 00:00:00,86154,2016-04-06 17:47:01,2016,2016,March,March,24,17,40,1
2016-04-04 08:57:09,Trabant_Wabant_Tuning_Umbau_auf_Wartburg_Motor,privat,Offer,4799,control,kleinwagen,1986,manuell,50,601,5000,Jan,Gasoline,trabant,No,2016-04-04 00:00:00,9117,2016-04-06 10:17:51,2016,2016,April,April,2,10,30,11
2016-03-14 19:56:26,Trabant_601_im_super_Zustand,privat,Offer,3400,control,kleinwagen,1987,manuell,26,601,40000,Jan,Other,trabant,No,2016-03-14 00:00:00,15378,2016-04-06 05:46:08,2016,2016,March,March,23,5,29,11
2016-03-09 07:55:03,Ostalgie_Trabant_P_50_mit_Tuev_Original_DDR_Brief_dabei,privat,Offer,1,test,kleinwagen,1961,manuell,20,andere,30000,Feb,Gasoline,trabant,No,2016-03-09 00:00:00,24863,2016-03-10 03:44:19,2016,2016,March,March,1,3,55,10
