dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,NoOfDaysOnline,NoOfHrsOnline,yearsOld,monthsOld
2016-03-26 17:42:49,Zu_Verkaufen,privat,Offer,0,control,kombi,1988,Unspecified,0,601,80000,Jan,Other,trabant,Other,2016-03-26 00:00:00,39646,2016-04-06 06:16:14,2016,2016,March,March,11,6,28,11
2016-03-16 14:58:02,Trabant_P_601_K_Kombi,privat,Offer,2000,test,kombi,1987,manuell,0,Other,70000,May,Gasoline,trabant,No,2016-03-16 00:00:00,39576,2016-04-06 14:47:08,2016,2016,March,March,21,14,29,7
2016-04-06 02:36:37,Trabant_601_K_Ez_69_e_Karosse_78,privat,Offer,990,test,kombi,1969,Unspecified,26,Other,5000,Jan,Other,trabant,Other,2016-04-06 00:00:00,4758,2016-04-06 02:36:37,2016,2016,April,April,0,2,47,11
2016-03-19 07:54:57,Trabant_1_1_Kombi_08/1991__Scheunenfund_nicht_verbastelt,privat,Offer,1500,control,kombi,1991,manuell,0,andere,100000,Aug,Gasoline,trabant,Yes,2016-03-19 00:00:00,36456,2016-04-06 06:16:33,2016,2016,March,March,18,6,25,4
2016-03-29 12:47:37,Trabant_601_kombi,privat,Offer,750,test,kombi,1989,manuell,26,601,40000,Jan,Gasoline,trabant,Yes,2016-03-29 00:00:00,22765,2016-04-05 22:15:36,2016,2016,March,March,7,22,27,11
2016-04-03 20:54:55,Trabant_601_Kombi___Werbetraeger_Koestritzer___guter_Zustand,privat,Offer,1750,test,kombi,1979,manuell,26,601,50000,Jan,Gasoline,trabant,No,2016-04-03 00:00:00,4613,2016-04-05 21:47:15,2016,2016,April,April,2,21,37,11
2016-03-17 18:58:25,Trabbi_Kombi,privat,Offer,500,control,kombi,1984,manuell,0,601,50000,Sep,Other,trabant,Yes,2016-03-17 00:00:00,38304,2016-03-24 14:46:22,2016,2016,March,March,7,14,32,3
2016-03-12 13:58:35,Trabant_601,privat,Offer,320,control,kombi,1990,manuell,26,601,70000,Jan,Other,trabant,Yes,2016-03-12 00:00:00,4808,2016-03-16 16:50:18,2016,2016,March,March,4,16,26,11
2016-03-15 09:56:20,Trabant_601_Kombi_fahrbereit,privat,Offer,900,control,kombi,1983,Unspecified,26,601,70000,Oct,Gasoline,trabant,Other,2016-03-15 00:00:00,4758,2016-04-05 18:44:34,2016,2016,March,March,21,18,33,2
2016-03-30 03:50:23,Trabant_1.1_kombi,privat,Offer,0,test,kombi,1990,manuell,0,andere,150000,Sep,Gasoline,trabant,Other,2016-03-29 00:00:00,47475,2016-04-06 22:45:19,2016,2016,March,March,8,22,26,3
